"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.267818300E-2,-3.963871002E-1,-9.217019081E-1,1.414814949E0
1.227970890E-1,-1.263534307E0,-2.376413345E-2,8.709812164E-2
2.079201100E-1,-1.804140687E0,2.920832634E-1,-1.901378632E-1
2.483430790E-1,-1.572440386E0,-2.420520782E-1,7.412586212E-1
2.888856830E-1,2.484149337E-1,-7.378506660E-1,2.237505913E0
3.293029230E-1,1.250724912E0,-2.985943556E0,-1.592435837E0
3.698261000E-1,1.160067320E0,-2.412796974E0,1.444450378E0
4.096937560E-1,3.913071871E0,-5.269525051E-1,2.257366180E0
4.507899540E-1,2.136282206E0,-1.399752617E0,4.426584244E-1
4.912943810E-1,1.635072827E-1,-2.157945156E0,-1.411789894E0
5.316876100E-1,2.553634644E-1,5.909652710E-1,-5.513341904E0
5.722196940E-1,-1.194729805E-1,-5.463166237E-1,-1.242385864E0
6.127406310E-1,-4.221591651E-1,6.057906151E-1,-4.261101246E0
6.527303190E-1,-4.166878462E-1,6.603698730E-1,-2.352828979E0
6.935437560E-1,4.145900011E-1,5.933804512E-1,2.046880722E-1
7.340152140E-1,-2.514569998E0,-7.121543884E-1,-2.940374374E0
7.744888080E-1,-4.238578081E-1,5.449709892E-1,-4.005289078E-1
8.149744330E-1,7.234154940E-1,2.414312363E-1,7.460889816E-1
8.554471410E-1,-9.693780541E-1,-4.713299274E-1,-3.768562317E0
8.958564640E-1,-6.882460117E-1,-1.115097642E0,-5.275311470E0
9.364650580E-1,7.820467949E-1,-3.002785921E0,-1.201638699E0
9.769495370E-1,-4.801312685E-1,-4.609743118E0,-5.228257179E0
1.017462714E0,8.832193613E-1,-6.685973644E0,-2.057433605E0
1.057454641E0,-1.331255436E0,-7.756413460E0,2.191503525E0
1.098386100E0,2.140055180E0,-5.087403774E0,4.712835312E0
1.138806829E0,1.554951191E0,-2.281821728E0,7.670477867E0
1.179322714E0,-1.174993038E0,-1.602703094E0,1.168341637E1
1.219785527E0,1.211257935E0,1.596039295E0,1.082535172E1
1.260235631E0,-3.340997696E-1,2.051984310E0,1.147952080E1
1.300757766E0,4.493419647E0,2.868221521E0,1.121171570E1
1.341251360E0,3.529629946E0,2.588963270E0,1.848282337E0
1.381739121E0,-4.271965027E-1,2.236734629E0,-4.591828346E0
1.422171412E0,4.972329140E-1,2.263569832E0,-9.523916245E-1
1.462663860E0,-5.469322205E-1,3.445806503E-1,-1.680610180E0
1.502938131E0,-1.175079346E0,-1.072392941E0,-1.685673714E0
1.543677194E0,1.272419691E0,6.406211853E-2,-1.835047722E0
1.584176777E0,1.139912605E-1,-5.750579834E-1,-3.146492958E0
1.624622402E0,-1.193180084E0,-2.071844101E0,8.176846504E-1
1.665034694E0,1.427041054E0,-6.239161491E-1,-1.967921734E0
1.705640579E0,8.511047363E-1,-2.176986694E0,-4.742064476E-1
1.746081464E0,1.785784721E0,-8.996095657E-1,1.803746223E-1
1.786581985E0,2.480466843E0,1.991066694E0,1.065405369E0
1.827073860E0,-2.862262249E0,-2.379703522E-2,1.865130424E0
1.867557194E0,-2.144234180E0,-2.046723843E0,3.549062729E0
1.907977141E0,1.349321365E0,1.323318481E-2,-4.050931931E0
1.948498287E0,4.695249557E0,3.609925032E0,-6.370193005E0
1.988980214E0,1.388214397E1,9.016592026E0,-4.934056282E0
2.029483131E0,3.683438301E0,-3.668530464E0,-3.586877346E0
2.069952246E0,-5.081653118E0,-9.679383278E0,4.223552704E0
2.110457350E0,2.501310587E0,-2.273893356E0,5.005436897E0
2.150938183E0,8.143749237E-1,-5.039653778E-1,-6.118709564E0
2.191400996E0,-1.119151878E1,-7.760245323E0,-2.882591724E0
2.231838548E0,-1.173854351E1,-2.402418137E0,4.879897118E0
2.272325162E0,-1.896740079E0,3.164620876E0,-2.654318571E0
2.312720787E0,-7.939526081E0,-7.198295593E-1,-5.281237125E0
2.353276569E0,4.966759682E-1,1.575822830E-1,6.038225651E0
2.393637975E0,-1.230112076E0,-6.588225365E-1,-4.379876852E-1
2.434203704E0,-5.156240463E-1,-8.183405876E0,1.432550430E0
2.474785996E0,7.626435757E0,-2.410113335E0,-7.996091366E0
2.515273079E0,1.531082153E1,6.238355637E0,2.658621311E0
2.555781829E0,2.314507484E0,2.303235054E0,5.792609215E0
2.596246516E0,-3.083128929E-1,-1.585207939E0,-5.383141518E0
2.636503391E0,-2.003732920E0,-1.505619049E0,-3.779689789E0
2.677123183E0,-1.650645256E0,5.638251305E-1,-2.897464037E0
2.717685214E0,-1.523863316E0,2.696700096E-1,-2.659680605E0
2.758180683E0,-1.717688799E0,-4.861555099E-1,-1.431291223E0
2.798668131E0,-9.886817932E-1,-4.553003311E-1,2.060574770E0
2.839160110E0,9.200339317E-1,2.922744751E-1,2.972643375E-1
2.879639798E0,1.711186409E0,4.398684502E-1,2.814245224E-2
2.920073391E0,2.054148197E0,3.324117661E-1,4.247529507E-1
2.960581725E0,-9.103689194E-1,6.843881607E-1,1.246056557E0
3.001083287E0,-6.043488979E-1,7.959365845E-1,1.277811766E0
3.041510527E0,1.818023682E0,2.624598026E0,7.179670334E-1
3.081793444E0,6.577792168E-1,1.269784927E0,2.692427397E0
3.122023704E0,-2.036043167E0,-1.660461426E-1,3.709607601E0
3.162253964E0,-6.112570763E-1,-1.927639008E0,1.315160394E0
3.203462714E0,4.540888786E0,-4.524076462E0,3.934842587E0
3.243965319E0,2.124947071E0,3.568437576E0,-5.316947460E0
3.284431985E0,-1.386403680E0,3.341463089E0,-4.245746613E0
3.324908444E0,-1.322152734E0,-1.459476471E0,-2.793899059E0
3.365408444E0,-1.468545437E0,-3.123114586E0,-3.426953793E0
3.405689277E0,-2.198464394E0,3.373365402E-1,-4.009742260E0
3.446361204E0,-1.553533316E0,3.923568726E-1,-2.053504288E-1
3.486891360E0,3.944539309E0,1.694278717E-1,5.669292927E0
3.527318652E0,-5.009472370E-1,-6.087665558E-1,1.816911101E0
3.567849433E0,-9.766153097E-1,4.615697861E-1,-8.573762178E-1
3.608330006E0,-1.656842232E-1,8.424558640E-1,-1.725497603E0
3.648610944E0,6.708431244E-2,-4.659175873E-2,-1.825541019E0
3.689306048E0,-4.047603607E-1,2.746963501E-2,-1.071550012E0
3.729719121E0,-8.421835899E-1,3.581228256E-1,-2.024637461E-1
3.770194641E0,-2.726624012E-1,-5.565996170E-1,-5.266887546E-1
3.810709329E0,-2.317043543E-1,3.897476196E-1,7.503669858E-1
3.851205266E0,-4.517297745E-1,2.567090988E-1,2.606085539E-1
3.891620006E0,-5.407993793E-1,-2.054281235E-1,3.147924542E-1
3.931940579E0,-2.380082607E-1,-7.473659515E-2,-7.969295979E-2
3.972604433E0,-9.685516357E-2,7.653636932E-1,4.280460477E-1
4.013094016E0,-8.547265530E-1,1.545038223E-1,5.672028065E-1
4.053546100E0,-1.400184631E0,-1.963909149E0,8.075260520E-1
4.094013964E0,-1.531182766E0,-2.917181015E0,-2.114446759E-1
4.134513079E0,-1.604170680E0,-1.695472717E0,-7.838872671E-1
4.174833652E0,6.456801891E-1,1.067426682E0,-1.775333405E0
4.215447662E0,2.513880491E0,1.947932243E0,-1.642565370E0
4.255969589E0,1.112870693E0,1.869506836E0,-1.434783041E-1
4.296460423E0,-8.375582695E-1,7.574090958E-1,-1.766116023E-1
