Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Datetime
0.031836257,-0.3292901516,-2.028603077,0.0260982085,2024-06-11 14:42:24.031836
0.072260111,-0.9975907207,-1.267227888,-0.3573856652,2024-06-11 14:42:24.072260
0.168109018,0.2197043151,-0.2290250957,1.22022438,2024-06-11 14:42:24.168109
0.208533861,0.1187734827,-1.942585588,1.20690906,2024-06-11 14:42:24.208534
0.249009591,-0.3402087986,-2.772535324,0.9680305123,2024-06-11 14:42:24.249010
0.289558341,-0.250729233,-0.9489894509,1.000786424,2024-06-11 14:42:24.289558
0.329966153,-0.5095808506,-0.1717688292,1.36975646,2024-06-11 14:42:24.329966
0.37041808,-0.7999899983,-0.1038602218,2.252701521,2024-06-11 14:42:24.370418
0.410962299,-0.8449960947,-0.1190397888,2.066818476,2024-06-11 14:42:24.410962
0.451382559,-0.5298202634,0.4901403487,1.920482039,2024-06-11 14:42:24.451383
0.491884799,0.2620473206,0.3860138059,2.562018633,2024-06-11 14:42:24.491885
0.532362403,1.144193411,1.118228316,1.152315855,2024-06-11 14:42:24.532362
0.572826674,-0.7131735086,2.520740747,-0.1619154215,2024-06-11 14:42:24.572827
0.613356466,-0.7017222643,-0.6683005691,-1.032876611,2024-06-11 14:42:24.613356
0.653791934,1.152981639,-0.2719007432,-1.340329409,2024-06-11 14:42:24.653792
0.694239486,1.472151995,1.585199952,-1.137402534,2024-06-11 14:42:24.694239
0.734722768,-0.850055933,-2.288520098,-0.3105154335,2024-06-11 14:42:24.734723
0.775224486,-0.7629731297,-1.819950581,0.3236976862,2024-06-11 14:42:24.775224
0.815678445,0.8009220958,-2.141517878,0.2011958808,2024-06-11 14:42:24.815678
0.856190528,0.4119788706,-0.4668383598,0.542336762,2024-06-11 14:42:24.856191
0.896674591,-1.888924479,0.9954602718,0.5844134688,2024-06-11 14:42:24.896675
0.937123757,-1.177348852,-0.2466014475,1.926207662,2024-06-11 14:42:24.937124
0.977601205,1.327014089,-0.1195724085,1.89225328,2024-06-11 14:42:24.977601
1.018123705,1.594920158,1.304244637,0.7645710111,2024-06-11 14:42:25.018124
1.058584955,1.022490501,0.8383383751,1.727142215,2024-06-11 14:42:25.058585
1.099042507,0.5046541691,-1.046724558,0.5492607951,2024-06-11 14:42:25.099043
1.139566622,-0.0621829778,0.2131797522,0.5266245604,2024-06-11 14:42:25.139567
1.18000183,-1.605705619,-0.1701709777,0.8149032593,2024-06-11 14:42:25.180002
1.220484122,-0.7081136703,-1.524348497,0.8729584813,2024-06-11 14:42:25.220484
1.260966101,-0.05605788901,-1.573615432,1.132875323,2024-06-11 14:42:25.260966
1.301440528,-1.415295243,-0.78414464,1.685864449,2024-06-11 14:42:25.301441
1.341900111,-2.955622196,0.4693683088,2.561752319,2024-06-11 14:42:25.341900
1.382384226,-4.024317265,-0.2487319112,2.575866699,2024-06-11 14:42:25.382384
1.422894018,-4.550142765,1.185204864,2.9953022,2024-06-11 14:42:25.422894
1.46334933,-4.375178337,2.799565554,2.605426788,2024-06-11 14:42:25.463349
1.503826882,-3.240971565,2.955622196,2.234060049,2024-06-11 14:42:25.503827
1.544317924,-1.740990281,2.930322886,2.438318491,2024-06-11 14:42:25.544318
1.584780216,-0.5247604251,2.704227209,1.637396336,2024-06-11 14:42:25.584780
1.625255372,1.114633203,2.048176765,1.824611068,2024-06-11 14:42:25.625255
1.66573657,1.305975676,2.211423874,0.3556546867,2024-06-11 14:42:25.665737
1.706207299,1.088534951,1.28959775,0.4067858756,2024-06-11 14:42:25.706207
1.746688705,0.4346150756,0.9182308912,0.2456693649,2024-06-11 14:42:25.746689
1.787182039,-0.008388710208,0.367105931,-0.1930734813,2024-06-11 14:42:25.787182
1.827652664,0.1991985738,0.5949326158,0.2738980353,2024-06-11 14:42:25.827653
1.868125268,0.5169043541,0.975487113,-0.3797555864,2024-06-11 14:42:25.868125
1.908594695,1.031811357,0.788538754,-0.07323476672,2024-06-11 14:42:25.908595
1.949086257,1.580805779,0.9379376769,0.3623123765,2024-06-11 14:42:25.949086
1.989592976,1.619953156,0.3244965971,1.511166215,2024-06-11 14:42:25.989593
2.030048966,0.9516525269,0.4573844373,0.1476679295,2024-06-11 14:42:26.030049
2.07050407,0.4252942801,0.6567161679,-0.8291507363,2024-06-11 14:42:26.070504
2.110961518,-0.1029281393,0.3580514491,-0.8270202875,2024-06-11 14:42:26.110962
2.151443393,-0.1101184636,0.8146369457,-0.9817453623,2024-06-11 14:42:26.151443
2.191920216,0.1619154215,0.521032095,-0.2471340597,2024-06-11 14:42:26.191920
2.232408184,0.1336867511,0.3591166735,0.3058550358,2024-06-11 14:42:26.232408
2.272890841,0.1187734827,0.3588503897,0.3282249272,2024-06-11 14:42:26.272891
2.313372091,0.01557903271,0.1466026902,0.5833482146,2024-06-11 14:42:26.313372
2.353852455,-0.1125152409,0.2504629195,0.4861457348,2024-06-11 14:42:26.353852
2.394366101,-0.5194342732,-0.1302247345,0.5101134777,2024-06-11 14:42:26.394366
2.43482558,-0.1785596907,-0.01238333434,0.785343051,2024-06-11 14:42:26.434826
2.475295528,-0.3431381881,0.1567224115,0.9057143927,2024-06-11 14:42:26.475296
2.515779799,-0.536477983,0.221701622,0.8186315894,2024-06-11 14:42:26.515780
2.556249955,-0.3687037826,0.401992321,-0.01704372838,2024-06-11 14:42:26.556250
2.596757611,-0.6098458767,0.8298165202,0.2025274336,2024-06-11 14:42:26.596758
2.637250007,-0.4238295853,0.4174381793,0.3737636507,2024-06-11 14:42:26.637250
2.677675945,-0.3114475012,0.4773575366,0.1420754492,2024-06-11 14:42:26.677676
2.718144434,-0.4986622036,0.4829500318,0.1511299312,2024-06-11 14:42:26.718144
2.758618289,-0.3841496706,0.4459331632,0.117308788,2024-06-11 14:42:26.758618
2.799127716,-0.203592658,-0.0464707911,0.3647091687,2024-06-11 14:42:26.799128
2.839581934,0.1555240154,0.3649754524,0.0713706091,2024-06-11 14:42:26.839582
2.880043497,0.2713681161,-0.314776361,0.4472647011,2024-06-11 14:42:26.880043
2.920503549,0.0599193573,-0.06125089899,0.4629769027,2024-06-11 14:42:26.920504
2.960963601,-0.03608476743,-0.4359466136,0.5633751154,2024-06-11 14:42:26.960964
3.001538445,-0.1774944514,-0.7974600792,0.6456643939,2024-06-11 14:42:27.001538
3.042001257,-0.4576507509,-0.4902735054,0.06444659829,2024-06-11 14:42:27.042001
3.082491361,-0.593334794,-0.2503297627,-0.7465952039,2024-06-11 14:42:27.082491
3.122982664,-0.3418066502,-0.2356828004,-0.3097164929,2024-06-11 14:42:27.122983
3.163442716,-0.2440715134,0.1516625583,-0.5059856772,2024-06-11 14:42:27.163443
3.203923445,-0.3527252972,0.2198374718,-1.093861103,2024-06-11 14:42:27.203923
3.244383497,-0.416905582,0.2717675865,-1.190664172,2024-06-11 14:42:27.244383
3.284852247,-0.7243584394,0.006790860556,-1.143793941,2024-06-11 14:42:27.284852
3.325316101,-0.2291582525,0.4422048628,-0.6041202545,2024-06-11 14:42:27.325316
3.365838914,0.05059856921,0.1103847697,0.02450035885,2024-06-11 14:42:27.365839
3.406311049,0.3861469626,0.2470009029,0.2944037914,2024-06-11 14:42:27.406311
3.446775007,0.3086512685,-0.1038602218,0.5521901846,2024-06-11 14:42:27.446775
3.487238914,0.2330197245,-0.004394086078,0.5181027055,2024-06-11 14:42:27.487239
