Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
0.052048184,0.0,0.0,0.0,2024-06-11 14:42:24.052048
0.092510476,-0.8081843853,-0.06141424179,0.2791900635,2024-06-11 14:42:24.092510
0.168109018,-0.7264232635,-0.2578282356,0.1548900604,2024-06-11 14:42:24.168109
0.208533861,-0.527534008,-0.9986612797,-3.152579308,2024-06-11 14:42:24.208534
0.249009591,-0.1857751608,-0.8276367188,-0.5152425766,2024-06-11 14:42:24.249010
0.289558341,0.5125982761,-1.1599195,3.694386482,2024-06-11 14:42:24.289558
0.329966153,-0.7196398377,-0.8303880692,0.494427681,2024-06-11 14:42:24.329966
0.37041808,0.1172932684,-2.461522579,0.5603303909,2024-06-11 14:42:24.370418
0.410962299,1.931825757,-1.977815628,0.9892377853,2024-06-11 14:42:24.410962
0.451382559,1.536138892,-0.9669314623,0.211643219,2024-06-11 14:42:24.451383
0.491884799,0.8474186063,-3.006603241,-1.380596161,2024-06-11 14:42:24.491885
0.532362403,2.159343719,-2.654247284,0.7895555496,2024-06-11 14:42:24.532362
0.572826674,2.559628248,-1.161015391,-6.089063168,2024-06-11 14:42:24.572827
0.613356466,1.941567898,0.5069110394,-4.242793083,2024-06-11 14:42:24.613356
0.653791934,2.969667435,-0.5527260303,3.82365799,2024-06-11 14:42:24.653792
0.694239486,2.142886162,-1.148036599,-1.750590801,2024-06-11 14:42:24.694239
0.734722768,-4.449477196,2.682674646,-6.83128643,2024-06-11 14:42:24.734723
0.775224486,-0.3373458087,0.3859788179,1.608078003,2024-06-11 14:42:24.775224
0.815678445,0.4455569983,2.315501451,3.402448654,2024-06-11 14:42:24.815678
0.856190528,1.06443882,0.8579325676,3.13248539,2024-06-11 14:42:24.856191
0.896674591,3.522400141,-2.201997519,-2.427717209,2024-06-11 14:42:24.896675
0.937123757,-3.685945988,0.06450521946,0.6316671371,2024-06-11 14:42:24.937124
0.977601205,0.7697944641,-0.4338300228,1.753781319,2024-06-11 14:42:24.977601
1.018123705,2.853098392,-2.091797352,0.6451950073,2024-06-11 14:42:25.018124
1.058584955,-1.737298608,-1.467454553,-3.612474442,2024-06-11 14:42:25.058585
1.099042507,3.445268393,2.376304388,-5.953369141,2024-06-11 14:42:25.099043
1.139566622,0.7532787323,0.5592741966,-2.620898247,2024-06-11 14:42:25.139567
1.18000183,0.6701567173,1.446563125,-5.209298134,2024-06-11 14:42:25.180002
1.220484122,0.2309868336,-0.1152843237,-1.733901024,2024-06-11 14:42:25.220484
1.260966101,0.1500585079,-1.569262981,-3.158638477,2024-06-11 14:42:25.260966
1.301440528,-2.416739464,-3.468159676,-6.105951309,2024-06-11 14:42:25.301441
1.341900111,-1.46235919,-5.300116539,-6.377475739,2024-06-11 14:42:25.341900
1.382384226,-0.07020735741,-5.752896786,-4.80874157,2024-06-11 14:42:25.382384
1.422894018,-1.778543711,-8.590957642,2.025069714,2024-06-11 14:42:25.422894
1.46334933,0.9718368053,-6.480405807,7.174355507,2024-06-11 14:42:25.463349
1.503826882,-0.6517476439,-6.212293148,10.61061859,2024-06-11 14:42:25.503827
1.544317924,-0.9842697382,-4.802314758,11.88060379,2024-06-11 14:42:25.544318
1.584780216,1.160809755,-1.657442093,12.33686161,2024-06-11 14:42:25.584780
1.625255372,-3.656155586,-2.352483749,11.47182274,2024-06-11 14:42:25.625255
1.66573657,7.104903221,4.519650459,5.106969833,2024-06-11 14:42:25.665737
1.706207299,-0.03438520432,2.317507267,0.6843481064,2024-06-11 14:42:25.706207
1.746688705,1.61123848,3.423492193,-2.685342073,2024-06-11 14:42:25.746689
1.787182039,1.3764925,2.837061882,-2.902470112,2024-06-11 14:42:25.787182
1.827652664,-1.347448349,0.2294249535,1.182826996,2024-06-11 14:42:25.827653
1.868125268,1.548171997,2.964942217,1.968621731,2024-06-11 14:42:25.868125
1.908594695,-2.209309578,-0.8610601425,3.275003433,2024-06-11 14:42:25.908595
1.949086257,-2.378596783,-2.215383053,1.845919132,2024-06-11 14:42:25.949086
1.989592976,-4.342875957,-5.172428131,-3.256108284,2024-06-11 14:42:25.989593
2.030048966,8.246290207,-0.5089855194,-5.453970432,2024-06-11 14:42:26.030049
2.07050407,5.87404871,-1.045380592,-3.783401966,2024-06-11 14:42:26.070504
2.110961518,1.08579874,1.123192787,-2.687182426,2024-06-11 14:42:26.110962
2.151443393,0.9561595917,4.150330544,2.238617897,2024-06-11 14:42:26.151443
2.191920216,-2.785758972,3.043768883,0.816321373,2024-06-11 14:42:26.191920
2.232408184,0.009720802307,2.153567076,0.861325264,2024-06-11 14:42:26.232408
2.272890841,1.978233337,1.802708149,0.5738248825,2024-06-11 14:42:26.272891
2.313372091,0.1120262146,1.121492624,0.6511445045,2024-06-11 14:42:26.313372
2.353852455,0.6893382072,1.124298573,0.07244873047,2024-06-11 14:42:26.353852
2.394366101,-1.322832584,-0.01094102859,-1.016812801,2024-06-11 14:42:26.394366
2.43482558,-2.012560844,-2.071015358,2.743828773,2024-06-11 14:42:26.434826
2.475295528,-1.306891918,-1.915569782,-1.076001167,2024-06-11 14:42:26.475296
2.515779799,-0.3192658424,-3.057799816,-1.266870499,2024-06-11 14:42:26.515780
2.556249955,4.581633568,-2.074028015,-1.392622232,2024-06-11 14:42:26.556250
2.596757611,-0.9679646492,-2.824629784,0.5558223724,2024-06-11 14:42:26.596758
2.637250007,-0.113503933,-0.7996134758,-0.2456505299,2024-06-11 14:42:26.637250
2.677675945,1.104963303,0.4979791641,0.7968866825,2024-06-11 14:42:26.677676
2.718144434,1.434985161,1.495254755,-1.7176615,2024-06-11 14:42:26.718144
2.758618289,1.03706646,2.627637148,1.074897051,2024-06-11 14:42:26.758618
2.799127716,-0.1234178543,3.30920887,0.1287207603,2024-06-11 14:42:26.799128
2.839581934,1.818785191,4.126129627,3.794722319,2024-06-11 14:42:26.839582
2.880043497,-1.357665062,0.5726940632,-1.92873323,2024-06-11 14:42:26.880043
2.920503549,0.2988395691,0.2427515984,0.225714922,2024-06-11 14:42:26.920504
2.960963601,0.08938217163,-0.2330629826,-0.3390302658,2024-06-11 14:42:26.960964
3.001538445,-0.2840890884,-1.000713348,-0.8180551529,2024-06-11 14:42:27.001538
3.042001257,1.473387241,-0.05446243286,0.1058778763,2024-06-11 14:42:27.042001
3.082491361,1.254763603,-1.136190176,0.1316485405,2024-06-11 14:42:27.082491
3.122982664,-3.963404655,-5.316454887,0.2822027206,2024-06-11 14:42:27.122983
3.163442716,0.5145249367,-5.093009472,-1.927918196,2024-06-11 14:42:27.163443
3.203923445,1.396036625,-3.284514904,-4.047843933,2024-06-11 14:42:27.203923
3.244383497,-0.7583804131,0.5909757614,0.2298083305,2024-06-11 14:42:27.244383
3.284852247,-1.134899616,5.239655018,-1.320266724,2024-06-11 14:42:27.284852
3.325316101,-3.887578011,5.250307083,3.870354176,2024-06-11 14:42:27.325316
3.365838914,-1.691541195,5.776172638,0.937650919,2024-06-11 14:42:27.365839
3.406311049,0.5694909096,1.772052526,4.252325058,2024-06-11 14:42:27.406311
3.446775007,0.4079227448,0.3626737595,-0.4809246063,2024-06-11 14:42:27.446775
3.487238914,0.03083229065,-0.01446437836,1.142194986,2024-06-11 14:42:27.487239
3.527702768,-3.924270153,-0.1058006287,-1.747205853,2024-06-11 14:42:27.527703
3.568166674,-0.5418205261,0.6724116802,-1.075244427,2024-06-11 14:42:27.568167
3.608742143,3.680256367,2.053918362,0.05068922043,2024-06-11 14:42:27.608742
3.649157664,1.865631104,-1.03651619,-0.6943340302,2024-06-11 14:42:27.649158
3.689632299,3.369542599,-3.165646553,-0.9626369476,2024-06-11 14:42:27.689632
3.730109747,2.646264076,-0.8055095673,0.1920442581,2024-06-11 14:42:27.730110
3.770605893,2.201549053,0.609869957,-0.1803290844,2024-06-11 14:42:27.770606
3.811060789,3.889759302,2.529218197,1.131190777,2024-06-11 14:42:27.811061
3.851527039,4.086120605,3.699009418,-0.3959507942,2024-06-11 14:42:27.851527
3.891973914,-3.929978371,-2.061506271,-0.6980837584,2024-06-11 14:42:27.891974
3.932505789,-7.065634251,-2.537965775,2.686196327,2024-06-11 14:42:27.932506
3.97297407,-5.27351141,-1.314366341,-2.174561024,2024-06-11 14:42:27.972974
4.013466361,-1.42264533,-0.5444116592,-4.570986748,2024-06-11 14:42:28.013466
4.053952039,7.158742905,-0.7199325562,6.304702282,2024-06-11 14:42:28.053952
4.094355164,5.07156229,-1.670578003,2.651871443,2024-06-11 14:42:28.094355
4.134905736,-5.913668156,-5.040516853,4.218900681,2024-06-11 14:42:28.134906
4.17538183,-6.021550179,-3.081373215,-5.229424477,2024-06-11 14:42:28.175382
4.215857559,-6.1606884,-1.473118782,-11.66585064,2024-06-11 14:42:28.215858
4.256337924,-1.202186823,0.582695961,-3.679022074,2024-06-11 14:42:28.256338
4.296814434,-3.536283493,-3.055404663,2.096444607,2024-06-11 14:42:28.296814
4.337297664,17.85342216,3.037353516,0.8239980936,2024-06-11 14:42:28.337298
4.377773341,5.594322681,5.166501522,7.346126556,2024-06-11 14:42:28.377773
4.418218861,3.271255255,4.761039257,1.64231348,2024-06-11 14:42:28.418219
4.458687768,1.561702251,3.084190369,-3.107424021,2024-06-11 14:42:28.458688
4.499156622,0.0007698535919,-3.086714745,-2.196927309,2024-06-11 14:42:28.499157
4.539625528,-0.03199768066,-4.714448929,1.778149486,2024-06-11 14:42:28.539626
4.580163653,-4.924993515,-2.773495674,3.948720455,2024-06-11 14:42:28.580164
4.62067433,-0.7070817947,0.7406568527,-0.5942213535,2024-06-11 14:42:28.620674
4.661090841,1.524038315,2.620454788,1.986531973,2024-06-11 14:42:28.661091
4.701572143,0.1909399033,1.886323929,-0.03701031208,2024-06-11 14:42:28.701572
4.742041049,4.634848118,-1.185560226,2.778543949,2024-06-11 14:42:28.742041
4.782512872,3.756964207,-4.231529236,0.7568618059,2024-06-11 14:42:28.782513
4.823026257,-1.542515993,3.433476925,-4.613488197,2024-06-11 14:42:28.823026
4.863458132,-2.664171219,2.314940453,-3.402672529,2024-06-11 14:42:28.863458
4.903965164,-0.9868061543,-2.569406509,-3.212975025,2024-06-11 14:42:28.903965
4.944462924,-2.479855776,-4.38312149,-7.367647171,2024-06-11 14:42:28.944463
4.984944643,-5.400131226,-2.394997597,5.635523319,2024-06-11 14:42:28.984945
5.025420164,-3.118739843,1.054812431,1.927873373,2024-06-11 14:42:29.025420
5.065899226,1.236812115,0.08812046051,2.809363365,2024-06-11 14:42:29.065899
5.106375528,4.556694984,1.706458092,6.569934845,2024-06-11 14:42:29.106376
5.146857559,1.997315645,-0.1585683823,2.454262257,2024-06-11 14:42:29.146858
5.187332768,0.481069088,-2.629772186,-0.01902604103,2024-06-11 14:42:29.187333
5.227810007,0.6702721119,-1.800024033,-0.355014801,2024-06-11 14:42:29.227810
5.268290632,1.191596985,0.3648443222,-7.100320816,2024-06-11 14:42:29.268291
5.308741309,1.22368741,-0.6459293365,-10.82988548,2024-06-11 14:42:29.308741
5.349236518,-0.5416133404,0.6872119904,-4.022177696,2024-06-11 14:42:29.349237
5.389708549,1.252392054,-0.3198299408,-3.769949913,2024-06-11 14:42:29.389709
5.430120789,0.805532217,-1.153138161,-0.7984012365,2024-06-11 14:42:29.430121
5.470592768,-1.776477814,-1.484254837,6.593954086,2024-06-11 14:42:29.470593
5.511064851,-2.519388199,-1.183275223,5.621910095,2024-06-11 14:42:29.511065
5.551536934,3.144107819,0.2852058411,7.231619835,2024-06-11 14:42:29.551537
5.592091049,-0.3942251205,-0.2784786224,3.821236134,2024-06-11 14:42:29.592091
5.63255907,-2.903161049,-3.322237015,-1.59842658,2024-06-11 14:42:29.632559
5.673031101,1.566244125,-4.284410477,5.704543114,2024-06-11 14:42:29.673031
5.713534695,2.791555882,-0.04099941254,1.422858,2024-06-11 14:42:29.713535
5.754008341,-1.076494932,0.8854279518,-9.434282303,2024-06-11 14:42:29.754008
5.794493601,-0.9130616188,-1.005949497,-8.330357552,2024-06-11 14:42:29.794494
5.834966726,-0.3979413509,-2.56140089,2.35345602,2024-06-11 14:42:29.834967
5.875456153,-2.392105103,4.038663864,-5.427798271,2024-06-11 14:42:29.875456
5.915931361,-2.007849216,2.803421021,-1.43828845,2024-06-11 14:42:29.915931
5.956404486,0.7057189941,1.07371521,1.56956172,2024-06-11 14:42:29.956404
5.996857559,4.426689625,1.747569561,7.156335831,2024-06-11 14:42:29.996858
6.037330684,1.412683964,-1.583843231,7.009933472,2024-06-11 14:42:30.037331
6.077803809,1.479532719,-3.93239212,-0.1586999893,2024-06-11 14:42:30.077804
6.118344747,-0.3870587349,-7.389340401,2.08662343,2024-06-11 14:42:30.118345
6.158770893,-1.463732719,3.088764191,-10.82956219,2024-06-11 14:42:30.158771
6.199253601,-2.041238785,4.145431995,-6.066158295,2024-06-11 14:42:30.199254
6.239713445,1.782024145,-1.931726456,-5.013134003,2024-06-11 14:42:30.239713
6.280201726,2.807746887,-1.532598495,-0.3461391926,2024-06-11 14:42:30.280202
6.32067407,0.5720787048,0.04075431824,6.0989151,2024-06-11 14:42:30.320674
6.361141361,-2.82518816,-0.8178396225,-1.381090403,2024-06-11 14:42:30.361141
