Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.03221562499,-3.510050812,2.086062012,6.010151825,2024-06-05 18:34:32.032216
0.071946625,-1.817670135,2.238744507,7.713609467,2024-06-05 18:34:32.071947
0.111677625,-1.861828308,1.513352966,7.006030884,2024-06-05 18:34:32.111678
0.151407625,-2.145039368,1.534608765,8.844956818,2024-06-05 18:34:32.151408
0.191138625,-2.652334442,1.44150238,10.01462448,2024-06-05 18:34:32.191139
0.230868625,-2.769241333,0.4956193542,10.90721832,2024-06-05 18:34:32.230869
0.270599625,-2.381547546,1.733545074,7.718399506,2024-06-05 18:34:32.270600
0.310329625,-1.806742859,2.194436646,8.652008057,2024-06-05 18:34:32.310330
0.350060625,-1.834584961,1.986519012,8.128696289,2024-06-05 18:34:32.350061
0.389791625,-1.712738342,2.271077271,5.867498474,2024-06-05 18:34:32.389792
0.429521625,-1.074615326,0.8083190918,10.50096313,2024-06-05 18:34:32.429522
0.469252625,-1.13149704,1.204245758,6.792874146,2024-06-05 18:34:32.469253
0.508983625,0.2077679443,3.210224304,9.454938354,2024-06-05 18:34:32.508984
0.548713625,0.850531311,2.244582367,9.250164185,2024-06-05 18:34:32.548714
0.5884445,0.8315208435,1.966161346,8.677754517,2024-06-05 18:34:32.588444
0.6281745,1.031055908,2.361938324,8.969198456,2024-06-05 18:34:32.628174
0.6679055,0.6851252747,1.603615265,8.99449585,2024-06-05 18:34:32.667906
0.7076365,1.651515656,2.487078094,10.69196594,2024-06-05 18:34:32.707636
0.7473665,2.345472565,2.233206024,9.768985291,2024-06-05 18:34:32.747366
0.7870975,2.040706329,1.924398193,9.074279938,2024-06-05 18:34:32.787098
0.8268285,1.558858337,2.447709961,11.87420746,2024-06-05 18:34:32.826828
0.8665585,2.648741913,1.041534119,9.388925629,2024-06-05 18:34:32.866558
0.9062895,1.484463043,0.8307723999,5.916596375,2024-06-05 18:34:32.906290
0.9460195,1.926344147,-0.2432441711,11.44025986,2024-06-05 18:34:32.946020
0.9857505,4.764142914,0.7420069885,10.97996704,2024-06-05 18:34:32.985750
1.0254815,1.48131958,-0.9047186279,7.561376038,2024-06-05 18:34:33.025481
1.0652115,0.468974762,-1.656156006,8.138875122,2024-06-05 18:34:33.065211
1.1049425,1.024918671,-1.816921692,10.81980011,2024-06-05 18:34:33.104942
1.1446735,2.551294556,-1.682351532,9.394464111,2024-06-05 18:34:33.144673
