Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.04711462499,-0.3671517968,-1.51997304,-0.07929216325,2024-06-05 18:34:32.047115
0.08684562499,-0.2648598552,-1.360188365,-0.1911459714,2024-06-05 18:34:32.086846
0.126575625,-0.4592480361,-1.098528147,-0.5086604953,2024-06-05 18:34:32.126576
0.166306625,-0.6936834455,-0.4820713699,-0.4870659411,2024-06-05 18:34:32.166307
0.206037625,-0.1583579034,0.05740072578,-0.452942431,2024-06-05 18:34:32.206038
0.245767625,0.1313386858,0.5038104653,-0.2586155236,2024-06-05 18:34:32.245768
0.285498625,0.1723362207,0.04648172855,-0.5310174823,2024-06-05 18:34:32.285499
0.325228625,0.857483685,-0.7662643194,-0.7680516839,2024-06-05 18:34:32.325229
0.364959625,0.7469075322,-1.071113348,-0.3423821628,2024-06-05 18:34:32.364960
0.404690625,0.8322700858,-2.067310572,-0.1996692717,2024-06-05 18:34:32.404691
0.444420625,0.593398869,-1.082318068,0.1111813113,2024-06-05 18:34:32.444421
0.484151625,0.2923503816,-1.776793838,0.1833268404,2024-06-05 18:34:32.484152
0.523882625,0.08404562622,-1.556536317,-0.2519664764,2024-06-05 18:34:32.523883
0.563612625,-0.2739517093,-1.000996232,-0.2296309769,2024-06-05 18:34:32.563613
0.6033435,-0.0727533102,-0.9465174675,0.2836205065,2024-06-05 18:34:32.603344
0.6430735,0.1971742809,-0.4434068203,0.5495055914,2024-06-05 18:34:32.643074
0.6828045,-0.6383002996,-0.3925287127,0.611358285,2024-06-05 18:34:32.682804
0.7225355,-0.2412307262,-0.1468959004,0.2201045603,2024-06-05 18:34:32.722536
0.7622655,0.05850036442,0.1220359132,0.6146429777,2024-06-05 18:34:32.762266
0.8019965,-0.4293930531,-0.2737576365,0.4700011313,2024-06-05 18:34:32.801996
0.8417275,0.3260727525,-0.4529114068,-0.01856418513,2024-06-05 18:34:32.841728
0.8814575,-0.4192775786,0.1731572747,0.1644577533,2024-06-05 18:34:32.881458
0.9211885,-1.548062563,-0.8740511537,1.203619242,2024-06-05 18:34:32.921188
0.9609185,-0.6436277628,-0.5430967808,0.9647142887,2024-06-05 18:34:32.960918
