Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.04711462499,-0.3815036318,-0.2972003768,-2.570318472,2024-06-05 18:34:32.047115
0.08684562499,0.7021497354,-0.05981029183,-1.156157672,2024-06-05 18:34:32.086846
0.126575625,0.4287438717,-0.0362075673,-2.328184102,2024-06-05 18:34:32.126576
0.166306625,-0.07967240632,-0.3610483173,-0.2490621507,2024-06-05 18:34:32.166307
0.206037625,-0.4297009148,-0.02334369287,1.626048108,2024-06-05 18:34:32.206038
0.245767625,-0.5114946909,-0.7329658775,0.8390193129,2024-06-05 18:34:32.245768
0.285498625,-0.05665323392,0.2274730611,-1.220935466,2024-06-05 18:34:32.285499
0.325228625,0.1862127686,0.6451782668,-1.361631169,2024-06-05 18:34:32.325229
0.364959625,0.2916468376,-0.3787770751,-0.675227108,2024-06-05 18:34:32.364960
0.404690625,-0.149952357,0.6597262855,-2.602051896,2024-06-05 18:34:32.404691
0.444420625,-0.4349874555,-1.460580383,-0.0707296747,2024-06-05 18:34:32.444421
0.484151625,-0.9377553964,-1.198250023,-3.041943777,2024-06-05 18:34:32.484152
0.523882625,-0.2165519971,0.7246278942,-0.7521519077,2024-06-05 18:34:32.523883
0.563612625,0.08132855706,-0.02201418221,-0.2101284653,2024-06-05 18:34:32.563613
0.6033435,-0.5240293671,-0.6170844421,-0.8411348355,2024-06-05 18:34:32.603344
0.6430735,-0.2613211307,0.03787329286,-0.5982830125,2024-06-05 18:34:32.643074
0.6828045,-0.7480632421,-0.761180301,-0.6937253594,2024-06-05 18:34:32.682804
0.7225355,-0.1123837772,0.5924409132,2.154271536,2024-06-05 18:34:32.722536
0.7622655,0.2175715323,-0.3928720808,-0.3299648112,2024-06-05 18:34:32.762266
0.8019965,0.1131788523,0.5353584936,0.2450380969,2024-06-05 18:34:32.801996
0.8417275,-0.6830987759,-0.7590684329,2.297206723,2024-06-05 18:34:32.841728
0.8814575,-0.3208092409,-0.935925364,-0.210689798,2024-06-05 18:34:32.881458
0.9211885,-1.243148015,-1.641742035,-2.776874288,2024-06-05 18:34:32.921188
0.9609185,0.1236355743,-0.6344209979,2.724570944,2024-06-05 18:34:32.960918
1.0006495,1.574871522,-0.3783542483,0.9820644271,2024-06-05 18:34:33.000649
1.0403805,-1.320797723,-1.592590925,-2.200270413,2024-06-05 18:34:33.040380
1.0801105,-2.266888033,-1.426853059,-0.9428073907,2024-06-05 18:34:33.080110
1.1198415,-1.003089553,-0.6965785083,1.798432211,2024-06-05 18:34:33.119841
1.1595725,-0.7813061249,-0.6515605026,-0.3661204845,2024-06-05 18:34:33.159572
1.1993025,-0.2233773789,-1.163837697,-1.478223479,2024-06-05 18:34:33.199302
1.2390335,1.473937763,-1.051314172,2.84126792,2024-06-05 18:34:33.239033
1.2787635,2.23456404,-0.1136116925,-0.6163269353,2024-06-05 18:34:33.278763
1.3184945,1.427394803,-0.6576459923,-0.9603706723,2024-06-05 18:34:33.318494
1.3582255,1.352221683,-1.026209151,-0.2150699472,2024-06-05 18:34:33.358226
1.3979555,0.6855040281,-1.179317908,-0.9495287651,2024-06-05 18:34:33.397955
1.4376865,0.3741568977,-1.277234797,0.3458686531,2024-06-05 18:34:33.437687
1.4774165,1.28418392,-0.8437345076,0.2396381932,2024-06-05 18:34:33.477416
1.5171475,1.639011531,-0.2935331494,-0.1032571507,2024-06-05 18:34:33.517148
1.5568785,1.607492846,0.6757673907,0.4349989307,2024-06-05 18:34:33.556878
1.596608125,1.572648118,1.320272643,0.4151774544,2024-06-05 18:34:33.596608
1.636339125,1.164694607,1.591427913,0.6548752892,2024-06-05 18:34:33.636339
1.676069125,1.338191435,1.760463901,0.642876218,2024-06-05 18:34:33.676069
1.715800125,1.662149402,1.035650066,0.8725811613,2024-06-05 18:34:33.715800
1.755531125,1.888179224,0.8277821338,1.536479874,2024-06-05 18:34:33.755531
1.795261125,0.6255003396,0.6208076566,1.508145436,2024-06-05 18:34:33.795261
1.834992125,-0.01533753902,0.5118050319,1.361884938,2024-06-05 18:34:33.834992
1.874722125,0.1319216636,0.7434471577,0.5060694981,2024-06-05 18:34:33.874722
1.914453125,0.1875567511,0.6529404455,-0.4986727703,2024-06-05 18:34:33.914453
1.954184125,1.008777139,0.2912229145,-1.124945819,2024-06-05 18:34:33.954184
1.993914125,1.23130141,-0.1223769611,-0.2049337989,2024-06-05 18:34:33.993914
