Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.08516693115,51.93248593,4.455396518,-0.2340807766,,,541.4766676,2.631982565,2024-06-05 18:34:32.085167
0.4694620371,51.93257484,4.454298082,-0.2340801358,,,50.0,2.388645411,2024-06-05 18:34:32.469462
1.693937898,51.93176201,4.453711091,6.13375473,0.2700000107,326.25,22.93125644,12.0,2024-06-05 18:34:33.693938
2.693918824,51.93174097,4.45370472,0.5652122498,0.3000000119,335.7421875,4.537844327,4.0,2024-06-05 18:34:34.693919
3.693899155,51.93173996,4.453698518,-0.625705719,0.0,335.7421875,6.648630769,4.0,2024-06-05 18:34:35.693899
4.693880081,51.93173686,4.453699607,-0.3386573792,0.0,335.7421875,5.084239648,4.0,2024-06-05 18:34:36.693880
5.693861246,51.93173803,4.453697596,-0.2466773987,0.0,312.5390625,5.502089058,4.0,2024-06-05 18:34:37.693861
6.693843603,51.9317299,4.453708408,0.00313949585,0.1800000072,345.9375,3.972643972,4.0,2024-06-05 18:34:38.693844
7.69513917,51.9317245,4.453699021,0.6852684021,0.0,15.1171875,3.535533906,3.0,2024-06-05 18:34:39.695139
8.695150733,51.93172567,4.453705391,1.322231293,0.2099999934,181.0546875,3.535533906,3.0,2024-06-05 18:34:40.695151
9.695133448,51.9317229,4.453710169,0.5697898865,0.0,181.0546875,3.638748383,3.0,2024-06-05 18:34:41.695133
10.69514549,51.9317232,4.453706732,0.4540672302,0.0,181.0546875,3.587339178,3.0,2024-06-05 18:34:42.695145
11.69515908,51.93172148,4.453706229,0.3686180115,0.0,181.0546875,3.606055097,3.0,2024-06-05 18:34:43.695159
12.6951412,51.93171997,4.453705894,0.2477684021,0.0,181.0546875,3.764447371,3.0,2024-06-05 18:34:44.695141
13.69515038,51.93171909,4.453705056,0.1947288513,0.0,181.0546875,3.860905122,3.0,2024-06-05 18:34:45.695150
14.69516063,51.93171909,4.453705056,0.1947289184,0.0,,4.670980443,3.465036613,2024-06-05 18:34:46.695161
15.69514287,51.93171863,4.453704888,0.2188988402,0.0,,4.702237324,3.422499259,2024-06-05 18:34:47.695143
16.69515431,51.93171905,4.453705475,0.3187523559,0.0,,4.728383722,3.386284751,2024-06-05 18:34:48.695154
17.69515955,51.93173179,4.453705726,0.3600731576,0.0,,4.678465871,3.454923172,2024-06-05 18:34:49.695160
18.69513965,51.93179098,4.453697992,-0.2953220913,1.820000052,347.6953081,4.609649614,3.546218757,2024-06-05 18:34:50.695140
19.69514847,51.9318116,4.453679461,-0.4118991867,2.0,345.5859318,4.609649667,3.546218687,2024-06-05 18:34:51.695148
20.69515717,51.93183422,4.453675648,-0.01114229392,2.180000067,347.3437445,4.609649722,3.546218616,2024-06-05 18:34:52.695157
21.69513845,51.93185822,4.45365725,-0.183749564,2.579999924,339.9609274,4.609649781,3.546218539,2024-06-05 18:34:53.695138
22.69511938,51.93188354,4.453646797,-0.221286186,2.579999924,345.2343675,4.609649846,3.546218455,2024-06-05 18:34:54.695119
23.69510114,51.93190336,4.453633697,-0.5435518092,2.579999924,339.9609274,4.609649898,3.546218387,2024-06-05 18:34:55.695101
24.6950835,51.93193029,4.45362776,-0.4834930561,2.950000048,346.9921799,4.609649961,3.546218305,2024-06-05 18:34:56.695083
25.69506466,51.9319529,4.453613615,-0.1071504084,2.660000086,343.1249912,4.609650024,3.546218224,2024-06-05 18:34:57.695065
26.69504654,51.93197174,4.453604904,-0.2657197462,2.660000086,345.5859299,4.609650072,3.546218161,2024-06-05 18:34:58.695047
27.69502807,51.93198285,4.453597046,-0.05447729584,2.049999952,341.36718,4.609650109,3.546218114,2024-06-05 18:34:59.695028
28.69500983,51.93199238,4.4535923,-0.2317845412,1.639999986,341.7187441,4.609650138,3.546218076,2024-06-05 18:35:00.695010
29.69499075,51.93199006,4.453595271,-0.04495606571,0.9700000286,341.7187465,4.609650139,3.546218075,2024-06-05 18:35:01.694991
30.69497216,51.93193968,4.453583768,0.02761534695,2.960000038,196.5234279,4.609650058,3.54621818,2024-06-05 18:35:02.694972
31.6949538,51.9318893,4.453593185,0.1708656084,4.28000021,181.0546866,4.609649948,3.546218322,2024-06-05 18:35:03.694954
32.69493616,51.93185896,4.453605203,0.1855745949,3.480000019,176.1328152,4.609649862,3.546218434,2024-06-05 18:35:04.694936
33.69491708,51.93182005,4.453624228,0.3260167632,3.950000048,171.2109444,4.609649767,3.546218557,2024-06-05 18:35:05.694917
34.69489765,51.93177524,4.453708272,-0.7930710828,3.331978935,148.5092956,4.800582531,3.283130274,2024-06-05 18:35:06.694898
35.69487977,51.93173791,4.453714003,-0.7716943873,3.505467314,163.3694419,4.818985373,3.256058508,2024-06-05 18:35:07.694880
36.6948607,51.93172658,4.453748849,-0.6908386406,2.574987287,135.0661966,4.826401295,3.245055866,2024-06-05 18:35:08.694861
37.69484162,51.93170551,4.453757851,-0.6732038558,2.161029543,143.8454071,4.856089739,3.200457699,2024-06-05 18:35:09.694842
38.69482422,51.9316734,4.453761198,-0.6777251903,2.530718833,160.114059,4.855689891,3.20106431,2024-06-05 18:35:10.694824
39.69480455,51.93165665,4.453766446,-0.7194178449,1.870741107,158.3856274,4.848938727,3.211281715,2024-06-05 18:35:11.694805
40.69478607,51.93164936,4.453788184,-0.6062116195,1.611433426,129.7089355,4.853149267,3.204914854,2024-06-05 18:35:12.694786
41.69476759,51.93164083,4.45378948,-0.3892738288,1.265379494,143.4037027,4.839834509,3.22498666,2024-06-05 18:35:13.694768
42.69474864,51.93163181,4.453792543,-0.1603075908,1.096088388,143.1024417,4.815822312,3.260734962,2024-06-05 18:35:14.694749
43.69472957,51.93162751,4.453796937,-0.08368590847,1.018395295,156.6896667,4.806341397,3.274693789,2024-06-05 18:35:15.694730
44.69471073,51.9315935,4.453803363,-0.2881394941,2.151611795,168.3745555,4.803613639,3.278693801,2024-06-05 18:35:16.694711
45.69469094,51.93156168,4.453813737,-0.03460763674,2.925133532,169.5261026,4.806935958,3.273820968,2024-06-05 18:35:17.694691
46.69467342,51.93153478,4.453815956,0.1698490111,2.828409155,167.7584982,4.821512402,3.252315359,2024-06-05 18:35:18.694673
47.6946547,51.93150117,4.45383408,0.005602627061,3.269495179,161.9654397,4.830087001,3.239567347,2024-06-05 18:35:19.694655
48.69463599,51.93146258,4.453845009,0.1020655883,3.462956598,165.9425676,4.818113748,3.257348146,2024-06-05 18:35:20.694636
49.69461679,51.93141053,4.453839591,-0.3856713399,4.461551611,178.2482629,4.832885754,3.235390598,2024-06-05 18:35:21.694617
50.69459748,51.93139765,4.453832892,0.1639791094,3.407300681,180.3920663,4.848301833,3.212243199,2024-06-05 18:35:22.694597
51.6945796,51.93138812,4.453813503,0.4805119354,2.426352628,195.7316108,4.86793269,3.182415491,2024-06-05 18:35:23.694580
52.69456017,51.93140205,4.45372031,0.7514444562,3.595622409,251.7003693,4.829363362,3.240646008,2024-06-05 18:35:24.694560
53.69454193,51.93141057,4.453697873,0.9304619217,2.532259331,264.0935613,4.833801603,3.234022123,2024-06-05 18:35:25.694542
54.69452262,51.93140472,4.453671822,0.3682846939,2.327332426,258.9374513,4.848655586,3.211709208,2024-06-05 18:35:26.694523
55.69450402,51.93139908,4.453642259,0.8127500908,2.329825584,257.3815383,4.876534765,3.169218472,2024-06-05 18:35:27.694504
56.69448519,51.9313924,4.453603581,0.4422691679,2.663977125,256.2084183,4.886536248,3.153775599,2024-06-05 18:35:28.694485
57.69446647,51.93138939,4.453573478,0.3694118224,2.331105123,259.3885288,4.875696891,3.170507351,2024-06-05 18:35:29.694466
58.69444811,51.9313789,4.453540974,0.5004362511,2.242257645,248.7866436,4.850108278,3.209515029,2024-06-05 18:35:30.694448
59.69442892,51.93138693,4.45349885,0.4563251035,2.262589421,263.3348197,4.846989497,3.214223055,2024-06-05 18:35:31.694429
60.6944102,51.93138953,4.453460601,0.3652656302,2.380186038,270.265452,4.870585472,3.178354007,2024-06-05 18:35:32.694410
61.69439304,51.93138347,4.453416018,0.4289248716,2.577608422,260.5540458,4.882236123,3.160428369,2024-06-05 18:35:33.694393
62.69437563,51.93138139,4.453340231,-0.100406602,3.622058127,263.6551376,4.850541375,3.208860452,2024-06-05 18:35:34.694376
63.69435799,51.9313805,4.45331237,-0.5541225281,2.704582392,261.9301834,4.85560104,3.201199083,2024-06-05 18:35:35.694358
64.69433951,51.93137851,4.453270214,-0.4894553563,2.787961789,262.8095625,4.845556653,3.216382713,2024-06-05 18:35:36.694340
65.69432271,51.93136854,4.453234193,-0.3635302205,2.749685383,257.1907967,4.85628556,3.200160558,2024-06-05 18:35:37.694323
66.6943053,51.93136988,4.453196397,-0.4127897192,2.805854483,264.7583536,4.8474891,3.213469535,2024-06-05 18:35:38.694305
