Time (s),X (µT),Y (µT),Z (µT),Datetime
0.04711462499,-0.04389190674,-20.41734123,-43.67288208,2024-06-05 18:34:32.047115
0.08684562499,-2.345397949,-19.79213905,-43.66885376,2024-06-05 18:34:32.086846
0.126575625,-4.209686279,-19.28935432,-43.97463989,2024-06-05 18:34:32.126576
0.166306625,-5.225793839,-18.29388618,-44.36412048,2024-06-05 18:34:32.166307
0.206037625,-5.272504807,-17.81969643,-44.36262512,2024-06-05 18:34:32.206038
0.245767625,-4.656972885,-17.8888073,-44.71417236,2024-06-05 18:34:32.245768
0.285498625,-4.029396057,-18.11327553,-44.25805664,2024-06-05 18:34:32.285499
0.325228625,-3.540744781,-18.70022011,-44.27128601,2024-06-05 18:34:32.325229
0.364959625,-4.600831985,-20.50462151,-43.01605225,2024-06-05 18:34:32.364960
0.404690625,-7.281396866,-21.7369709,-42.05897522,2024-06-05 18:34:32.404691
0.444420625,-9.551141739,-22.96099281,-40.95225525,2024-06-05 18:34:32.444421
0.484151625,-11.8662796,-23.47854424,-39.98391724,2024-06-05 18:34:32.484152
0.523882625,-14.26706505,-24.03493309,-38.72409058,2024-06-05 18:34:32.523883
0.563612625,-16.3355732,-23.8832798,-37.8052063,2024-06-05 18:34:32.563613
0.6033435,-17.50069809,-23.75361443,-37.16778564,2024-06-05 18:34:32.603344
0.6430735,-18.9757328,-23.37075996,-36.43040466,2024-06-05 18:34:32.643074
0.6828045,-20.34633064,-22.79845619,-36.30627441,2024-06-05 18:34:32.682804
0.7225355,-21.52600861,-21.52172279,-36.6605835,2024-06-05 18:34:32.722536
0.7622655,-21.55301857,-21.05947685,-36.40246582,2024-06-05 18:34:32.762266
0.8019965,-22.46334076,-20.31274223,-36.48391724,2024-06-05 18:34:32.801996
0.8417275,-22.62335968,-19.85819817,-36.57727051,2024-06-05 18:34:32.841728
0.8814575,-22.80835915,-20.05169106,-36.29191589,2024-06-05 18:34:32.881458
0.9211885,-23.2040596,-18.45756721,-36.86865234,2024-06-05 18:34:32.921188
0.9609185,-25.60790253,-15.3886776,-36.77154541,2024-06-05 18:34:32.960918
1.0006495,-26.00930023,-13.93449593,-37.35972595,2024-06-05 18:34:33.000649
