"Time (s)","X (hPa)"
-5.652601667E-1,1.014658432E3
4.427468333E-1,1.014678802E3
1.450790833E0,1.014699249E3
2.458819833E0,1.014729233E3
3.466837833E0,1.014730682E3
3.815166833E0,1.014743652E3
4.890442833E0,1.014748383E3
5.965742833E0,1.014748459E3
7.041070833E0,1.014748917E3
8.116345833E0,1.014748917E3
9.191664833E0,1.014752655E3
1.026692483E1,1.014753494E3
1.134219783E1,1.014754333E3
1.241748383E1,1.014753494E3
1.349272783E1,1.014754715E3
1.456798783E1,1.014754944E3
1.564328083E1,1.014755173E3
1.671857283E1,1.014760666E3
1.779386183E1,1.014763870E3
1.886915483E1,1.014769135E3
1.994444583E1,1.014773865E3
2.101977483E1,1.014777679E3
2.209508983E1,1.014778976E3
2.317040683E1,1.014782181E3
2.424566783E1,1.014782181E3
2.532095783E1,1.014782181E3
2.639623383E1,1.014777069E3
2.747155183E1,1.014777069E3
2.854686683E1,1.014776077E3
2.962217683E1,1.014776077E3
3.069748683E1,1.014774704E3
3.177280483E1,1.014774704E3
3.284806883E1,1.014774704E3
3.392333183E1,1.014772186E3
3.499851283E1,1.014772186E3
3.607369283E1,1.014770966E3
3.714886483E1,1.014773712E3
3.822407383E1,1.014774551E3
3.929929083E1,1.014774551E3
4.037449583E1,1.014773712E3
4.144962483E1,1.014773712E3
4.252475783E1,1.014771652E3
4.359992083E1,1.014769440E3
4.467504083E1,1.014767609E3
4.575014683E1,1.014759140E3
4.682527183E1,1.014759140E3
4.790043583E1,1.014760284E3
4.897563183E1,1.014760284E3
5.005086183E1,1.014761887E3
5.112613083E1,1.014761887E3
5.220140783E1,1.014763947E3
5.327662083E1,1.014763947E3
5.435186383E1,1.014763870E3
5.542708583E1,1.014763870E3
5.650234683E1,1.014763565E3
5.757762083E1,1.014764481E3
5.865290283E1,1.014764481E3
5.972820883E1,1.014765549E3
6.080346983E1,1.014767456E3
6.187874983E1,1.014767456E3
6.295395783E1,1.014767456E3
6.402916983E1,1.014767456E3
6.510440683E1,1.014768066E3
6.617960283E1,1.014768066E3
6.725479783E1,1.014768677E3
6.833000683E1,1.014765701E3
6.940524983E1,1.014766083E3
7.048047883E1,1.014766083E3
7.155568483E1,1.014769974E3
7.263086383E1,1.014772720E3
7.370605883E1,1.014773865E3
7.478126883E1,1.014779587E3
7.585644083E1,1.014781723E3
7.693167483E1,1.014781723E3
7.800688083E1,1.014781723E3
7.908206483E1,1.014782181E3
8.015727683E1,1.014782333E3
8.123250083E1,1.014782333E3
8.230769383E1,1.014782562E3
8.338287083E1,1.014783783E3
8.445804283E1,1.014785080E3
8.553322683E1,1.014785767E3
8.660841583E1,1.014787979E3
8.768354283E1,1.014793549E3
8.875864083E1,1.014798126E3
8.983375583E1,1.014798508E3
9.090887983E1,1.014799347E3
