Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.03748862498,-1.460157633,-1.496800065,-0.3710732758,2024-06-11 14:01:07.037489
0.07778262498,-0.778506577,-1.575332642,-0.6139214039,2024-06-11 14:01:07.077783
0.118076625,-0.308529824,-1.670370221,0.6576829553,2024-06-11 14:01:07.118077
0.158371625,0.01939502358,-2.210545778,0.2941936255,2024-06-11 14:01:07.158372
0.198665625,0.6877002716,-1.960136414,-1.112610102,2024-06-11 14:01:07.198666
0.238959625,0.791121304,-2.701522112,0.1788532734,2024-06-11 14:01:07.238960
0.279253625,-0.5104281306,-0.2226133496,-0.2666288614,2024-06-11 14:01:07.279254
0.319547625,-0.8809794188,-0.288275212,-0.2818245292,2024-06-11 14:01:07.319548
0.359841625,-0.451374203,-0.8150885701,0.2807161212,2024-06-11 14:01:07.359842
0.400135625,0.216993615,-0.3011287451,0.2662815154,2024-06-11 14:01:07.400136
0.440429625,-0.6730719805,1.029142022,0.4327993095,2024-06-11 14:01:07.440430
0.480723625,-1.078051925,2.053051949,-0.02462921105,2024-06-11 14:01:07.480724
0.521017625,-2.959467411,6.425743103,0.2762317657,2024-06-11 14:01:07.521018
0.561311625,-0.9790852666,3.981603622,-0.8779037595,2024-06-11 14:01:07.561312
0.601605625,-1.250612617,3.175214529,-2.024978638,2024-06-11 14:01:07.601606
0.641899625,-2.376514196,-1.926466227,-2.15550971,2024-06-11 14:01:07.641900
0.682193625,-3.442950964,-0.7115980983,-1.131020188,2024-06-11 14:01:07.682194
0.722487625,-4.812231541,0.166969344,-0.6523445249,2024-06-11 14:01:07.722488
0.762781625,-6.049111843,0.6034134626,-1.986791968,2024-06-11 14:01:07.762782
0.803076625,-4.962638378,0.110777244,-3.236718893,2024-06-11 14:01:07.803077
0.8433702083,-3.956950188,-0.4112855494,-3.111868382,2024-06-11 14:01:07.843370
0.8836642083,-4.699775696,3.455267429,-2.101145029,2024-06-11 14:01:07.883664
0.9239582083,-5.028622627,3.447678089,2.125562191,2024-06-11 14:01:07.923958
0.9642522083,-2.442884445,5.295575619,2.186467409,2024-06-11 14:01:07.964252
1.004546208,-0.2689743042,-1.306109905,1.862563491,2024-06-11 14:01:08.004546
1.044840208,-1.413656831,-0.9387872815,1.913212061,2024-06-11 14:01:08.044840
1.085134208,-1.498959899,-1.993838549,3.83085084,2024-06-11 14:01:08.085134
1.125429208,-1.32669425,-1.869850755,3.704633713,2024-06-11 14:01:08.125429
1.165723208,-1.37085104,-0.9451629519,-1.368872523,2024-06-11 14:01:08.165723
1.206017208,-1.217820764,-3.950176716,0.1223038435,2024-06-11 14:01:08.206017
1.246311208,0.5966109037,-4.685066223,0.4282497466,2024-06-11 14:01:08.246311
1.286605208,0.4846944213,0.7126661539,0.8639096022,2024-06-11 14:01:08.286605
1.326899208,-2.496872425,-1.325493932,3.073622465,2024-06-11 14:01:08.326899
1.367193208,0.6939354539,-0.486025393,1.478703618,2024-06-11 14:01:08.367193
1.407487208,-0.5366927385,0.9655054212,-0.3103278279,2024-06-11 14:01:08.407487
1.447781208,1.299838066,1.763585806,-1.514295936,2024-06-11 14:01:08.447781
1.488076208,5.850841045,0.4880538583,-3.457724094,2024-06-11 14:01:08.488076
1.528370208,4.242113113,-3.111618519,-6.99514246,2024-06-11 14:01:08.528370
1.568664208,-1.074839354,0.9440090656,-3.552865982,2024-06-11 14:01:08.568664
1.608958208,-1.014478683,-1.558242679,-0.2437181026,2024-06-11 14:01:08.608958
1.649252208,0.6159417629,0.8421302438,0.1632415056,2024-06-11 14:01:08.649252
1.689546208,-0.9111918211,0.7788331509,-1.689652443,2024-06-11 14:01:08.689546
1.729840208,0.1992365867,-0.5581470728,-1.646874785,2024-06-11 14:01:08.729840
1.770134208,0.7462589145,3.279796839,-2.283832788,2024-06-11 14:01:08.770134
1.810428083,1.873111844,6.145782948,-4.030795097,2024-06-11 14:01:08.810428
1.850722083,1.945691109,11.39619923,-4.07648468,2024-06-11 14:01:08.850722
1.891017083,2.066589355,0.5167012811,-3.362812996,2024-06-11 14:01:08.891017
1.931311083,-1.297797561,-0.4552201927,2.666955709,2024-06-11 14:01:08.931311
1.971605083,4.390433311,4.631860256,1.868935108,2024-06-11 14:01:08.971605
2.011899083,2.97232604,0.8458738327,0.207541436,2024-06-11 14:01:09.011899
2.052193083,-1.412130594,1.67855382,-0.1872527301,2024-06-11 14:01:09.052193
2.092487083,-1.812005401,-4.25639677,-0.4217350185,2024-06-11 14:01:09.092487
2.132781083,0.5450155139,1.031480193,-0.06449654698,2024-06-11 14:01:09.132781
2.173075083,0.2118293494,0.7336250544,0.01029706746,2024-06-11 14:01:09.173075
2.213370083,-0.564326942,0.1539071351,-0.2821922004,2024-06-11 14:01:09.213370
2.253664083,-0.137170732,1.271555781,-0.1216647848,2024-06-11 14:01:09.253664
2.293958083,-0.05779480934,1.928864956,0.4286269546,2024-06-11 14:01:09.293958
2.334252083,-0.4219152927,0.1539080292,0.0890397653,2024-06-11 14:01:09.334252
2.374546083,-2.10561347,-2.434727669,-0.8482812047,2024-06-11 14:01:09.374546
2.414840083,1.620035172,2.69837904,0.08845031261,2024-06-11 14:01:09.414840
2.455134083,1.798822641,1.900103092,1.156021476,2024-06-11 14:01:09.455134
2.495428083,1.848252296,2.935208559,0.4768602848,2024-06-11 14:01:09.495428
2.535723083,0.8131391406,3.718026638,0.121127829,2024-06-11 14:01:09.535723
2.576017083,-0.01085116994,1.876748919,-0.3797066808,2024-06-11 14:01:09.576017
2.616311083,-0.8944943547,0.2811639011,-0.4109261334,2024-06-11 14:01:09.616311
2.656605083,-2.458289146,2.974344969,-0.2885954976,2024-06-11 14:01:09.656605
2.696899083,-0.3686442077,1.304310679,0.09111970663,2024-06-11 14:01:09.696899
2.737193083,0.2551034391,-0.8157473803,0.3190904558,2024-06-11 14:01:09.737193
2.777488083,-0.5400823355,1.147729158,0.3289652765,2024-06-11 14:01:09.777488
2.817782333,-0.4713662267,1.578342319,0.3034134805,2024-06-11 14:01:09.817782
2.858076333,0.7887482643,2.75589323,0.5206913948,2024-06-11 14:01:09.858076
2.898370333,1.664032221,3.570320606,0.4423808157,2024-06-11 14:01:09.898370
2.938664333,0.6484332681,3.732390881,-0.1760534197,2024-06-11 14:01:09.938664
2.978958333,-1.649128675,-1.081214309,-0.3678908944,2024-06-11 14:01:09.978958
3.019252333,1.151959062,1.447586775,0.01563090086,2024-06-11 14:01:10.019252
3.059547333,0.9473853707,0.4576791227,0.08654794842,2024-06-11 14:01:10.059547
3.099841333,0.7652951479,-1.071246624,0.6327226162,2024-06-11 14:01:10.099841
3.140135333,1.327093005,-3.249957085,0.9142250419,2024-06-11 14:01:10.140135
3.180429333,2.360439062,-1.741223812,0.9826672077,2024-06-11 14:01:10.180429
3.220723333,2.392013073,-1.683259606,0.7188833356,2024-06-11 14:01:10.220723
3.261018333,2.072265148,-1.250997305,0.4784002006,2024-06-11 14:01:10.261018
3.301312333,2.247212887,-1.062116981,-0.197774142,2024-06-11 14:01:10.301312
3.341606333,2.496465206,1.270577073,0.2791511416,2024-06-11 14:01:10.341606
3.381900333,0.582798481,-0.4542993903,1.079258084,2024-06-11 14:01:10.381900
3.422194333,-0.4587720633,-2.607666492,0.2185467482,2024-06-11 14:01:10.422194
3.462488333,-0.1258823872,-1.442870975,0.3433653712,2024-06-11 14:01:10.462488
3.502783333,-0.8889639378,-0.8380842805,-0.1429311335,2024-06-11 14:01:10.502783
3.543077333,-1.511121631,1.541803002,-0.2859274149,2024-06-11 14:01:10.543077
3.583371333,2.102646112,1.389582038,1.169496059,2024-06-11 14:01:10.583371
3.623665333,0.5206999183,-1.857434154,-1.703725338,2024-06-11 14:01:10.623665
3.663959333,0.2502901852,-1.44607687,0.003505547531,2024-06-11 14:01:10.663959
3.704254333,0.3869571686,0.5913338661,-0.1347183734,2024-06-11 14:01:10.704254
3.744548333,-0.3510648608,3.772309542,-0.3260118961,2024-06-11 14:01:10.744548
3.784842333,-1.144650102,3.05333662,-0.6510297656,2024-06-11 14:01:10.784842
3.825136333,-1.206733465,-0.3089940548,-0.4996429682,2024-06-11 14:01:10.825136
3.865430333,-1.628852129,-2.127752304,-0.4403004646,2024-06-11 14:01:10.865430
3.905725333,-3.782524586,5.595562458,-0.7008049488,2024-06-11 14:01:10.905725
3.946019333,1.909623265,-1.747887492,0.1026151776,2024-06-11 14:01:10.946019
3.986313333,0.7119186521,-1.315087557,-0.2684127688,2024-06-11 14:01:10.986313
4.026607333,0.1709057689,1.377438664,-0.3754068613,2024-06-11 14:01:11.026607
4.066902333,0.5378073454,2.433822155,-0.3292571306,2024-06-11 14:01:11.066902
4.107196333,1.48381424,1.046976328,-0.1659017354,2024-06-11 14:01:11.107196
4.147490333,3.368229151,4.170501709,0.3164986372,2024-06-11 14:01:11.147490
4.187784333,3.293152332,0.4524179697,1.221857667,2024-06-11 14:01:11.187784
4.228078333,-0.4053136706,-4.560032368,-0.04785908386,2024-06-11 14:01:11.228078
4.268373333,1.743648529,2.816311598,-1.076774597,2024-06-11 14:01:11.268373
4.308667333,1.750616431,1.091827273,-0.8747121692,2024-06-11 14:01:11.308667
4.348961333,-0.06895007938,1.411170602,-0.9745724201,2024-06-11 14:01:11.348961
4.389255333,-0.5921486616,1.54761517,-1.052291632,2024-06-11 14:01:11.389255
4.429550333,-0.8279422522,0.9762021303,-0.8792482018,2024-06-11 14:01:11.429550
4.469844333,0.7892440557,0.6680757403,-0.7100226283,2024-06-11 14:01:11.469844
4.510138333,0.3075016141,-0.05849277973,-0.4898532033,2024-06-11 14:01:11.510138
4.550433333,-0.3794028759,0.6853288412,-0.4707402885,2024-06-11 14:01:11.550433
4.590727333,-0.1430370063,1.750756979,0.1088429242,2024-06-11 14:01:11.590727
4.631021333,0.5885430574,-1.266672969,0.07478073239,2024-06-11 14:01:11.631021
