Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.03748862498,-0.7525869405,0.5274650449,0.8400273728,2024-06-11 14:01:07.037489
0.07778262498,-1.221508785,0.3143235093,4.248843001,2024-06-11 14:01:07.077783
0.118076625,-2.52619626,-0.9509204024,1.372593529,2024-06-11 14:01:07.118077
0.158371625,1.072648907,0.519364897,-0.1190101343,2024-06-11 14:01:07.158372
0.198665625,0.9908929919,0.2040198791,1.293971867,2024-06-11 14:01:07.198666
0.238959625,-2.051080606,-2.061396117,-0.01295392156,2024-06-11 14:01:07.238960
0.279253625,1.819034291,-0.946297009,0.7277310115,2024-06-11 14:01:07.279254
0.319547625,0.6572179762,-0.6080642349,0.1980563039,2024-06-11 14:01:07.319548
0.359841625,-0.9307402725,-1.68920096,-0.8616749346,2024-06-11 14:01:07.359842
0.400135625,0.8833262971,-1.277839399,0.6502600819,2024-06-11 14:01:07.400136
0.440429625,1.456946631,-2.066651595,-0.5798701304,2024-06-11 14:01:07.440430
0.480723625,1.379776979,-0.2869485998,0.3023180062,2024-06-11 14:01:07.480724
0.521017625,0.1762473589,-2.844339463,-3.052776328,2024-06-11 14:01:07.521018
0.561311625,5.415368956,-2.440363227,2.294805856,2024-06-11 14:01:07.561312
0.601605625,4.157591354,-3.782764657,-0.7280859375,2024-06-11 14:01:07.601606
0.641899625,2.785794216,-6.369115317,-11.71397036,2024-06-11 14:01:07.641900
0.682193625,3.364144655,-8.040524955,-4.344508712,2024-06-11 14:01:07.682194
0.722487625,4.193894377,-7.611366808,-7.042390625,2024-06-11 14:01:07.722488
0.762781625,7.5208408,-7.562352523,-4.160543028,2024-06-11 14:01:07.762782
0.803076625,3.989775095,-6.89584069,5.955489129,2024-06-11 14:01:07.803077
0.8433702083,-8.080157967,-5.102764528,8.454976185,2024-06-11 14:01:07.843370
0.8836642083,-15.03956842,-2.706228229,10.18638059,2024-06-11 14:01:07.883664
0.9239582083,-21.63228418,-6.742020911,10.47638612,2024-06-11 14:01:07.923958
0.9642522083,-6.250083548,2.635923062,17.29774556,2024-06-11 14:01:07.964252
1.004546208,-0.2074779224,1.042418802,7.635898801,2024-06-11 14:01:08.004546
1.044840208,-0.4251416945,1.907307367,3.808160577,2024-06-11 14:01:08.044840
1.085134208,-7.75604388,-0.597691859,-0.9778193486,2024-06-11 14:01:08.085134
1.125429208,-1.694214948,0.2157809687,-0.862211709,2024-06-11 14:01:08.125429
1.165723208,10.67170066,1.993310261,-4.38763719,2024-06-11 14:01:08.165723
1.206017208,-2.51037691,-7.706013933,-4.341459389,2024-06-11 14:01:08.206017
1.246311208,-2.89981609,3.301354622,1.44924541,2024-06-11 14:01:08.246311
1.286605208,-9.415987712,-5.668672092,-2.060467287,2024-06-11 14:01:08.286605
1.326899208,-3.203075498,-4.655417447,-10.33673473,2024-06-11 14:01:08.326899
1.367193208,5.733131213,2.150836005,-1.97176181,2024-06-11 14:01:08.367193
1.407487208,8.675949481,-3.655477497,-12.6765086,2024-06-11 14:01:08.407487
1.447781208,6.954509897,-1.641154974,6.56665999,2024-06-11 14:01:08.447781
1.488076208,10.76501404,-3.155855139,6.892056372,2024-06-11 14:01:08.488076
1.528370208,8.496017207,-4.80221355,-8.649330032,2024-06-11 14:01:08.528370
1.568664208,-10.58011806,-11.39001239,-3.603957095,2024-06-11 14:01:08.568664
1.608958208,-12.30880761,-6.024165847,-3.591911831,2024-06-11 14:01:08.608958
1.649252208,-0.9008506948,1.155699835,0.4716706207,2024-06-11 14:01:08.649252
1.689546208,1.029831501,-0.009939681888,-0.7604239637,2024-06-11 14:01:08.689546
1.729840208,0.6662107015,0.8363997602,-2.275510629,2024-06-11 14:01:08.729840
1.770134208,3.368360205,3.584920315,-1.56111127,2024-06-11 14:01:08.770134
1.810428083,2.758717807,3.860221846,-0.8324935278,2024-06-11 14:01:08.810428
1.850722083,4.037665545,5.545562475,-0.4902665207,2024-06-11 14:01:08.850722
1.891017083,2.733645531,-0.2540504104,11.56860156,2024-06-11 14:01:08.891017
1.931311083,-4.690657446,-24.67955594,0.1197074148,2024-06-11 14:01:08.931311
1.971605083,0.2915646842,-4.33785458,5.563613999,2024-06-11 14:01:08.971605
2.011899083,2.864617022,5.301932972,-6.644254296,2024-06-11 14:01:09.011899
2.052193083,1.316923943,4.602490205,-5.517146761,2024-06-11 14:01:09.052193
2.092487083,-0.4159951875,-1.54334509,3.014487298,2024-06-11 14:01:09.092487
2.132781083,-0.4058528996,0.698669765,2.139166132,2024-06-11 14:01:09.132781
