"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.034839869E-1,5.233103299E1,4.852154421E0,5.962967873E-1,NaN,NaN,3.900000000E1,2.852829361E1
6.903918982E0,5.233104578E1,4.852034127E0,6.138427258E-1,NaN,NaN,4.000000000E1,2.266932106E1
1.336731303E1,5.233107037E1,4.852188219E0,5.971593857E-1,NaN,NaN,3.900000000E1,2.137252808E1
1.981197000E1,5.233105863E1,4.852200064E0,5.445210934E-1,NaN,NaN,3.900000000E1,2.102800751E1
2.723228300E1,5.233104425E1,4.852106092E0,5.197510719E-1,NaN,NaN,3.724590518E1,2.131265259E1
3.368380404E1,5.233103886E1,4.852072418E0,5.400717258E-1,NaN,NaN,3.900000000E1,2.101496506E1
4.013169706E1,5.233104320E1,4.852180690E0,5.654604435E-1,NaN,NaN,3.900000000E1,2.093503761E1
4.664979804E1,5.233107275E1,4.852196773E0,5.784926414E-1,NaN,NaN,3.900000000E1,2.094219971E1
5.310051596E1,5.233104596E1,4.852192942E0,5.560390949E-1,NaN,NaN,3.900000000E1,2.091694450E1
5.955073702E1,5.233103669E1,4.852214238E0,5.736179352E-1,NaN,NaN,3.900000000E1,2.091006470E1
6.600053203E1,5.233103546E1,4.852152832E0,5.954091549E-1,NaN,NaN,3.900000000E1,2.090807343E1
7.244678998E1,5.233106177E1,4.852266828E0,5.661394596E-1,NaN,NaN,3.900000000E1,2.090611458E1
7.889452505E1,5.233105860E1,4.852030932E0,5.511164665E-1,NaN,NaN,3.900000000E1,2.090619469E1
8.533945501E1,5.233104245E1,4.852084470E0,5.433704853E-1,NaN,NaN,3.900000000E1,2.090507889E1
9.191832697E1,5.233103524E1,4.852201121E0,5.504693985E-1,NaN,NaN,3.900000000E1,2.095870972E1
9.837383997E1,5.233105143E1,4.852240679E0,5.612885952E-1,NaN,NaN,3.900000000E1,2.092324448E1
1.048227010E2,5.233105104E1,4.852203513E0,5.509779453E-1,NaN,NaN,4.000000000E1,2.091118240E1
1.113418360E2,5.233104884E1,4.852107952E0,5.968103409E-1,NaN,NaN,3.700000000E1,2.093634605E1
1.177940700E2,5.233102904E1,4.852144019E0,6.041111946E-1,NaN,NaN,3.900000000E1,2.091600990E1
1.242403710E2,5.233102718E1,4.852128805E0,5.548319817E-1,NaN,NaN,3.881955109E1,2.090823174E1
1.306853620E2,5.233102990E1,4.852151846E0,4.832079411E-1,NaN,NaN,3.900000000E1,2.090564346E1
1.389103860E2,5.233104479E1,4.852218772E0,5.262989998E-1,NaN,NaN,4.000000000E1,2.157131767E1
1.453663640E2,5.233103872E1,4.852193013E0,5.108807087E-1,NaN,NaN,4.000000000E1,2.108461952E1
1.518985630E2,5.233104954E1,4.852182784E0,5.420172215E-1,NaN,NaN,3.900000000E1,2.098707390E1
1.583550510E2,5.233109178E1,4.852026759E0,5.549173355E-1,NaN,NaN,3.700000000E1,2.093112946E1
1.648047240E2,5.233108302E1,4.852106365E0,5.249993801E-1,NaN,NaN,3.900000000E1,2.091359520E1
1.712538871E2,5.233104204E1,4.852137651E0,5.464725494E-1,NaN,NaN,4.000000000E1,2.090875244E1
1.778621120E2,5.233103922E1,4.852231641E0,5.449945927E-1,NaN,NaN,4.000000000E1,2.097139740E1
1.843129920E2,5.233101315E1,4.852110635E0,5.162949562E-1,NaN,NaN,3.900000000E1,2.092472839E1
1.907625690E2,5.233102214E1,4.852116178E0,5.231978893E-1,NaN,NaN,3.900000000E1,2.091186333E1
1.972777870E2,5.233103035E1,4.852193047E0,5.461733341E-1,NaN,NaN,4.000000000E1,2.093494987E1
2.037233610E2,5.233103372E1,4.852215890E0,5.813074112E-1,NaN,NaN,3.900000000E1,2.091294861E1
2.101717250E2,5.233105958E1,4.852274693E0,5.854985714E-1,NaN,NaN,3.900000000E1,2.090825653E1
2.166167300E2,5.233104260E1,4.852115079E0,6.032891273E-1,NaN,NaN,3.700000000E1,2.090565491E1
2.230666130E2,5.233102812E1,4.852147644E0,6.185376644E-1,NaN,NaN,4.000000000E1,2.090694237E1
2.295123570E2,5.233102520E1,4.852083528E0,6.254661083E-1,NaN,NaN,3.700000000E1,2.090560722E1
2.359537489E2,5.233104258E1,4.852178518E0,6.331174374E-1,NaN,NaN,3.900000000E1,2.090349007E1
2.424007430E2,5.233106840E1,4.852248975E0,6.176154613E-1,NaN,NaN,4.000000000E1,2.090519905E1
2.488480350E2,5.233104792E1,4.852118228E0,6.002395153E-1,NaN,NaN,3.900000000E1,2.090577316E1
2.552992040E2,5.233101794E1,4.852141406E0,5.477540493E-1,NaN,NaN,4.000000000E1,2.090749359E1
2.618597560E2,5.233104837E1,4.852256696E0,5.409021378E-1,NaN,NaN,4.000000000E1,2.095200729E1
2.683043940E2,5.233102172E1,4.852033921E0,5.359013081E-1,NaN,NaN,3.900000000E1,2.091708183E1
2.745183320E2,5.233103651E1,4.852401732E0,5.278253555E-1,NaN,NaN,4.000000000E1,2.081344223E1
