Time (s),X (µT),Y (µT),Z (µT),Datetime
0.03748862498,30.81155396,-33.08066559,-13.21329689,2024-06-11 14:01:07.037489
0.07778262498,30.40188599,-31.32785034,-17.23651123,2024-06-11 14:01:07.077783
0.118076625,29.57119751,-30.51699066,-19.80106735,2024-06-11 14:01:07.118077
0.158371625,27.08816528,-31.14569092,-22.49228096,2024-06-11 14:01:07.158372
0.198665625,25.5322876,-31.09394836,-24.00279045,2024-06-11 14:01:07.198666
0.238959625,23.78405762,-31.10939789,-25.74410057,2024-06-11 14:01:07.238960
0.279253625,21.91116333,-31.39169312,-26.80046463,2024-06-11 14:01:07.279254
0.319547625,22.24707031,-30.2598877,-27.73679161,2024-06-11 14:01:07.319548
0.359841625,21.64501953,-29.49835968,-29.27270317,2024-06-11 14:01:07.359842
0.400135625,20.50350952,-29.3546524,-29.74365807,2024-06-11 14:01:07.400136
0.440429625,20.50738525,-29.36632538,-29.51361275,2024-06-11 14:01:07.440430
0.480723625,21.47079468,-28.78453064,-29.49845314,2024-06-11 14:01:07.480724
0.521017625,25.16110229,-27.32264709,-28.01410675,2024-06-11 14:01:07.521018
0.561311625,31.34170532,-24.81510925,-23.87386322,2024-06-11 14:01:07.561312
0.601605625,35.6902771,-22.21885681,-20.15639496,2024-06-11 14:01:07.601606
0.641899625,38.94082642,-18.07865906,-18.09981155,2024-06-11 14:01:07.641900
0.682193625,39.28118896,-12.8125,-21.66082382,2024-06-11 14:01:07.682194
0.722487625,39.27529907,-7.812294006,-24.03172684,2024-06-11 14:01:07.722488
0.762781625,39.77111816,-0.9754867554,-24.1931591,2024-06-11 14:01:07.762782
0.803076625,39.90270996,8.549491882,-22.79365158,2024-06-11 14:01:07.803077
0.8433702083,37.92245483,17.87672043,-20.76139259,2024-06-11 14:01:07.843370
0.8836642083,36.14151001,25.63984299,-15.85044289,2024-06-11 14:01:07.883664
0.9239582083,36.68005371,29.06008911,-4.890866756,2024-06-11 14:01:07.923958
0.9642522083,39.68103027,24.68294907,5.716151237,2024-06-11 14:01:07.964252
1.004546208,40.06692505,21.71099091,11.75982666,2024-06-11 14:01:08.004546
1.044840208,42.07473755,18.08337784,9.943775177,2024-06-11 14:01:08.044840
1.085134208,43.96142578,13.04790497,8.686418533,2024-06-11 14:01:08.085134
1.125429208,46.05340576,5.29447937,5.127673626,2024-06-11 14:01:08.125429
1.165723208,46.47290039,1.203605652,3.278524876,2024-06-11 14:01:08.165723
1.206017208,46.4258728,2.355918884,-0.2659621239,2024-06-11 14:01:08.206017
1.246311208,45.19186401,1.701194763,-9.542900085,2024-06-11 14:01:08.246311
1.286605208,44.32519531,0.5261001587,-13.99147415,2024-06-11 14:01:08.286605
1.326899208,44.0920105,-2.369606018,-15.07753563,2024-06-11 14:01:08.326899
1.367193208,43.12408447,-5.086219788,-16.64616203,2024-06-11 14:01:08.367193
1.407487208,42.82904053,-7.04434967,-15.98742676,2024-06-11 14:01:08.407487
1.447781208,43.68191528,-5.605674744,-14.26916504,2024-06-11 14:01:08.447781
1.488076208,45.09927368,-3.417480469,-10.69099426,2024-06-11 14:01:08.488076
1.528370208,44.42160034,3.071464539,-12.4244976,2024-06-11 14:01:08.528370
1.568664208,41.88876343,13.20322418,-14.69167519,2024-06-11 14:01:08.568664
1.608958208,39.93478394,17.17621613,-15.40675354,2024-06-11 14:01:08.608958
1.649252208,39.69976807,17.40734482,-15.99632645,2024-06-11 14:01:08.649252
1.689546208,39.60861206,18.52733231,-15.18985558,2024-06-11 14:01:08.689546
1.729840208,38.40447998,21.67997742,-14.81371117,2024-06-11 14:01:08.729840
1.770134208,37.35119629,24.07004929,-13.9006443,2024-06-11 14:01:08.770134
1.810428083,36.26638794,28.04014206,-7.988066196,2024-06-11 14:01:08.810428
1.850722083,32.05303955,33.88975906,0.6295416355,2024-06-11 14:01:08.850722
1.891017083,25.54421997,38.62086105,6.495220184,2024-06-11 14:01:08.891017
1.931311083,24.18658447,39.99821472,4.604186058,2024-06-11 14:01:08.931311
1.971605083,26.9553833,37.60581207,6.650228024,2024-06-11 14:01:08.971605
2.011899083,28.6980896,37.01032257,3.52485466,2024-06-11 14:01:09.011899
2.052193083,28.48770142,37.35650635,3.150168657,2024-06-11 14:01:09.052193
2.092487083,28.5324707,37.1562233,4.729571342,2024-06-11 14:01:09.092487
2.132781083,28.46911621,37.48997498,3.418062687,2024-06-11 14:01:09.132781
2.173075083,28.47875977,37.38726044,3.65612936,2024-06-11 14:01:09.173075
2.213370083,27.97311401,37.55722427,4.458551407,2024-06-11 14:01:09.213370
2.253664083,27.5256958,37.64031982,5.855694294,2024-06-11 14:01:09.253664
2.293958083,27.2857666,37.58334732,7.799757004,2024-06-11 14:01:09.293958
2.334252083,27.44918823,37.13930893,9.254585266,2024-06-11 14:01:09.334252
2.374546083,27.50042725,36.77772903,10.8291111,2024-06-11 14:01:09.374546
2.414840083,26.13009644,37.47143936,11.26075745,2024-06-11 14:01:09.414840
2.455134083,26.25033569,37.60912323,11.23280907,2024-06-11 14:01:09.455134
2.495428083,26.68392944,37.56427383,10.84162521,2024-06-11 14:01:09.495428
2.535723083,25.29663086,37.83224487,12.64632988,2024-06-11 14:01:09.535723
2.576017083,23.89041138,38.0369339,14.31879425,2024-06-11 14:01:09.576017
2.616311083,22.70315552,38.29398727,16.12532997,2024-06-11 14:01:09.616311
2.656605083,21.48956299,37.72893143,18.56561661,2024-06-11 14:01:09.656605
2.696899083,18.17706299,35.70849991,24.9572773,2024-06-11 14:01:09.696899
2.737193083,19.0335083,35.61262512,24.60141182,2024-06-11 14:01:09.737193
2.777488083,19.52774048,35.55786896,24.84603882,2024-06-11 14:01:09.777488
2.817782333,18.493927,34.48206711,26.60059929,2024-06-11 14:01:09.817782
2.858076333,16.7718811,33.93849182,28.1359539,2024-06-11 14:01:09.858076
2.898370333,13.81381226,35.19415665,28.37965393,2024-06-11 14:01:09.898370
2.938664333,9.791412354,36.70477295,28.33514404,2024-06-11 14:01:09.938664
2.978958333,7.078857422,36.34372711,29.72826004,2024-06-11 14:01:09.978958
3.019252333,6.628967285,36.00946045,30.23077011,2024-06-11 14:01:10.019252
3.059547333,5.364044189,37.5470314,28.62721252,2024-06-11 14:01:10.059547
