Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.02048029163,-3.425027618,8.582851868,5.085674286,2024-06-11 14:23:35.020480
0.06077129167,-2.059118042,7.140301666,9.127569122,2024-06-11 14:23:35.060771
0.1010622917,-4.615502014,7.501650238,3.34524353,2024-06-11 14:23:35.101062
0.1413542916,-3.223247223,7.821085968,3.892954559,2024-06-11 14:23:35.141354
0.1816452916,-3.776347046,7.721542969,7.624694366,2024-06-11 14:23:35.181645
0.2219362917,-4.441863098,7.027136993,6.363566895,2024-06-11 14:23:35.221936
0.2622272916,-3.28911026,7.536228333,4.229305115,2024-06-11 14:23:35.262227
0.3025182916,-3.932322693,6.273903351,4.756957855,2024-06-11 14:23:35.302518
0.3428102916,-3.877536621,5.713768158,4.706961823,2024-06-11 14:23:35.342810
0.3831012917,-1.153052216,4.40773407,5.95461731,2024-06-11 14:23:35.383101
0.4233922916,1.608255615,2.563718719,8.234825592,2024-06-11 14:23:35.423392
0.4636832916,0.5393284607,1.081800385,12.77099258,2024-06-11 14:23:35.463683
0.5039742917,-0.3709286499,6.180497589,7.712711334,2024-06-11 14:23:35.503974
0.5442662917,-3.358865204,10.27268784,5.814059601,2024-06-11 14:23:35.544266
0.5845572916,-6.595883789,-5.466183014,9.804461517,2024-06-11 14:23:35.584557
0.6248482916,-0.1074765015,2.982847137,3.138523407,2024-06-11 14:23:35.624848
0.6651392917,1.853146362,-3.974235535,0.835562439,2024-06-11 14:23:35.665139
0.7054312917,-3.874991913,-7.465724945,5.657634888,2024-06-11 14:23:35.705431
0.7457225833,-0.5712121582,-8.489745483,1.259181519,2024-06-11 14:23:35.745723
0.7860135833,-2.016456757,-13.19086945,2.983296204,2024-06-11 14:23:35.786014
0.8263045833,-3.854185181,-16.99266357,3.035387878,2024-06-11 14:23:35.826305
0.8665955833,-15.27857803,-19.45055237,12.12763046,2024-06-11 14:23:35.866596
0.9068875833,-32.79724777,-22.33430557,8.137827301,2024-06-11 14:23:35.906888
0.9471785833,-20.83502335,-13.18772598,7.144343262,2024-06-11 14:23:35.947179
0.9874695833,-4.560715942,-7.226672058,11.07786346,2024-06-11 14:23:35.987470
1.027760583,-1.966161346,-6.310427399,5.172044678,2024-06-11 14:23:36.027761
1.068052583,-8.16013092,-9.598639526,-0.09789642334,2024-06-11 14:23:36.068053
1.108343583,-16.14018631,-6.813231812,1.99849411,2024-06-11 14:23:36.108344
1.148634583,-16.74403061,-10.12479538,-1.552870789,2024-06-11 14:23:36.148635
1.188925583,9.013057251,-3.457360382,-4.099674683,2024-06-11 14:23:36.188926
1.229217583,2.838098145,-0.8271798706,-0.9639953613,2024-06-11 14:23:36.229218
1.269508583,-11.23578506,-4.794380035,4.196972351,2024-06-11 14:23:36.269509
1.309799583,-11.46331192,-1.359023895,7.983049164,2024-06-11 14:23:36.309800
1.350090583,-7.970026245,-10.96918945,-14.33359314,2024-06-11 14:23:36.350091
1.390381583,1.860930176,-6.87430481,-1.46964386,2024-06-11 14:23:36.390382
1.430673583,-2.168540497,-8.041577454,11.72182434,2024-06-11 14:23:36.430674
1.470964583,-10.009086,-21.42569504,-1.120120697,2024-06-11 14:23:36.470965
1.511255583,-5.255570984,-10.37702087,11.18144806,2024-06-11 14:23:36.511256
1.551546583,-4.686604156,-12.69075943,-0.9457333374,2024-06-11 14:23:36.551547
1.591838583,-2.070344696,-6.361920319,-9.307195587,2024-06-11 14:23:36.591839
1.632129583,-11.9174675,-0.5915698242,-1.293909302,2024-06-11 14:23:36.632130
1.672420583,-28.6350032,1.963616638,8.638985138,2024-06-11 14:23:36.672421
1.712711583,-6.669979706,3.363206177,8.27598999,2024-06-11 14:23:36.712712
1.753003958,-5.183271332,-5.745951233,-0.8078700256,2024-06-11 14:23:36.753004
1.793294958,-9.342522125,-13.40836716,-1.933978271,2024-06-11 14:23:36.793295
1.833585958,-4.958139496,-8.471633148,4.305197296,2024-06-11 14:23:36.833586
1.873876958,-7.112010498,-1.431772614,5.600304108,2024-06-11 14:23:36.873877
1.914168958,-17.54561371,-3.486399994,-0.189206543,2024-06-11 14:23:36.914169
1.954459958,-3.431613922,-5.286855927,6.245462494,2024-06-11 14:23:36.954460
1.994750958,-3.014281769,-12.96244446,-1.720522156,2024-06-11 14:23:36.994751
2.035042958,-8.616082764,-8.598269806,3.629053345,2024-06-11 14:23:37.035043
2.075333958,-5.306016083,-5.617218933,-1.591041412,2024-06-11 14:23:37.075334
2.115624958,-10.74839859,0.3034190369,8.868308258,2024-06-11 14:23:37.115625
2.155915958,-9.954000549,-2.58003479,3.76062973,2024-06-11 14:23:37.155916
2.196207958,-6.177952881,-2.040556641,3.397784271,2024-06-11 14:23:37.196208
2.236498958,-9.383985901,0.1535806274,8.428672485,2024-06-11 14:23:37.236499
2.276789958,-15.57032135,-4.007167053,5.155279541,2024-06-11 14:23:37.276790
2.313303958,-16.6392485,-3.733236694,-1.635648651,2024-06-11 14:23:37.313304
2.353594958,-8.547375641,-5.866300964,-4.669689331,2024-06-11 14:23:37.353595
2.393886958,0.9909393311,-9.733059998,-0.8849597168,2024-06-11 14:23:37.393887
2.434177958,3.764671326,-7.340734863,10.06536896,2024-06-11 14:23:37.434178
2.474468958,2.165397034,-8.27015213,0.5465135193,2024-06-11 14:23:37.474469
2.514760958,-6.054160309,-10.3660936,-2.425406342,2024-06-11 14:23:37.514761
2.555051958,-25.98102219,-16.83908295,15.08323425,2024-06-11 14:23:37.555052
2.595342958,-9.138047333,-3.518882446,4.132456512,2024-06-11 14:23:37.595343
2.635633958,-5.22204071,-3.385958862,6.998546448,2024-06-11 14:23:37.635634
2.675925958,0.4656816101,-2.513722687,4.973856812,2024-06-11 14:23:37.675926
2.716216958,-5.186414795,-6.744824066,-0.3588038635,2024-06-11 14:23:37.716217
2.756507708,-9.268426208,-7.39611969,0.853225708,2024-06-11 14:23:37.756508
2.796799708,-5.201832733,-5.121599579,2.331850891,2024-06-11 14:23:37.796800
2.837090708,-3.893852692,-5.548212433,2.142644348,2024-06-11 14:23:37.837091
2.877381708,9.56540863,-3.116668854,5.967191162,2024-06-11 14:23:37.877382
2.917673708,-0.5089416504,-0.9291178894,-0.3270698547,2024-06-11 14:23:37.917674
2.957964708,3.251089325,-10.30951126,-5.325176239,2024-06-11 14:23:37.957965
2.998255708,0.007484436035,-23.85828644,-5.478906555,2024-06-11 14:23:37.998256
3.038547708,3.89175705,-26.87406509,-5.440735931,2024-06-11 14:23:38.038548
3.078838708,6.345604248,-7.960446167,8.361162872,2024-06-11 14:23:38.078839
3.119129708,3.488795013,-9.31273407,9.263486481,2024-06-11 14:23:38.119130
3.159420708,0.5909710693,-12.45305374,3.57232132,2024-06-11 14:23:38.159421
3.199712708,2.057321777,-9.348210297,-0.09939331055,2024-06-11 14:23:38.199713
3.240003708,-0.170944519,-7.828720093,0.2758763123,2024-06-11 14:23:38.240004
