Time (s),X (hPa),Datetime
-0.5636060834,1014.969025,2024-06-11 14:23:34.436394
0.4439549166,1014.978409,2024-06-11 14:23:35.443955
1.451484917,1014.987793,2024-06-11 14:23:36.451485
2.459055917,1015.008392,2024-06-11 14:23:37.459056
3.466628917,1015.025253,2024-06-11 14:23:38.466629
3.815534917,1015.031204,2024-06-11 14:23:38.815535
4.890303917,1015.034332,2024-06-11 14:23:39.890304
5.965052917,1015.040436,2024-06-11 14:23:40.965053
7.039790917,1015.042496,2024-06-11 14:23:42.039791
8.114504917,1015.042496,2024-06-11 14:23:43.114505
9.189237917,1015.043182,2024-06-11 14:23:44.189238
10.26400892,1015.043869,2024-06-11 14:23:45.264009
11.33877292,1015.045471,2024-06-11 14:23:46.338773
12.41352492,1015.045929,2024-06-11 14:23:47.413525
13.48829592,1015.045929,2024-06-11 14:23:48.488296
14.56308592,1015.045929,2024-06-11 14:23:49.563086
15.63786192,1015.042953,2024-06-11 14:23:50.637862
16.71264392,1015.039215,2024-06-11 14:23:51.712644
17.78744192,1015.036392,2024-06-11 14:23:52.787442
18.86225292,1015.036392,2024-06-11 14:23:53.862253
19.93706092,1015.037384,2024-06-11 14:23:54.937061
21.01187892,1015.038528,2024-06-11 14:23:56.011879
22.08666892,1015.042496,2024-06-11 14:23:57.086669
23.16142692,1015.042572,2024-06-11 14:23:58.161427
24.23618592,1015.045319,2024-06-11 14:23:59.236186
25.31094292,1015.0457,2024-06-11 14:24:00.310943
26.38578292,1015.045319,2024-06-11 14:24:01.385783
27.46058292,1015.045242,2024-06-11 14:24:02.460583
28.53540192,1015.045242,2024-06-11 14:24:03.535402
29.61019592,1015.046997,2024-06-11 14:24:04.610196
30.68501592,1015.047607,2024-06-11 14:24:05.685016
31.75978892,1015.048065,2024-06-11 14:24:06.759789
32.83456892,1015.054703,2024-06-11 14:24:07.834569
33.90934192,1015.055389,2024-06-11 14:24:08.909342
34.98409992,1015.055618,2024-06-11 14:24:09.984100
36.05891392,1015.055618,2024-06-11 14:24:11.058914
37.13373192,1015.056229,2024-06-11 14:24:12.133732
