"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.558929166E-2,-1.134891510E0,-8.964637518E-1,1.735627055E-1
7.588029164E-2,6.231637597E-1,-6.854816079E-1,-4.024436474E-1
1.161712916E-1,-7.459582388E-2,-1.193231463E0,-2.129565924E-1
1.564632917E-1,-9.578482509E-1,-7.819579840E-1,-5.448432565E-1
1.967542917E-1,-2.951970994E-1,-6.546062827E-1,-6.210724711E-1
2.370452916E-1,-1.298143622E-2,-1.032336831E0,-3.842307627E-1
2.773362916E-1,-1.004017353E0,-1.150716543E0,-7.086909413E-1
3.176282917E-1,-1.460993767E0,-1.613954663E0,-6.238335967E-1
3.579192917E-1,-2.079517841E0,-2.538660526E0,-5.070167780E-1
3.982102916E-1,-2.839876175E0,-2.181898832E0,-1.398372650E0
4.385012916E-1,-2.292820692E0,-7.672820091E-1,-8.461966515E-1
4.787922917E-1,2.580973387E0,2.638254166E-1,-5.193985105E-1
5.190842916E-1,2.355799228E-1,-1.454171181E0,-1.104311585E0
5.593752916E-1,-3.302256823E0,1.791574955E0,9.771350622E-1
5.996662916E-1,-3.132824898E0,7.276314259E0,3.244438410E0
6.399572917E-1,-4.529376984E0,7.509893894E0,8.148009777E-1
6.802492916E-1,-3.020870447E0,-4.583656311E0,-5.430702567E-1
7.205402916E-1,-3.436772585E0,-3.999192476E0,-2.108438313E-1
7.608315833E-1,-5.735568523E0,2.815266848E-1,-1.465163112E0
8.011225833E-1,-6.971951485E0,2.872611761E0,-2.617161512E0
8.414135833E-1,-8.533220291E0,6.559377670E0,-4.503301144E0
8.817055833E-1,-5.472249508E0,5.906598568E0,-3.270673990E0
9.219965833E-1,-4.269921303E0,5.594028831E-1,2.131502628E0
9.622875833E-1,-1.388997316E0,5.733278990E-1,2.719587803E0
1.002578583E0,6.592989564E-1,-7.974936366E-1,6.058098674E-1
1.042870583E0,6.680577397E-1,-5.398357391E0,1.401707411E0
1.083161583E0,-4.013235569E-1,-1.979949474E0,1.916738987E0
1.123452583E0,2.209341377E-1,1.142496392E-1,4.850482941E0
1.163743583E0,-2.875678539E0,3.198090076E0,2.985663652E0
1.204035583E0,-1.402400732E0,-8.950181961E0,3.642357290E-1
1.244326583E0,-2.691051483E0,-6.336836815E0,2.065550983E-1
1.284617583E0,-9.320998788E-1,-1.324439645E0,1.111918688E0
1.324908583E0,7.311727405E-1,3.553666830E0,7.651345730E-1
1.365199583E0,-4.543603420E0,-1.678207994E0,1.633844495E0
1.405491583E0,-3.481879711E0,-3.097765446E0,-1.436264634E0
1.445782583E0,-6.319500208E-1,-1.625216007E-1,-1.741727352E0
1.486073583E0,-5.004866719E-1,-6.360161304E-1,1.092226028E0
1.526364583E0,2.042133808E0,2.737112761E0,1.066807270E0
1.566656583E0,1.209561229E0,3.075326681E0,-3.852256238E-1
1.606947583E0,-1.093634963E0,-5.443542004E-1,-7.127951384E-1
1.647238583E0,-5.854480267E-1,-1.910155416E0,-2.012037516E0
1.687529583E0,1.045383573E0,1.739457250E0,9.742610902E-2
1.727821958E0,2.073206663E0,-3.009583354E-1,3.327391148E-1
1.768112958E0,2.582225204E-1,1.985587180E-1,1.149891257E0
1.808403958E0,-1.599386454E0,-5.202606320E-1,1.081932783E0
1.848694958E0,-3.144437075E-1,-4.138740063E0,3.064827323E-1
1.888986958E0,1.604411602E-1,-4.006702423E0,-1.499912381E0
1.929277958E0,1.419335008E-1,-5.861120224E0,1.835497975E0
1.969568958E0,-5.317062736E-1,2.303670406E0,4.544108510E-1
2.009859958E0,-2.389666796E0,3.690134287E0,7.713227868E-1
2.050151958E0,-1.767349362E0,2.622950315E0,8.205447197E-1
2.090442958E0,-3.138178587E0,-7.130290270E-1,-1.798518747E-1
2.130733958E0,-2.988894284E-1,-1.691823363E0,-4.513757527E-1
2.171024958E0,-5.293225050E-1,-1.126296401E0,3.687531948E-1
2.211316958E0,1.792887598E-1,-8.686254621E-1,-6.317798048E-2
2.251607958E0,2.656415701E0,1.173632503E0,-5.971527845E-2
2.291898958E0,1.906069040E0,3.605238199E0,1.046653986E0
2.332190958E0,1.354815364E0,5.222026110E-1,1.824647069E0
2.372481958E0,-3.754474521E-1,-1.239523888E0,8.316728473E-1
2.412772958E0,-7.698752284E-1,-1.190586090E0,-3.980178237E-1
2.453063958E0,1.425691843E0,-1.186107993E0,-3.956794024E0
2.493355958E0,-3.110246360E-1,-2.173712492E0,-3.560418844E0
2.533646958E0,-4.090317249E0,5.147543550E-1,-1.541956186E0
2.573937958E0,-3.422997594E-1,1.910701692E-1,3.748272955E-1
2.614229958E0,-4.630859196E-1,-3.133712053E0,-1.193302035E0
2.654520958E0,1.363991618E0,-3.604418993E0,-1.036937475E0
2.694811958E0,1.401287675E0,-1.626991034E0,-1.289211869E0
2.735103708E0,-2.305527925E0,-2.083751202E0,-3.197384179E-1
2.775394708E0,-3.951864243E0,-2.338926792E0,-2.634163499E-1
2.815685708E0,-4.434564114E0,-6.067856789E0,-1.477628827E0
2.855976708E0,-4.429145336E0,-4.185606956E0,-1.176514745E0
2.896268708E0,-2.184837341E0,1.808497190E0,-1.974753857E0
2.936559708E0,-9.530374408E-1,9.130999565E0,-2.522273779E0
2.976850708E0,-1.484441280E0,1.177075195E1,-2.034447193E0
3.017142708E0,-5.824194551E-1,4.530477524E0,4.458261013E0
3.057433708E0,-1.262610912E0,-8.910149336E-1,5.918355465E0
3.097724708E0,-6.488125324E-1,-1.065214348E1,2.904390097E-1
3.138016708E0,1.919532418E0,3.842163563E0,-1.451006413E0
3.178307708E0,2.733912945E0,4.707695961E0,-1.913771778E-1
3.218598708E0,1.587941051E0,1.921533585E0,-1.181017399E0
3.258890708E0,6.768209338E-1,1.750308633E0,-9.307525754E-1
3.299181708E0,9.528200030E-1,2.206307650E0,-6.880648434E-2
3.339472708E0,7.743113637E-1,2.269731283E0,3.862466812E-1
3.379764708E0,1.286814690E0,-5.261517763E-1,7.991006970E-1
3.420055708E0,6.409623623E-1,-6.810219884E-1,1.675163954E-1
3.460346708E0,-1.036306262E0,-1.715961933E0,-4.535745978E-1
3.500638708E0,-1.284236312E0,-1.098612785E0,-6.936604381E-1
3.540929708E0,-5.488239527E-1,-5.958647728E-1,-9.545774758E-2
3.581221708E0,-5.473738909E-1,-3.534525335E-1,-1.242790297E-1
3.621512708E0,-9.328920841E-1,1.108354926E0,1.137993783E-1
3.661803708E0,-1.216495991E0,1.133310422E-1,-5.659737810E-2
3.702095708E0,-1.352487445E0,3.525182903E-1,2.140961438E-1
3.742386208E0,-2.490882427E-1,-8.963481784E-1,2.219125181E-1
3.782677208E0,1.356724143E0,1.532447219E0,5.494374037E-1
3.822969208E0,9.943858981E-1,3.866326332E0,2.461205274E-1
3.863260208E0,2.291637659E0,-1.313253880E0,9.532576054E-2
3.903551208E0,1.173840642E0,-8.138880730E-1,4.113968909E-1
3.943843208E0,-1.411287069E0,-1.228159852E-2,7.491375804E-1
3.984135208E0,-2.354267597E0,1.264629602E0,3.729481697E-1
4.024426208E0,-8.223686218E-1,-5.789606571E0,-2.989896201E-2
4.064717208E0,8.189371228E-2,2.736434460E0,2.461054027E-1
4.105009208E0,-3.803896010E-1,-4.603888094E-1,-4.801632091E-2
4.145300208E0,-9.569537044E-1,-9.476210475E-1,-3.019060753E-2
4.185591208E0,-4.978329539E-1,-4.492188394E-1,1.556977034E-1
4.225883208E0,-1.579421759E-1,-1.133106589E0,4.459057748E-2
4.266174208E0,-3.080546260E-1,-9.396507740E-1,-1.588987410E-1
4.306466208E0,2.203796245E-2,-4.176371992E-1,-1.782617420E-1
4.346757208E0,1.285828948E-1,-1.414245069E-1,-6.415831298E-2
4.387048208E0,-6.507162750E-2,-4.903078377E-1,-2.108404040E-2
4.427340208E0,-1.533152014E-1,-1.363278270E0,-1.551419646E-1
4.467631208E0,3.937734365E-1,-1.564893603E0,-2.519029975E-1
4.507923208E0,1.439665794E0,6.982518360E-3,-3.224663138E-1
4.548214208E0,2.060630083E0,1.066502094E0,-4.145649970E-1
4.588506208E0,2.568254471E0,2.102262735E0,-1.025126457E0
4.628797208E0,3.026022673E0,1.047199011E0,-1.716220617E0
4.669088208E0,1.445615411E0,1.337310076E-1,-1.306479692E0
4.709380208E0,2.020422071E-1,1.505736914E-2,3.509182930E-1
4.749671042E0,-1.070293784E0,1.462362885E0,4.304682910E-1
4.789963042E0,-1.126754999E0,-1.577090323E-1,3.939022124E-1
4.830254042E0,-1.502058148E0,-1.628340960E0,4.040027261E-1
4.870545042E0,-3.148520231E0,-1.876878381E0,7.100655437E-1
4.910837042E0,-2.944790363E0,-2.330070019E0,8.590230346E-1
4.951128042E0,-1.671642661E0,6.311653256E-1,6.205204129E-1
4.991420042E0,-1.244446754E0,5.444144011E-1,4.033955038E-1
5.031711042E0,-1.154886365E0,-3.477113247E-1,4.020659328E-1
5.072003042E0,-7.899121046E-1,1.277390718E0,1.203793101E-2
5.112294042E0,-5.139397979E-1,2.407255888E0,8.963116407E-1
5.152586042E0,3.939189315E-1,6.803104877E-1,3.211612701E-1
5.192877042E0,-3.703369200E-1,1.329760551E-1,1.349685043E-1
5.233168042E0,-6.960548162E-1,-3.472466946E0,-1.348059177E0
5.273460042E0,1.355517983E0,-8.113530278E-2,6.252153963E-2
5.313751042E0,1.649892211E0,1.975707293E0,5.682190657E-1
5.354043042E0,9.641626477E-1,2.525492668E0,4.390396178E-1
5.394334042E0,2.032616287E-1,5.438742042E-1,-2.820330299E-2
5.434626042E0,-4.634648561E-1,-1.139711022E0,-2.447665185E-1
5.474917042E0,-2.077787966E-1,-3.208563924E-1,8.136825636E-3
5.515209042E0,5.822173879E-2,2.812242508E-1,6.798451394E-2
5.555500042E0,-2.147541642E-1,3.194898665E-1,-3.104819730E-2
5.595792042E0,-7.075911164E-1,3.838534057E-1,-1.057320535E-1
5.636083042E0,-9.603061080E-1,2.403131723E-1,-2.592301555E-2
5.676374042E0,-1.014683604E0,-2.802464008E0,-8.210809529E-2
5.716666042E0,3.465481997E-1,-3.168784454E-2,-2.372368723E-1
5.756956958E0,1.305189610E0,1.846424580E0,4.062944651E-1
5.797248958E0,8.656988144E-1,1.244384527E0,3.638628423E-1
5.837539958E0,-2.380971760E-1,1.224359497E-1,9.689945728E-3
5.877831958E0,-4.487219453E-1,-5.412554741E-1,-9.043700248E-2
5.918122958E0,-2.984523773E-1,-1.584078193E0,-5.335012823E-2
5.958414958E0,-9.340126514E-1,-1.701413631E0,-1.502420008E-1
5.998705958E0,3.334661126E-1,3.620345891E-1,-1.537286788E-1
6.038997958E0,6.737809181E-1,1.143479943E0,-1.547426432E-1
6.079288958E0,4.662392661E-2,7.842506766E-1,-2.198590338E-1
6.119580958E0,-1.281890422E-1,1.668739766E-1,-7.180077583E-2
6.159871958E0,-1.509179324E-1,-2.758078277E-1,1.774964854E-2
6.200163958E0,-1.960202754E-1,-1.699504629E-2,7.130558789E-2
6.240454958E0,-3.748090193E-2,2.810180187E-1,8.831867576E-2
6.280746958E0,1.316355318E-1,2.272402644E-1,-2.306586504E-2
6.321037958E0,3.380530700E-2,5.635988116E-1,-7.409316301E-2
6.361329958E0,-4.572965205E-2,1.637724787E-1,-2.735135332E-2
6.401620958E0,-1.232213527E-1,-2.593728006E-1,-1.449921727E-2
6.441912958E0,-1.657098830E-1,-3.630626798E-1,5.037758127E-2
6.482203958E0,-4.552301019E-3,7.209368795E-2,1.649287790E-1
6.522495958E0,2.709091902E-1,6.410034895E-1,2.662163973E-1
