Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.03027188778,52.3310183,4.852180892,0.5977079868,,,39.0,27.68881798,2024-06-11 14:23:35.030272
0.2579579353,52.33101867,4.852182577,0.6141750813,,,39.0,20.45026779,2024-06-11 14:23:35.257958
6.047051907,52.33103382,4.852206501,0.6100172997,,,39.0,20.50232887,2024-06-11 14:23:41.047052
12.50047898,52.3310588,4.851981489,0.5251502991,,,37.0,20.80146217,2024-06-11 14:23:47.500479
18.94939089,52.33105683,4.851996363,0.5146524906,,,39.0,20.87896729,2024-06-11 14:23:53.949391
26.41963089,52.33105119,4.852107148,0.7410569191,,,39.0,21.2950592,2024-06-11 14:24:01.419631
32.8715049,52.33104134,4.852139567,0.6617581844,,,39.0,21.01047516,2024-06-11 14:24:07.871505
39.31994689,52.3310284,4.85214459,0.7488327026,,,39.44218818,20.93407249,2024-06-11 14:24:14.319947
45.76561999,52.3310191,4.852107526,0.7189588547,,,40.0,20.91275787,2024-06-11 14:24:20.765620
52.21084595,52.3310492,4.85216665,0.6638607979,,,39.0,20.90693665,2024-06-11 14:24:27.210846
58.65520895,52.3310627,4.852085252,0.6337957382,,,37.0,20.90504646,2024-06-11 14:24:33.655209
65.10325193,52.33103163,4.852146204,0.6562879086,,,39.0,20.90603638,2024-06-11 14:24:40.103252
71.68585396,52.3310344,4.852154482,0.6233234406,,,39.0,20.96045303,2024-06-11 14:24:46.685854
78.137375,52.3310435,4.852002374,0.5026366711,,,37.0,20.92209435,2024-06-11 14:24:53.137375
84.14975297,52.33103147,4.852120806,0.5026290417,,,39.0,26.47424889,2024-06-11 14:24:59.149753
90.54515195,52.33103478,4.852283105,0.434971571,,,39.0,22.29469109,2024-06-11 14:25:05.545152
96.99410892,52.33102323,4.852249213,0.5553197861,,,39.0,21.27048111,2024-06-11 14:25:11.994109
103.638942,52.33104243,4.85222801,0.5285203457,,,39.0,21.07974815,2024-06-11 14:25:18.638942
110.0893309,52.33103268,4.85211592,0.4975221157,,,39.0,20.95314598,2024-06-11 14:25:25.089331
116.538958,52.33106662,4.852118837,0.4689929485,,,40.0,20.91939735,2024-06-11 14:25:31.538958
122.984957,52.33106967,4.852107988,0.4727735519,,,40.0,20.90900612,2024-06-11 14:25:37.984957
129.557107,52.33103852,4.852168483,0.5372061729,,,40.0,20.95704651,2024-06-11 14:25:44.557107
136.005271,52.33104369,4.852131764,0.5648057461,,,40.0,20.91983795,2024-06-11 14:25:51.005271
142.450364,52.33102145,4.852182754,0.5812647343,,,40.0,20.90875626,2024-06-11 14:25:57.450364
148.982016,52.33105515,4.852224866,0.5929477215,,,39.0,20.94074059,2024-06-11 14:26:03.982016
155.429217,52.33103336,4.852105616,0.598969698,,,37.0,20.91513634,2024-06-11 14:26:10.429217
161.872978,52.33104445,4.852081059,0.550891161,,,37.0,20.90697289,2024-06-11 14:26:16.872978
168.316589,52.33104196,4.852190909,0.5772993565,,,39.0,20.90475082,2024-06-11 14:26:23.316589
174.7596899,52.33104051,4.852197991,0.4413571358,,,40.0,20.90395737,2024-06-11 14:26:29.759690
181.2023039,52.33105912,4.852214228,0.358230114,,,40.0,20.90354919,2024-06-11 14:26:36.202304
187.6439469,52.33106372,4.852220642,0.2981760502,,,40.0,20.90304756,2024-06-11 14:26:42.643947
193.6554739,52.33105587,4.852245694,0.4244010448,,,39.0,20.72505569,2024-06-11 14:26:48.655474
200.156279,52.33104119,4.852175435,0.484300375,,,39.0,20.87991142,2024-06-11 14:26:55.156279
206.6098319,52.33104397,4.852114916,0.5142669678,,,39.0,20.90162086,2024-06-11 14:27:01.609832
213.0630059,52.33103035,4.852202039,0.5160346031,,,39.0,20.90720749,2024-06-11 14:27:08.063006
219.5154309,52.33102109,4.852190017,0.5345473289,,,40.0,20.90838242,2024-06-11 14:27:14.515431
225.959909,52.33102311,4.852203016,0.572198391,,,39.0,20.90547562,2024-06-11 14:27:20.959909
232.4055369,52.33105599,4.852266788,0.5447907448,,,39.0,20.90517235,2024-06-11 14:27:27.405537
238.8526019,52.33105426,4.852115863,0.5764660835,,,40.0,20.90567398,2024-06-11 14:27:33.852602
245.4244809,52.33103004,4.852107634,0.5379843712,,,39.56832628,20.95606613,2024-06-11 14:27:40.424481
251.8776979,52.33101931,4.852120549,0.4580013752,,,39.0,20.92161942,2024-06-11 14:27:46.877698
