Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.016592125,-3.437601471,4.91203537,7.80566803,2024-06-04 14:48:36.016592
0.056335125,-3.355572052,4.922363892,8.129444733,2024-06-04 14:48:36.056335
0.096077125,-3.473526764,4.999603271,7.345225525,2024-06-04 14:48:36.096077
0.135820125,-3.55825058,4.961881714,7.523804169,2024-06-04 14:48:36.135820
0.175562125,-3.009641418,5.2115625,6.249953156,2024-06-04 14:48:36.175562
0.215304125,-2.19862793,4.533023529,7.36453537,2024-06-04 14:48:36.215304
0.255047125,-1.72591095,3.675606537,10.05743546,2024-06-04 14:48:36.255047
0.294789125,-1.628014526,3.875590668,8.242310028,2024-06-04 14:48:36.294789
0.33453125,-0.7511380005,3.682192841,8.443940735,2024-06-04 14:48:36.334531
0.37427425,-0.4209246826,4.371210022,9.152567139,2024-06-04 14:48:36.374274
0.41401625,0.5237608337,4.854854279,7.152875519,2024-06-04 14:48:36.414016
0.45375825,0.2938389587,4.114194489,8.171058197,2024-06-04 14:48:36.453758
0.49350125,3.621568909,3.138673096,9.334738312,2024-06-04 14:48:36.493501
0.53324325,3.538791046,2.692750397,8.488098907,2024-06-04 14:48:36.533243
0.57298525,7.295678558,4.359085236,7.353159027,2024-06-04 14:48:36.572985
0.61272825,9.387279053,6.997648315,10.61248123,2024-06-04 14:48:36.612728
0.65247025,7.116052094,5.45375885,3.783981171,2024-06-04 14:48:36.652470
0.69221325,5.557792511,4.456532593,3.157084808,2024-06-04 14:48:36.692213
0.73195525,3.536096649,4.900958405,8.018076324,2024-06-04 14:48:36.731955
0.77169725,1.573378143,4.831652527,5.541027374,2024-06-04 14:48:36.771697
0.81144025,3.079096985,5.168901215,3.907025299,2024-06-04 14:48:36.811440
0.85118225,2.652783508,4.852758636,4.102069702,2024-06-04 14:48:36.851182
0.89092425,2.079625397,3.031196594,3.126697998,2024-06-04 14:48:36.890924
0.93066725,5.328020325,4.838687897,6.608307953,2024-06-04 14:48:36.930667
0.97040925,3.532803497,5.47950531,8.145611115,2024-06-04 14:48:36.970409
1.01015125,3.168910217,3.949836273,8.047265625,2024-06-04 14:48:37.010151
1.04989425,5.035378876,2.767145691,8.947942657,2024-06-04 14:48:37.049894
1.08963625,4.64289505,1.081051941,9.755513306,2024-06-04 14:48:37.089636
1.12937825,4.122876434,3.034190369,4.758454742,2024-06-04 14:48:37.129378
1.16912125,5.005890198,1.452729034,9.308093719,2024-06-04 14:48:37.169121
1.20886325,4.301754456,-0.1202000427,7.49910553,2024-06-04 14:48:37.208863
1.24860525,3.741319885,-2.50519043,7.425159302,2024-06-04 14:48:37.248605
1.28834825,2.422412567,-3.964805145,8.572822723,2024-06-04 14:48:37.288348
1.328090333,5.559738464,-6.324947205,4.277953949,2024-06-04 14:48:37.328090
1.367832333,4.838538208,-7.676187286,7.595505066,2024-06-04 14:48:37.367832
1.407575333,4.28139679,-7.57634491,9.376052399,2024-06-04 14:48:37.407575
