Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.035222125,-0.2110818538,-0.1601134291,0.04324366808,2024-06-04 14:48:36.035222
0.074964125,-0.05738311261,0.02260562807,-0.08835084379,2024-06-04 14:48:36.074964
0.114706125,-0.2652144992,0.1456614509,-0.3283626741,2024-06-04 14:48:36.114706
0.154449125,-0.2098632941,0.1690184462,-0.74362082,2024-06-04 14:48:36.154449
0.194191125,-0.1598511815,0.4528835168,-2.326346322,2024-06-04 14:48:36.194191
0.233933125,-0.3828673486,0.09879572511,1.026087529,2024-06-04 14:48:36.233933
0.273676125,-0.3117682761,-0.3925077993,0.2211592376,2024-06-04 14:48:36.273676
0.31341825,-0.5131623899,-0.5176437691,0.0237654233,2024-06-04 14:48:36.313418
0.35316025,-0.8005387136,-0.5506398994,0.03155742288,2024-06-04 14:48:36.353160
0.39290325,-0.8036761102,0.5452844346,-0.1963495016,2024-06-04 14:48:36.392903
0.43264525,-1.505494893,0.5370389834,-0.6340545237,2024-06-04 14:48:36.432645
0.47238825,-1.542486718,-1.569155577,-1.481425415,2024-06-04 14:48:36.472388
0.51213025,-0.7987507081,-1.010503238,0.5564982247,2024-06-04 14:48:36.512130
0.55187225,-0.4446035671,-1.208638186,2.113083165,2024-06-04 14:48:36.551872
0.59161525,1.846039072,0.2968219158,0.8525766671,2024-06-04 14:48:36.591615
0.63135725,1.873750196,3.630685303,3.197473866,2024-06-04 14:48:36.631357
0.67109925,0.8619158399,-0.643672024,-3.300815216,2024-06-04 14:48:36.671099
0.71084225,0.2981916261,-0.6295802343,-1.257285851,2024-06-04 14:48:36.710842
0.75058425,-2.287144834,-1.119020251,1.780096512,2024-06-04 14:48:36.750584
0.79032625,-1.124157907,-0.9091771299,-2.366897348,2024-06-04 14:48:36.790326
0.83006925,-1.091523427,-0.9405503654,-2.63893087,2024-06-04 14:48:36.830069
0.86981125,-1.743853716,-1.553367217,-2.953702276,2024-06-04 14:48:36.869811
0.90955325,-0.9283422562,-1.849104767,-3.336555737,2024-06-04 14:48:36.909553
0.94929625,1.449982597,0.981881994,1.311650923,2024-06-04 14:48:36.949296
0.98903825,-1.217863046,-1.365827131,1.302545055,2024-06-04 14:48:36.989038
1.02878125,-0.4423117509,-1.276832508,0.8277663463,2024-06-04 14:48:37.028781
1.06852325,0.5772605181,-1.293141855,1.442093534,2024-06-04 14:48:37.068523
1.10826525,1.858946216,-2.956343755,0.3214179361,2024-06-04 14:48:37.108265
1.14800825,-1.541440651,-1.034569792,-1.840114088,2024-06-04 14:48:37.148008
1.18775025,0.04206545413,-1.752901697,1.041963304,2024-06-04 14:48:37.187750
