Time (s),X (µT),Y (µT),Z (µT),Datetime
0.035222125,15.148283,-34.15922546,-24.49299622,2024-06-04 14:48:36.035222
0.074964125,14.89020348,-34.06644821,-24.10708618,2024-06-04 14:48:36.074964
0.114706125,14.69547081,-34.00289154,-24.35002136,2024-06-04 14:48:36.114706
0.154449125,14.02572823,-34.0098114,-24.93640137,2024-06-04 14:48:36.154449
0.194191125,12.21988869,-33.44480133,-26.60929871,2024-06-04 14:48:36.194191
0.233933125,9.166643143,-32.38555908,-29.16911316,2024-06-04 14:48:36.233933
0.273676125,6.922719955,-31.91362381,-30.11349487,2024-06-04 14:48:36.273676
0.31341825,4.149858475,-32.45098877,-30.14910889,2024-06-04 14:48:36.313418
0.35316025,1.057502747,-32.80717087,-30.11628723,2024-06-04 14:48:36.353160
0.39290325,-1.930955887,-32.79394531,-30.09313965,2024-06-04 14:48:36.392903
0.43264525,-5.425491333,-32.65207291,-30.10855103,2024-06-04 14:48:36.432645
0.47238825,-8.267072678,-32.34226227,-29.69412231,2024-06-04 14:48:36.472388
0.51213025,-13.25563049,-32.47333145,-27.91714478,2024-06-04 14:48:36.512130
0.55187225,-18.46938324,-33.01237869,-24.51190186,2024-06-04 14:48:36.551872
0.59161525,-21.76947403,-33.38488007,-20.80310059,2024-06-04 14:48:36.591615
0.63135725,-21.60204315,-35.04677582,-18.33764648,2024-06-04 14:48:36.631357
0.67109925,-19.24664307,-36.68555069,-17.61456299,2024-06-04 14:48:36.671099
0.71084225,-15.48220444,-36.72349167,-20.34680176,2024-06-04 14:48:36.710842
0.75058425,-11.23888779,-36.89415741,-22.03149414,2024-06-04 14:48:36.750584
0.79032625,-10.29913139,-37.38593292,-21.3160553,2024-06-04 14:48:36.790326
0.83006925,-10.43967819,-37.28739929,-21.41513062,2024-06-04 14:48:36.830069
0.86981125,-10.80421638,-36.99625778,-21.93821716,2024-06-04 14:48:36.869811
0.90955325,-12.09812164,-36.16321564,-22.87754822,2024-06-04 14:48:36.909553
0.94929625,-13.05732727,-34.55124283,-24.86610413,2024-06-04 14:48:36.949296
0.98903825,-11.88805008,-33.83878326,-26.58305359,2024-06-04 14:48:36.989038
1.02878125,-12.22063637,-32.74769592,-28.05821228,2024-06-04 14:48:37.028781
1.06852325,-14.19612694,-32.00391769,-28.75396729,2024-06-04 14:48:37.068523
