Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.02600908333,-0.2207101882,-0.7951307893,-0.07740710676,2024-06-04 15:29:20.026009
0.06574408333,-0.3506100774,-0.5332578421,-0.07547909766,2024-06-04 15:29:20.065744
0.1054780833,-0.5407280326,-0.5558065772,-0.0001901998185,2024-06-04 15:29:20.105478
0.1452130833,-0.4497486949,-0.5758641958,0.02854835242,2024-06-04 15:29:20.145213
0.1849480833,-0.4287923872,-0.3931025863,0.03102204762,2024-06-04 15:29:20.184948
0.224682375,-0.4434736073,-0.6351980567,0.1065115556,2024-06-04 15:29:20.224682
0.264417375,-0.428191483,-0.9662029147,0.2279381603,2024-06-04 15:29:20.264417
0.304152375,-1.049051285,-0.6096431017,0.4288976789,2024-06-04 15:29:20.304152
0.343886375,-0.4486776888,-2.736773729,0.3464355469,2024-06-04 15:29:20.343886
0.383621375,-0.2106908411,-2.368919849,0.7226048708,2024-06-04 15:29:20.383621
0.423356375,-0.3347236812,-2.254053354,1.009414315,2024-06-04 15:29:20.423356
0.463090375,-0.9740997553,-1.217627525,0.6346009374,2024-06-04 15:29:20.463090
0.502825375,-1.199631333,1.588721633,-0.9885988235,2024-06-04 15:29:20.502825
0.542560375,0.9608280659,2.006098986,-0.293304801,2024-06-04 15:29:20.542560
0.582294375,0.7148804069,0.2635661364,0.3750010729,2024-06-04 15:29:20.582294
0.622029375,-1.603134871,0.3917182684,2.23059535,2024-06-04 15:29:20.622029
0.661764375,-4.055458069,4.954916477,-0.1286211014,2024-06-04 15:29:20.661764
0.701498375,-3.184181213,1.320953846,-1.160948277,2024-06-04 15:29:20.701498
0.741233375,-0.3481197953,2.352458,-2.206336021,2024-06-04 15:29:20.741233
0.780968375,0.394087851,9.809412956,-3.431621075,2024-06-04 15:29:20.780968
0.820702375,1.388506532,9.099573135,-3.737450838,2024-06-04 15:29:20.820702
0.860437375,0.9946959019,7.67066431,-2.226782799,2024-06-04 15:29:20.860437
0.900172375,1.884212852,1.753490925,0.65653193,2024-06-04 15:29:20.900172
0.939906375,1.686035514,-0.224436909,0.5809050798,2024-06-04 15:29:20.939906
0.979641375,1.802750111,-0.6904797554,2.438076496,2024-06-04 15:29:20.979641
1.019376375,0.3829787672,-4.593865871,2.603206396,2024-06-04 15:29:21.019376
1.059110375,-1.85380578,-4.263501167,0.1124331653,2024-06-04 15:29:21.059110
1.098845375,-3.140739202,-3.826076508,-2.634136915,2024-06-04 15:29:21.098845
1.138580375,-3.927415609,-0.3953320682,-4.220041275,2024-06-04 15:29:21.138580
1.178314375,-5.330926418,-0.74172616,-4.940679073,2024-06-04 15:29:21.178314
1.218049333,-5.916751385,-1.247404814,-3.852319717,2024-06-04 15:29:21.218049
1.257784333,-7.636435509,1.853848815,-1.302191854,2024-06-04 15:29:21.257784
1.297518333,-6.489118576,3.889305353,-0.1901031435,2024-06-04 15:29:21.297518
1.337253333,1.916555882,6.726332188,0.7687628865,2024-06-04 15:29:21.337253
1.376988333,0.1300465912,2.569860935,2.084520817,2024-06-04 15:29:21.376988
1.416722333,1.541944742,-1.149089098,1.895292759,2024-06-04 15:29:21.416722
1.456457333,1.753471136,-2.167345285,0.9004893303,2024-06-04 15:29:21.456457
1.496192333,1.182595968,-0.05800898001,2.306380272,2024-06-04 15:29:21.496192
1.535926333,2.00833416,-1.037194967,0.9841191769,2024-06-04 15:29:21.535926
1.575661333,1.261121273,-4.372098923,-2.056610584,2024-06-04 15:29:21.575661
1.615396333,-0.756772697,-4.27388382,-2.805972815,2024-06-04 15:29:21.615396
1.655130333,0.7497032881,-1.535565019,-2.117779016,2024-06-04 15:29:21.655130
1.694865333,1.007035375,3.449112654,-0.6348851919,2024-06-04 15:29:21.694865
1.734600333,0.6707789898,0.5674812794,-2.718531847,2024-06-04 15:29:21.734600
1.774334333,1.464207053,0.09057573229,-3.475351572,2024-06-04 15:29:21.774334
1.814069333,-3.177612543,-1.877123117,-6.869757652,2024-06-04 15:29:21.814069
1.853804333,-3.094907045,-8.183353424,-8.02077198,2024-06-04 15:29:21.853804
1.893538333,-0.1785489023,-5.267700195,-3.869936466,2024-06-04 15:29:21.893538
1.933273333,3.029334784,1.32829845,1.84314239,2024-06-04 15:29:21.933273
1.973008333,2.714638233,2.147982597,7.221599579,2024-06-04 15:29:21.973008
2.012743333,-0.5710724592,-9.068349838,-2.118630409,2024-06-04 15:29:22.012743
2.052477333,2.273903608,5.249969482,-2.13721776,2024-06-04 15:29:22.052477
2.092212333,-0.9793723226,6.617992401,-1.632493019,2024-06-04 15:29:22.092212
2.131947333,-2.497298717,6.07284832,0.5818837881,2024-06-04 15:29:22.131947
2.171681333,-2.392489195,3.919863224,1.164730906,2024-06-04 15:29:22.171681
2.211415958,-0.7918859124,1.891955495,0.5163671374,2024-06-04 15:29:22.211416
2.251150958,-0.9318509102,0.3066798747,0.09359200299,2024-06-04 15:29:22.251151
2.290884958,-1.842618942,-0.6389317513,0.2061334848,2024-06-04 15:29:22.290885
2.330619958,-1.958134651,-2.637385368,0.7267844081,2024-06-04 15:29:22.330620
2.370354958,-1.750261664,0.003203737549,0.8917530775,2024-06-04 15:29:22.370355
2.410089958,-1.705558896,2.468065262,1.18932271,2024-06-04 15:29:22.410090
2.449823958,-1.224538445,1.110310078,0.4937663674,2024-06-04 15:29:22.449824
2.489558958,-0.8974021077,-1.07444644,0.3537011147,2024-06-04 15:29:22.489559
2.529293958,-0.1178209409,0.04926443845,0.1486125886,2024-06-04 15:29:22.529294
2.569027958,0.188896507,-1.422469497,-0.1400611699,2024-06-04 15:29:22.569028
2.608762958,0.01198235806,0.03721063212,-0.1386030912,2024-06-04 15:29:22.608763
2.648497958,-0.07472345978,1.144619703,-0.07622496039,2024-06-04 15:29:22.648498
2.688231958,-0.1763026565,-0.5481567979,0.01980744302,2024-06-04 15:29:22.688232
2.727966958,0.6621644497,-1.047500134,-0.2060714662,2024-06-04 15:29:22.727967
2.767701958,0.3245358169,-0.9527135491,-0.08701231331,2024-06-04 15:29:22.767702
2.807436958,-0.2061874866,-0.9388457537,-0.307805717,2024-06-04 15:29:22.807437
2.847170958,0.2066137791,-3.427863359,-0.6572346687,2024-06-04 15:29:22.847171
2.886905958,1.37630856,-0.6313015819,-0.3750354946,2024-06-04 15:29:22.886906
2.926640958,0.4609084129,0.336613059,-0.03894359618,2024-06-04 15:29:22.926641
2.966374958,0.2788022757,-0.7043501139,-0.2809063196,2024-06-04 15:29:22.966375
3.006109958,0.6244860888,-1.872336149,-0.5582617521,2024-06-04 15:29:23.006110
3.045844958,0.7765324116,-0.5729144812,-0.4750694335,2024-06-04 15:29:23.045845
3.085579958,0.7624261975,0.0009485753253,-0.1628094614,2024-06-04 15:29:23.085580
3.125313958,0.8021954894,-0.4522565007,0.1931978464,2024-06-04 15:29:23.125314
3.165048958,-0.4011416435,-0.07766589522,0.2245423794,2024-06-04 15:29:23.165049
3.204783958,-0.7943052053,0.2037104368,-0.6015210748,2024-06-04 15:29:23.204784
3.244517958,0.4964304566,-3.630456209,-0.7574754357,2024-06-04 15:29:23.244518
3.284252958,0.08407489955,-2.932476282,-0.3479298055,2024-06-04 15:29:23.284253
3.323987958,-0.114329882,1.992446303,-0.01001431979,2024-06-04 15:29:23.323988
3.363722958,0.1089613065,1.999143839,0.2140610963,2024-06-04 15:29:23.363723
3.403456958,0.3676074147,0.5015342832,-0.02213060483,2024-06-04 15:29:23.403457
3.443191958,-0.1693977267,-1.412303209,0.0589720495,2024-06-04 15:29:23.443192
3.482926958,0.1003868133,-1.083243847,0.04610217363,2024-06-04 15:29:23.482927
3.522660958,0.02149244398,0.08112500608,0.06158819422,2024-06-04 15:29:23.522661
3.562395958,0.03436454013,0.08229608834,-0.02015765943,2024-06-04 15:29:23.562396
3.602130958,0.008662238717,0.2270198464,-0.04848244786,2024-06-04 15:29:23.602131
3.641865958,0.133875832,0.2600003779,-0.07702399045,2024-06-04 15:29:23.641866
3.681599958,0.08141996711,-0.230796963,-0.1077886671,2024-06-04 15:29:23.681600
3.721334958,0.1761537939,-0.2792801857,-0.1378005892,2024-06-04 15:29:23.721335
3.761069958,0.2860904932,0.5143182278,-0.2728633881,2024-06-04 15:29:23.761070
3.800804958,1.245087624,-1.056120276,-0.8257692456,2024-06-04 15:29:23.800805
3.840538958,0.186227724,1.139308572,-0.1170493364,2024-06-04 15:29:23.840539
3.880273958,-0.4997505546,0.7209254503,0.6573159695,2024-06-04 15:29:23.880274
3.920008958,0.4500115812,-2.220870733,-0.1578156203,2024-06-04 15:29:23.920009
3.959743958,0.9525700212,-3.431334257,-0.9570925236,2024-06-04 15:29:23.959744
3.999477958,1.866642237,-1.271335483,-1.234988451,2024-06-04 15:29:23.999478
4.039212958,-0.8770574331,1.313406229,0.2581318319,2024-06-04 15:29:24.039213
4.078947958,-1.957627296,1.71152389,1.408104181,2024-06-04 15:29:24.078948
4.118682958,-0.5261762738,0.8967533112,0.4692868888,2024-06-04 15:29:24.118683
4.158416958,-0.4826110899,-2.124907017,0.632832408,2024-06-04 15:29:24.158417
4.198151958,-1.039092422,-5.088044643,-0.05040091649,2024-06-04 15:29:24.198152
4.237887333,1.529640436,-2.435744047,-0.2113961875,2024-06-04 15:29:24.237887
4.277622333,0.09534461796,1.060571074,-1.505881071,2024-06-04 15:29:24.277622
4.317357333,0.2617560625,2.514234543,-0.7903724313,2024-06-04 15:29:24.317357
4.357091333,-0.5604072809,3.780564308,0.2000856996,2024-06-04 15:29:24.357091
4.396826333,-1.086767673,2.734419823,2.13215518,2024-06-04 15:29:24.396826
4.436561333,-0.5672518015,0.475787133,1.999733567,2024-06-04 15:29:24.436561
4.476296333,0.4653244019,-1.37755549,0.5217674971,2024-06-04 15:29:24.476296
4.516030333,2.794002533,-3.490307331,-2.920783997,2024-06-04 15:29:24.516030
4.555765333,-0.366420716,-1.798015475,-2.945178509,2024-06-04 15:29:24.555765
4.595500333,2.17070055,1.582912564,-2.382497549,2024-06-04 15:29:24.595500
4.635235333,3.334703207,-0.94739151,-0.08593512326,2024-06-04 15:29:24.635235
4.674969333,-1.435452342,-4.386346817,-1.079978466,2024-06-04 15:29:24.674969
4.714704333,1.508200049,1.599871874,1.60093224,2024-06-04 15:29:24.714704
4.754439333,1.285803556,2.987682581,1.784897089,2024-06-04 15:29:24.754439
4.794174333,1.100655556,3.561833143,-0.8798089623,2024-06-04 15:29:24.794174
4.833908333,-0.5402216911,0.1393053234,-3.526011944,2024-06-04 15:29:24.833908
4.873643333,-0.195256874,-3.539150476,-1.020375013,2024-06-04 15:29:24.873643
4.913378333,0.5849378109,-1.946104169,0.8694958091,2024-06-04 15:29:24.913378
4.953113333,0.2457434833,-1.571346045,0.917301178,2024-06-04 15:29:24.953113
4.992848333,-0.4344401956,-0.172323212,0.9953607321,2024-06-04 15:29:24.992848
5.032582333,-0.6003994346,1.474502802,0.600626111,2024-06-04 15:29:25.032582
5.072317333,-0.6462826133,0.2312802225,-0.3477006257,2024-06-04 15:29:25.072317
5.112052333,-0.2860218287,-0.3563863933,0.8037265539,2024-06-04 15:29:25.112052
5.151787333,0.5688385367,-0.5625056028,1.128862858,2024-06-04 15:29:25.151787
5.191521333,0.5559194088,-0.7762593031,1.567958832,2024-06-04 15:29:25.191521
5.231256083,0.7253049612,-0.4428068101,0.6519230604,2024-06-04 15:29:25.231256
5.270991083,-0.9192197323,0.4711883962,0.5449118018,2024-06-04 15:29:25.270991
5.310726083,-1.357970953,1.060777664,-1.574345827,2024-06-04 15:29:25.310726
5.350461083,-1.967122793,0.1966095567,0.6355218887,2024-06-04 15:29:25.350461
5.390195083,-0.9774795175,-0.371799916,-0.2278428674,2024-06-04 15:29:25.390195
5.429930083,0.1714556813,-1.085058689,0.4645385146,2024-06-04 15:29:25.429930
5.469665083,0.9564837813,-1.325765729,2.700505733,2024-06-04 15:29:25.469665
5.509400083,1.3863343,-0.9508940578,1.711609602,2024-06-04 15:29:25.509400
5.549134083,0.8489578366,0.1151147634,2.215779305,2024-06-04 15:29:25.549134
5.588869083,-0.2311976105,0.3641088307,2.713670969,2024-06-04 15:29:25.588869
5.628604083,-0.7733371258,0.6357821226,2.77670598,2024-06-04 15:29:25.628604
5.668339083,-0.9412222505,0.579118669,1.438215256,2024-06-04 15:29:25.668339
5.708074083,-0.3438595533,-0.1615445912,-0.3162338436,2024-06-04 15:29:25.708074
5.747808083,0.3627364039,-1.503780723,-0.6856260896,2024-06-04 15:29:25.747808
5.787543083,0.2123466432,0.125433296,0.04402511567,2024-06-04 15:29:25.787543
5.827278083,0.04078832269,0.5108320713,-0.1758543253,2024-06-04 15:29:25.827278
5.867013083,0.5713146329,-0.1107636243,0.05335286632,2024-06-04 15:29:25.867013
5.906747083,0.6504229307,-0.5975466371,0.1059606969,2024-06-04 15:29:25.906747
5.946482083,0.4821432233,-0.2136943638,-0.003222928382,2024-06-04 15:29:25.946482
5.986217083,0.7588165402,-0.1104513407,0.0157023035,2024-06-04 15:29:25.986217
6.025952083,0.6530717015,-0.09190492332,0.03600521013,2024-06-04 15:29:26.025952
6.065686083,0.5984655023,0.1100673825,-0.04766724631,2024-06-04 15:29:26.065686
6.105421083,0.6150137782,0.4655573964,-0.3348304331,2024-06-04 15:29:26.105421
