"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.600908333E-2,1.207600975E1,-3.966464233E1,-1.764856720E1
6.574408333E-2,1.168784523E1,-3.941005707E1,-1.826174164E1
1.054780833E-1,1.145751762E1,-3.922306824E1,-1.931453705E1
1.452130833E-1,1.084782219E1,-3.868542480E1,-2.040102386E1
1.849480833E-1,1.037808037E1,-3.848769379E1,-2.120288849E1
2.246823750E-1,9.850732803E0,-3.795214844E1,-2.190576935E1
2.644173750E-1,8.992559433E0,-3.747769928E1,-2.263977814E1
3.041523750E-1,7.545343399E0,-3.683409119E1,-2.385878754E1
3.438863750E-1,5.314291000E0,-3.575012970E1,-2.559952545E1
3.836213750E-1,1.934850693E0,-3.551183319E1,-2.655603790E1
4.233563750E-1,-1.680253983E0,-3.501493835E1,-2.674997711E1
4.630903750E-1,-5.666450500E0,-3.420205688E1,-2.688588715E1
5.028253750E-1,-5.735170364E0,-3.285186768E1,-2.835234833E1
5.425603750E-1,-2.136070251E0,-3.272251892E1,-2.922386932E1
5.822943750E-1,-4.185924530E-1,-3.389585114E1,-2.797762299E1
6.220293750E-1,-2.401165009E0,-3.353259277E1,-2.828003693E1
6.617643750E-1,-8.111705780E-1,-3.022301674E1,-3.191690826E1
7.014983750E-1,5.450452805E0,-2.457943535E1,-3.656226349E1
7.412333750E-1,8.440774918E0,-2.221357536E1,-3.800167084E1
7.809683750E-1,1.975432777E1,-2.103708839E1,-3.453429413E1
8.207023750E-1,3.431992722E1,-1.831478119E1,-2.365834808E1
8.604373750E-1,4.164287567E1,-1.461681557E1,-1.059891510E1
9.001723750E-1,4.309523010E1,-1.375457001E1,-1.612899780E0
9.399063750E-1,4.276857758E1,-1.476633072E1,-6.961059570E-2
9.796413750E-1,4.227335358E1,-1.621861267E1,6.870040894E-1
1.019376375E0,4.038788605E1,-2.032063293E1,-9.567794800E-1
1.059110375E0,3.799750519E1,-2.297843552E1,-8.523338318E0
1.098845375E0,3.643233490E1,-2.054852295E1,-1.725404358E1
1.138580375E0,3.658885956E1,-1.365999603E1,-2.288751984E1
1.178314375E0,3.757135391E1,-3.137729645E0,-2.493532562E1
1.218049333E0,3.595808411E1,8.949848175E0,-2.552560425E1
1.257784333E0,3.403722382E1,1.900839615E1,-2.175065613E1
1.297518333E0,3.537841415E1,2.502328873E1,-1.074642944E1
1.337253333E0,3.681325531E1,2.552058411E1,-3.150024414E-1
1.376988333E0,3.793763733E1,2.324104500E1,5.732765198E0
1.416722333E0,4.043463898E1,1.918361664E1,5.999290466E0
1.456457333E0,4.130429840E1,1.789908981E1,1.968124390E0
1.496192333E0,4.239112854E1,1.530854797E1,-8.077926636E-1
1.535926333E0,4.329205322E1,1.237157822E1,-1.193740845E0
1.575661333E0,4.238890839E1,1.330478096E1,-7.385429382E0
1.615396333E0,3.785803223E1,1.804710388E1,-1.550474548E1
1.655130333E0,3.496766663E1,2.074413109E1,-1.836981964E1
1.694865333E0,3.283182526E1,2.287669754E1,-1.958846283E1
1.734600333E0,3.404510498E1,2.373993874E1,-1.591875458E1
1.774334333E0,3.061672211E1,2.715305710E1,-1.756615448E1
1.814069333E0,2.584609795E1,3.195198441E1,-1.703918457E1
1.853804333E0,1.168307495E1,4.033265305E1,-1.460572052E1
1.893538333E0,-3.303468704E0,4.255583191E1,-1.264766693E1
1.933273333E0,-8.624197006E0,4.146836090E1,-1.324297333E1
1.973008333E0,1.021366119E0,3.963519287E1,-1.984142303E1
2.012743333E0,3.589523315E0,3.910525894E1,-2.006578827E1
2.052477333E0,-1.792131424E0,3.817141342E1,-2.279143524E1
2.092212333E0,1.219734192E0,3.758748627E1,-2.438146210E1
2.131947333E0,5.662189484E0,3.881559753E1,-2.088516998E1
2.171681333E0,1.086470032E1,4.024562073E1,-1.522821808E1
2.211415958E0,1.388660812E1,4.037567902E1,-1.128083038E1
2.251150958E0,1.486795044E1,4.057975769E1,-9.703002930E0
2.290884958E0,1.511683655E1,4.092762756E1,-7.660354614E0
2.330619958E0,1.534968948E1,4.106435394E1,-5.473266602E0
2.370354958E0,1.620610809E1,4.097987366E1,-4.547058105E0
2.410089958E0,1.782904053E1,4.021439362E1,-9.600372314E-1
2.449823958E0,1.936856842E1,3.937042236E1,2.700065613E0
2.489558958E0,1.982916260E1,3.905804443E1,4.042953491E0
2.529293958E0,2.075334549E1,3.855773163E1,4.362594604E0
2.569027958E0,2.062230682E1,3.877098083E1,3.706863403E0
2.608762958E0,2.077883148E1,3.875697708E1,2.625785828E0
2.648497958E0,2.055063629E1,3.871199417E1,3.328552246E0
2.688231958E0,2.037226486E1,3.876663971E1,3.953712463E0
2.727966958E0,2.040925980E1,3.885932159E1,2.741973877E0
2.767701958E0,2.041896820E1,3.901137161E1,1.187545776E0
2.807436958E0,2.017304611E1,3.910395050E1,3.517227173E-1
2.847170958E0,1.945712280E1,3.949413300E1,-9.438018799E-1
2.886905958E0,1.828856277E1,3.992940903E1,-4.158866882E0
2.926640958E0,1.806380463E1,3.978915405E1,-5.439010620E0
2.966374958E0,1.779528427E1,3.977226257E1,-6.074867249E0
3.006109958E0,1.699694824E1,4.003985596E1,-7.623031616E0
3.045844958E0,1.572753906E1,3.987456512E1,-9.804214478E0
3.085579958E0,1.492340088E1,3.999758148E1,-1.075946808E1
3.125313958E0,1.494002914E1,3.971339417E1,-1.188759613E1
3.165048958E0,1.489191055E1,3.923933792E1,-1.305384064E1
3.204783958E0,1.489485168E1,3.956420135E1,-1.174837494E1
3.244517958E0,1.310555267E1,4.030852127E1,-1.200733185E1
3.284252958E0,1.057872009E1,4.028108978E1,-1.428452301E1
3.323987958E0,9.587802887E0,4.013397217E1,-1.496878815E1
3.363722958E0,1.082839203E1,4.023669815E1,-1.368209076E1
3.403456958E0,1.170835876E1,4.018373871E1,-1.342145538E1
3.443191958E0,1.164774704E1,4.016943359E1,-1.389119720E1
3.482926958E0,1.089516830E1,4.026369476E1,-1.445078278E1
3.522660958E0,1.069371033E1,3.998281097E1,-1.488292694E1
3.562395958E0,1.073884201E1,4.007603073E1,-1.500251007E1
3.602130958E0,1.077198792E1,4.011288834E1,-1.456819916E1
3.641865958E0,1.088011551E1,3.999364471E1,-1.481380463E1
3.681599958E0,1.088676453E1,4.013831711E1,-1.484615326E1
3.721334958E0,1.021374130E1,4.022269440E1,-1.501522064E1
3.761069958E0,1.010424423E1,4.015268707E1,-1.509902191E1
3.800804958E0,9.321060181E0,3.982382965E1,-1.603214264E1
3.840538958E0,7.931705475E0,3.953103638E1,-1.804875946E1
3.880273958E0,9.012237549E0,3.944715881E1,-1.760454559E1
3.920008958E0,9.256137848E0,3.934460449E1,-1.766931915E1
3.959743958E0,6.894660950E0,3.926954651E1,-1.921446991E1
3.999477958E0,2.817043304E0,3.826138306E1,-2.206815338E1
4.039212958E0,2.020290375E0,3.748652649E1,-2.324752045E1
4.078947958E0,4.422241211E0,3.865611267E1,-2.079543304E1
4.118682958E0,7.278636932E0,3.953799438E1,-1.835169220E1
4.158416958E0,8.153816223E0,3.950518799E1,-1.790781403E1
4.198151958E0,6.171543121E0,3.996557617E1,-1.733838654E1
4.237887333E0,3.056491852E0,3.976327896E1,-1.847258759E1
4.277622333E0,1.284381866E0,3.956752777E1,-1.958133698E1
4.317357333E0,8.325958252E-1,3.938498688E1,-2.015003204E1
4.357091333E0,2.221206665E0,3.965288544E1,-1.921236420E1
4.396826333E0,6.759014130E0,3.995472717E1,-1.758104706E1
4.436561333E0,1.119741058E1,3.958152771E1,-1.565381622E1
4.476296333E0,1.287456894E1,3.903759003E1,-1.556359100E1
4.516030333E0,1.112522507E1,3.859493256E1,-1.786719513E1
4.555765333E0,4.529083252E0,3.793618011E1,-2.142826080E1
4.595500333E0,-1.135250092E0,3.803403854E1,-2.173746490E1
4.635235333E0,-2.077140808E-1,3.494109344E1,-2.652582550E1
4.674969333E0,-4.287494659E0,3.384429932E1,-2.807259369E1
4.714704333E0,-5.851264954E0,3.409254456E1,-2.704486847E1
4.754439333E0,-1.265733719E0,3.285392761E1,-2.949852753E1
4.794174333E0,3.962787628E0,3.129300690E1,-3.105081940E1
4.833908333E0,4.193485260E0,3.142375565E1,-3.065219879E1
4.873643333E0,-1.193250656E0,3.226493835E1,-3.029636383E1
4.913378333E0,-4.015295029E0,3.206368637E1,-2.970893097E1
4.953113333E0,-4.346542358E0,3.173790550E1,-3.020354462E1
4.992848333E0,-4.379447937E0,3.183218956E1,-2.992150116E1
5.032582333E0,-2.226921082E0,3.256029510E1,-2.949721527E1
5.072317333E0,-1.722766876E0,3.339938736E1,-2.854743195E1
5.112052333E0,-8.444766998E-1,3.376496887E1,-2.824887848E1
5.151787333E0,-3.630371094E-1,3.363607025E1,-2.844351959E1
5.191521333E0,7.147598267E-2,3.308642960E1,-2.910805511E1
5.231256083E0,1.446075439E0,3.216848755E1,-3.000901031E1
5.270991083E0,1.963935852E0,3.191019058E1,-3.050170135E1
5.310726083E0,2.516601562E0,3.340300751E1,-2.862648773E1
5.350461083E0,3.222089767E0,3.507689667E1,-2.629634857E1
5.390195083E0,4.490972519E0,3.625451660E1,-2.452307892E1
5.429930083E0,3.592348099E0,3.658314133E1,-2.435349274E1
5.469665083E0,4.368154526E0,3.598014450E1,-2.511122894E1
5.509400083E0,6.653001785E0,3.428151321E1,-2.688472748E1
5.549134083E0,8.731922150E0,3.246611023E1,-2.862853241E1
5.588869083E0,1.210854149E1,3.120187378E1,-2.907794952E1
5.628604083E0,1.606976128E1,3.011344147E1,-2.840031433E1
5.668339083E0,1.956715393E1,2.974769211E1,-2.640511322E1
5.708074083E0,2.029756927E1,3.000349808E1,-2.528441620E1
5.747808083E0,1.897143936E1,3.035491562E1,-2.630019379E1
5.787543083E0,1.763476944E1,3.040637398E1,-2.702320099E1
5.827278083E0,1.776831818E1,3.058795166E1,-2.664609528E1
5.867013083E0,1.788028717E1,3.021960449E1,-2.723397064E1
5.906747083E0,1.766696548E1,2.963351250E1,-2.807872772E1
5.946482083E0,1.708489227E1,2.914774704E1,-2.883751678E1
5.986217083E0,1.693860626E1,2.832464981E1,-2.972681427E1
6.025952083E0,1.682409668E1,2.755322838E1,-3.038654327E1
6.065686083E0,1.698859787E1,2.668848991E1,-3.134784698E1
6.105421083E0,1.715467834E1,2.623323059E1,-3.182877350E1
6.145156083E0,1.757743454E1,2.557997513E1,-3.203662872E1
6.184891083E0,1.774026108E1,2.528369331E1,-3.254566193E1
6.224626333E0,1.749912643E1,2.575887108E1,-3.226184845E1
6.264360333E0,1.727867508E1,2.543169975E1,-3.279947662E1
6.304095333E0,1.668077087E1,2.554104614E1,-3.290737152E1
6.343830333E0,1.666853333E1,2.660538101E1,-3.216712189E1
6.383565333E0,1.725193405E1,2.736229324E1,-3.124176788E1
6.423299333E0,1.845289612E1,2.845943832E1,-2.951520538E1
6.463034333E0,1.950460434E1,2.981155396E1,-2.759427643E1
6.502769333E0,2.016044617E1,3.106615067E1,-2.568526459E1
6.542504333E0,2.128527069E1,3.127568817E1,-2.444405365E1
6.582239333E0,2.197942162E1,3.127010727E1,-2.378603363E1
6.621973333E0,2.221235466E1,3.115673447E1,-2.403540802E1
6.661708333E0,2.251395226E1,3.100740051E1,-2.367897797E1
6.701443333E0,2.311223793E1,3.088824844E1,-2.306111908E1
6.741178333E0,2.310924339E1,3.077465439E1,-2.361020660E1
