"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.987887501E-2,2.186993808E-1,-6.456183791E-1,4.192624092E-1
9.961487498E-2,-1.203936525E-2,-2.846929729E-1,3.138865530E-1
1.393508750E-1,-3.589690030E-1,-1.055773139E0,6.291583180E-2
1.790878750E-1,-2.100506425E-1,-1.010904908E0,2.569086552E-1
2.188238750E-1,1.810588390E-1,-2.649502754E-1,2.641019523E-1
2.585608750E-1,-3.838491067E-2,1.760808378E-1,2.394379973E-1
2.982968750E-1,-1.857840270E-1,8.178828284E-4,6.558429450E-2
3.380338750E-1,-2.675698511E-2,4.488881230E-1,-8.155093193E-1
3.777698750E-1,7.886542082E-1,1.392216086E0,-2.058368027E-1
4.175068750E-1,1.361017823E0,1.474027514E0,4.931885600E-1
4.572428750E-1,3.496991098E-1,8.445921540E-1,3.883522451E-1
4.969798750E-1,-5.031492710E-1,2.710413456E0,-9.053844213E-1
5.367158750E-1,-2.623216152E0,6.415239811E0,-6.048624218E-2
5.764528750E-1,-1.022035003E0,-2.037486315E0,-7.575349212E-1
6.161888750E-1,-1.608569503E0,-1.409494400E0,5.205456167E-2
6.559258750E-1,-5.120653510E-1,-6.192386150E-1,-8.246579766E-1
6.956618750E-1,-2.106173515E0,-2.983337045E-1,-2.447325468E0
7.353978750E-1,-5.342894554E0,5.504649878E-1,-5.419587135E0
7.751348750E-1,-5.099195957E0,5.364190340E-1,-7.547193527E0
8.148708750E-1,-5.242626667E0,-2.731920183E-1,-6.104526997E0
8.546078750E-1,-4.120408535E0,4.158641338E0,-4.752262592E0
8.943438750E-1,-5.895136356E0,7.273609638E0,-5.199198723E0
9.340808750E-1,-6.414566040E0,4.310409546E0,-2.953764200E-1
9.738168750E-1,-4.366559029E0,7.786317825E0,5.742635131E-1
1.013553875E0,2.603226662E0,1.883952022E0,1.619691253E0
1.053289875E0,1.635840178E0,-2.805315733E0,3.067685843E0
1.093026875E0,-3.161247075E-1,-1.007125854E0,3.493245125E0
1.132762875E0,-2.142082900E-1,-4.237714291E0,3.676668644E0
1.172498875E0,-1.229796782E-1,-2.572281599E0,1.813009620E0
1.212235875E0,-1.833963156E0,-4.587902069E0,-1.625959516E0
1.251971875E0,1.616379380E0,-1.184190869E0,1.488099813E0
1.291708875E0,1.990079761E0,2.962673306E-1,-8.173999190E-1
1.331444875E0,-2.710094213E0,-3.954504013E0,2.157220125E0
1.371181875E0,-8.020612001E-1,-2.740482092E0,-2.719526768E0
1.410917875E0,2.514225483E0,5.045382023E0,-4.573113441E0
1.450654875E0,2.583155155E0,4.168882847E0,-4.111972809E0
1.490390875E0,-2.929314852E0,4.283703327E0,-2.929070950E0
1.530127875E0,-5.261415958E0,5.833027840E0,-2.363629103E0
1.569864375E0,-9.798393250E-1,4.662890911E0,2.135550261E0
1.609600375E0,-2.741651058E0,-4.994722605E-1,2.379350424E0
1.649337375E0,-1.069204450E0,-2.550274372E0,1.627094030E0
1.689073375E0,1.327434182E0,-2.220071077E0,5.402092934E0
1.728810375E0,4.049278736E0,-3.212255716E0,2.993131161E0
1.768546375E0,2.523902893E0,-1.774405360E0,-5.344558358E-1
1.808283375E0,2.134513140E0,-1.413186193E0,-2.418307543E0
1.848019375E0,3.283209324E0,8.766419291E-1,-2.489366531E0
1.887756375E0,2.849465132E0,1.960640550E-1,-6.264587879E0
1.927492375E0,-1.413802505E0,-1.141558170E0,-4.461985111E0
1.967229375E0,-1.622355342E0,-1.047907591E0,-3.795055628E0
2.006965375E0,-1.915834069E0,-3.117536545E0,-1.406444430E0
2.046702375E0,-4.911571741E-1,-4.575856209E0,-5.462150574E-1
2.086438375E0,1.517889023E0,-8.058815002E0,1.086734653E0
2.126175375E0,3.020636797E0,-6.900467277E-1,3.565670848E-1
2.165911375E0,7.983393669E-1,3.503114700E0,-3.088603169E-2
2.205648375E0,-1.852744341E0,1.115917301E1,-1.189920545E0
2.245384375E0,2.099869400E-2,1.308103752E1,-1.114260435E0
2.285120375E0,-1.869252801E0,-3.121973515E0,-8.318982124E0
