"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.600412500E-2,-3.745249799E-1,-1.005399495E0,-2.362583857E0
8.573512500E-2,1.701806388E0,-9.089783245E-1,5.204811305E0
1.254661250E-1,-1.089416383E0,-7.506404024E-1,8.701142210E-1
1.651971250E-1,-1.152225712E0,1.561967887E0,-1.819372260E0
2.049281250E-1,2.084949579E0,-2.243401229E-2,2.653208016E0
2.446591250E-1,1.926323974E0,-1.598140517E0,4.558956515E0
2.843901250E-1,1.696207387E0,-3.347398229E0,3.906793749E0
3.241211250E-1,1.452083209E0,-3.386219063E0,3.273623909E0
3.638521250E-1,3.377023147E0,-2.958023076E0,-1.088166833E-2
4.035831250E-1,3.683780944E-1,-2.586020000E0,-2.654607840E0
4.433141250E-1,-2.668634140E-1,-7.903541064E0,3.386467570E0
4.830451250E-1,6.124410512E0,-3.407619873E0,-9.035211182E0
5.227761250E-1,1.124267776E1,-1.061958443E0,-5.772520981E0
5.625071667E-1,1.123173177E1,-5.328912610E0,-4.831484712E0
6.022381667E-1,6.642524105E0,-1.154305625E1,-9.173990752E0
6.419691667E-1,5.473589097E0,-1.287822350E1,-4.147110220E0
6.817001667E-1,-5.601450162E0,-1.511540914E1,-2.347002196E-1
7.214311667E-1,-2.019715527E1,-1.450074165E1,9.221871847E0
7.611621667E-1,-1.612278967E1,-1.056968897E1,7.786346490E0
8.008931667E-1,-2.038655594E1,-7.448263405E0,4.749467572E0
8.406241667E-1,-1.354627842E1,1.271925525E0,1.904382356E1
8.803551666E-1,-2.799387530E0,4.450564924E0,2.887352750E0
9.200861667E-1,-8.429267732E0,-2.986066030E0,7.646769360E-3
9.598171667E-1,-7.085796261E-1,-1.645231653E0,1.983012876E0
9.995481667E-1,-4.612824866E0,-4.398262750E0,7.266440141E-1
1.039279167E0,-1.192342581E0,-1.826117608E0,-3.361384184E0
1.079010167E0,1.395854571E1,1.636436388E1,2.600807608E0
1.118741167E0,1.751914219E1,1.049692271E1,3.522641037E0
1.158472167E0,3.251442497E0,1.562490628E0,8.800067158E0
1.198203167E0,5.555886903E0,-8.933387768E0,-2.112470376E-1
1.237934167E0,-2.598431300E0,6.061399162E-1,2.290972422E0
1.277665167E0,-3.797651961E0,-8.645538113E0,-6.651400763E-1
1.317396167E0,5.335425239E0,-5.206647331E0,1.771556654E0
1.357127167E0,-2.501728293E0,-7.812448461E0,-3.130890452E0
1.396858167E0,-9.066268083E0,-6.209449493E0,-6.532312860E0
1.436589167E0,-6.271565049E0,-3.791447480E0,-3.595348824E0
1.476320167E0,2.341945524E0,-4.242114025E-1,-1.216916557E1
1.516051167E0,7.787630539E0,1.265666548E1,1.290843256E1
1.555782250E0,-2.554817503E0,1.467511380E0,4.714669622E0
1.595513250E0,2.213830690E0,9.061954007E0,-8.224588287E-1
1.635245250E0,-1.076968479E1,-5.537214405E0,4.072533369E0
1.674976250E0,4.085451915E0,2.276321054E-1,-1.635907975E0
1.714707250E0,-3.822524262E0,8.930282897E-1,7.426310034E0
1.754438250E0,-3.169386765E0,5.346294043E0,-1.069427969E-1
1.794169250E0,-3.386783320E0,5.330304247E-1,-6.805607042E0
1.833900250E0,1.089985200E1,2.090484846E-1,3.761455357E-1
1.873631250E0,3.549551677E0,-3.637002634E0,3.996899343E0
1.913362250E0,5.108836861E0,-6.390290424E0,-4.318309093E-1
1.953093250E0,7.132445347E-1,-1.282625930E0,9.005226660E-1
1.992824250E0,-9.658346030E0,4.589124055E0,-2.211668390E-1
2.032555250E0,-9.044439842E0,-3.736780107E-1,6.833947912E-1
2.072286250E0,4.138238239E-1,-3.285936391E-1,2.624505204E-1
2.112017250E0,2.164814797E0,4.225543016E0,-6.897881953E0
2.151749250E0,2.857000439E0,2.064326157E0,-6.816657110E0
2.191480250E0,3.106689996E0,5.868423504E0,3.166397084E0
2.231211250E0,-3.772278553E-1,4.451677650E0,5.089427029E0
2.270942250E0,-5.217962278E0,-1.120111341E0,5.491334227E0
2.310673250E0,-2.280431938E0,-6.285499549E-1,7.368759837E-1
2.350404250E0,-1.452347211E0,-6.023101653E0,-3.564159776E0
2.390135250E0,-4.315216500E0,-1.650880531E1,-2.953834423E0
2.429866250E0,1.009748654E1,-1.641633276E0,2.842027473E-1
2.469597250E0,2.240843073E0,4.707344230E0,-1.268690114E0
2.509329250E0,9.404121373E0,6.494787769E0,2.194385190E1
2.549059917E0,2.518425018E0,2.291951246E0,-1.353203577E0
2.588790917E0,-1.037215365E0,-6.149955243E-1,1.477232961E0
2.628521917E0,-2.229010062E0,-2.481674682E0,1.586584665E0
2.668252917E0,-1.581764805E0,-3.439166771E0,-3.019887787E0
2.707983917E0,3.926107103E-1,-3.479958116E0,-4.441796440E0
2.747714917E0,-1.729135104E0,-2.923506669E0,-1.942882119E0
2.787446917E0,-1.407775056E0,6.450490433E-1,-1.344557299E0
2.827177917E0,3.636664081E-1,2.711678419E0,-1.795471474E0
2.866908917E0,2.189082935E0,3.832490841E0,-1.327454047E0
2.906639917E0,2.126733490E0,4.875612479E0,-1.009999061E0
2.946370917E0,1.040918407E0,3.717315896E0,3.422298577E-1
2.986101917E0,2.805237377E0,-3.905245991E0,6.610403595E0
3.025833917E0,2.287450059E0,-1.313950049E0,2.079207028E-1
3.065564917E0,1.828900298E0,6.075146551E0,2.966333431E0
3.105295917E0,3.736084288E-1,-1.771308147E0,-4.961277696E0
3.145026917E0,-1.512869402E0,-3.043156489E0,-4.085101667E0
3.184757917E0,-3.473967644E0,-6.739436442E-1,-7.481723658E-1
3.224488917E0,7.278426933E-1,7.183532470E-1,1.173729140E-1
3.264220917E0,2.047831746E0,3.271944004E-1,-4.267391539E-1
3.303951917E0,2.104120553E-2,-7.454995304E-1,-7.051040411E-1
3.343682917E0,-7.339851934E-1,-1.063866974E0,2.267614367E-1
3.383413917E0,-1.157411900E0,3.548108000E-1,3.794211459E-1
3.423144917E0,6.308444023E-1,4.992212391E-1,1.821294240E0
3.462876917E0,-5.180826026E-1,-4.656588060E-1,-3.920172179E-1
3.502607917E0,-4.150686961E-1,-1.440165707E0,-7.428220904E-1
3.542339500E0,-7.848436904E-1,-4.517576355E-1,1.302110606E-1
3.582070500E0,4.469886464E-1,5.682598990E-1,-3.076448196E-1
3.621801500E0,5.445090938E-1,4.367033941E-1,-6.367033124E-1
3.661533500E0,1.241632855E-1,5.149268603E-1,-8.643781024E-1
3.701264500E0,-1.187388820E0,-8.685126686E-1,9.029907757E-1
3.740995500E0,-1.855810354E0,-1.573021463E0,2.411625852E-2
3.780726500E0,-9.242647004E-1,-7.931859130E-1,1.682262654E0
3.820457500E0,1.118806243E-1,5.475467223E-1,2.018002760E-1
3.860189500E0,4.169386357E-1,7.505392456E-1,4.007097800E-2
3.899920500E0,7.402346975E-1,2.958574176E-1,4.424178779E-1
3.939651500E0,2.875327367E-1,5.111641771E-1,2.455713630E-1
3.979382500E0,-2.306644714E-1,1.167753285E-1,2.658647096E-1
4.019114500E0,1.532181001E-1,-3.373562765E-1,1.225139029E0
4.058845500E0,-5.406019843E-1,1.760725272E-1,6.669743478E-1
4.098576500E0,-1.373844248E-1,-5.095632094E-1,6.026637465E-1
4.138307500E0,-1.592740613E-1,-8.365260601E-2,8.107807696E-1
4.178039500E0,-1.496366805E-1,2.769662333E-1,7.715289956E-1
4.217770500E0,-3.455645978E-2,-5.988367438E-2,3.575770811E-1
4.257501500E0,-3.216097248E-1,-2.415309370E-2,2.438201219E-1
4.297232500E0,-3.406505978E-1,-1.848263937E-1,3.602206073E-1
4.336964500E0,-5.730856061E-1,-2.361725485E-1,7.091585004E-1
4.376695500E0,-1.984691173E-1,-2.705331266E-2,5.963937406E-1
4.416426500E0,-8.156105697E-2,-3.177207416E-1,1.179983321E0
4.456158500E0,-2.617880309E-1,-1.739616823E-1,4.493041438E-1
4.495889500E0,2.460625291E-2,3.596324140E-1,-1.148422756E-1
4.535620500E0,7.454147458E-2,7.529693484E-2,3.952202861E-1
4.575351500E0,2.555051976E-1,3.461838180E-1,4.246966849E-1
4.615083500E0,3.024735421E-1,3.630647296E-1,2.867170501E-1
4.654814500E0,8.823448420E-3,2.630393350E-1,7.804752356E-1
4.694545500E0,-8.427358031E-2,2.511759192E-1,5.553889714E-1
4.734277500E0,-1.598845106E-1,2.075784945E-1,-2.048285125E-1
4.774008500E0,-2.568026948E-1,-1.282177448E-1,-1.553470713E-1
4.813739500E0,-8.182160890E-1,-6.582286674E-1,-1.140393578E0
4.853471500E0,-7.920059448E-1,-1.226128963E0,2.938658559E-1
4.893202500E0,-8.522515619E-1,-1.403952731E0,1.057176590E-1
4.932933500E0,-1.303189418E0,-4.246189535E-1,-3.349869116E-1
4.972665500E0,-1.320327607E0,-6.756884533E-1,-8.651364863E-2
5.012396500E0,-8.736956406E-1,-1.120967959E0,-6.772186697E-2
5.052127500E0,-3.848725051E-1,-5.295729661E-1,4.213953104E-1
5.091859500E0,-1.358806964E0,-8.252660769E-1,3.014752762E-1
5.131590500E0,-2.343161160E0,-1.908088555E0,4.924402231E-1
5.171321500E0,-3.193829881E0,-2.197908722E0,-3.570138846E-1
5.211052500E0,-2.848929527E0,-2.415264346E0,-1.395527916E0
5.250784500E0,-2.853136014E0,-2.684506407E0,-2.251210186E0
5.290515500E0,-1.058170032E0,-1.241177942E0,-3.420869663E0
5.330247500E0,3.116226804E-1,-4.412425876E-2,-1.680181630E0
5.369978500E0,3.781862140E-2,-1.662351716E-1,-9.842150331E-1
5.409709500E0,-2.332813928E0,-2.007369599E0,2.854943973E-1
5.449441500E0,-3.235752078E0,-2.904028425E0,1.082588004E0
5.489172500E0,3.320551908E-1,-4.381429785E0,1.990609725E0
5.528903500E0,1.394862649E0,-1.130295437E0,2.071803284E0
5.568634875E0,-1.651365382E0,-3.105512366E0,-1.616781733E0
5.608365875E0,-1.377440286E0,-2.749238593E0,-4.052504025E0
5.648096875E0,2.340798301E-1,-7.464573044E-1,-6.715986768E0
5.687828875E0,-1.152282137E0,-1.065197800E0,-3.078705221E-1
5.727559875E0,1.340358998E0,-3.816536129E-1,-3.668717347E0
5.767290875E0,2.706835170E0,-3.727219909E-1,-1.286875978E0
5.807022875E0,2.824717084E0,1.760641657E0,-3.281389304E0
5.846753875E0,1.768846762E0,4.264859110E0,-2.462035055E0
5.886484875E0,1.492161195E0,4.978255087E0,-2.309212226E0
5.926216875E0,1.068260864E0,5.564568849E0,-1.253748286E0
5.965947875E0,-4.035412028E-1,3.497586302E0,2.369681499E0
6.005679875E0,-2.540172274E0,-9.963419244E0,1.057371068E1
6.045410875E0,3.761050437E0,-2.614239832E0,4.130091021E0
6.085141875E0,1.243039110E-1,5.071211198E0,2.575827426E0
6.124873875E0,-2.696622423E0,-3.980017846E0,1.680940014E1
6.164604875E0,-1.145810147E0,6.524062439E0,-9.574233248E0
6.204336875E0,1.234952528E1,9.342406350E-1,-1.137720465E1
6.244067875E0,1.367240520E1,-7.465425568E0,-7.687843126E0
6.283798875E0,-1.568622603E0,1.602225966E0,1.576524296E1
6.323530875E0,-6.374482477E0,-1.283955587E0,1.533888388E-1
6.363261875E0,-4.857913542E0,-4.354595159E0,8.261111750E0
6.402993875E0,-6.320581673E0,1.960741562E0,-2.885305055E0
6.442724875E0,-4.142896716E0,2.418870324E0,-6.217262542E-1
6.482455875E0,-5.103683710E-2,-7.418871206E-1,-1.298567048E0
6.522187875E0,6.390626639E-1,-3.386980956E0,4.505978987E0
6.561919167E0,1.290609133E-1,-2.582374261E0,8.924385980E-2
6.601650167E0,-3.152252085E0,-8.516113502E0,1.047168496E1
6.641382167E0,-6.771289734E0,-6.509529769E0,6.314406429E0
6.681113167E0,1.685925935E0,-4.766574186E0,1.897111577E0
6.720845167E0,9.833930315E0,-5.210914629E0,-8.587775223E0
6.760576167E0,8.418969616E0,-8.426254662E0,1.186238205E1
6.800308167E0,1.334450094E0,1.522287512E-1,-1.043320326E1
6.840039167E0,6.178600752E-1,4.056942646E0,-3.391162884E0
6.879770167E0,-2.037348273E-1,5.714328906E0,-5.777212787E0
6.919502167E0,-1.719984797E-1,9.425095335E0,-6.549096708E0
6.959233167E0,-8.130392566E-1,1.163532648E1,-6.083443165E0
6.998965167E0,-2.017316882E0,1.015622767E1,-4.332126648E0
7.038696167E0,-9.953878927E-1,-1.705473294E1,6.874227159E1
7.078427167E0,2.159018891E0,-1.390644468E1,8.581949642E-1
7.118159167E0,-2.192664354E0,1.130355312E1,9.362728348E-1
7.157890167E0,1.650541860E1,-2.217809721E0,-1.377722121E1
7.197622167E0,8.444759345E-1,1.927437576E0,-3.182638895E0
7.237353167E0,-1.087183916E0,4.532282687E0,-4.855463266E0
7.277085167E0,2.682388546E0,-5.497418255E0,-5.554887614E0
7.316816167E0,1.882668954E0,-3.667754896E0,-1.966975864E0
7.356547167E0,-5.570367533E-1,3.622502124E-1,-3.343541406E0
7.396279167E0,-2.483615958E0,2.953224558E0,-1.683800472E0
7.436010167E0,-8.401893407E-1,3.335189243E0,2.080582586E0
7.475742167E0,-9.717891151E-1,7.777252901E-1,4.198185721E-2
7.515473167E0,-2.164506503E0,1.621362734E-1,8.626574130E-1
7.555204875E0,-4.585107018E0,-5.611765820E-1,4.593525839E0
7.594935875E0,-3.151313022E0,-3.846406630E0,-5.293917024E-1
7.634666875E0,-3.374205959E0,-8.949437791E0,5.841573089E0
7.674398875E0,-4.396587523E0,-6.561831944E0,6.913417420E0
7.714129875E0,1.367986507E0,-4.665276437E0,5.345821003E0
7.753861875E0,7.523356272E0,-3.645373508E0,-3.800856527E0
7.793592875E0,1.086332795E1,-5.102486785E0,-5.014669792E0
7.833324875E0,3.946620305E0,-1.227191986E0,-2.427702251E0
7.873055875E0,1.074029435E0,1.644079167E0,-4.775903419E0
7.912787875E0,1.121940643E0,4.034049627E0,-5.665064945E0
7.952518875E0,1.879702369E0,6.002182070E0,-6.470561585E0
7.992250875E0,1.631305047E0,9.706272733E0,-7.797780136E0
8.031981875E0,-5.462553647E-1,1.054825308E1,-5.453306276E0
8.071712875E0,1.100942122E0,5.447045662E0,1.525756665E0
8.111444875E0,1.026551447E1,-2.856854843E1,4.666097386E0
8.151175875E0,-1.018513338E0,3.675241671E0,-6.000147824E0
8.190907875E0,1.400697352E1,1.108568119E1,1.711433478E1
8.230638875E0,1.407275996E0,-1.002933374E1,-1.649341193E1
8.270370875E0,-8.385645749E0,3.589616214E0,-4.657285048E0
8.310101875E0,-3.050219341E0,2.646664397E0,-5.448160726E0
8.349833875E0,3.731576085E0,-6.744679640E0,-3.174507757E0
8.389564875E0,3.151997731E0,2.111209717E0,-1.603643624E0
8.429296875E0,-4.828478658E-1,2.925305858E0,-3.708257389E-1
8.469027875E0,-1.442772980E0,-1.411613753E0,-5.005473876E-1
8.508759875E0,-9.603396821E-1,-3.186060101E-1,-2.099384308E0
8.548491625E0,1.608218193E-2,-4.182016343E-1,-8.884379330E-1
8.588223625E0,1.077923681E0,5.374216837E-1,-5.223458076E-1
8.627954625E0,2.371428355E0,8.669941467E-1,3.380497563E-1
8.667686625E0,1.582448929E0,5.493967813E-1,3.083523327E-1
8.707417625E0,-4.734817958E-1,-5.141965431E-1,-1.126406527E0
8.747149625E0,-6.895983946E-1,-4.482042825E-1,-1.921433655E0
8.786880625E0,-1.450395995E-1,-3.757736528E-1,-1.996220128E0
8.826611625E0,3.462779582E-2,2.314211011E-1,-9.168646105E-1
8.866343625E0,4.320273757E-1,2.102524263E-1,-6.778196172E-1
8.906074625E0,7.247501010E-1,3.622759402E-2,-9.965592362E-1
8.945806625E0,1.888943017E-1,2.358649850E-2,-1.531872122E0
8.985537625E0,3.161291295E-1,1.494735432E-1,-1.444243117E0
9.025269625E0,8.923704779E-1,3.560159111E-1,-1.625922977E0
9.065000625E0,1.188092240E0,7.934654099E-1,-1.808040941E0
9.104732625E0,8.503003460E-1,6.864753968E-1,-2.114497314E0
9.144463625E0,7.288805741E-1,4.672018862E-1,-1.873497743E0
9.184195625E0,9.052185649E-1,1.124913075E0,-1.784690231E0
9.223926625E0,3.039476252E-1,4.096646994E-1,-2.474479976E0
9.263658625E0,3.756283495E-1,-2.746144831E-2,-2.448141193E0
9.303389625E0,1.047858175E0,1.442671824E-1,-9.745794064E-1
9.343121625E0,1.314447354E0,7.086515468E-1,1.138539426E0
9.382852625E0,1.775553226E0,-2.573125720E-2,3.750620466E0
9.422584625E0,3.708819014E0,-3.284112645E0,2.981318383E0
9.462316625E0,2.539947449E0,-3.853910362E0,2.259352726E0
9.502047625E0,-2.415369596E0,-2.960094452E-2,1.035588962E0
9.541778917E0,-3.231911335E0,2.517768375E0,2.069469953E-1
9.581509917E0,-1.109279082E0,2.511323574E0,7.541335291E-1
9.621241917E0,1.300921867E0,2.781361442E0,-2.758838552E0
9.660972917E0,1.253503287E0,4.772481628E0,-6.134213369E0
9.700704917E0,1.429208902E0,1.699103805E0,-3.207007751E0
9.740435917E0,1.426310437E0,-6.229331195E-1,2.298949778E-2
9.780167917E0,-5.633768892E-1,3.744393182E-1,-1.883814131E0
9.819898917E0,-1.969098988E0,1.341660004E0,-2.340532252E0
9.859630917E0,-5.050570527E0,4.597089132E0,-1.105568147E-1
9.899361917E0,-1.968295580E0,-7.649804065E0,2.317479137E1
9.939093917E0,7.647592063E0,-1.225704572E1,-8.076666595E0
9.978824917E0,-5.350888785E0,-3.724738936E0,-1.431741272E1
1.001855692E1,-1.985540773E0,-5.938080214E0,6.838728011E0
1.005828792E1,-3.895753621E0,-1.624337212E0,-2.899860822E0
1.009801992E1,-2.182310105E0,2.868112487E0,-1.429785730E0
1.013775092E1,2.053956120E0,4.133152916E0,1.218480220E0
1.017748292E1,6.832512420E-1,1.645395960E0,1.455439804E0
1.021721492E1,-3.351604131E0,-2.870765954E0,-5.983981296E-1
1.025694592E1,-6.710711995E0,-6.671656103E0,2.067212927E-1
1.029667792E1,-6.355383716E0,-2.490108122E0,2.360272452E0
1.033640892E1,-3.870300107E0,-2.152176479E0,-3.735605548E-1
1.037614092E1,3.145978607E0,-4.582187503E0,3.636266470E-1
1.041587192E1,1.245260818E1,-2.605876560E0,7.828959244E0
1.045560392E1,4.831134464E0,2.322059144E0,8.474603534E-1
1.049533492E1,-6.822893751E-1,1.565552230E0,-1.520104162E0
1.053506692E1,5.352237153E-1,1.123495710E0,-4.148801234E0
1.057479862E1,-3.081421253E-1,1.334606507E0,1.804217739E0
1.061452962E1,1.036307877E0,2.741061262E0,-6.285634035E-1
1.065426162E1,-3.131213218E-1,3.362419142E0,-1.896651401E0
1.069399262E1,-6.689352116E-1,3.138566676E0,-3.894681242E-1
1.073372462E1,-1.042523175E0,2.039556182E0,-6.780960444E-1
1.077345562E1,-1.064886144E0,2.399459322E0,1.165756461E-1
1.081318762E1,-1.425457621E0,2.587342055E0,1.377565708E0
