"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.181006432E-2,5.233102481E1,4.852189906E0,5.088651180E-1,NaN,NaN,3.500000000E1,2.044140625E1
8.412560225E-1,5.233104858E1,4.852235712E0,4.999313354E-1,NaN,NaN,3.500000000E1,2.000647545E1
7.321106076E0,5.233106101E1,4.852319710E0,5.012199879E-1,NaN,NaN,3.500000000E1,2.068062782E1
1.492903006E1,5.233102195E1,4.852155231E0,3.854146004E-1,NaN,NaN,3.500000000E1,2.129834557E1
2.153349900E1,5.233102282E1,4.852022814E0,4.964103699E-1,NaN,NaN,3.500000000E1,2.107124519E1
2.812331009E1,5.233102142E1,4.852237471E0,5.295691490E-1,NaN,NaN,3.500000000E1,2.100643158E1
3.472423601E1,5.233101589E1,4.852156492E0,5.539634228E-1,NaN,NaN,3.500000000E1,2.099394989E1
4.131885707E1,5.233105373E1,4.852149251E0,5.145237446E-1,NaN,NaN,3.500000000E1,2.098819160E1
4.792182004E1,5.233102215E1,4.852123557E0,5.862402916E-1,NaN,NaN,3.500000000E1,2.099000549E1
5.451723707E1,5.233104764E1,4.852339732E0,5.775339603E-1,NaN,NaN,3.900000000E1,2.098747826E1
6.112174702E1,5.233102172E1,4.852134515E0,5.882875919E-1,NaN,NaN,3.700000000E1,2.099043274E1
6.771906602E1,5.233105426E1,4.852262128E0,6.141018867E-1,NaN,NaN,3.500000000E1,2.098834610E1
7.432112408E1,5.233103675E1,4.852175692E0,6.437332630E-1,NaN,NaN,3.500000000E1,2.098968697E1
8.092021799E1,5.233105978E1,4.852301474E0,6.446514130E-1,NaN,NaN,3.900000000E1,2.098885727E1
8.751079404E1,5.233101654E1,4.852250253E0,6.009018421E-1,NaN,NaN,3.500000000E1,2.098525620E1
9.412055707E1,5.233100766E1,4.852194166E0,5.992753506E-1,NaN,NaN,3.500000000E1,2.099194145E1
1.006031741E2,5.233105250E1,4.852121219E0,6.007177830E-1,NaN,NaN,3.500000000E1,2.094292068E1
1.073579251E2,5.233104914E1,4.852334005E0,6.626951694E-1,NaN,NaN,3.500000000E1,2.103824997E1
1.139193821E2,5.233105866E1,4.852076464E0,6.899569035E-1,NaN,NaN,3.700000000E1,2.098657417E1
1.205171680E2,5.233102236E1,4.852049628E0,6.706459522E-1,NaN,NaN,3.500000000E1,2.098752785E1
1.265287230E2,5.233106811E1,4.852225085E0,5.781469345E-1,NaN,NaN,3.500000000E1,2.074833679E1
1.277597220E2,5.233108683E1,4.852288521E0,5.417048931E-1,NaN,NaN,3.500000000E1,1.803433800E1
1.343141841E2,5.233106097E1,4.852094923E0,5.654957294E-1,NaN,NaN,3.500000000E1,2.018702126E1
1.409049851E2,5.233104119E1,4.852089306E0,5.491178036E-1,NaN,NaN,3.500000000E1,2.077521896E1
1.475161891E2,5.233103533E1,4.852090034E0,5.303595066E-1,NaN,NaN,3.500000000E1,2.093775749E1
1.541152221E2,5.233102513E1,4.851953353E0,5.947566032E-1,NaN,NaN,3.700000000E1,2.097529411E1
1.607157410E2,5.233104524E1,4.852298723E0,6.340131760E-1,NaN,NaN,4.000000000E1,2.098567200E1
1.673128481E2,5.233105184E1,4.852357658E0,6.537566185E-1,NaN,NaN,3.500000000E1,2.098702240E1
1.739167341E2,5.233108280E1,4.852164067E0,6.620702744E-1,NaN,NaN,3.500000000E1,2.099006653E1
1.803980360E2,5.233103146E1,4.851958780E0,6.486539841E-1,NaN,NaN,3.700000000E1,2.094189835E1
1.871553590E2,5.233103640E1,4.852075157E0,6.433026791E-1,NaN,NaN,3.500000000E1,2.103899956E1
1.937119710E2,5.233106912E1,4.852094934E0,5.892024040E-1,NaN,NaN,3.500000000E1,2.098484421E1
2.003167810E2,5.233105724E1,4.852209284E0,5.677728653E-1,NaN,NaN,3.537744686E1,2.098986626E1
2.069124501E2,5.233103294E1,4.851983469E0,5.641465187E-1,NaN,NaN,3.500000000E1,2.098754311E1
2.135125730E2,5.233101994E1,4.852099022E0,6.235547066E-1,NaN,NaN,4.000000000E1,2.098870850E1
2.201121490E2,5.233099644E1,4.852086296E0,5.780258179E-1,NaN,NaN,3.500000000E1,2.098879433E1
2.267099650E2,5.233102389E1,4.852031640E0,5.880687237E-1,NaN,NaN,3.500000000E1,2.098811722E1
