Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.009649991989,52.33101001,4.852267937,0.5064008236,,,35.0,18.49347305,2024-06-11 14:36:45.009650
0.8360110521,52.33105791,4.852260474,0.4979822636,,,37.0,20.81336021,2024-06-11 14:36:45.836011
7.296877027,52.33102588,4.851936833,0.4924714565,,,35.0,20.88698387,2024-06-11 14:36:52.296877
13.31252611,52.33110773,4.852281254,0.5052471161,,,35.0,20.72237015,2024-06-11 14:36:58.312526
19.94483399,52.33103321,4.852161178,0.5742895603,,,35.0,20.93246078,2024-06-11 14:37:04.944834
26.64951003,52.3310386,4.852244037,0.6348624229,,,35.0,21.0158329,2024-06-11 14:37:11.649510
33.28905809,52.33102912,4.852176929,0.6232173443,,,35.0,21.01169205,2024-06-11 14:37:18.289058
39.73624802,52.33106346,4.852252493,0.6121549606,,,35.0,20.93388939,2024-06-11 14:37:24.736248
46.34397006,52.33105031,4.852228201,0.5675213337,,,35.0,20.97774887,2024-06-11 14:37:31.343970
55.72824502,52.33101325,4.851957926,0.6443469524,,,35.0,21.96852493,2024-06-11 14:37:40.728245
62.21517301,52.33104149,4.852255858,0.677136898,,,35.0,21.20009995,2024-06-11 14:37:47.215173
68.81862807,52.33104456,4.852143559,0.6957502365,,,35.0,21.04533768,2024-06-11 14:37:53.818628
75.41920304,52.33102971,4.852166087,0.6649389267,,,35.0,21.0039444,2024-06-11 14:38:00.419203
82.02299809,52.3310462,4.85219295,0.6859390736,,,35.0,20.99444008,2024-06-11 14:38:07.022998
88.6203531,52.33104441,4.852117232,0.6240000725,,,35.0,20.98940659,2024-06-11 14:38:13.620353
95.21773505,52.33106506,4.852166788,0.5434076786,,,35.0,20.98810387,2024-06-11 14:38:20.217735
101.9613,52.33105619,4.852043107,0.5170423985,,,35.0,21.04548073,2024-06-11 14:38:26.961300
108.6053281,52.33103759,4.851963914,0.6849331856,,,35.0,21.0211544,2024-06-11 14:38:33.605328
115.203807,52.33102519,4.852124335,0.6921653748,,,35.0,20.99681473,2024-06-11 14:38:40.203807
122.2384731,52.33103982,4.852165256,0.6797578335,,,35.0,21.16034317,2024-06-11 14:38:47.238473
128.7230431,52.33103981,4.85229828,0.675434351,,,35.0,20.98801041,2024-06-11 14:38:53.723043
135.3241601,52.33102379,4.852173519,0.5906953812,,,35.0,20.98922348,2024-06-11 14:39:00.324160
141.9241611,52.33102294,4.852067561,0.5566093922,,,35.0,20.9890976,2024-06-11 14:39:06.924161
148.522843,52.33103667,4.852133772,0.5917787552,,,35.0,20.98854065,2024-06-11 14:39:13.522843
155.123929,52.33106756,4.852287726,0.5891053677,,,35.0,20.98934937,2024-06-11 14:39:20.123929
161.939154,52.33106385,4.852257293,0.6224873066,,,35.0,21.07381248,2024-06-11 14:39:26.939154
168.429101,52.33109138,4.85244077,0.6419491768,,,35.0,20.96740532,2024-06-11 14:39:33.429101
175.033306,52.33105867,4.852365298,0.6111555099,,,35.0,20.98508263,2024-06-11 14:39:40.033306
181.64074,52.33103977,4.852361148,0.5899043083,,,35.0,20.99097061,2024-06-11 14:39:46.640740
188.2422011,52.33103297,4.852239008,0.604855299,,,35.0,20.99013329,2024-06-11 14:39:53.242201
194.8506861,52.33104529,4.852279238,0.5909824371,,,35.0,20.99270439,2024-06-11 14:39:59.850686
201.301082,52.33103573,4.852279915,0.6313250065,,,35.0,20.93016243,2024-06-11 14:40:06.301082
207.904153,52.33104981,4.852445555,0.5723645687,,,35.0,20.97492218,2024-06-11 14:40:12.904153
214.3551331,52.33104157,4.852215158,0.5641615391,,,35.0,20.92569923,2024-06-11 14:40:19.355133
220.8065691,52.33110125,4.8522787,0.5795333385,,,35.0,20.91287231,2024-06-11 14:40:25.806569
227.5965071,52.33106436,4.852097608,0.6152560711,,,35.0,21.04434967,2024-06-11 14:40:32.596507
234.2476081,52.33102717,4.851955181,0.6251311302,,,35.0,21.02364922,2024-06-11 14:40:39.247608
240.894866,52.33102375,4.852106002,0.7275464535,,,35.0,21.01676559,2024-06-11 14:40:45.894866
247.4930791,52.33101582,4.851985156,0.6604368687,,,35.0,20.99556351,2024-06-11 14:40:52.493079
254.091333,52.33104273,4.85237562,0.6312170029,,,35.0,20.99005699,2024-06-11 14:40:59.091333
260.6901021,52.33105744,4.852245261,0.6302833557,,,35.0,20.98882484,2024-06-11 14:41:05.690102
267.2887851,52.33105991,4.852281603,0.608802557,,,40.0,20.98847008,2024-06-11 14:41:12.288785
273.7307171,52.33104449,4.852444796,0.6472127438,,,35.0,20.92563248,2024-06-11 14:41:18.730717
280.1757261,52.33106167,4.852200076,0.6496858597,,,35.0,20.91025543,2024-06-11 14:41:25.175726
286.7794141,52.33102404,4.85213852,0.5128078461,,,35.0,20.96997833,2024-06-11 14:41:31.779414
293.2287841,52.33103129,4.852189102,0.5774405003,,,37.0,20.9237442,2024-06-11 14:41:38.228784
300.0199461,52.33103869,4.852159349,0.5376873016,,,35.0,21.04761696,2024-06-11 14:41:45.019946
306.659719,52.33101123,4.852070631,0.5516467094,,,35.0,21.02002907,2024-06-11 14:41:51.659719
313.419924,52.33101168,4.852137176,0.5324132442,,,35.0,21.06019974,2024-06-11 14:41:58.419924
320.068855,52.33102288,4.852025317,0.5683720112,,,35.0,21.02690315,2024-06-11 14:42:05.068855
326.678606,52.33104046,4.852082672,0.5757396221,,,35.0,21.00277901,2024-06-11 14:42:11.678606
333.124745,52.33101894,4.852093894,0.6163601875,,,37.0,20.93111038,2024-06-11 14:42:18.124745
339.562,52.33101072,4.851995939,0.6173744202,,,35.0,20.90856552,2024-06-11 14:42:24.562000
345.573567,52.33104135,4.852033639,0.6354496479,,,35.0,20.72659492,2024-06-11 14:42:30.573567
352.0405971,52.33099426,4.852065799,0.6352722645,,,35.0,20.86653709,2024-06-11 14:42:37.040597
358.530441,52.33102541,4.852085647,0.629080534,,,35.0,20.91278076,2024-06-11 14:42:43.530441
367.063949,52.33105049,4.852116562,0.5129282475,,,35.0,21.67826271,2024-06-11 14:42:52.063949
373.6623501,52.33102063,4.852074203,0.5394060612,,,35.0,21.16725731,2024-06-11 14:42:58.662350
380.10569,52.33102563,4.852283379,0.5119292736,,,35.0,20.97341728,2024-06-11 14:43:05.105690
