Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
0.002410791665,-4.164639587,7.658074951,3.522325287,2024-06-04 15:24:01.002411
0.04271079167,-2.411485291,7.371421051,5.639223175,2024-06-04 15:24:01.042711
0.08301179167,-1.380429382,6.725514221,8.713380432,2024-06-04 15:24:01.083012
0.1233117917,-4.273762665,6.577322388,5.333409119,2024-06-04 15:24:01.123312
0.1636127917,-2.706821136,6.985224152,4.699627075,2024-06-04 15:24:01.163613
0.2039127917,-2.177372131,6.307134247,7.018455048,2024-06-04 15:24:01.203913
0.2442137917,-3.279530182,5.865851898,7.156617737,2024-06-04 15:24:01.244214
0.2845137917,-2.817890167,6.33946701,4.98687973,2024-06-04 15:24:01.284514
0.3248147917,-0.3213816833,5.48190033,8.083340607,2024-06-04 15:24:01.324815
0.3651157917,-2.833308105,5.108426971,8.469537506,2024-06-04 15:24:01.365116
0.4054157917,-1.084943848,4.641847229,6.775809631,2024-06-04 15:24:01.405416
0.4457167917,1.10919342,3.736230469,12.36758148,2024-06-04 15:24:01.445717
0.4860167917,-1.582209778,5.146447906,8.342002716,2024-06-04 15:24:01.486017
0.5263177917,0.1336720276,5.659281464,8.208480377,2024-06-04 15:24:01.526318
0.5666177917,-1.254990234,3.627556458,7.228468323,2024-06-04 15:24:01.566618
0.6069187917,1.337618408,3.58863739,8.053402863,2024-06-04 15:24:01.606919
0.6472187917,-0.4478686523,4.670138397,7.471263428,2024-06-04 15:24:01.647219
0.6875197917,-2.567760315,2.858306122,6.336173859,2024-06-04 15:24:01.687520
0.7278207917,-4.340523834,1.932481384,4.409081268,2024-06-04 15:24:01.727821
0.7681207917,-2.72628067,1.943109283,8.898695068,2024-06-04 15:24:01.768121
0.8084217917,-5.031936035,-0.5709127808,3.435805206,2024-06-04 15:24:01.808422
0.8487210417,-6.452332306,-1.51993927,-2.105820923,2024-06-04 15:24:01.848721
0.8890220417,-4.450245667,-2.424358521,4.268972626,2024-06-04 15:24:01.889022
0.9293230417,-6.694229279,-2.9767099,5.008285217,2024-06-04 15:24:01.929323
0.9696230417,-10.82743423,-4.56685318,7.635771332,2024-06-04 15:24:01.969623
1.009924042,-7.375462646,-4.742138672,10.19844223,2024-06-04 15:24:02.009924
1.050224042,-7.541916504,-8.085585938,10.37582336,2024-06-04 15:24:02.050224
1.090525042,-4.639751587,-8.363408203,11.68215683,2024-06-04 15:24:02.090525
1.130826042,-4.043092346,-7.979606323,11.70146667,2024-06-04 15:24:02.130826
1.171126042,-5.705684967,-6.551426239,10.08378067,2024-06-04 15:24:02.171126
1.211427042,-2.642754364,-5.285658417,10.69555847,2024-06-04 15:24:02.211427
1.251727042,-9.651479645,-10.93042007,5.432353363,2024-06-04 15:24:02.251727
1.292028042,-11.95967972,-9.257498932,3.419938202,2024-06-04 15:24:02.292028
1.332329042,-8.419092407,-9.389823761,1.48012207,2024-06-04 15:24:02.332329
1.372629042,-9.899513855,-6.677613831,2.735561371,2024-06-04 15:24:02.372629
1.412930042,-6.217770081,-6.834786987,-6.79706543,2024-06-04 15:24:02.412930
1.453231042,-8.230484619,-3.445534973,1.204395447,2024-06-04 15:24:02.453231
1.493531042,-10.79225739,-4.682861938,2.039957886,2024-06-04 15:24:02.493531
1.533832042,-10.51503387,-2.01600769,4.51655777,2024-06-04 15:24:02.533832
1.574133042,-6.627767487,-1.093775482,4.783153381,2024-06-04 15:24:02.574133
1.614433042,-4.448150024,-2.232906647,1.488654327,2024-06-04 15:24:02.614433
1.654734042,-6.273903351,-3.343896332,1.04602478,2024-06-04 15:24:02.654734
1.695034042,-7.390880585,-0.1462458801,5.387895813,2024-06-04 15:24:02.695034
1.735335042,-4.233496399,-4.01105896,-2.16928894,2024-06-04 15:24:02.735335
1.775636042,0.007035369873,-5.753585358,-3.300336914,2024-06-04 15:24:02.775636
1.815935833,-18.86272476,-12.49496658,-16.96616867,2024-06-04 15:24:02.815936
1.856236833,-8.146658936,-9.938283234,3.457210693,2024-06-04 15:24:02.856237
1.896537833,-9.38638092,-10.44378204,1.040486298,2024-06-04 15:24:02.896538
1.936837833,-6.824458466,-5.373675385,3.10888504,2024-06-04 15:24:02.936838
1.977138833,-6.178701324,-3.850293274,1.41575592,2024-06-04 15:24:02.977139
2.017439833,-6.3979953,-3.440894623,0.6550378418,2024-06-04 15:24:03.017440
2.057739833,-4.890779572,-6.419999542,3.961062927,2024-06-04 15:24:03.057740
2.098040833,-5.322781219,-8.02795578,0.3276686096,2024-06-04 15:24:03.098041
2.138341833,-5.36484375,-7.097041626,2.270179138,2024-06-04 15:24:03.138342
2.178641833,-2.857707367,-5.220992889,0.6985972595,2024-06-04 15:24:03.178642
