Time (s),X (hPa),Datetime
-0.5510299583,1010.072327,2024-06-04 15:24:00.448970
0.4574830417,1010.086212,2024-06-04 15:24:01.457483
1.466004042,1010.100021,2024-06-04 15:24:02.466004
2.474514042,1010.120621,2024-06-04 15:24:03.474514
3.483012042,1010.131607,2024-06-04 15:24:04.483012
3.830799042,1010.136642,2024-06-04 15:24:04.830799
4.906546042,1010.136642,2024-06-04 15:24:05.906546
5.982270042,1010.131912,2024-06-04 15:24:06.982270
7.058009042,1010.126114,2024-06-04 15:24:08.058009
8.133774042,1010.121689,2024-06-04 15:24:09.133774
9.209437042,1010.120468,2024-06-04 15:24:10.209437
10.28511904,1010.120468,2024-06-04 15:24:11.285119
11.36081304,1010.12825,2024-06-04 15:24:12.360813
12.43649604,1010.12825,2024-06-04 15:24:13.436496
13.51221804,1010.124664,2024-06-04 15:24:14.512218
14.58794904,1010.114594,2024-06-04 15:24:15.587949
15.66367104,1010.112381,2024-06-04 15:24:16.663671
16.73942604,1010.110931,2024-06-04 15:24:17.739426
17.81511204,1010.110931,2024-06-04 15:24:18.815112
18.89079304,1010.120697,2024-06-04 15:24:19.890793
19.96644804,1010.135193,2024-06-04 15:24:20.966448
21.04211704,1010.145493,2024-06-04 15:24:22.042117
22.11776904,1010.149002,2024-06-04 15:24:23.117769
23.19343804,1010.150299,2024-06-04 15:24:24.193438
24.26910904,1010.150299,2024-06-04 15:24:25.269109
25.34485704,1010.15007,2024-06-04 15:24:26.344857
26.42059604,1010.147018,2024-06-04 15:24:27.420596
27.49635004,1010.147018,2024-06-04 15:24:28.496350
28.57206304,1010.146713,2024-06-04 15:24:29.572063
29.64776704,1010.128708,2024-06-04 15:24:30.647767
30.72346804,1010.125656,2024-06-04 15:24:31.723468
31.79914704,1010.123749,2024-06-04 15:24:32.799147
32.87480804,1010.115509,2024-06-04 15:24:33.874808
33.95043004,1010.107651,2024-06-04 15:24:34.950430
35.02602904,1010.105438,2024-06-04 15:24:36.026029
36.10158104,1010.09903,2024-06-04 15:24:37.101581
37.17715404,1010.087662,2024-06-04 15:24:38.177154
38.25274404,1010.085068,2024-06-04 15:24:39.252744
39.32830604,1010.083771,2024-06-04 15:24:40.328306
40.40389504,1010.083771,2024-06-04 15:24:41.403895
41.47951704,1010.084915,2024-06-04 15:24:42.479517
42.55511204,1010.085754,2024-06-04 15:24:43.555112
43.63069904,1010.085907,2024-06-04 15:24:44.630699
44.70633704,1010.085754,2024-06-04 15:24:45.706337
45.78198304,1010.087128,2024-06-04 15:24:46.781983
46.85759604,1010.088196,2024-06-04 15:24:47.857596
47.93319804,1010.088196,2024-06-04 15:24:48.933198
49.00879204,1010.087128,2024-06-04 15:24:50.008792
50.08444104,1010.087128,2024-06-04 15:24:51.084441
51.16009904,1010.090561,2024-06-04 15:24:52.160099
52.23574404,1010.090942,2024-06-04 15:24:53.235744
53.31133604,1010.092392,2024-06-04 15:24:54.311336
54.38693704,1010.095749,2024-06-04 15:24:55.386937
55.46254804,1010.096588,2024-06-04 15:24:56.462548
56.53816804,1010.097504,2024-06-04 15:24:57.538168
57.61378704,1010.098953,2024-06-04 15:24:58.613787
58.68940404,1010.099335,2024-06-04 15:24:59.689404
59.76500504,1010.099335,2024-06-04 15:25:00.765005
60.84064504,1010.094299,2024-06-04 15:25:01.840645
61.91627404,1010.091858,2024-06-04 15:25:02.916274
62.99193404,1010.091858,2024-06-04 15:25:03.991934
64.06757604,1010.098114,2024-06-04 15:25:05.067576
65.14313604,1010.098114,2024-06-04 15:25:06.143136
66.21868604,1010.094986,2024-06-04 15:25:07.218686
67.29426304,1010.0914,2024-06-04 15:25:08.294263
68.36987604,1010.089569,2024-06-04 15:25:09.369876
69.44549204,1010.08255,2024-06-04 15:25:10.445492
70.52110704,1010.080185,2024-06-04 15:25:11.521107
71.59673804,1010.079117,2024-06-04 15:25:12.596738
72.67241704,1010.076218,2024-06-04 15:25:13.672417
73.74808004,1010.072021,2024-06-04 15:25:14.748080
74.82376604,1010.069885,2024-06-04 15:25:15.823766
75.89938904,1010.068665,2024-06-04 15:25:16.899389
76.97503304,1010.068665,2024-06-04 15:25:17.975033
78.05070204,1010.07164,2024-06-04 15:25:19.050702
79.12633104,1010.074692,2024-06-04 15:25:20.126331
80.20193204,1010.078812,2024-06-04 15:25:21.201932
81.27755104,1010.082932,2024-06-04 15:25:22.277551
82.35320104,1010.085754,2024-06-04 15:25:23.353201
83.42889804,1010.088425,2024-06-04 15:25:24.428898
84.50453704,1010.0914,2024-06-04 15:25:25.504537
85.58014604,1010.091629,2024-06-04 15:25:26.580146
86.65576604,1010.091629,2024-06-04 15:25:27.655766
87.73141704,1010.090485,2024-06-04 15:25:28.731417
88.80708404,1010.089264,2024-06-04 15:25:29.807084
89.88276004,1010.084381,2024-06-04 15:25:30.882760
90.95837604,1010.076065,2024-06-04 15:25:31.958376
92.03403304,1010.074081,2024-06-04 15:25:33.034033
93.10964704,1010.073471,2024-06-04 15:25:34.109647
94.18523804,1010.073318,2024-06-04 15:25:35.185238
95.26082204,1010.073471,2024-06-04 15:25:36.260822
96.33643104,1010.079422,2024-06-04 15:25:37.336431
97.41207504,1010.079956,2024-06-04 15:25:38.412075
98.48771304,1010.081024,2024-06-04 15:25:39.487713
99.56333904,1010.081024,2024-06-04 15:25:40.563339
100.638905,1010.082092,2024-06-04 15:25:41.638905
101.714441,1010.082321,2024-06-04 15:25:42.714441
102.789998,1010.083618,2024-06-04 15:25:43.789998
103.865494,1010.082321,2024-06-04 15:25:44.865494
104.941044,1010.079422,2024-06-04 15:25:45.941044
106.016621,1010.074921,2024-06-04 15:25:47.016621
107.092187,1010.074921,2024-06-04 15:25:48.092187
108.167741,1010.076599,2024-06-04 15:25:49.167741
109.243305,1010.078278,2024-06-04 15:25:50.243305
110.31889,1010.084381,2024-06-04 15:25:51.318890
111.394469,1010.095596,2024-06-04 15:25:52.394469
112.470041,1010.095596,2024-06-04 15:25:53.470041
113.545618,1010.094757,2024-06-04 15:25:54.545618
114.621192,1010.094757,2024-06-04 15:25:55.621192
115.696744,1010.102386,2024-06-04 15:25:56.696744
116.772285,1010.110092,2024-06-04 15:25:57.772285
117.847784,1010.11261,2024-06-04 15:25:58.847784
118.923366,1010.128021,2024-06-04 15:25:59.923366
119.998942,1010.149918,2024-06-04 15:26:00.998942
121.074491,1010.149918,2024-06-04 15:26:02.074491
122.150027,1010.143585,2024-06-04 15:26:03.150027
123.22556,1010.141068,2024-06-04 15:26:04.225560
124.301037,1010.136261,2024-06-04 15:26:05.301037
125.376532,1010.120392,2024-06-04 15:26:06.376532
126.452091,1010.116272,2024-06-04 15:26:07.452091
127.527677,1010.113907,2024-06-04 15:26:08.527677
128.60323,1010.104294,2024-06-04 15:26:09.603230
