Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Datetime
0.04396979167,-1.269497991,-0.2254931778,0.1775019169,2024-06-04 15:24:01.043970
0.08427079167,0.03988997638,0.05169139057,-0.3580619693,2024-06-04 15:24:01.084271
0.1245707917,0.2111026794,-0.4236741364,0.2862499058,2024-06-04 15:24:01.124571
0.1648717917,-0.8033301234,-0.7611836791,0.3409804702,2024-06-04 15:24:01.164872
0.2051717917,-1.173045754,-0.3891117275,0.1071826518,2024-06-04 15:24:01.205172
0.2454727917,-0.5435008407,-0.5794109702,0.3977451026,2024-06-04 15:24:01.245473
0.2857727917,-1.145615697,-1.10572648,0.5430842042,2024-06-04 15:24:01.285773
0.3260737917,-1.859664559,-0.08898313344,0.007717106491,2024-06-04 15:24:01.326074
0.3663747917,-1.005852938,-0.5841537118,-0.05910702795,2024-06-04 15:24:01.366375
0.4066747917,-1.440399885,-1.876328349,0.2490099669,2024-06-04 15:24:01.406675
0.4469757917,0.3985682428,-0.09954047203,-0.2684788108,2024-06-04 15:24:01.446976
0.4872757917,0.6349175572,-0.1551821381,-0.1118149981,2024-06-04 15:24:01.487276
0.5275767917,0.5323440433,0.1810616553,-0.315687418,2024-06-04 15:24:01.527577
0.5678767917,-0.9816669822,1.044455171,0.25451231,2024-06-04 15:24:01.567877
0.6081777917,-1.820077062,2.429367065,0.02127362229,2024-06-04 15:24:01.608178
0.6484777917,-0.8150036931,0.708658576,0.03206457198,2024-06-04 15:24:01.648478
0.6887787917,-1.079156876,3.909065962,1.545238733,2024-06-04 15:24:01.688779
0.7290797917,-4.320899487,7.800834179,1.102974057,2024-06-04 15:24:01.729080
0.7693797917,-2.236393452,3.738334179,-0.5563873053,2024-06-04 15:24:01.769380
0.8096807917,-2.349330664,3.884602785,-0.4680424333,2024-06-04 15:24:01.809681
0.8499800417,-1.88140595,-3.063086987,0.08566138148,2024-06-04 15:24:01.849980
0.8902810417,-2.224375725,-1.818296432,0.8180093765,2024-06-04 15:24:01.890281
0.9305820417,-3.303174734,0.0376816988,0.6515319943,2024-06-04 15:24:01.930582
0.9708820417,-3.849366665,-0.2779861689,1.872475386,2024-06-04 15:24:01.970882
1.011183042,-4.060934544,1.166045904,1.575522065,2024-06-04 15:24:02.011183
1.051483042,-5.192788601,1.53197515,1.17229557,2024-06-04 15:24:02.051483
1.091784042,-4.204020977,-0.2708130479,0.7076739073,2024-06-04 15:24:02.091784
1.132085042,-3.302862883,-1.293131709,-0.1859622896,2024-06-04 15:24:02.132085
1.172385042,-1.711841702,-0.05055012554,-1.674001932,2024-06-04 15:24:02.172385
1.212686042,0.1696129292,0.3792397082,-3.419774532,2024-06-04 15:24:02.212686
1.252986042,0.9233979583,2.182269096,-2.595658541,2024-06-04 15:24:02.252986
1.293287042,0.1976522505,3.637819767,-0.7598183751,2024-06-04 15:24:02.293287
1.333588042,0.4455325902,4.010615826,-1.21738863,2024-06-04 15:24:02.333588
1.373888042,0.1125609875,3.981024265,0.1776075363,2024-06-04 15:24:02.373888
1.414189042,-1.53037858,-0.9745054841,0.7937526107,2024-06-04 15:24:02.414189
1.454490042,-0.6723309755,0.1653509438,0.5553593636,2024-06-04 15:24:02.454490
1.494790042,-0.9711129665,1.423749924,1.366663218,2024-06-04 15:24:02.494790
