Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.04396979167,0.7166043448,0.3103988582,0.1485251248,2024-06-04 15:24:01.043970
0.08427079167,0.9663886267,-0.176234495,2.050877561,2024-06-04 15:24:01.084271
0.1245707917,-1.41015955,-0.3288286972,-1.324774414,2024-06-04 15:24:01.124571
0.1648717917,-0.04097611785,0.1020900464,-1.634171644,2024-06-04 15:24:01.164872
0.2051717917,0.04109993264,-0.437207424,0.3657778376,2024-06-04 15:24:01.205172
0.2454727917,-1.186914026,-0.4829192019,-0.1123454779,2024-06-04 15:24:01.245473
0.2857727917,-0.870247976,0.2590012479,-2.45457927,2024-06-04 15:24:01.285773
0.3260737917,1.113438353,-0.4784115833,0.5232433552,2024-06-04 15:24:01.326074
0.3663747917,-1.782283225,-0.08679197609,0.08795206368,2024-06-04 15:24:01.366375
0.4066747917,0.1989145289,-0.2608010209,-0.9525465131,2024-06-04 15:24:01.406675
0.4469757917,1.567862172,-1.053333215,3.591369794,2024-06-04 15:24:01.446976
0.4872757917,-1.472778552,-0.02311111987,-0.1732015443,2024-06-04 15:24:01.487276
0.5275767917,0.9691062663,0.2753395379,-0.3625753176,2024-06-04 15:24:01.527577
0.5678767917,-0.1889940698,-1.849619907,-1.190620576,2024-06-04 15:24:01.567877
0.6081777917,2.314869261,-1.12085043,-0.6127934629,2024-06-04 15:24:01.608178
0.6484777917,1.126405431,1.414573906,-0.9480412334,2024-06-04 15:24:01.648478
0.6887787917,0.7800431263,-2.059165404,-2.433519938,2024-06-04 15:24:01.688779
0.7290797917,0.2969885615,-0.5416141373,-3.538413316,2024-06-04 15:24:01.729080
0.7693797917,3.49098538,-0.6881955014,1.556231183,2024-06-04 15:24:01.769380
0.8096807917,2.119898679,-2.137720554,-2.86578705,2024-06-04 15:24:01.809681
0.8499800417,0.9216083103,-2.566026031,-7.303010967,2024-06-04 15:24:01.849980
0.8902810417,1.813778229,-2.936226702,-2.797202718,2024-06-04 15:24:01.890281
0.9305820417,-0.5108957899,-2.90107675,-2.571590826,2024-06-04 15:24:01.930582
0.9708820417,-4.235044157,-3.511777202,0.7176907575,2024-06-04 15:24:01.970882
1.011183042,-0.1583320749,-3.266667477,2.3102542,2024-06-04 15:24:02.011183
1.051483042,-0.2786455536,-5.72180691,4.550952846,2024-06-04 15:24:02.051483
1.091784042,3.045981864,-5.138296888,5.972606269,2024-06-04 15:24:02.091784
1.132085042,2.826166901,-3.582059273,6.743497333,2024-06-04 15:24:02.132085
1.172385042,1.20251966,-1.509397325,4.933157267,2024-06-04 15:24:02.172385
1.212686042,4.023520546,0.16097794,6.068225786,2024-06-04 15:24:02.212686
1.252986042,-4.191095899,-5.005418327,-0.206085408,2024-06-04 15:24:02.252986
1.293287042,-6.197132333,-2.451356869,-0.2111642995,2024-06-04 15:24:02.293287
1.333588042,-1.594445661,-2.711997092,-4.033359656,2024-06-04 15:24:02.333588
1.373888042,-3.138042181,0.03170769632,-0.01003089845,2024-06-04 15:24:02.373888
1.414189042,-0.5518912035,0.9907370174,-5.490975208,2024-06-04 15:24:02.414189
1.454490042,-1.858640406,2.947115387,0.3542091215,2024-06-04 15:24:02.454490
1.494790042,-3.495768988,2.44005654,2.600404735,2024-06-04 15:24:02.494790
1.535091042,-3.17179231,3.644343814,1.834172732,2024-06-04 15:24:02.535091
1.575392042,2.281350828,4.560751026,4.999721385,2024-06-04 15:24:02.575392
1.615692042,3.226636269,2.618570865,2.144186844,2024-06-04 15:24:02.615692
1.655993042,1.854694705,2.015001969,1.433851883,2024-06-04 15:24:02.655993
1.696293042,0.6862701595,5.301459932,5.419080184,2024-06-04 15:24:02.696293
1.736594042,4.278217658,1.026003914,-2.288860992,2024-06-04 15:24:02.736594
1.776895042,7.386585805,1.031214368,-2.342062469,2024-06-04 15:24:02.776895
1.817194833,-10.68982937,-6.180774747,-14.55107448,2024-06-04 15:24:02.817195
1.857495833,-1.012402121,-2.804174353,1.314193147,2024-06-04 15:24:02.857496
1.897796833,-2.012580637,-2.72059016,0.02651419938,2024-06-04 15:24:02.897797
1.938096833,-0.009354960322,1.939747719,1.741289127,2024-06-04 15:24:02.938097
1.978397833,0.7877672982,2.957555591,-0.3880323404,2024-06-04 15:24:02.978398
2.018698833,0.010682863,3.010162405,-1.337737984,2024-06-04 15:24:03.018699
2.058998833,0.6806141478,1.858556791,1.994150652,2024-06-04 15:24:03.058999
2.099299833,0.3878773892,0.5702923912,-2.398233307,2024-06-04 15:24:03.099300
2.139600833,-0.6594820181,1.290837759,0.7472360073,2024-06-04 15:24:03.139601
2.179900833,1.615942365,3.801419322,-0.1568188155,2024-06-04 15:24:03.179901
2.220201833,2.231946826,2.868544596,-0.01679554224,2024-06-04 15:24:03.220202
2.260502833,-2.258810251,-18.76913657,-3.076813062,2024-06-04 15:24:03.260503
2.300803833,-1.447444906,-0.2408169919,-0.227768784,2024-06-04 15:24:03.300804
2.341103833,3.712527318,1.955237578,0.4593144308,2024-06-04 15:24:03.341104
2.381404833,0.4059953523,-1.486380345,0.1499202704,2024-06-04 15:24:03.381405
2.421705833,-2.733320718,-0.7198466259,-0.3765593724,2024-06-04 15:24:03.421706
2.462005833,-0.7194857796,0.1393373948,-0.7951289427,2024-06-04 15:24:03.462006
2.502306833,1.344359955,0.1614521492,0.5690073194,2024-06-04 15:24:03.502307
2.542607833,1.157643449,-0.2336553222,-0.6156819874,2024-06-04 15:24:03.542608
2.582907833,0.2481016725,0.3958009511,-1.833287171,2024-06-04 15:24:03.582908
2.623208833,-0.9563311965,0.5432998896,0.2001450755,2024-06-04 15:24:03.623209
2.663509833,-3.638451867,-0.8319050056,-1.190261119,2024-06-04 15:24:03.663510
2.703810833,0.1287232732,-0.5410276616,-0.1313470285,2024-06-04 15:24:03.703811
2.744110833,1.340927932,-0.637451756,0.2673404007,2024-06-04 15:24:03.744111
2.784411833,1.117085627,0.4955193669,0.2659658664,2024-06-04 15:24:03.784412
2.824712792,1.167869645,0.1485736567,0.5956109811,2024-06-04 15:24:03.824713
2.865013792,1.382350193,0.4039584017,-0.20007257,2024-06-04 15:24:03.865014
2.905313792,-0.6011126629,-0.2916772431,-1.554835892,2024-06-04 15:24:03.905314
2.945614792,-0.9994962926,-0.06396736979,-0.644337291,2024-06-04 15:24:03.945615
2.985915792,-0.5087358649,0.06938423038,-1.03182891,2024-06-04 15:24:03.985916
3.026216792,-0.47215181,-0.06416734457,-1.807770799,2024-06-04 15:24:04.026217
3.066516792,0.7124023164,0.7344705123,-1.515278016,2024-06-04 15:24:04.066517
3.106817792,1.450510601,0.1080904591,-2.859183204,2024-06-04 15:24:04.106818
3.147118792,2.270082659,-3.09113991,-2.888771285,2024-06-04 15:24:04.147119
3.187419792,4.780647849,-1.447734928,5.1103624,2024-06-04 15:24:04.187420
3.227719792,-1.440166584,0.2303615856,4.764230622,2024-06-04 15:24:04.227720
3.268020792,-1.331318472,0.3061894476,0.8771463749,2024-06-04 15:24:04.268021
3.308321792,-0.6381263054,0.4111183172,-0.7063199696,2024-06-04 15:24:04.308322
3.348622792,-4.058644478,1.166213713,-0.5890411958,2024-06-04 15:24:04.348623
3.388922792,-2.060552949,1.956155006,0.8365664059,2024-06-04 15:24:04.388923
3.429223792,-0.9545775434,1.862337601,0.4942154378,2024-06-04 15:24:04.429224
3.469524792,1.665563883,3.296568968,-0.481003654,2024-06-04 15:24:04.469525
3.509825792,2.454704693,1.920503948,0.4630249277,2024-06-04 15:24:04.509826
3.550125792,0.7094423828,-2.337081226,0.9330618364,2024-06-04 15:24:04.550126
3.590426792,2.2816179,-1.524969045,-1.560758682,2024-06-04 15:24:04.590427
3.630727792,2.134982595,-4.298864177,4.488201113,2024-06-04 15:24:04.630728
