Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.009783983231,52.33455549,4.865526751,2.66305697,,,40.0,13.75027752,2024-06-04 15:24:01.009784
0.01256108284,52.33455199,4.86554175,2.669812679,,,40.0,14.49332714,2024-06-04 15:24:01.012561
0.01256108284,52.33455047,4.86554041,2.674011588,,,40.0,13.05018902,2024-06-04 15:24:01.012561
2.264661074,52.3346767,4.865440819,0.9883079529,2.069999933,131.8359375,12.49589951,3.0,2024-06-04 15:24:03.264661
3.261476994,52.3346995,4.865276199,0.4527244568,0.150000006,131.8359375,9.251259994,3.0,2024-06-04 15:24:04.261477
4.264842033,52.33470021,4.865189949,0.4533958435,0.4600000083,131.8359375,9.158353023,3.0,2024-06-04 15:24:05.264842
5.264404058,52.33467867,4.865166983,-0.007907867432,0.2899999917,131.8359375,10.02909219,3.0,2024-06-04 15:24:06.264404
6.263997078,52.33448995,4.865804259,0.4687156677,0.1899999976,131.8359375,27.79585926,3.0,2024-06-04 15:24:07.263997
7.265546083,52.3347233,4.865141334,1.042324066,0.2899999917,92.4609375,15.0764136,3.0,2024-06-04 15:24:08.265546
7.846285343,52.33468567,4.865164049,2.258388519,1.230000019,102.65625,11.78412797,3.0,2024-06-04 15:24:08.846285
8.846782446,52.33468248,4.865139155,2.927822113,1.230000019,,7.446100514,3.0,2024-06-04 15:24:09.846782
9.847321153,52.33471764,4.865027592,2.420986176,0.4399999976,133.9453125,6.372772808,3.0,2024-06-04 15:24:10.847321
10.84780955,52.33471069,4.865053659,2.781154633,0.0,133.9453125,5.611481531,3.0,2024-06-04 15:24:11.847810
11.84827983,52.33470561,4.865076039,2.686122894,0.3000000119,144.140625,5.147064996,3.0,2024-06-04 15:24:12.848280
12.8487258,52.33472531,4.865062628,2.443752289,0.3000000119,42.1875,4.868944258,3.0,2024-06-04 15:24:13.848726
13.84912384,52.33472531,4.865062628,2.443752356,0.3000000119,,4.945685095,3.152068625,2024-06-04 15:24:14.849124
14.84950483,52.33472093,4.865087731,3.139003972,1.379999995,88.94532852,4.798895907,3.285595092,2024-06-04 15:24:15.849505
15.84986413,52.33471347,4.865094856,3.629238346,1.379999995,88.94532852,4.772639212,3.323620313,2024-06-04 15:24:16.849864
