Time (s),X (µT),Y (µT),Z (µT),Datetime
0.04396979167,13.32070923,-43.60319519,-48.31217575,2024-06-04 15:24:01.043970
0.08427079167,13.54125977,-41.82817078,-49.79922867,2024-06-04 15:24:01.084271
0.1245707917,13.49224854,-42.25296021,-49.30321884,2024-06-04 15:24:01.124571
0.1648717917,11.8572998,-42.00042725,-50.03265762,2024-06-04 15:24:01.164872
0.2051717917,10.14645386,-40.14007568,-51.80153656,2024-06-04 15:24:01.205172
0.2454727917,9.09487915,-38.35974121,-53.37814713,2024-06-04 15:24:01.245473
0.2857727917,6.58392334,-37.25865173,-54.44965744,2024-06-04 15:24:01.285773
0.3260737917,5.100097656,-33.67763519,-56.74529648,2024-06-04 15:24:01.326074
0.3663747917,4.699035645,-30.3044281,-58.63167191,2024-06-04 15:24:01.366375
0.4066747917,3.012115479,-28.60501862,-59.42850876,2024-06-04 15:24:01.406675
0.4469757917,-0.1796875,-26.65778351,-60.62691879,2024-06-04 15:24:01.446976
0.4872757917,-0.08023071289,-27.8407135,-60.14945602,2024-06-04 15:24:01.487276
0.5275767917,0.400970459,-29.36865234,-59.35772324,2024-06-04 15:24:01.527577
0.5678767917,1.677734375,-29.40929413,-59.3890419,2024-06-04 15:24:01.567877
0.6081777917,4.674102783,-26.26641846,-60.69073868,2024-06-04 15:24:01.608178
0.6484777917,9.328308105,-22.51445007,-61.59021378,2024-06-04 15:24:01.648478
0.6887787917,13.02859497,-21.91933441,-61.25304794,2024-06-04 15:24:01.688779
0.7290797917,23.86273193,-17.19844055,-59.49094772,2024-06-04 15:24:01.729080
0.7693797917,38.60440063,-8.821502686,-53.12696838,2024-06-04 15:24:01.769380
0.8096807917,45.67089844,-4.119560242,-47.80458069,2024-06-04 15:24:01.809681
0.8499800417,47.59750366,-0.01414489746,-46.53483582,2024-06-04 15:24:01.849980
0.8902810417,43.09765625,2.734909058,-50.87052155,2024-06-04 15:24:01.890281
0.9305820417,42.96908569,6.978622437,-50.77962875,2024-06-04 15:24:01.930582
0.9708820417,43.78610229,12.2414093,-49.34614944,2024-06-04 15:24:01.970882
1.011183042,46.01977539,15.81693268,-46.10762024,2024-06-04 15:24:02.011183
1.051483042,49.33666992,20.06402588,-40.79141998,2024-06-04 15:24:02.051483
1.091784042,52.37280273,24.65096283,-33.55384064,2024-06-04 15:24:02.091784
1.132085042,52.36248779,28.61021423,-29.74093437,2024-06-04 15:24:02.132085
1.172385042,50.57824707,33.17464066,-27.48824501,2024-06-04 15:24:02.172385
1.212686042,47.25689697,38.65773773,-25.30760002,2024-06-04 15:24:02.212686
1.252986042,42.35598755,43.77924347,-24.75657654,2024-06-04 15:24:02.252986
1.293287042,41.03295898,46.38406754,-21.43204689,2024-06-04 15:24:02.293287
1.333588042,41.85171509,47.87013626,-17.06834221,2024-06-04 15:24:02.333588
1.373888042,42.5774231,49.70851135,-11.12543297,2024-06-04 15:24:02.373888
1.414189042,43.64459229,49.42726135,-6.94046545,2024-06-04 15:24:02.414189
1.454490042,44.67340088,48.66471863,-5.118497372,2024-06-04 15:24:02.454490
1.494790042,45.90112305,47.35498428,-1.869254112,2024-06-04 15:24:02.494790
1.535091042,48.25421143,44.48356628,0.9196534157,2024-06-04 15:24:02.535091
1.575392042,51.07571411,40.31548309,5.039894581,2024-06-04 15:24:02.575392
1.615692042,52.11364746,38.62181854,7.666498661,2024-06-04 15:24:02.615692
1.655993042,52.62420654,37.96240997,6.785328388,2024-06-04 15:24:02.655993
1.696293042,52.61022949,38.09684753,4.898433685,2024-06-04 15:24:02.696293
1.736594042,51.51623535,39.69677353,4.879869461,2024-06-04 15:24:02.736594
1.776895042,47.04623413,44.43038177,6.770320415,2024-06-04 15:24:02.776895
1.817194833,41.99575806,49.57782364,4.935204983,2024-06-04 15:24:02.817195
1.857495833,46.11831665,46.68630219,-0.8352828026,2024-06-04 15:24:02.857496
1.897796833,44.54125977,48.12560654,-4.33564043,2024-06-04 15:24:02.897797
1.938096833,43.77764893,48.87282181,-5.77393198,2024-06-04 15:24:02.938097
1.978397833,43.5184021,48.89440536,-6.762502193,2024-06-04 15:24:02.978398
2.018698833,42.40567017,49.58155823,-8.705207825,2024-06-04 15:24:03.018699
2.058998833,35.81317139,54.33045578,-8.507379532,2024-06-04 15:24:03.058999
2.099299833,30.96755981,57.0795517,-5.689842701,2024-06-04 15:24:03.099300
2.139600833,28.92184448,58.12169647,-6.075119495,2024-06-04 15:24:03.139601
2.179900833,24.80493164,59.52350616,-3.945013523,2024-06-04 15:24:03.179901
2.220201833,18.55310059,55.8300209,-15.56718826,2024-06-04 15:24:03.220202
2.260502833,-38.29512024,76.35884094,-126.7835083,2024-06-04 15:24:03.260503
2.300803833,-123.8782043,215.1315765,-199.8142242,2024-06-04 15:24:03.300804
2.341103833,-233.6611633,381.5447388,-237.5963898,2024-06-04 15:24:03.341104
2.381404833,-313.8938599,479.7313843,-245.5298004,2024-06-04 15:24:03.381405
2.421705833,-329.072937,495.6946106,-251.8811493,2024-06-04 15:24:03.421706
2.462005833,-321.8722534,496.050354,-250.7242889,2024-06-04 15:24:03.462006
2.502306833,-314.3740845,497.9194336,-248.7866821,2024-06-04 15:24:03.502307
2.542607833,-316.4183044,499.8343506,-248.5003815,2024-06-04 15:24:03.542608
2.582907833,-322.481781,500.4884644,-247.1400146,2024-06-04 15:24:03.582908
2.623208833,-329.2123108,505.2405396,-253.6140289,2024-06-04 15:24:03.623209
