Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
-0.002446083337,-3.952380981,5.849086761,7.086114349,2024-06-04 15:48:31.997554
0.03729291666,-3.995641022,5.92183548,8.663983154,2024-06-04 15:48:32.037293
0.07703291666,-3.876039734,4.457580414,8.769513702,2024-06-04 15:48:32.077033
0.1167719167,-4.311035156,2.938688965,8.96171402,2024-06-04 15:48:32.116772
0.1565119167,-3.113675079,2.284549255,11.16168915,2024-06-04 15:48:32.156512
0.1962519167,-2.366578674,1.583257599,10.11536499,2024-06-04 15:48:32.196252
0.2359909167,-2.398462372,1.523831177,10.1059346,2024-06-04 15:48:32.235991
0.2757309167,-1.857187958,2.12138855,8.975934448,2024-06-04 15:48:32.275731
0.3154709167,-0.9857002258,2.739004211,7.808961182,2024-06-04 15:48:32.315471
0.3552099167,-0.6628216553,2.329755249,8.773854675,2024-06-04 15:48:32.355210
0.3949499167,-0.4026626587,2.749931488,7.285799103,2024-06-04 15:48:32.394950
0.4346899167,1.106349335,3.082539825,7.527396698,2024-06-04 15:48:32.434690
0.4744289167,0.40251297,3.769461365,8.43870163,2024-06-04 15:48:32.474429
0.5141689167,0.8924441528,3.125650177,9.998607788,2024-06-04 15:48:32.514169
0.5539089167,1.598226471,3.454815674,10.67864365,2024-06-04 15:48:32.553909
0.5936481667,1.5527211,2.687511292,12.13885712,2024-06-04 15:48:32.593648
0.6333881667,0.2995271301,2.291285248,10.91305618,2024-06-04 15:48:32.633388
0.6731281667,1.344354401,3.38745575,10.63777863,2024-06-04 15:48:32.673128
0.7128671667,2.086361389,2.135758667,10.15697845,2024-06-04 15:48:32.712867
0.7526071667,1.987716522,1.555265808,9.621541901,2024-06-04 15:48:32.752607
0.7923471667,2.98135025,2.649190979,10.26445496,2024-06-04 15:48:32.792347
0.8320861667,1.042282562,1.425785065,8.464897156,2024-06-04 15:48:32.832086
0.8718261667,-0.5755531311,1.562750244,6.630162506,2024-06-04 15:48:32.871826
0.9115651667,-0.5408253479,2.315385132,7.459587708,2024-06-04 15:48:32.911565
0.9513051667,-0.08053253174,2.438129883,7.571105804,2024-06-04 15:48:32.951305
0.9910451667,-0.6200106812,3.106789398,7.494016113,2024-06-04 15:48:32.991045
1.030784167,-0.3297642517,4.185596008,8.951535187,2024-06-04 15:48:33.030784
1.070524167,0.1739382935,4.31881897,8.92429184,2024-06-04 15:48:33.070524
1.110264167,-0.4963677979,4.093687134,10.69495972,2024-06-04 15:48:33.110264
1.150003167,-2.176923065,1.922901306,11.23967697,2024-06-04 15:48:33.150003
1.189743167,0.6113287354,3.333717499,10.94284424,2024-06-04 15:48:33.189743
1.229483167,-0.9901908875,2.726879425,10.40785675,2024-06-04 15:48:33.229483
1.269222167,-2.497705994,6.162235565,8.180488586,2024-06-04 15:48:33.269222
1.308962167,-2.046993256,3.247197418,12.08766357,2024-06-04 15:48:33.308962
1.348702167,-4.749772797,5.70418808,6.771917725,2024-06-04 15:48:33.348702
1.388441167,-4.218228149,0.9114546204,2.152374115,2024-06-04 15:48:33.388441
1.428181167,-6.957232361,2.549498291,10.38166122,2024-06-04 15:48:33.428181
1.467921167,-2.75442215,2.726580048,5.203928375,2024-06-04 15:48:33.467921
1.507660167,-5.833968201,2.482437744,9.53038147,2024-06-04 15:48:33.507660
1.547400167,-1.744771729,3.056344299,-3.39089859,2024-06-04 15:48:33.547400
1.587140167,-0.8041278076,1.007105713,8.322543182,2024-06-04 15:48:33.587140
1.626878542,6.271208954,0.2552192688,5.882167969,2024-06-04 15:48:33.626879
1.666618542,1.611997833,-1.157842255,3.981570282,2024-06-04 15:48:33.666619
1.706358542,-0.9178912354,-4.899910583,4.800666962,2024-06-04 15:48:33.706359
1.746097542,1.01324295,-7.929460602,5.798641663,2024-06-04 15:48:33.746098
1.785837542,-2.865341492,-10.62789917,9.097781067,2024-06-04 15:48:33.785838
1.825577542,-10.50455566,-13.43441299,7.450756073,2024-06-04 15:48:33.825578
1.865316542,-11.11738129,-11.2857811,6.580465851,2024-06-04 15:48:33.865317
1.905056542,-14.23045761,-11.4794783,8.142168274,2024-06-04 15:48:33.905057
1.944796542,-11.17486176,-7.276069336,6.462211761,2024-06-04 15:48:33.944797
1.984535542,-14.44466217,-14.62892899,2.289788361,2024-06-04 15:48:33.984536
2.024275542,-13.81147888,-15.00853958,3.078647919,2024-06-04 15:48:34.024276
2.064015542,-10.47297134,-12.43643829,-0.682281189,2024-06-04 15:48:34.064016
2.103754542,-4.897515564,-16.05321716,1.520987091,2024-06-04 15:48:34.103755
2.143494542,-0.5092410278,-13.23862015,-2.328108673,2024-06-04 15:48:34.143495
2.183234542,-2.42211319,-12.38509506,-5.819149017,2024-06-04 15:48:34.183235
2.222973542,-2.551593933,-13.10090652,-6.080655212,2024-06-04 15:48:34.222974
2.262713542,-4.50248703,-9.350605316,-4.284989319,2024-06-04 15:48:34.262714
2.302453542,-5.228028259,-5.791606293,-5.038971405,2024-06-04 15:48:34.302454
2.342193542,0.007035369873,3.885470123,-1.237177277,2024-06-04 15:48:34.342194
2.381932542,-0.8059240723,2.294279022,-2.599644012,2024-06-04 15:48:34.381933
2.421672542,-1.725611572,-1.461860046,2.12722641,2024-06-04 15:48:34.421673
2.466379542,-3.662882996,0.8340655518,-1.082997894,2024-06-04 15:48:34.466380
2.506119542,-4.864284668,-7.935597839,-2.850222931,2024-06-04 15:48:34.506120
2.545859542,-3.605552216,-13.28577209,0.07723937988,2024-06-04 15:48:34.545860
2.585598542,-8.432714081,-14.79253876,1.727407837,2024-06-04 15:48:34.585599
2.625338333,-9.188043365,-16.94401474,0.9048683167,2024-06-04 15:48:34.625338
2.665078333,-5.654192047,-8.288114777,5.283263397,2024-06-04 15:48:34.665078
2.704817333,-1.113534393,-10.91036179,0.5174739075,2024-06-04 15:48:34.704817
2.744557333,-2.164349213,-7.243736572,4.191882935,2024-06-04 15:48:34.744557
2.784297333,-5.547613678,-16.60257477,-8.935817871,2024-06-04 15:48:34.784297
2.824036333,-4.388424225,-20.41933777,6.766678619,2024-06-04 15:48:34.824036
2.863776333,3.317850494,-2.354304199,-2.192041626,2024-06-04 15:48:34.863776
2.903516333,4.665048981,2.421215057,-8.53809494,2024-06-04 15:48:34.903516
2.943256333,4.857698364,2.311343536,-0.6749464417,2024-06-04 15:48:34.943256
2.982995333,2.050436096,-18.73114838,44.75992126,2024-06-04 15:48:34.982995
3.022735333,-2.692900085,-21.43243103,-1.003662872,2024-06-04 15:48:35.022735
3.062475333,2.104024658,-1.019380188,-12.28390549,2024-06-04 15:48:35.062475
3.102215333,6.004014587,-11.62722107,-11.90459427,2024-06-04 15:48:35.102215
3.141954333,3.719465332,-4.646637268,-3.650009766,2024-06-04 15:48:35.141954
3.181694333,6.673123169,-10.51413574,-3.669319611,2024-06-04 15:48:35.181694
3.221434333,3.729793854,-17.43813721,-3.759881287,2024-06-04 15:48:35.221434
3.261174333,2.142794037,-8.635093231,-3.024610291,2024-06-04 15:48:35.261174
3.300913333,-3.776796112,-10.59406952,3.713477783,2024-06-04 15:48:35.300913
3.340653333,-0.9255253601,-8.358618164,1.675914917,2024-06-04 15:48:35.340653
3.380393333,1.99026123,-7.350614319,-1.248703308,2024-06-04 15:48:35.380393
3.420133333,2.940335541,-10.22568558,9.2658815,2024-06-04 15:48:35.420133
3.459872333,-1.02970871,-13.72974884,2.133363647,2024-06-04 15:48:35.459872
3.499612333,-5.657036133,-16.71199722,3.872147827,2024-06-04 15:48:35.499612
3.539352333,-0.8481362915,-13.73573639,6.381828918,2024-06-04 15:48:35.539352
3.579092333,1.694027252,-16.29616196,-5.701493683,2024-06-04 15:48:35.579092
3.618831417,5.606141968,-16.94117065,-2.520758057,2024-06-04 15:48:35.618831
3.658571417,7.630981293,-21.88823318,-8.488098907,2024-06-04 15:48:35.658571
3.698311417,9.043444061,-5.992338867,3.908522186,2024-06-04 15:48:35.698311
3.738050417,0.7325765991,-4.486470337,-2.915038147,2024-06-04 15:48:35.738050
3.777790417,1.617835693,-2.634222107,-7.373516693,2024-06-04 15:48:35.777790
3.817530417,1.819167023,1.081351318,-4.447401581,2024-06-04 15:48:35.817530
3.857270417,2.611020355,2.219284973,-4.180207214,2024-06-04 15:48:35.857270
3.897009417,0.2965333557,0.3534150696,-1.103954315,2024-06-04 15:48:35.897009
3.936749417,2.731519775,-49.16136841,15.52766006,2024-06-04 15:48:35.936749
3.976489417,3.350482635,-4.162244568,2.578986969,2024-06-04 15:48:35.976489
4.016229417,6.305787048,3.423979797,-10.14230896,2024-06-04 15:48:36.016229
4.055968417,6.897207184,-10.64720901,-14.54585175,2024-06-04 15:48:36.055968
4.095708417,3.63429245,-9.588011627,-6.211034088,2024-06-04 15:48:36.095708
4.135448417,7.277566223,-15.28815811,-2.956501923,2024-06-04 15:48:36.135448
4.175187417,3.318449249,-11.46705414,-3.578907623,2024-06-04 15:48:36.175187
4.214927417,-2.809507599,-7.917036438,0.9804611206,2024-06-04 15:48:36.214927
4.254667417,-2.197729797,-9.366622009,1.610950012,2024-06-04 15:48:36.254667
4.294407417,0.3469784546,-6.056255951,-0.7566764832,2024-06-04 15:48:36.294407
4.334146417,0.9717791748,-7.624544678,-2.243833923,2024-06-04 15:48:36.334146
4.373886417,1.858684845,-12.19049973,6.627168732,2024-06-04 15:48:36.373886
4.413626417,1.718127136,-13.71463028,7.244934082,2024-06-04 15:48:36.413626
4.453365417,-4.340523834,-15.12125519,0.3656895447,2024-06-04 15:48:36.453365
4.493105417,-1.490300903,-14.9738118,12.47685425,2024-06-04 15:48:36.493105
4.532845417,0.3683839417,-15.66956497,-6.084547119,2024-06-04 15:48:36.532845
4.572584417,3.718417511,-16.89057587,-3.186274109,2024-06-04 15:48:36.572584
4.612325083,6.21193222,-22.64730469,-10.03677841,2024-06-04 15:48:36.612325
4.652065083,5.954916687,-9.694589996,-2.512525177,2024-06-04 15:48:36.652065
4.691805083,1.954934692,-4.572840729,-3.254532166,2024-06-04 15:48:36.691805
4.731544083,1.411414948,-1.001716919,-6.641987915,2024-06-04 15:48:36.731544
4.771284083,1.796264648,4.953199768,-4.902904358,2024-06-04 15:48:36.771284
4.811024083,1.217867432,0.9806108093,-4.559518433,2024-06-04 15:48:36.811024
4.850763083,3.520529022,-2.049388275,4.494703217,2024-06-04 15:48:36.850763
4.890503083,2.54261261,-46.93370087,2.358495483,2024-06-04 15:48:36.890503
4.930243083,3.268752594,3.855233002,1.816921692,2024-06-04 15:48:36.930243
4.969983083,5.492827606,-3.703897705,5.359904022,2024-06-04 15:48:36.969983
5.009722083,3.73488327,-7.22996521,-10.65154999,2024-06-04 15:48:37.009722
5.049462083,6.584806824,-10.69840256,-7.214547272,2024-06-04 15:48:37.049462
5.089202083,5.509443054,-14.28120209,-2.132615204,2024-06-04 15:48:37.089202
5.128941083,-0.5957611084,-9.800419922,0.9204359436,2024-06-04 15:48:37.128941
5.168681083,-1.879641266,-10.23092468,3.36754715,2024-06-04 15:48:37.168681
5.208421083,-0.4911286926,-5.929020538,-0.419128418,2024-06-04 15:48:37.208421
5.248161083,0.4912783813,-5.942043457,-0.6559359741,2024-06-04 15:48:37.248161
5.287900083,0.3495231628,-10.43495041,-2.014510803,2024-06-04 15:48:37.287900
5.327640083,2.513273621,-12.75767029,7.186555481,2024-06-04 15:48:37.327640
5.367380083,1.301393738,-13.98227371,3.077899475,2024-06-04 15:48:37.367380
5.407119083,-3.65764389,-15.44203812,-2.315834198,2024-06-04 15:48:37.407119
