"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.984191666E-2,-6.503541470E-1,-9.864671826E-1,3.163118381E-3
6.958191666E-2,-5.542204380E-1,-6.943168044E-1,1.982039213E-2
1.093219167E-1,-9.273726344E-1,-1.048915744E0,-4.418921657E-3
1.490609167E-1,-9.580705166E-1,-1.417132378E0,1.372228414E-1
1.888009167E-1,-5.315760970E-1,-1.065687776E0,3.625518978E-1
2.285409167E-1,5.681040138E-2,-1.154392362E0,7.341426015E-1
2.682799167E-1,-5.709704012E-2,-5.069414973E-1,7.653103471E-1
3.080199167E-1,-2.870127261E-1,-7.158485055E-1,9.453653693E-1
3.477589167E-1,-1.807234287E-1,-6.762789488E-1,1.135342836E0
3.874989167E-1,3.224535659E-2,-2.020327598E-1,1.233299375E0
4.272389167E-1,-1.601248384E-1,-1.486543864E-1,7.176783085E-1
4.669779167E-1,-2.875498831E-1,-1.775224507E-2,-3.666513413E-2
5.067179167E-1,-1.613819450E-1,-6.175638363E-2,-1.708164066E-1
5.464579167E-1,2.280940767E-3,2.958987653E-1,-1.181844696E-1
5.861969167E-1,4.795594886E-2,3.146203756E-1,-3.135971427E-1
6.259371667E-1,3.742163777E-1,-6.673865020E-2,-7.130823284E-2
6.656771667E-1,6.870870590E-1,-2.086499780E-1,3.103855848E-1
7.054161667E-1,5.495662093E-1,-6.693249345E-1,-5.744960308E-1
7.451561667E-1,9.151258320E-2,-8.031171560E-1,-6.786894798E-1
7.848961667E-1,-3.015222251E-1,-7.627551556E-1,-1.057780385E0
8.246351667E-1,-4.266460538E-1,-1.196891144E-1,-1.393185139E0
8.643751667E-1,-3.487767279E-1,2.989519574E-2,-1.061929941E0
9.041151667E-1,-1.380146444E-1,-3.550768197E-1,-6.710904241E-1
9.438541667E-1,1.197843999E-1,1.383781135E-1,-5.390248895E-1
9.835941667E-1,3.759671748E-1,1.152748987E-1,-2.736731768E-1
1.023334167E0,6.272306442E-1,3.997217864E-2,-1.144781411E-1
1.063073167E0,2.494882196E-1,7.239857316E-1,-5.531518459E-1
1.102813167E0,4.776611626E-1,-1.909985095E-1,-7.206705213E-1
1.142552167E0,1.632580638E0,1.285891652E0,-1.034129739E0
1.182292167E0,1.574847102E0,1.186716318E0,-1.835433096E-1
1.222032167E0,-4.334296584E-1,1.870330095E0,7.330478430E-1
1.261771167E0,-7.510057092E-1,1.982632399E0,3.785491884E-1
1.301511167E0,-2.511925459E0,3.791410685E0,-6.942338347E-1
1.341251167E0,-1.797230721E0,3.178610086E0,-3.007492423E-2
1.380990167E0,1.509048939E0,-3.165233850E0,-3.622349799E-1
1.420730167E0,2.392497286E-2,-1.054721236E0,9.529046416E-1
1.460470167E0,4.426642060E-1,1.308243573E-1,1.042736530E0
1.500209167E0,3.640110195E-1,1.029073358E0,7.234478593E-1
1.539949167E0,4.068899155E-1,-1.172735572E0,1.170058966E0
1.579689167E0,-4.688368142E-1,-1.974363804E0,1.351313114E0
1.619427542E0,-7.188989520E-1,-3.279522657E-1,2.613413930E-1
1.659167542E0,-2.534208775E0,9.097655416E-1,-8.844953775E-1
1.698907542E0,-3.823623419E0,4.062901020E0,-7.772174478E-1
1.738646542E0,-2.749496937E0,2.541564465E0,-1.504678249E0
1.778386542E0,-2.630248785E0,1.289385796E0,-4.127049446E0
1.818126542E0,-3.676762342E0,1.717356324E0,-5.729729652E0
1.857865542E0,-3.857742548E0,2.586935282E0,-5.691616058E0
1.897605542E0,-3.628031969E0,1.073223233E0,-3.406540155E0
1.937345542E0,-3.010835648E0,2.630323410E0,-3.631327868E0
1.977084542E0,-3.761975527E0,3.611258984E0,-3.110887289E0
2.016824542E0,-5.005476952E0,2.314194918E0,-7.954856157E-1
2.056564542E0,-5.490569592E0,5.322570205E-1,-5.298882723E-1
2.096303542E0,3.882582188E-1,-5.133926123E-2,1.627456307E0
2.136043542E0,1.770575345E-1,-1.225599289E0,2.289662957E-1
2.175783542E0,-1.468693167E-1,-7.329121232E-1,-5.567129254E-1
2.215522542E0,-7.176055908E-1,-1.487761617E0,-2.500375807E-1
2.255262542E0,-1.380361915E0,-6.618530154E-1,4.124038517E-1
2.295002542E0,-1.094124556E0,-1.836735368E0,1.361619949E0
2.334742542E0,3.395977914E-1,-2.207520723E0,3.529472649E-1
2.374481542E0,-3.625676334E-1,-2.185487032E0,1.032231688E0
2.414221542E0,2.246550620E-1,-9.396502376E-1,2.684428394E-1
2.453961542E0,-1.453240812E-1,-4.678328931E-1,4.273528457E-1
2.493700542E0,-2.480948418E-1,-3.267294914E-2,1.768787056E-1
2.533440542E0,-7.035274804E-2,-1.212279558E0,-1.355638146E0
2.573180542E0,-4.770243168E-1,-3.474710941E0,-2.111656591E-3
2.612920333E0,2.187461615E0,-1.891204476E0,1.092141345E-1
