Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.00560104847,52.33548137,4.868733001,3.962986469,,,45.0,20.6929493,2024-06-04 15:48:32.005601
0.009227991104,52.33554444,4.86870046,3.568983674,,,45.0,18.26992226,2024-06-04 15:48:32.009228
0.009227991104,52.33555683,4.868680762,3.388166428,,,45.0,15.60404968,2024-06-04 15:48:32.009228
0.5794490576,52.335355,4.868140128,14.05093002,1.409999967,337.8515625,16.99577264,32.0,2024-06-04 15:48:32.579449
1.709438443,52.33538199,4.868130321,11.86971664,1.590000033,351.5625,14.60488385,24.0,2024-06-04 15:48:33.709438
2.7094208,52.3354128,4.868191928,3.762477875,1.590000033,3.1640625,8.055872953,16.0,2024-06-04 15:48:34.709421
3.709403634,52.33543744,4.868225791,5.351467133,1.590000033,351.5625,6.475016518,12.0,2024-06-04 15:48:35.709404
4.709386468,52.33545487,4.868247248,6.237392426,1.429999948,353.3203125,5.235155482,8.0,2024-06-04 15:48:36.709386
5.709369183,52.33546946,4.868265521,7.511989594,1.429999948,346.2890625,5.440752381,8.0,2024-06-04 15:48:37.709369
6.71026969,52.33548379,4.868277591,9.403530121,1.120000005,350.5078125,5.467769524,8.0,2024-06-04 15:48:38.710270
7.710272312,52.33549959,4.8682879,11.09127426,1.120000005,345.5859375,5.34810528,8.0,2024-06-04 15:48:39.710272
8.710252166,52.3355192,4.868291253,10.88247299,1.690000057,343.828125,4.863631627,6.0,2024-06-04 15:48:40.710252
9.710258603,52.33553899,4.868290247,10.34426498,1.690000057,343.828125,4.35724646,6.0,2024-06-04 15:48:41.710259
10.71026361,52.3355594,4.86828723,8.974391937,1.590000033,338.90625,4.1392035,6.0,2024-06-04 15:48:42.710264
11.71024537,52.33557666,4.868282704,7.705104828,1.590000033,335.0390625,3.9637521,6.0,2024-06-04 15:48:43.710245
12.71025503,52.33559837,4.868279016,6.300380707,1.960000038,334.3359375,3.964773174,4.0,2024-06-04 15:48:44.710255
13.71026015,52.33561425,4.868266562,6.300381077,1.960000038,334.3359276,4.399300717,4.019521501,2024-06-04 15:48:45.710260
14.71024239,52.33563644,4.86826315,5.600307834,1.960000038,337.4999913,4.495175024,6.000491179,2024-06-04 15:48:46.710242
15.71025109,52.33565656,4.868261787,4.889309249,1.789999962,340.312493,4.700046702,6.000072447,2024-06-04 15:48:47.710251
16.71026337,52.33567973,4.868254562,5.288418137,1.789999962,340.6640556,4.549519836,6.000381925,2024-06-04 15:48:48.710263
17.71025193,52.33570015,4.868249991,4.470363935,1.789999962,341.7187435,4.438065421,4.002986142,2024-06-04 15:48:49.710252
18.71026003,52.33571732,4.868244986,4.804714525,1.799999952,342.0703061,4.49960537,6.000482317,2024-06-04 15:48:50.710260
19.71027601,52.33573048,4.868240924,4.246364912,1.789999962,342.0703061,4.415839397,6.000648304,2024-06-04 15:48:51.710276
20.7102623,52.33574487,4.868239684,4.2671779,1.779999971,344.8828071,4.393299323,4.022063849,2024-06-04 15:48:52.710262
21.71024656,52.33575939,4.868239075,4.46017102,1.620000005,346.6406207,4.366206674,4.033472384,2024-06-04 15:48:53.710247
22.71023118,52.3357755,4.86823554,4.201748204,1.75999999,345.5859324,4.363598393,4.034565427,2024-06-04 15:48:54.710231
23.71021652,52.33578722,4.868233504,4.242824866,1.75999999,344.1796819,4.340933046,4.044022685,2024-06-04 15:48:55.710217
24.71020174,52.33579221,4.868234723,3.607753949,1.279999971,345.9374964,4.300505619,6.00087173,2024-06-04 15:48:56.710202
25.71018612,52.3358039,4.86823411,3.912014203,1.279999971,347.6953093,4.305361436,6.000862442,2024-06-04 15:48:57.710186
26.71017051,52.33581519,4.86823685,4.881679732,1.279999971,353.3203108,4.34849587,6.000779481,2024-06-04 15:48:58.710171
27.71015501,52.33583135,4.86824184,5.041042635,1.75,358.5937495,4.317850761,6.000838508,2024-06-04 15:48:59.710155
28.71013868,52.33584871,4.868248057,6.062221888,1.929999948,3.164063737,4.341424643,6.00079314,2024-06-04 15:49:00.710139
29.71012354,52.33585595,4.868247644,6.046108555,1.75,357.8906243,4.411922931,6.000655987,2024-06-04 15:49:01.710124
30.71010625,52.33586793,4.868243703,6.484585168,1.929999948,353.3203099,4.416465794,6.000647071,2024-06-04 15:49:02.710106
31.71009099,52.33588222,4.868238057,6.579983073,1.779999971,348.3984333,4.394956642,6.000689193,2024-06-04 15:49:03.710091
32.71007395,52.33589705,4.868234368,6.958278966,1.75999999,350.1562465,4.382867208,6.000712777,2024-06-04 15:49:04.710074
33.71005785,52.33587119,4.868303463,0.596888084,1.501825863,353.8615177,5.23959743,2.524114855,2024-06-04 15:49:05.710058
34.71004164,52.33588477,4.868313118,0.4300721474,1.416217085,354.9942287,5.255311239,2.491232789,2024-06-04 15:49:06.710042
35.71002543,52.3359038,4.868318872,0.6621622955,1.410046125,7.406161502,5.196106374,2.612473079,2024-06-04 15:49:07.710025
36.7100085,52.33593518,4.868320385,0.5224799495,1.602806251,358.5621291,5.180484639,2.64331533,2024-06-04 15:49:08.710009
37.70999253,52.33595413,4.86831165,0.5136048337,1.620610634,353.0245372,5.14728584,2.707394599,2024-06-04 15:49:09.709993
38.70997548,52.33596798,4.868315343,1.012492468,1.647780659,357.6808712,5.10175307,2.792248672,2024-06-04 15:49:10.709975
39.70995843,52.33597398,4.868302872,0.4207595484,1.822364933,354.2967631,5.00306869,2.965441067,2024-06-04 15:49:11.709958
40.70994186,52.3359745,4.868319292,1.662336756,1.805267416,358.245183,4.977328405,3.008444611,2024-06-04 15:49:12.709942
41.7099247,52.33598407,4.868303162,1.763137945,1.716654271,338.3072059,4.960575551,3.035988675,2024-06-04 15:49:13.709925
42.70990837,52.33600299,4.868307976,0.9017364578,1.786931914,340.2863666,4.950347435,3.052637763,2024-06-04 15:49:14.709908
43.7098912,52.33601806,4.868316794,0.8698591646,1.751345073,346.9484506,4.927146382,3.089945883,2024-06-04 15:49:15.709891
44.70987427,52.33603445,4.868312238,0.8110621553,1.812478199,344.7357017,4.923007665,3.096535574,2024-06-04 15:49:16.709874
45.70985687,52.33605449,4.868318302,0.5147379367,1.781824851,351.5265646,4.916286035,3.107196269,2024-06-04 15:49:17.709857
46.70983922,52.3360729,4.868329993,1.006730575,1.770411893,0.744053388,4.905040859,3.124917792,2024-06-04 15:49:18.709839
47.70982277,52.33609239,4.868368857,-0.03715013154,1.798031572,23.76772609,4.903825674,3.126824394,2024-06-04 15:49:19.709823
48.7098062,52.33611204,4.868361307,0.4622337446,1.753830849,11.17859365,4.882176808,3.160519996,2024-06-04 15:49:20.709806
49.70978856,52.33613036,4.868360229,0.2418683823,1.747499961,4.911119223,4.872376618,3.17560752,2024-06-04 15:49:21.709789
50.70977151,52.33614605,4.868361433,1.507188314,1.718262998,359.6999832,4.871899357,3.176339668,2024-06-04 15:49:22.709772
51.70975363,52.33615738,4.868372218,1.147473962,1.731019764,3.369209022,4.863675462,3.188918003,2024-06-04 15:49:23.709754
52.70973647,52.33617194,4.868377274,1.300143881,1.711853451,4.90090825,4.856497114,3.199839497,2024-06-04 15:49:24.709736
53.70971966,52.33618682,4.868386887,0.7531200955,1.689029545,8.418387069,4.853522198,3.204350059,2024-06-04 15:49:25.709720
54.70970201,52.33619688,4.868405511,0.7513696896,1.734498748,13.16638791,4.846800569,3.214507937,2024-06-04 15:49:26.709702
55.70968473,52.33621463,4.868406575,1.330218642,1.784137933,8.4548492,4.841504668,3.222478795,2024-06-04 15:49:27.709685
56.7096678,52.33622741,4.868417077,1.036434554,1.746769433,8.871864131,4.830631715,3.238755049,2024-06-04 15:49:28.709668
57.70964968,52.33624939,4.868421132,1.10898453,1.770763038,8.28058943,4.82217345,3.251335149,2024-06-04 15:49:29.709650
58.70963275,52.33625961,4.868427461,1.549421273,1.753900403,8.432552918,4.814375746,3.262870394,2024-06-04 15:49:30.709633
59.70961499,52.3362777,4.868431746,1.461637844,1.691940009,3.300743069,4.809156122,3.270558733,2024-06-04 15:49:31.709615
60.70959783,52.33629351,4.868465357,0.8650726778,1.672530337,9.176839972,4.813499485,3.264162947,2024-06-04 15:49:32.709598
61.70958078,52.33630851,4.868489036,1.740009058,1.808198332,14.35940764,4.810794889,3.268147727,2024-06-04 15:49:33.709581
62.7095629,52.33632174,4.868505338,1.489078206,1.739044444,15.75271642,4.804115085,3.277959012,2024-06-04 15:49:34.709563
63.70954597,52.33632615,4.868556034,1.284871317,1.603408265,29.69913323,4.816621868,3.259553775,2024-06-04 15:49:35.709546
64.70952761,52.33633235,4.868558866,1.348503756,1.302898986,18.16310553,4.840515149,3.22396497,2024-06-04 15:49:36.709528
65.70951092,52.33634492,4.868556472,0.4228849597,1.426853154,10.55382991,4.868680854,3.18127078,2024-06-04 15:49:37.709511
66.70949352,52.33635807,4.868571744,1.048704539,1.511728293,11.40964085,4.880241332,3.163507795,2024-06-04 15:49:38.709494
67.70947552,52.33635807,4.86862746,1.193852751,1.233950187,36.04461383,4.851407926,3.207550182,2024-06-04 15:49:39.709476
68.70945787,52.33637606,4.868629583,1.408779929,1.3198344,32.16826394,4.826860126,3.244373338,2024-06-04 15:49:40.709458
69.70944083,52.33638759,4.868641634,1.219342398,1.244711819,25.25394468,4.825967316,3.245701234,2024-06-04 15:49:41.709441
70.70942295,52.33640058,4.868668707,1.847357821,1.517915794,25.42953955,4.83419387,3.233435737,2024-06-04 15:49:42.709423
71.70940506,52.33641169,4.868676852,1.270652282,1.434447597,25.23740655,4.837957519,3.22780174,2024-06-04 15:49:43.709405
72.7093879,52.3364251,4.868696123,0.6697878642,1.565138895,22.44658137,4.860990877,3.193008726,2024-06-04 15:49:44.709388
73.70937037,52.33643679,4.86867373,1.602918249,1.289602932,343.8800118,4.842049047,3.221660761,2024-06-04 15:49:45.709370
74.70935249,52.33644829,4.868662986,1.993481024,1.381828958,326.8727958,4.902999339,3.128119965,2024-06-04 15:49:46.709352
75.70933545,52.33644577,4.868656305,1.182746884,1.03625869,306.5631442,4.988120063,2.990517559,2024-06-04 15:49:47.709335
