Time (s),X (µT),Y (µT),Z (µT),Datetime
0.02984191666,19.5754261,1.722911835,-45.32444763,2024-06-04 15:48:32.029842
0.06958191666,17.94888496,2.733455658,-46.01515198,2024-06-04 15:48:32.069582
0.1093219167,16.64832878,3.911046982,-46.40089417,2024-06-04 15:48:32.109322
0.1490609167,14.21587563,5.818805695,-46.71110535,2024-06-04 15:48:32.149061
0.1888009167,11.94216728,7.362118721,-47.046875,2024-06-04 15:48:32.188801
0.2285409167,9.963838577,7.96677494,-47.49217224,2024-06-04 15:48:32.228541
0.2682799167,8.441659927,7.897010803,-47.85986328,2024-06-04 15:48:32.268280
0.3080199167,7.957643509,7.869365692,-47.49891663,2024-06-04 15:48:32.308020
0.3477589167,6.695886612,8.047704697,-47.66223145,2024-06-04 15:48:32.347759
0.3874989167,5.871774673,8.199241638,-47.86610413,2024-06-04 15:48:32.387499
0.4272389167,5.814245224,8.067178726,-47.88534546,2024-06-04 15:48:32.427239
0.4669779167,5.625497818,8.336334229,-47.59616089,2024-06-04 15:48:32.466978
0.5067179167,5.433858871,9.062969208,-47.69874573,2024-06-04 15:48:32.506718
0.5464579167,5.384859085,9.174653053,-47.5382843,2024-06-04 15:48:32.546458
0.5861969167,6.019357681,9.129015923,-47.60447693,2024-06-04 15:48:32.586197
0.6259371667,6.267301559,8.83422184,-47.4414978,2024-06-04 15:48:32.625937
0.6656771667,6.328714371,7.872040749,-47.72026062,2024-06-04 15:48:32.665677
0.7054161667,5.424535751,6.633286476,-48.27249146,2024-06-04 15:48:32.705416
0.7451561667,4.074251175,6.218340874,-48.23088074,2024-06-04 15:48:32.745156
0.7848961667,3.01616478,6.300646782,-48.6574707,2024-06-04 15:48:32.784896
0.8246351667,1.643274307,7.201768875,-48.1418457,2024-06-04 15:48:32.824635
0.8643751667,1.192972183,7.898693085,-48.42626953,2024-06-04 15:48:32.864375
0.9041151667,0.812253952,8.593085289,-48.19087219,2024-06-04 15:48:32.904115
0.9438541667,0.3016376495,8.754270554,-47.98554993,2024-06-04 15:48:32.943854
0.9835941667,0.3883037567,8.475635529,-47.91325378,2024-06-04 15:48:32.983594
1.023334167,0.6191921234,7.417526245,-48.42448425,2024-06-04 15:48:33.023334
1.063073167,0.9754238129,6.398680687,-48.34146118,2024-06-04 15:48:33.063073
1.102813167,1.740018845,6.043200493,-48.25796509,2024-06-04 15:48:33.102813
1.142552167,2.531759262,4.524990082,-48.31782532,2024-06-04 15:48:33.142552
1.182292167,4.941507339,0.9610671997,-48.36026001,2024-06-04 15:48:33.182292
1.222032167,7.42927742,-0.5460014343,-47.75138855,2024-06-04 15:48:33.222032
1.261771167,11.44328117,0.1684684753,-47.13417053,2024-06-04 15:48:33.261771
1.301511167,15.13717079,2.59107399,-46.25752258,2024-06-04 15:48:33.301511
1.341251167,23.60219002,7.222261429,-42.19914246,2024-06-04 15:48:33.341251
1.380990167,23.68828392,6.923698425,-42.08462524,2024-06-04 15:48:33.380990
1.420730167,19.4269352,5.72552681,-44.09599304,2024-06-04 15:48:33.420730
1.460470167,19.15740395,4.266094208,-44.70828247,2024-06-04 15:48:33.460470
1.500209167,19.3799572,3.359992981,-44.5480957,2024-06-04 15:48:33.500209
1.539949167,21.70189095,2.209173203,-43.78475952,2024-06-04 15:48:33.539949
1.579689167,18.69410133,0.9154434204,-45.01277161,2024-06-04 15:48:33.579689
1.619427542,16.20510292,0.8250141144,-46.13052368,2024-06-04 15:48:33.619428
1.659167542,16.19847679,2.855493546,-45.93630981,2024-06-04 15:48:33.659168
1.698907542,20.34118462,8.024904251,-43.92410278,2024-06-04 15:48:33.698908
1.738646542,25.43312645,12.54674435,-39.35987854,2024-06-04 15:48:33.738647
1.778386542,26.18995857,16.34503174,-34.681427,2024-06-04 15:48:33.778387
1.818126542,21.78133965,23.73203468,-28.60551453,2024-06-04 15:48:33.818127
1.857865542,14.93272591,33.45259094,-20.67274475,2024-06-04 15:48:33.857866
1.897605542,8.023775101,40.71266937,-13.27093506,2024-06-04 15:48:33.897606
1.937345542,3.322553635,45.06066895,-6.630577087,2024-06-04 15:48:33.937346
1.977084542,-2.628791809,47.05214691,-0.4492797852,2024-06-04 15:48:33.977085
2.016824542,-6.519634247,47.19645691,7.838973999,2024-06-04 15:48:34.016825
2.056564542,-8.746591568,45.3724556,18.06983948,2024-06-04 15:48:34.056565
2.096303542,-6.312818527,44.51027679,24.91513824,2024-06-04 15:48:34.096304
2.136043542,-3.724559784,44.73506165,25.38131714,2024-06-04 15:48:34.136044
2.175783542,-2.563402176,43.89734268,26.3368454,2024-06-04 15:48:34.175784
2.215522542,-0.2921066284,42.08430481,28.71928406,2024-06-04 15:48:34.215523
2.255262542,5.026327133,39.38912964,33.16175842,2024-06-04 15:48:34.255263
2.295002542,17.3723774,35.59857178,36.77267456,2024-06-04 15:48:34.295003
2.334742542,50.04962158,32.08282471,29.01086426,2024-06-04 15:48:34.334743
2.374481542,82.91496277,39.81054306,-7.189743042,2024-06-04 15:48:34.374482
2.414221542,80.68782043,47.6282196,-33.13589478,2024-06-04 15:48:34.414222
2.453961542,70.26665497,44.7643013,-20.83815002,2024-06-04 15:48:34.453962
2.493700542,55.7436676,42.93939972,2.640075684,2024-06-04 15:48:34.493701
2.533440542,40.29242706,41.93050385,18.55989075,2024-06-04 15:48:34.533441
2.573180542,28.1014576,42.00971603,23.59176636,2024-06-04 15:48:34.573181
2.612920333,25.97644615,42.77883148,22.0675354,2024-06-04 15:48:34.612920
2.652659333,25.89151192,45.32365799,18.85837555,2024-06-04 15:48:34.652659
2.692399333,22.05501747,49.85983658,13.18939972,2024-06-04 15:48:34.692399
2.732139333,11.91728783,52.06129837,7.350135803,2024-06-04 15:48:34.732139
2.771878333,3.137144089,52.06573486,3.139884949,2024-06-04 15:48:34.771878
2.811618333,-0.9153633118,51.80180359,5.781280518,2024-06-04 15:48:34.811618
2.851358333,-2.153881073,52.35824585,9.969139099,2024-06-04 15:48:34.851358
2.891098333,-2.22385025,53.06246948,11.87346649,2024-06-04 15:48:34.891098
2.930837333,-0.9829730988,53.83864594,11.0517807,2024-06-04 15:48:34.930837
2.970577333,0.081407547,53.9758873,8.595031738,2024-06-04 15:48:34.970577
3.010317333,-0.6820278168,53.74692917,0.6770324707,2024-06-04 15:48:35.010317
3.050056333,1.345911026,52.37036133,6.483123779,2024-06-04 15:48:35.050056
3.089796333,2.284543991,51.64083862,10.04376221,2024-06-04 15:48:35.089796
3.129536333,-1.655990601,52.88594055,9.715835571,2024-06-04 15:48:35.129536
3.169276333,-6.420915604,52.9015274,11.01435089,2024-06-04 15:48:35.169276
3.209015333,-12.68951225,50.34152222,12.81646729,2024-06-04 15:48:35.209015
3.248755333,-14.35248184,48.63104248,13.14202118,2024-06-04 15:48:35.248755
3.288495333,-14.49359322,46.66838074,16.53191376,2024-06-04 15:48:35.288495
3.328235333,-14.05237389,43.49449158,21.72972107,2024-06-04 15:48:35.328235
3.367974333,-14.15279007,41.93757629,23.68275452,2024-06-04 15:48:35.367974
3.407714333,-15.58971596,38.30680847,26.81040955,2024-06-04 15:48:35.407714
3.447454333,-18.29144096,36.40337372,27.99170685,2024-06-04 15:48:35.447454
3.487194333,-19.91151237,36.51508331,26.8855896,2024-06-04 15:48:35.487194
3.526933333,-19.04103279,38.90393066,25.40968323,2024-06-04 15:48:35.526933
3.566673333,-17.66907501,43.56320953,19.94059753,2024-06-04 15:48:35.566673
3.606413417,-14.79279137,46.33965302,16.51313019,2024-06-04 15:48:35.606413
3.646153417,-12.69091606,47.79167175,12.64446259,2024-06-04 15:48:35.646153
3.685892417,-13.4252243,47.50632477,11.16453552,2024-06-04 15:48:35.685892
3.725632417,-12.3275547,47.99065399,6.280380249,2024-06-04 15:48:35.725632
3.765372417,-11.21220207,47.9091568,3.917358398,2024-06-04 15:48:35.765372
3.805112417,-9.172420502,48.98749542,3.655090332,2024-06-04 15:48:35.805112
3.844851417,-7.509048462,50.32331848,3.703987122,2024-06-04 15:48:35.844851
3.884591417,-7.096256256,50.74069977,4.53528595,2024-06-04 15:48:35.884591
3.924331417,-7.161046982,50.61580658,4.128997803,2024-06-04 15:48:35.924331
3.964070417,-6.758943558,50.51111603,3.213058472,2024-06-04 15:48:35.964070
4.003810417,-5.10216713,51.6497345,5.132385254,2024-06-04 15:48:36.003810
4.043550417,-5.255346298,52.07385635,6.28754425,2024-06-04 15:48:36.043550
4.083290417,-9.08656311,51.28791046,8.721038818,2024-06-04 15:48:36.083290
4.123029417,-10.44791412,50.89944077,12.04119873,2024-06-04 15:48:36.123029
4.162769417,-12.29590988,50.08197784,12.01966858,2024-06-04 15:48:36.162769
4.202509417,-14.40429878,48.10233688,12.23212433,2024-06-04 15:48:36.202509
4.242248417,-16.12736893,44.58001709,17.96022034,2024-06-04 15:48:36.242248
4.281988417,-15.5198555,43.34273148,20.19308472,2024-06-04 15:48:36.281988
4.321728417,-15.14408112,42.35410309,21.69445801,2024-06-04 15:48:36.321728
4.361468417,-16.08666229,39.58960342,25.55116272,2024-06-04 15:48:36.361468
4.401207417,-17.66529083,36.32395935,28.7503891,2024-06-04 15:48:36.401207
4.440947417,-21.47575378,36.75790405,25.96463013,2024-06-04 15:48:36.440947
4.480687417,-21.86911201,38.45559692,25.00235748,2024-06-04 15:48:36.480687
4.520426417,-20.63179398,42.66215134,19.2618103,2024-06-04 15:48:36.520426
4.560166417,-17.4390564,45.56652069,13.93182373,2024-06-04 15:48:36.560166
4.599907083,-15.58170891,46.19514465,10.14495087,2024-06-04 15:48:36.599907
4.639647083,-15.3859024,45.78283691,8.736953735,2024-06-04 15:48:36.639647
4.679386083,-13.26825905,46.11279297,3.95174408,2024-06-04 15:48:36.679386
4.719126083,-10.10294533,46.49307251,2.629188538,2024-06-04 15:48:36.719126
4.758866083,-6.691293716,47.85347366,2.65662384,2024-06-04 15:48:36.758866
4.798605083,-5.311260223,48.3089447,2.939399719,2024-06-04 15:48:36.798605
4.838345083,-5.493478775,49.0617218,4.546211243,2024-06-04 15:48:36.838345
4.878085083,-7.223098755,48.8581543,0.9789428711,2024-06-04 15:48:36.878085
4.917824083,-5.871498108,48.9818573,2.327812195,2024-06-04 15:48:36.917824
4.957564083,-4.217630386,49.98339081,2.956138611,2024-06-04 15:48:36.957564
4.997304083,-5.926769257,49.83263016,5.250793457,2024-06-04 15:48:36.997304
5.037044083,-8.794103622,49.74815369,8.579162598,2024-06-04 15:48:37.037044
5.076783083,-11.60416412,49.51775742,10.2081604,2024-06-04 15:48:37.076783
5.116523083,-13.25445175,49.23249054,10.35237122,2024-06-04 15:48:37.116523
5.156263083,-14.83468246,47.27991486,13.87386322,2024-06-04 15:48:37.156263
5.196002083,-15.0657711,45.82198334,17.3189621,2024-06-04 15:48:37.196002
5.235742083,-14.35224152,44.86302567,18.76695251,2024-06-04 15:48:37.235742
5.275482083,-14.99116325,43.49243164,20.58174133,2024-06-04 15:48:37.275482
5.315222083,-15.63968086,40.51179504,24.27102661,2024-06-04 15:48:37.315222
5.354961083,-17.05344009,37.38266373,27.81312561,2024-06-04 15:48:37.354961
5.394701083,-19.74775696,38.73503113,24.51021576,2024-06-04 15:48:37.394701
5.434441083,-19.51367188,39.76319885,23.98193359,2024-06-04 15:48:37.434441
5.474180083,-19.67281723,43.67567444,17.46250916,2024-06-04 15:48:37.474180
5.513920083,-16.43636322,46.77287674,12.4079895,2024-06-04 15:48:37.513920
5.553660083,-12.28520012,48.03809357,11.06247711,2024-06-04 15:48:37.553660
5.593399042,-11.09137917,48.53731537,8.544509888,2024-06-04 15:48:37.593399
5.633139042,-9.603126526,48.21364212,5.90448761,2024-06-04 15:48:37.633139
5.672879042,-8.351356506,48.18370819,5.163146973,2024-06-04 15:48:37.672879
5.712619042,-5.671253204,49.3699646,4.364830017,2024-06-04 15:48:37.712619
5.752358042,-3.861761093,50.40296173,3.200088501,2024-06-04 15:48:37.752358
5.792098042,-3.3105793,50.45883942,3.712287903,2024-06-04 15:48:37.792098
5.831838042,-4.259353638,50.29217529,3.173622131,2024-06-04 15:48:37.831838
5.871577042,-3.697608948,49.67287064,1.971511841,2024-06-04 15:48:37.871577
5.911317042,-0.9040908813,50.65351486,2.795883179,2024-06-04 15:48:37.911317
5.951057042,-2.17483902,51.0267868,5.998031616,2024-06-04 15:48:37.951057
5.990796042,-8.51669693,49.88650513,9.371482849,2024-06-04 15:48:37.990796
6.030536042,-11.68841553,49.23313141,11.01029205,2024-06-04 15:48:38.030536
6.070276042,-13.17469025,48.88774109,11.65592194,2024-06-04 15:48:38.070276
6.110015042,-15.03034401,47.10945892,14.02715302,2024-06-04 15:48:38.110015
6.149755042,-15.22702217,45.03687286,19.53026581,2024-06-04 15:48:38.149755
6.189495042,-13.22010422,44.0638504,21.86193848,2024-06-04 15:48:38.189495
6.229234042,-12.7548542,42.52281189,23.98755646,2024-06-04 15:48:38.229234
6.268974042,-15.25898933,39.25331116,26.60691833,2024-06-04 15:48:38.268974
6.308714042,-19.55749893,37.2151947,26.87230682,2024-06-04 15:48:38.308714
6.348453042,-21.72093773,37.86246872,24.74646759,2024-06-04 15:48:38.348453
6.388193042,-20.46165085,40.2747879,23.89372253,2024-06-04 15:48:38.388193
6.427933042,-18.70020103,44.67876434,17.83836365,2024-06-04 15:48:38.427933
6.467672042,-15.00675964,47.67752457,12.71231079,2024-06-04 15:48:38.467672
6.507412042,-12.7794857,48.56538391,9.978347778,2024-06-04 15:48:38.507412
6.547152042,-11.67451859,48.99842072,8.536582947,2024-06-04 15:48:38.547152
6.586891042,-8.098817825,49.67295837,7.250457764,2024-06-04 15:48:38.586891
6.626630917,-5.046392441,49.79285431,7.682701111,2024-06-04 15:48:38.626631
6.666370917,-1.812786102,50.79193878,7.95514679,2024-06-04 15:48:38.666371
