"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.357916664E-3,-5.039719849E0,5.958958282E0,9.065897369E0
4.909991666E-2,-2.840642853E0,4.032464447E0,1.302725967E1
8.884091667E-2,-2.924618225E0,5.959407349E0,4.909191284E0
1.285819167E-1,-1.245410156E0,4.637356567E0,8.600515137E0
1.683239167E-1,-8.352630615E-1,3.286266174E0,1.047686325E1
2.080649167E-1,-1.097068634E0,4.215683441E0,5.716462555E0
2.478059167E-1,-1.659149780E0,5.059778137E0,2.848426666E0
2.875479167E-1,-1.927990723E0,4.457879791E0,5.294789429E0
3.272894167E-1,3.053649902E-2,4.692142639E0,8.081993408E0
3.670314167E-1,-1.571132813E0,5.739065552E0,1.036130356E1
4.067724167E-1,-3.347788239E0,3.915557556E0,9.483379211E0
4.465144167E-1,-4.838687897E0,5.326523438E0,9.302555237E0
4.862554167E-1,-4.431684265E0,4.982838135E0,6.299350433E0
5.259964167E-1,-7.591014404E0,2.251018982E0,7.918383636E0
5.657384167E-1,-8.915011139E0,-4.019142151E-1,9.955048370E0
6.054794167E-1,-4.993915100E0,2.160157928E0,1.119896164E1
6.452214167E-1,-5.341043243E0,1.731748810E0,2.670446777E0
6.849624167E-1,-3.832779694E0,6.824308777E-1,7.401358795E0
7.247044167E-1,-3.000660095E0,8.863069153E-1,3.831432495E0
7.644454167E-1,-1.783990173E0,-5.363346863E-1,9.749226379E-1
8.041874167E-1,7.768844604E-2,-1.194216614E0,7.159461823E0
8.439284167E-1,-3.875440979E-1,1.407073975E-2,4.425846405E0
8.836704167E-1,-1.458117828E0,-2.936443634E0,6.885232086E0
9.234114167E-1,-7.785460052E0,-6.867119751E0,6.968159637E0
9.631534167E-1,-1.227237946E1,-8.853938141E0,8.034093018E0
1.002894417E0,-1.531315613E1,-9.027127991E0,8.273445282E0
1.042636417E0,-1.319775513E1,-8.667425995E0,8.168064423E0
1.082377417E0,-6.527925110E0,-9.226064301E0,5.044060822E0
1.122119417E0,-7.568710785E0,-6.807244263E0,7.547904053E0
1.161860417E0,-5.926026764E0,-6.084696808E0,5.794450378E0
1.201602417E0,-5.570216675E0,-3.434008942E0,8.911119232E0
1.241343417E0,-5.761668549E0,-3.926035767E0,7.553442535E0
1.281085417E0,-4.031416626E0,-6.986421661E0,-2.622546387E-1
1.320826042E0,-3.776796112E0,-9.290729828E0,-1.377734985E0
1.360568042E0,-7.400161285E0,-1.189965454E1,6.734046478E0
1.400310042E0,-4.674179993E0,-1.161165344E1,3.896397400E0
1.440051042E0,-4.232448578E0,-1.238599319E1,-2.974913635E0
1.479793042E0,-2.866539001E0,-1.348500778E1,-6.708000641E0
1.519534042E0,-1.069825287E0,-1.010608429E1,8.313711548E-1
1.559276042E0,-2.113155670E0,-1.066412384E1,-2.817740479E0
1.599017042E0,-2.138752441E0,-9.452842712E0,-2.591560822E0
1.638759042E0,-2.165097656E0,-1.065948349E1,-5.179678802E0
1.678501042E0,-6.044430542E-1,-5.880671082E0,-2.313289490E0
1.718242042E0,-1.896107025E0,-5.378914490E0,-3.300486603E0
1.757984042E0,-5.167104950E0,-6.805597687E0,-1.089883575E0
1.797726042E0,1.296304321E0,-3.886368256E0,-1.986069946E0
1.837467042E0,-7.502398682E0,-1.274120453E1,-1.802551575E0
1.877209042E0,-3.932173004E0,-1.039633072E1,-7.619155884E-1
1.916950042E0,-5.373525696E0,-1.261516663E1,-3.567082214E0
1.956692042E0,-8.307873688E0,-1.372525818E1,-6.863078156E0
1.996434042E0,-2.890040131E0,-1.378184052E1,-1.371463028E1
2.036175042E0,6.022875366E0,-8.572223969E0,-9.478439484E0
2.075917042E0,-5.730682983E0,-1.474433899E1,5.648204498E0
2.115659042E0,-2.996169434E0,-1.049617310E1,3.541335754E0
2.155401042E0,-7.188052368E-1,-2.944526825E0,3.583547974E-1
2.195142042E0,-1.180744629E0,-7.912545776E-1,-2.614014130E0
2.234884042E0,4.528083801E-1,-8.888516235E-1,1.609602814E0
2.274626042E0,-1.698517914E0,9.699829102E-2,-1.202000427E-1
2.314366583E0,-7.591762848E0,-1.370759491E1,3.781586151E0
2.354108583E0,-4.281696167E0,-1.312680267E1,-7.999365234E-1
2.393850583E0,-1.175520493E1,-1.227567261E1,7.390730896E0
2.433592583E0,-3.343297577E0,-1.322978851E1,-1.658850403E0
2.473333583E0,-7.497009888E0,-8.273894348E0,-1.218017120E0
2.513075583E0,-5.173391876E0,-7.509434052E0,-3.387605438E0
2.552817583E0,-8.221203918E0,-9.861343231E0,-1.607207794E0
2.592558583E0,-4.153113556E0,-7.391479340E0,-5.140310669E-1
2.632300583E0,-1.463806000E0,-4.219275970E0,-9.271719360E-1
2.672042583E0,-1.244212646E0,-8.332871704E0,-8.927435303E-1
2.711784583E0,-5.378016357E0,-2.812351685E0,-6.577322388E-1
2.751525583E0,-2.424059143E0,-8.584498444E0,-7.056326294E-1
2.791267583E0,-3.548371124E0,-7.635172577E0,2.672243042E0
2.831009583E0,-8.731492767E0,-1.019754410E1,-4.834945679E-1
2.870751583E0,-6.283034363E0,-9.015152893E0,-5.306465149E-1
2.910492583E0,-3.779939575E0,-1.217583023E1,-3.186423798E0
2.950234583E0,-7.797285461E-1,-1.512739243E1,-4.744982758E0
2.989976583E0,-6.157295837E0,-1.597852249E1,-7.744595032E0
3.029718583E0,-1.236623428E1,-7.792794800E0,8.831634521E-1
3.069460583E0,-6.766977997E0,-8.016579437E0,8.565188599E-1
3.109201583E0,-3.861819305E0,-1.010054581E1,8.402027893E-1
3.148943583E0,9.276210022E-1,-6.612499237E0,1.318757629E0
3.188685583E0,-1.565145264E0,-4.029320984E0,1.599124603E0
3.228427583E0,-9.851014709E-1,-2.728076935E0,2.162852325E0
3.268169583E0,-1.913171539E0,-5.381758575E0,3.248394928E0
3.307911542E0,-7.657176819E0,-1.006596771E1,5.483546906E0
3.347653542E0,-6.083050232E0,-1.383902161E1,1.082324295E1
3.387395542E0,-5.803731079E0,-1.453926544E1,-5.896238708E-1
3.427137542E0,-3.659290466E0,-1.512215332E1,1.131946106E0
3.466879542E0,-2.433788910E0,-1.348455872E1,-3.026705933E-1
3.506621542E0,1.498384094E-1,-8.885372772E0,-5.532495117E0
3.546362542E0,-1.732197876E0,-5.806575165E0,1.861738495E1
3.586104542E0,-1.825903015E0,-4.870421906E0,2.286345520E0
3.630814542E0,-4.807702332E0,-3.025059357E0,2.562521210E0
3.670556542E0,-1.741328888E0,-5.924978943E0,2.515818329E0
3.710298542E0,-1.848955078E0,-1.127859604E1,5.403463440E0
3.750040542E0,1.587897949E0,-4.676125946E0,2.612068176E0
3.789781542E0,-4.818330231E0,-8.642427979E0,-1.068537964E1
3.829523542E0,-4.332290955E0,-6.178851013E0,1.278341675E0
3.869265542E0,-2.422412567E0,-5.754782867E0,2.950664062E0
3.909007542E0,-1.740430756E1,-3.971915359E1,2.835448654E1
3.948749542E0,-4.070784760E0,-2.394959656E1,-1.268102966E1
3.988491542E0,-6.268963623E-1,-2.529919006E1,2.228715363E0
4.028233542E0,-4.404291229E0,-1.145418091E1,8.842112732E-1
4.067975542E0,-2.246678009E0,-2.072590027E0,-3.164569244E0
4.107717542E0,1.375639343E-1,-2.503244476E0,-2.750230865E0
4.147459542E0,2.069296875E0,-3.245401154E0,-2.166145477E0
4.187201542E0,1.961371307E0,-7.101232910E-1,6.423143005E-1
4.226942542E0,-3.036585388E0,-5.578748932E0,5.661377106E0
4.266684542E0,-1.718157074E1,-1.098340988E1,1.237820938E1
4.306425958E0,-5.739514618E0,-1.337304062E1,7.462282104E0
4.346167958E0,1.257085876E0,-8.047714691E0,-1.548978882E0
4.385909958E0,-4.010909271E0,-2.357342880E1,2.923465622E1
4.425651958E0,6.058650970E0,-7.813900909E0,6.683900757E0
4.465393958E0,4.749623108E-1,-1.754202118E1,-8.824898529E0
4.505135958E0,-6.237229614E0,-1.520403305E1,4.462220764E-1
4.544877958E0,3.240760803E-1,-6.829248505E0,-6.480024719E-1
4.584619958E0,2.033072205E0,-2.631228333E0,2.392025757E-1
4.624361958E0,-1.006357269E0,-9.180708618E0,8.217910767E-1
4.664103958E0,7.762857056E-1,-7.898475037E0,5.725593567E-1
4.703845958E0,-2.611918488E0,-9.365873566E0,8.056246948E-1
4.743587958E0,-5.538033600E0,-1.290032364E1,1.165775757E0
4.783329958E0,-5.066065063E0,-1.509146713E1,4.531975708E0
4.823071958E0,-3.188369751E0,-1.314611252E1,3.128793640E0
4.862813958E0,-2.519261169E-1,-1.651485718E1,3.733386383E0
4.902555958E0,7.701035614E0,-1.720851471E1,-2.355352020E0
4.942297958E0,1.672921143E0,-1.830857712E1,4.796625366E0
4.982039958E0,-4.528981934E0,-1.190878555E1,-2.773731995E0
5.021781958E0,-1.649270325E0,-5.143903198E0,-3.090323639E0
5.061523958E0,-1.203497314E-1,-2.977009277E0,-3.209176483E0
5.101265958E0,3.259022827E0,5.992039490E-1,-1.563049622E0
5.141007958E0,2.473157043E0,7.523355103E-1,-1.779499512E0
