Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.05655091666,0.6082128286,-0.7942948341,0.3155342638,2024-06-09 09:56:12.056551
0.09629291666,-0.5191558003,-1.851732373,0.08458523452,2024-06-09 09:56:12.096293
0.1360339167,-0.878234446,-1.501756549,-0.06142610312,2024-06-09 09:56:12.136034
0.1757749167,0.1311501116,-0.3035874367,0.2455735654,2024-06-09 09:56:12.175775
0.2155169167,0.359722048,-0.07706153393,0.02345273457,2024-06-09 09:56:12.215517
0.2552579167,-0.7983447909,-0.1458431482,-0.162016198,2024-06-09 09:56:12.255258
0.2950004167,-1.048509359,-0.3492133915,0.0475843139,2024-06-09 09:56:12.295000
0.3347414167,-0.5022826195,0.4223437011,-0.2562063336,2024-06-09 09:56:12.334741
0.3744824167,0.07572603971,1.052553177,-0.6282730103,2024-06-09 09:56:12.374482
0.4142244167,0.585036099,1.105364561,-0.3772308528,2024-06-09 09:56:12.414224
0.4539654167,-0.7407046556,2.993032932,-0.1655932069,2024-06-09 09:56:12.453965
0.4937074167,-2.285498381,3.054691553,-0.6707923412,2024-06-09 09:56:12.493707
0.5334484167,-0.7586550117,-0.8461242318,-0.4898298681,2024-06-09 09:56:12.533448
0.5731904167,-0.4692806005,-0.259386301,1.311959028,2024-06-09 09:56:12.573190
0.6129314167,-0.5808411241,1.24046576,0.5857993364,2024-06-09 09:56:12.612931
0.6526724167,-1.230757594,-0.2351525575,0.6602454185,2024-06-09 09:56:12.652672
0.6924144167,-1.501695275,0.9491659403,0.9518484473,2024-06-09 09:56:12.692414
0.7321554167,-2.399619818,2.262921333,0.8727906346,2024-06-09 09:56:12.732155
0.7718974167,-3.553153276,2.793979168,0.8855608106,2024-06-09 09:56:12.771897
0.8116384167,-2.139797688,3.023180008,0.9245817661,2024-06-09 09:56:12.811638
0.8513804167,-1.220873833,0.1447898,-0.6560129523,2024-06-09 09:56:12.851380
0.8911214167,-0.9590925574,-0.1974684,-2.581167698,2024-06-09 09:56:12.891121
0.9308634167,-2.057228565,0.6120864153,-2.976862192,2024-06-09 09:56:12.930863
