Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.05655091666,0.8198290434,-0.939565402,4.829648686,2024-06-09 09:56:12.056551
0.09629291666,0.199449403,1.047079033,-3.000059586,2024-06-09 09:56:12.096293
0.1360339167,1.312730612,-0.2389616704,0.623988542,2024-06-09 09:56:12.136034
0.1757749167,1.349810876,-1.271999492,2.024212503,2024-06-09 09:56:12.175775
0.2155169167,0.944537728,-0.5219072664,-2.9752288,2024-06-09 09:56:12.215517
0.2552579167,0.3376522918,0.3698536393,-5.455987224,2024-06-09 09:56:12.255258
0.2950004167,0.08206187099,0.1796361127,-3.110559098,2024-06-09 09:56:12.295000
0.3347414167,2.133851013,0.6707060409,-0.8365067643,2024-06-09 09:56:12.334741
0.3744824167,0.5008493963,1.748651941,2.042741745,2024-06-09 09:56:12.374482
0.4142244167,-0.6488704911,-0.08852041304,0.8054703283,2024-06-09 09:56:12.414224
0.4539654167,-1.377915372,1.538943306,1.18184449,2024-06-09 09:56:12.453965
0.4937074167,0.1558177722,1.700128822,-1.949863987,2024-06-09 09:56:12.493707
0.5334484167,-3.132959197,-1.356890539,1.010936809,2024-06-09 09:56:12.533448
0.5731904167,-3.910875106,-2.456416465,1.459610038,2024-06-09 09:56:12.573190
0.6129314167,-0.04876168549,-0.3244467938,3.431245548,2024-06-09 09:56:12.612931
0.6526724167,-0.9018263027,-1.071356965,-4.818445421,2024-06-09 09:56:12.652672
0.6924144167,1.306625534,-1.164053021,-1.095581102,2024-06-09 09:56:12.692414
0.7321554167,2.110206335,-1.044979883,-5.077802179,2024-06-09 09:56:12.732155
0.7718974167,4.543530391,-1.528240854,-6.566476387,2024-06-09 09:56:12.771897
0.8116384167,6.93682207,-1.276688228,0.2680767113,2024-06-09 09:56:12.811638
0.8513804167,6.918552445,-0.2155875537,-2.013307446,2024-06-09 09:56:12.851380
0.8911214167,5.374572347,-2.596597613,0.3904174197,2024-06-09 09:56:12.891121
0.9308634167,-0.7363182324,-4.816696226,0.7428969347,2024-06-09 09:56:12.930863
0.9706044167,-5.694285235,-5.951748666,1.793167378,2024-06-09 09:56:12.970604
1.010346417,-9.070316695,-4.723587795,1.966558957,2024-06-09 09:56:13.010346
1.050087417,-6.62520933,-3.369612386,2.152613851,2024-06-09 09:56:13.050087
1.089829417,-0.5611286348,-3.016753387,0.1138458735,2024-06-09 09:56:13.089829
1.129570417,-2.011287233,0.3893976653,3.811237382,2024-06-09 09:56:13.129570
1.169312417,-0.52829418,0.9491317391,1.962448949,2024-06-09 09:56:13.169312
1.209053417,-0.8990591079,4.661639469,5.171849381,2024-06-09 09:56:13.209053
1.248795417,-0.872450476,3.758547537,3.673066214,2024-06-09 09:56:13.248795
1.288536417,0.098471497,0.8886960876,-3.801837983,2024-06-09 09:56:13.288536
1.328278042,0.1277368113,-0.4592590284,-3.228446567,2024-06-09 09:56:13.328278
1.368020042,-3.680423473,-2.704511486,5.85120053,2024-06-09 09:56:13.368020
1.407761042,-1.028075582,-2.531223403,2.189303375,2024-06-09 09:56:13.407761
1.447503042,-1.765267974,-3.38338024,-2.46369391,2024-06-09 09:56:13.447503
1.487244042,-0.9862621433,-4.64966671,-6.797550749,2024-06-09 09:56:13.487244
1.526986042,0.6316305605,0.1652271116,2.919739016,2024-06-09 09:56:13.526986
1.566728042,-1.479513668,-1.035889217,0.1439929479,2024-06-09 09:56:13.566728
1.606469042,-0.8500339323,-0.09758710563,0.1739333233,2024-06-09 09:56:13.606469
1.646211042,-0.7424523271,-1.680953463,-3.223012457,2024-06-09 09:56:13.646211
1.685952042,0.3543203647,3.753227155,-0.1316889444,2024-06-09 09:56:13.685952
