"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.655091666E-2,-9.142074585E-1,-1.373500156E1,-4.560883331E1
9.629291666E-2,-2.899375916E0,-1.446443844E1,-4.523653412E1
1.360339167E-1,-6.308330536E0,-1.338195705E1,-4.531513214E1
1.757749167E-1,-8.201389313E0,-1.221322918E1,-4.532476044E1
2.155169167E-1,-8.658824921E0,-1.280881977E1,-4.495032501E1
2.552579167E-1,-8.953739166E0,-1.266532040E1,-4.520510101E1
2.950004167E-1,-8.830284119E0,-1.084855556E1,-4.549637604E1
3.347414167E-1,-9.218841553E0,-9.804741859E0,-4.540749359E1
3.744824167E-1,-7.907817841E0,-9.018661499E0,-4.568029022E1
4.142244167E-1,-5.786144257E0,-1.000396156E1,-4.604427338E1
4.539654167E-1,-2.100189209E0,-1.009985828E1,-4.644716644E1
4.937074167E-1,4.223823547E0,-7.738272667E0,-4.688063812E1
5.334484167E-1,6.529251099E0,-4.290032387E0,-4.679483795E1
5.731904167E-1,5.151626587E0,-3.390730381E0,-4.700350189E1
6.129314167E-1,5.367759705E0,-2.804193974E0,-4.687149811E1
6.526724167E-1,6.178451538E0,-1.783856392E0,-4.665029144E1
6.924144167E-1,6.338432312E0,3.931188583E-1,-4.638527679E1
7.321554167E-1,8.858673096E0,3.044344425E0,-4.548053741E1
7.718974167E-1,1.339064789E1,7.487812996E0,-4.377899933E1
8.116384167E-1,1.875923157E1,1.221574306E1,-4.037749481E1
8.513804167E-1,2.238736725E1,1.438613129E1,-3.756044769E1
8.911214167E-1,2.124132538E1,1.713718414E1,-3.712165070E1
9.308634167E-1,1.916857910E1,2.140785980E1,-3.506006622E1
9.706044167E-1,1.680091858E1,2.551655197E1,-3.236643219E1
1.010346417E0,1.415225220E1,2.815400696E1,-2.875628662E1
1.050087417E0,1.451156616E1,2.887392426E1,-2.062777710E1
1.089829417E0,1.833815002E1,3.341791534E1,-7.266792297E0
1.129570417E0,2.212367249E1,3.872879028E1,1.298522949E0
1.169312417E0,1.685910034E1,3.771193695E1,6.116485596E-2
1.209053417E0,1.446303558E1,3.821220016E1,-2.327804565E-1
1.248795417E0,8.768798828E0,3.705694580E1,-1.324081421E0
1.288536417E0,4.838668823E0,3.649908829E1,-2.625328064E0
1.328278042E0,2.778282166E0,3.643875122E1,-9.744796753E-1
1.368020042E0,3.503005981E0,3.700427246E1,2.556793213E0
1.407761042E0,2.333763123E0,3.696421814E1,3.431541443E0
1.447503042E0,-1.048065186E0,3.773596954E1,5.146217346E0
1.487244042E0,-5.674076080E0,3.818167114E1,2.350402832E0
1.526986042E0,-7.141807556E0,3.792296982E1,3.214347839E0
1.566728042E0,-8.313858032E0,3.757281494E1,2.781318665E0
1.606469042E0,-7.177917480E0,3.738986969E1,2.591995239E0
1.646211042E0,-6.319816589E0,3.721867371E1,1.632827759E0
1.685952042E0,-6.134243011E0,3.660252762E1,1.637825012E0
1.725694042E0,-6.903781891E0,3.569548416E1,2.686752319E0
1.765436042E0,-6.342620850E0,3.402339935E1,2.707786560E0
1.805177042E0,-6.826236725E0,3.320368958E1,1.725448608E0
1.844919042E0,-7.740253448E0,3.228009033E1,2.036514282E0
1.884661042E0,-4.504360199E0,3.046743393E1,3.961669922E0
1.924402042E0,-1.515213013E0,2.859262848E1,6.633842468E0
1.964144042E0,9.744926453E0,2.279113388E1,1.152098846E1
2.003886042E0,2.888664246E1,1.445407581E1,1.329852295E1
2.043627042E0,4.404569244E1,1.141895580E1,4.838691711E0
