"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.725026608E0,4.091427803E0,6.963712215E0
1.245333600E-2,3.641277790E0,4.242474556E0,8.099106789E0
5.245333600E-2,3.226721287E0,3.959822416E0,8.734101295E0
9.245333600E-2,2.091326952E0,3.815953970E0,8.822636604E0
1.324533360E-1,2.654238462E0,3.995714664E0,7.732705593E0
1.724533360E-1,4.158725739E0,4.299902439E0,1.323978710E1
2.124533360E-1,4.158725739E0,4.299902439E0,1.323978710E1
2.524533360E-1,1.125823021E0,4.183850288E0,8.405686378E0
2.924533360E-1,3.245265782E-1,3.278167009E0,9.694520950E0
3.324533360E-1,-1.364207983E0,3.677170277E0,8.284849167E0
3.724533360E-1,-7.896314561E-2,3.817150354E0,5.420939922E0
4.124533360E-1,1.549950838E0,3.869792461E0,4.713262558E0
4.524533360E-1,2.233700037E0,5.242674351E0,8.278866768E0
4.924533360E-1,1.148554832E-1,2.799004316E0,6.929016113E0
5.324533360E-1,-3.911965847E0,2.426621199E0,1.185045433E1
5.724533360E-1,1.631306887E0,3.392125130E0,9.252745628E0
6.124533360E-1,1.848156333E0,3.882055521E0,8.914759636E0
6.524533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
6.924533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
7.324533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
7.724533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
8.124533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
8.524533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
8.924533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
9.324533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
9.724533360E-1,-1.882852316E0,3.430410385E0,8.185546875E0
1.012453336E0,-1.882852316E0,3.430410385E0,8.185546875E0
1.052453336E0,-1.882852316E0,3.430410385E0,8.185546875E0
1.092453336E0,-1.882852316E0,3.430410385E0,8.185546875E0
1.132453336E0,-1.882852316E0,3.430410385E0,8.185546875E0
1.172453336E0,-1.882852316E0,3.430410385E0,8.185546875E0
1.212453336E0,-1.882852316E0,3.430410385E0,8.185546875E0
1.252453336E0,-1.882852316E0,3.430410385E0,8.185546875E0
1.292453336E0,5.784648657E-1,-9.392725945E0,5.296513081E0
1.332453336E0,-3.606282711E0,-9.824032784E0,5.074877739E0
