Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
0.11439969,-0.5172169209,-0.04512524605,-0.8177981377,2024-06-04 14:52:10.114400
0.154825628,0.9782791138,0.3237514496,0.03062152863,2024-06-04 14:52:10.154826
0.239904846,0.7225270271,-0.5183269978,2.877346039,2024-06-04 14:52:10.239905
0.280276826,-0.5215598941,0.2655267715,-1.932999611,2024-06-04 14:52:10.280277
0.320789898,-1.022486567,-0.8773319721,0.1821594238,2024-06-04 14:52:10.320790
0.361314221,-1.36267662,-0.1427531242,-1.779401302,2024-06-04 14:52:10.361314
0.40178719,-0.5204308033,0.2256469727,-4.001356602,2024-06-04 14:52:10.401787
0.441876148,4.314885616,0.8095104694,2.604606628,2024-06-04 14:52:10.441876
0.482764742,-0.1641314328,0.6674830914,-2.144348145,2024-06-04 14:52:10.482765
0.52325943,-2.037323475,-0.1935133934,-1.039665222,2024-06-04 14:52:10.523259
0.563753023,-1.510884523,-0.05520009995,1.26414299,2024-06-04 14:52:10.563753
0.604194534,1.069467306,0.3526697159,0.3790369034,2024-06-04 14:52:10.604195
0.644743805,-0.2500826716,1.302073479,0.7310848236,2024-06-04 14:52:10.644744
0.684891096,-1.351393461,-0.09371542931,-0.4163017273,2024-06-04 14:52:10.684891
0.72582594,1.084105253,-0.9118447304,-0.6909971237,2024-06-04 14:52:10.725826
0.766279169,0.5604923964,-0.09717059135,-0.3765420914,2024-06-04 14:52:10.766279
0.806769221,-0.1143647432,-0.6122729778,-2.036523819,2024-06-04 14:52:10.806769
0.84719844,1.157186747,-0.3645194769,0.4348268509,2024-06-04 14:52:10.847198
0.887694326,0.2855011225,-0.6269265413,1.745080948,2024-06-04 14:52:10.887694
0.928161721,-0.8980394602,0.1078253984,0.7853412628,2024-06-04 14:52:10.928162
0.968671409,-0.4428424835,0.4637413025,1.164871216,2024-06-04 14:52:10.968671
1.009142867,0.06857657433,0.1915156841,0.4134683609,2024-06-04 14:52:11.009143
1.049691773,-0.2505595684,-0.5573313236,0.08372974396,2024-06-04 14:52:11.049692
1.090112763,-0.4548401833,-0.3006578684,-0.056016922,2024-06-04 14:52:11.090113
1.130631513,0.9925434589,-1.325901031,-0.3027677536,2024-06-04 14:52:11.130632
1.171158388,3.120492935,-2.196014881,0.6945695877,2024-06-04 14:52:11.171158
1.211190055,2.875053644,-3.392631531,-2.74244833,2024-06-04 14:52:11.211190
1.252073909,9.16563797,-3.868053913,-6.479664326,2024-06-04 14:52:11.252074
1.292557555,6.912895203,-5.814287663,-4.495640755,2024-06-04 14:52:11.292558
1.333046721,1.031260252,-5.998764038,-1.970846653,2024-06-04 14:52:11.333047
1.373548909,0.4551141262,-4.838023663,-5.249388695,2024-06-04 14:52:11.373549
1.414060836,-11.19009876,-6.137975216,-5.554617882,2024-06-04 14:52:11.414061
1.454535732,-10.46411037,-3.269249916,2.64494133,2024-06-04 14:52:11.454536
1.494992555,-10.85948181,-1.461933136,4.371327877,2024-06-04 14:52:11.494993
1.535512398,-19.35559273,-0.9016475677,0.4519353509,2024-06-04 14:52:11.535512
1.575948753,-11.48021698,2.153396606,9.701238632,2024-06-04 14:52:11.575949
1.616350732,-10.82187653,3.982931614,6.929319382,2024-06-04 14:52:11.616351
1.656927242,-4.578699112,2.52610445,12.02583122,2024-06-04 14:52:11.656927
1.69728469,5.343591213,1.410349846,-1.540040255,2024-06-04 14:52:11.697285
1.737836826,13.61471939,1.549185753,-8.599164009,2024-06-04 14:52:11.737837
1.778346253,7.582527161,0.03688669205,0.3712248802,2024-06-04 14:52:11.778346
1.818818857,0.3944849968,-3.150966644,-0.168243885,2024-06-04 14:52:11.818819
1.859304794,0.205517292,-3.462255001,-0.1699066162,2024-06-04 14:52:11.859305
1.89978719,-0.7965269089,-2.873219967,-0.3242120743,2024-06-04 14:52:11.899787
1.940271148,-3.03503418,-3.15737915,-0.2260317802,2024-06-04 14:52:11.940271
1.980774065,-2.320845127,-1.845890999,0.7253007889,2024-06-04 14:52:11.980774
2.02126943,1.935081124,3.947603703,0.4913511276,2024-06-04 14:52:12.021269
2.061801305,3.332591534,3.139253616,0.1196241379,2024-06-04 14:52:12.061801
2.102235836,0.804898262,-1.53854847,-1.847293615,2024-06-04 14:52:12.102236
2.142726305,-8.987630844,-1.642272949,0.8237526417,2024-06-04 14:52:12.142726
2.183189326,-3.163101196,-10.20573711,2.278070688,2024-06-04 14:52:12.183189
2.22338469,6.911011696,-0.6238307953,-3.107815981,2024-06-04 14:52:12.223385
2.264253284,1.172774076,1.690481186,-3.775781155,2024-06-04 14:52:12.264253
2.304672138,-0.1826775074,0.4828462601,-2.071766853,2024-06-04 14:52:12.304672
2.345175888,1.100833893,0.6884899139,-1.789613008,2024-06-04 14:52:12.345176
2.385650784,1.587306023,0.5886564255,-0.3470973969,2024-06-04 14:52:12.385651
2.426073023,0.5534563065,-1.099601746,1.080058336,2024-06-04 14:52:12.426073
