Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
0.002775058,-4.740779877,5.92642355,6.369693756,2024-06-05 15:54:27.002775
0.022760371,-4.666303158,6.017350674,6.671488762,2024-06-05 15:54:27.022760
0.062760371,0.0,0.0,0.0,2024-06-05 15:54:27.062760
0.102760371,0.0,0.0,0.0,2024-06-05 15:54:27.102760
0.142760371,0.0,0.0,0.0,2024-06-05 15:54:27.142760
0.142760371,-4.285545349,5.212464809,7.699205875,2024-06-05 15:54:27.142760
0.222760371,-4.285545349,5.212464809,7.699205875,2024-06-05 15:54:27.222760
0.262760371,-4.285545349,5.212464809,7.699205875,2024-06-05 15:54:27.262760
0.302760371,-4.285545349,5.212464809,7.699205875,2024-06-05 15:54:27.302760
0.342760371,-4.285545349,5.212464809,7.699205875,2024-06-05 15:54:27.342760
0.382760371,-4.285545349,5.212464809,7.699205875,2024-06-05 15:54:27.382760
0.422760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.422760
0.462760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.462760
0.502760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.502760
0.542760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.542760
0.582760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.582760
0.622760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.622760
0.662760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.662760
0.702760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.702760
0.742760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.742760
0.782760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.782760
0.822760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.822760
0.862760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.862760
0.902760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.902760
0.942760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.942760
0.982760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:27.982760
1.022760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:28.022760
1.062760371,-2.910569668,5.803193092,6.36251545,2024-06-05 15:54:28.062760
1.102760371,-1.970190287,3.257827997,8.424829483,2024-06-05 15:54:28.102760
1.142760371,-1.83619225,3.226721287,9.395118713,2024-06-05 15:54:28.142760
1.182760371,-2.293819666,2.644667149,9.387940407,2024-06-05 15:54:28.182760
1.222760371,-2.293819666,2.644667149,9.387940407,2024-06-05 15:54:28.222760
1.262760371,-2.293819666,2.644667149,9.387940407,2024-06-05 15:54:28.262760
1.302760371,-2.293819666,2.644667149,9.387940407,2024-06-05 15:54:28.302760
1.342760371,-2.293819666,2.644667149,9.387940407,2024-06-05 15:54:28.342760
1.382760371,-2.293819666,2.644667149,9.387940407,2024-06-05 15:54:28.382760
1.422760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.422760
1.462760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.462760
1.502760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.502760
1.542760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.542760
1.582760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.582760
1.622760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.622760
1.662760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.662760
1.702760371,-2.472084999,3.060121059,7.395018578,2024-06-05 15:54:28.702760
1.742760371,-6.543173313,2.084148407,8.09312439,2024-06-05 15:54:28.742760
1.782760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:28.782760
1.822760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:28.822760
1.862760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:28.862760
1.902760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:28.902760
1.942760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:28.942760
1.982760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:28.982760
2.022760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.022760
2.062760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.062760
2.102760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.102760
2.142760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.142760
2.182760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.182760
2.222760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.222760
2.262760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.262760
2.302760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.302760
2.342760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.342760
2.382760371,-6.307480335,1.787139416,8.269295692,2024-06-05 15:54:29.382760
2.422760371,-17.11705589,-8.687142372,-3.757329702,2024-06-05 15:54:29.422760
