"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.231511000E-3,-9.720250964E-3,7.896039635E-2,5.576494932E-1
4.166645900E-2,-1.876141727E-1,-4.726971686E-1,4.734960794E-1
8.214458400E-2,-1.641790420E-1,-3.631113172E-1,4.468652606E-1
1.226689070E-1,1.808233112E-1,-9.893351793E-2,3.488638103E-1
2.077467190E-1,-8.042509556E-1,-1.178014517E0,1.695052087E-1
2.482061460E-1,-1.812227666E-1,-3.647091687E-1,2.789579034E-1
2.887440110E-1,5.515244007E-1,5.472634733E-2,3.933372796E-1
3.292014070E-1,2.644441128E-1,-5.246272683E-1,-1.556571722E-1
3.696771880E-1,-9.717588425E-1,-1.129812717E0,-3.603150845E-1
4.101943230E-1,-1.065232992E0,-1.101317763E0,5.019910634E-2
4.506636460E-1,-3.793561161E-1,-5.240946412E-1,2.438052148E-1
4.911797920E-1,-6.380745769E-1,-6.218297780E-2,3.965329826E-1
5.316753130E-1,-1.402512431E0,-3.018604219E-1,8.348763585E-1
5.721760420E-1,-2.193048477E0,6.963960826E-2,8.577789068E-1
6.126592190E-1,-3.091572523E0,-6.330147386E-1,1.430208445E0
6.531562500E-1,-3.272662163E0,-1.561764717E0,2.635786057E0
6.936493750E-1,-1.729672074E0,-1.938457847E0,3.951082468E0
7.341418750E-1,-2.723001838E-1,-1.772814035E0,3.534576416E0
7.746316670E-1,1.001718521E0,4.774906933E-1,1.493057251E0
8.151315110E-1,2.273873091E0,4.098483920E-1,9.280842543E-2
8.556523960E-1,3.038843393E0,1.879337311E0,3.138442934E-1
8.961254170E-1,1.742721200E0,-9.307473898E-2,6.532541513E-1
9.366378130E-1,-1.854836941E-1,8.215609938E-2,5.446003750E-2
9.770789070E-1,-1.073621750E0,3.597824574E-1,-2.150439173E-1
1.017649948E0,-1.176683068E0,-5.925358534E-1,-1.424749196E-2
1.058158438E0,-3.298227787E-1,-6.095796227E-1,6.031882167E-1
1.098628229E0,1.367492825E-1,3.011946380E-1,8.636376858E-1
1.139128438E0,1.757634431E-1,-5.145075321E-1,6.593792439E-1
1.179670417E0,1.232075095E0,-6.607108116E-1,4.660394508E-3
1.220086927E0,1.485733747E0,-5.853455663E-1,-5.150401592E-1
1.260573177E0,4.061200917E-1,-2.632457018E-1,-6.841459274E-1
1.301067917E0,5.959978700E-1,3.454017937E-1,2.489982173E-2
1.341570938E0,8.400694132E-1,-5.808182955E-1,-2.475335300E-1
1.382073854E0,6.279548407E-1,-5.600462556E-1,-2.993304729E-1
1.422566667E0,1.019294858E0,1.090532318E-1,1.420754492E-1
1.463054375E0,1.387466073E0,4.932028949E-1,-1.777607650E-1
1.503549063E0,1.319690585E0,6.026555896E-1,-1.101317763E0
1.544069427E0,1.551778197E0,5.680354834E-1,-1.391061187E0
1.584526979E0,1.592789650E0,-3.914731443E-1,-6.865426898E-1
1.625025157E0,9.907998443E-1,4.127778113E-3,-3.424724042E-1
1.665526302E0,-1.957365684E-2,7.350108027E-1,-3.150426745E-1
1.706047032E0,-5.954652429E-1,4.998605847E-1,-2.862813771E-1
1.746479479E0,-9.416660070E-1,1.143927097E0,-2.275604010E-1
1.787006198E0,-9.025186896E-1,1.435002089E0,-2.467346042E-1
1.827514011E0,-2.326202542E-1,1.110105991E0,8.961272985E-2
1.868000469E0,1.762960702E-1,1.099720001E0,7.493914366E-1
1.908487448E0,-4.953333437E-1,1.037936449E0,8.117075562E-1
1.948978854E0,-1.324484110E0,-1.183740199E-1,1.170557976E0
1.989481198E0,-1.823678970E0,-5.174369216E-1,2.179600000E0
2.029990261E0,-1.417691946E0,2.527265251E-1,2.433924198E0
2.070460677E0,1.570419788E0,6.990591884E-1,3.343500197E-1
2.110958177E0,8.251561522E-1,1.369223952E0,6.087806821E-1
2.151479792E0,8.648360372E-1,1.103181958E0,7.485924959E-1
2.191964532E0,5.738943070E-2,6.308842301E-1,1.111703873E0
2.232453750E0,-9.672315717E-1,6.687000394E-1,1.460833907E0
2.272947240E0,-1.246722102E0,1.129280210E0,1.739259243E0
2.313424011E0,-1.192661524E0,1.028082967E0,1.482937574E0
2.353916771E0,-6.476616859E-1,6.958634853E-1,1.040333152E0
2.394413802E0,-7.131735086E-1,5.374100804E-1,4.383433759E-1
2.434934896E0,-3.157084286E-1,3.975982368E-1,7.310161740E-2
2.475401615E0,4.833494872E-2,4.881430268E-1,-3.392767310E-1
2.515894323E0,5.145075321E-1,1.141796589E0,-5.765573978E-1
2.556377396E0,-8.322133124E-2,5.430025458E-1,-1.444722265E-1
2.596894011E0,-7.603100687E-2,7.896039635E-2,9.320789250E-4
2.637420261E0,5.142412186E-1,-3.426055610E-1,-1.836195439E-1
2.677873334E0,6.295527220E-1,1.331541280E-4,-6.817491055E-1
