"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.214458400E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.226689070E-1,2.751163244E-1,-6.811208725E-1,4.534626007E-2
2.077467190E-1,-9.081765413E-1,-2.182021141E-1,-2.490414143E0
2.482061460E-1,-6.353478432E-1,-2.471275330E-1,2.557373047E0
2.887440110E-1,6.769274473E-1,-1.132020950E0,6.173896790E-2
3.292014070E-1,1.605063677E0,-8.117356300E-1,-3.003171921E0
3.696771880E-1,-4.738082886E-1,-8.175396919E-1,-2.602765560E0
4.101943230E-1,-1.150741339E0,-4.201960564E-1,9.534349442E-1
4.506636460E-1,-1.267862916E-1,7.816219330E-1,6.509838104E-1
4.911797920E-1,-1.361365080E0,6.367034912E-1,-2.090973854E0
5.316753130E-1,-7.107202411E-1,1.454864979E0,-1.806290627E0
5.721760420E-1,-9.871181250E-1,1.105980635E0,-5.722250938E-1
6.126592190E-1,-9.405201674E-1,2.385349274E-1,-1.508892059E0
6.531562500E-1,-2.339381695E0,-7.300159335E-1,2.256728172E0
6.936493750E-1,-7.375937700E-1,-1.482523441E0,6.336129189E0
7.341418750E-1,3.409636259E0,-1.157673955E0,1.903882980E0
7.746316670E-1,5.692624092E0,-4.036324620E-1,6.936396599E0
8.151315110E-1,2.745513916E-1,-1.640976429E0,1.542218208E0
8.556523960E-1,-1.364630103E0,-2.637945652E0,-1.422661781E0
8.961254170E-1,-2.528203964E0,-2.875063419E-1,-7.782153606E0
9.366378130E-1,-9.105253220E-2,1.076866150E0,-4.471028328E0
9.770789070E-1,-1.076689124E0,-5.444513559E-1,-2.986330986E0
1.017649948E0,-1.993684411E0,-1.604519248E0,-1.654501438E0
1.058158438E0,-1.333489060E0,-1.871821165E0,2.089476585E0
1.098628229E0,6.613624096E-2,-1.299027205E-1,3.392734528E-1
1.139128438E0,2.980375290E-1,7.502707243E-1,3.029575348E-1
1.179670417E0,1.429051638E0,4.163792133E-1,2.484275818E0
1.220086927E0,1.548151255E0,5.233011246E-1,-3.515882492E-1
1.260573177E0,3.254306316E-1,-8.588385582E-2,-2.998075485E-1
1.301067917E0,-1.170850277E0,1.108992100E-1,6.526288986E-1
1.341570938E0,1.658079147E0,1.683225870E0,-1.385593414E-1
1.382073854E0,1.271991730E0,-3.188769817E-1,3.210313797E0
1.422566667E0,7.223691940E-1,-1.337093830E0,3.624530792E0
1.463054375E0,1.927399158E0,-7.411875725E-1,-1.299304962E-1
1.503549063E0,3.221480131E0,-1.031205893E0,-6.209015846E-1
1.544069427E0,6.048874855E-1,-1.902033091E0,-4.736490250E-1
1.584526979E0,-1.677979827E0,-1.271359921E0,-1.672819614E0
1.625025157E0,-2.607775927E-1,-3.256044388E-1,-2.463795662E0
1.665526302E0,-6.625145674E-1,1.109709740E-1,-3.327899933E0
1.706047032E0,-6.208100319E-1,8.105950356E-1,-1.895794868E0
1.746479479E0,-7.964323163E-1,3.329958916E-1,-3.951311111E-1
1.787006198E0,-7.935278416E-1,6.011562347E-1,6.493930817E-1
1.827514011E0,-1.925905108E0,-5.157823563E-1,1.811365128E0
1.868000469E0,-6.518741250E-1,-4.039154053E-1,1.704083443E0
1.908487448E0,-4.033115804E-1,1.398289680E0,-1.988866806E0
1.948978854E0,-1.663711786E0,-6.137075424E-1,-1.670701027E0
1.989481198E0,-2.145307064E0,-2.553774357E0,9.287824631E-1
2.029990261E0,-1.418972015E-2,-1.654872656E0,-5.921449661E-1
2.070460677E0,4.335879326E0,1.437780380E0,5.438866615E0
2.110958177E0,-7.576355934E-1,-1.338571072E0,2.020516396E0
2.151479792E0,-4.964390099E-1,5.617423058E-1,-2.215156555E-1
2.191964532E0,-1.041243315E0,1.128500462E0,-2.077304840E0
2.232453750E0,2.309700847E-1,7.455639839E-1,-3.038624763E0
2.272947240E0,9.406259656E-1,5.881381035E-1,-1.853623390E0
2.313424011E0,1.171522617E0,3.328187466E-1,-1.975946426E-1
2.353916771E0,1.552045584E0,-1.749475002E-1,-5.236387253E-1
2.394413802E0,2.845990896E0,-4.897007942E-1,1.242191315E0
2.434934896E0,2.483059406E0,-7.813653946E-1,1.835913658E0
2.475401615E0,2.245710135E0,-2.947514057E-1,1.920844078E0
2.515894323E0,1.384701967E0,-4.412751198E-1,3.112059593E0
2.556377396E0,-2.609828472E0,2.742664814E-1,3.435286522E0
2.596894011E0,-8.494796753E-1,2.706875801E-1,1.606661797E0
2.637420261E0,3.244993687E-1,-3.244118690E-1,-3.523101807E-1
2.677873334E0,6.145792007E-1,-1.182443380E0,6.346607208E-2
2.718430990E0,-1.037590027E0,-1.335760117E0,5.944547653E-1
2.758823490E0,-2.299396276E0,2.483017445E-1,5.394935608E-1
2.799356094E0,-1.179589987E0,3.869090080E-1,-2.448129654E-1
2.839882136E0,-5.212234855E-1,5.698704720E-1,-9.698696136E-1
2.880340834E0,-2.837195396E-1,-3.426718712E-1,-2.507272720E0
2.920798073E0,-3.919187784E-1,-1.461672783E-1,-2.413666725E0
2.961320104E0,-9.949038029E-1,-4.168148041E-1,-2.683466911E0
3.001868386E0,-1.309900522E0,-1.924223900E-1,-2.207918644E0
3.042334271E0,-3.036260605E-4,-2.080202103E-2,-1.162590504E0
3.082814896E0,-9.631723166E-3,2.591986656E-1,-1.565635204E0
3.123296511E0,-2.251663208E0,1.845493793E0,7.625522614E-1
3.163790417E0,-2.509000063E0,1.180892944E0,3.615575790E0
3.204341407E0,-5.040777922E-1,-1.013593674E0,2.691936493E-1
3.244784271E0,-3.628429770E-1,-2.719974518E-1,-3.124174118E0
3.285290313E0,-2.008567333E0,5.485534668E-3,-2.945580482E0
3.325777188E0,7.877217531E-1,-1.878003001E0,-1.811462402E0
3.366255521E0,-5.802976489E-1,-1.491854906E0,-2.689229965E0
3.406865313E0,2.176815748E0,-1.025766253E0,-1.495641708E0
3.447292813E0,4.200606346E0,6.812804937E-1,1.832324982E0
3.487768021E0,2.552840710E0,3.034886718E-1,-2.149814129E0
3.528260834E0,-7.914314270E-1,-1.418682456E0,-5.854661465E0
3.568763490E0,-5.361254215E0,-6.156949997E-1,-1.801386118E0
3.609265782E0,-3.367443085E-1,-2.837334871E0,7.691841125E0
3.649745000E0,-1.975511551E0,-1.705754757E0,3.229008198E0
3.690223907E0,-3.131208420E0,-4.630330563E0,8.584528923E0
3.730732813E0,-5.868225098E-1,-2.841860294E0,1.217183113E0
3.771224584E0,-3.275456429E0,-1.451379776E0,1.139139175E0
3.811700625E0,9.304814339E-1,-1.450361729E0,6.062786579E-1
3.852193177E0,1.336857796E0,-3.662986755E-1,-3.778107643E0
3.892699896E0,-2.796072960E-1,-1.506884098E0,-3.328694582E0
3.933197917E0,-2.119665623E0,-2.523250580E-1,-5.463254929E0
3.973689948E0,-4.172043800E-1,2.304338932E0,-2.222418785E0
4.014170000E0,-8.701419830E-1,2.465317249E0,9.888558388E-1
4.054676667E0,1.579145908E0,4.350727081E0,9.018173218E-1
4.095174948E0,1.436126709E0,3.800374031E0,1.026560783E0
4.135638646E0,-1.129677773E0,2.389050484E0,-1.027983069E0
4.176129844E0,-2.320356846E0,1.069367409E0,-8.099920750E-1
4.216653334E0,-2.237037182E0,-7.824373245E-1,-7.825018764E-1
4.257144323E0,-2.114315033E0,-3.459672928E-1,-1.921651363E-1
4.297659167E0,-2.891715050E0,-7.345709801E-1,7.916619778E0
4.338114011E0,-7.153739929E-1,2.196917534E-1,1.604137778E0
4.378601719E0,-8.095445633E-1,-2.141273499E0,-9.132482529E0
4.419091719E0,3.467813492E0,-3.054943085E-1,-3.586994648E0
4.459600052E0,6.244732857E0,-2.446290493E0,5.037015915E0
4.500109011E0,1.046403885E0,-7.554407120E-1,4.843675494E-1
4.540608698E0,3.516141415E0,-5.034627914E-1,1.310854197E0
4.581087240E0,7.732935905E0,-7.264914513E-1,-5.702596664E0
4.621569844E0,-5.496536255E0,-2.656073570E0,-1.597916245E0
4.662068698E0,-5.696979523E0,1.349582672E-1,2.877801657E0
4.702608073E0,-6.290683746E-1,5.868892670E-1,-1.556612551E-1
4.743082761E0,-3.765402317E0,1.481061935E0,2.187661886E0
4.783557813E0,-1.419401169E-1,2.687055111E0,1.039960623E0
4.824051198E0,-2.880873680E-1,2.981200218E0,8.140236139E-2
4.864534844E0,-1.863704205E0,1.062530994E0,1.440357208E0
4.905023073E0,-2.793070316E0,-3.385372162E-1,-2.339739799E-1
4.945517448E0,-2.824992657E0,-1.136368275E0,-4.993540287E0
4.986011823E0,1.342761040E0,-5.543241501E-1,5.686848164E-1
5.026480938E0,3.462833881E0,-3.290719986E-1,4.591490626E-1
5.067004740E0,3.303066730E0,7.707381248E-1,-7.260398269E-1
5.107508802E0,-8.446576118E0,-2.805520535E0,4.495701790E-1
5.148007865E0,4.092946053E0,2.529032707E0,-2.042718172E0
5.188499167E0,1.382165432E0,1.854279995E0,-1.620728493E0
5.228989896E0,6.826395988E0,6.593554497E0,1.114297867E0
5.269484167E0,-9.175376892E-1,-1.490974426E-2,-2.471690178E0
5.309978490E0,7.780470848E-1,1.053282261E0,-1.687435389E0
5.350440104E0,-3.568649292E-2,2.747000694E0,5.788757801E-1
5.390958334E0,7.026576996E-2,2.266321182E-1,3.188147545E-1
5.431443021E0,-8.431991577E0,-6.992604256E0,1.978474379E0
5.472039688E0,-2.731086731E0,-4.829514503E0,1.798399210E0
5.512428229E0,2.901696920E0,-3.410851479E0,-1.732100129E0
5.552970365E0,-3.461401463E-1,1.395742416E0,3.109478951E-1
5.593429896E0,2.493058205E0,2.571956635E0,-5.800398827E0
5.633917188E0,4.317944050E0,2.529117584E0,-4.363547325E0
5.674402761E0,2.967762470E0,2.808500290E0,1.718520880E0
5.714935521E0,1.939252377E0,1.803509712E0,-1.987760067E0
5.755419792E0,1.765684128E0,4.562693596E0,1.404243231E0
5.795932761E0,-3.464376450E0,2.155986309E0,-3.726742506E0
5.836387917E0,2.265692234E0,2.487265110E0,-6.593764305E0
5.876869636E0,-2.933483124E-1,-2.100567245E1,-4.628911018E-1
5.917374115E0,-1.864837408E0,-1.750494003E0,9.683628678E-1
5.957938907E0,4.322443008E-1,-4.304141998E-1,9.116798401E0
5.998343854E0,-3.309769154E0,-3.193299294E0,6.461937428E-1
6.038816354E0,-2.679917812E0,-4.871304512E0,2.313394070E0
6.079344792E0,-2.482506752E0,-2.782776833E0,2.734326363E0
6.119845886E0,-8.764253855E-1,-2.557866096E0,3.563647985E0
6.160331667E0,3.381896973E0,-9.302759171E-1,-4.298994064E0
6.200812032E0,5.433746338E0,7.619838715E-1,-6.317837715E0
6.241357865E0,1.498246431E0,-2.657232285E-1,3.939981461E-1
6.281800157E0,-7.032408714E0,-3.586483955E0,-3.770299911E0
6.322293073E0,-1.832644105E0,7.098207474E-1,-3.462868452E0
6.362796979E0,2.181746483E0,4.120850086E0,-5.513070107E0
6.403293698E0,2.763768435E0,5.132095337E0,-4.242490292E0
6.443810209E0,2.159334660E0,4.194969177E0,-1.603045225E0
6.484275209E0,1.555187464E0,-1.467666626E-1,2.733149052E0
6.524778021E0,-3.096645832E0,-6.443463326E0,7.938591957E0
6.565257969E0,-3.053212643E0,-2.456110954E0,2.375626802E0
6.605747500E0,3.353625298E0,-9.906272888E-1,-3.449636221E0
6.646243802E0,3.546101570E0,-5.325773239E0,1.721645832E0
6.686770782E0,-7.253675461E-1,4.699042797E0,-6.674746513E0
6.727297084E0,2.183522701E0,5.133932590E0,-2.626377583E0
6.767723646E0,4.157324791E0,-2.498884201E-1,-8.072639108E-1
6.808217448E0,-3.051968098E0,-2.361160278E0,-2.948399067E0
6.848711198E0,-3.501258850E0,-8.021202087E-1,-4.820223451E-1
6.889221094E0,1.537837744E0,5.383996964E-1,1.762800813E0
6.929714375E0,2.943413019E0,9.800949097E-1,2.436411858E0
6.970208542E0,1.556429863E-1,1.375563145E0,-2.431000233E0
7.010691563E0,-1.145082951E0,-5.786914825E-1,7.565171123E-1
7.051189219E0,-1.811893702E0,-1.572750092E0,3.932805061E0
7.091698282E0,-2.756409168E0,-1.568468094E0,3.702595472E0
7.132174167E0,-4.940437317E0,-2.851676941E0,3.524402380E-1
7.172659271E0,-8.765730858E-1,-5.629141808E0,5.106396675E0
7.213152969E0,-1.074772358E0,-3.588871002E0,6.038732529E0
7.253657865E0,3.122433186E0,-2.090771675E0,1.907625914E0
7.294173438E0,7.230296135E0,-1.913586617E0,-4.847621918E0
7.334640990E0,2.615514040E0,-9.532251358E-1,-3.384672165E0
7.375147500E0,-1.700313091E-1,-8.060340881E-1,-2.909568548E0
7.415641459E0,-1.302192926E0,6.347036362E-1,-4.114949226E0
7.456131927E0,3.253593445E-1,3.382121086E0,-4.952788353E0
7.496633854E0,1.479654312E0,4.940988064E0,-5.922781944E0
7.537095417E0,2.362977505E0,6.061918259E0,-4.211655140E0
7.577584063E0,2.001813412E0,3.284155846E0,-8.986904621E-1
7.618075990E0,1.009108067E0,-4.194409370E0,6.492718697E0
7.658589427E0,-1.852058887E0,-7.450606346E0,1.092768478E1
7.699087084E0,2.153204918E0,3.446788788E0,-3.037045002E-1
7.739580677E0,6.522292137E0,-6.613922119E0,-2.882143974E0
7.780103073E0,1.229488611E0,3.141858101E0,-3.196703196E0
7.820599375E0,4.012400627E0,5.356986046E0,-7.961284161E0
7.861081459E0,4.339952469E0,1.176936150E0,-7.760785818E-1
7.901572396E0,-2.505164385E0,-4.963430405E0,-3.386911631E0
7.942041407E0,-5.267859459E0,-1.559621811E0,2.738101006E0
7.982535834E0,-2.471385002E-1,4.999485016E-1,-1.432296038E0
8.023046563E0,2.097492456E0,1.613894463E0,2.097531319E0
8.063529688E0,-6.389021873E-2,2.224700928E0,1.364054561E0
8.104006146E0,-3.821530342E-1,-1.222388268E0,2.434450388E-1
8.144494375E0,-4.225668907E-1,-1.102622986E0,5.486732483E0
8.185008750E0,-4.477754593E0,-3.331296921E0,2.436004877E0
8.225520573E0,-3.821674824E0,-3.207172394E0,3.095352173E0
8.265996927E0,-6.023406982E-1,-5.005795479E0,4.399762154E0
8.306479740E0,-1.744948626E0,-2.721982002E0,7.057865620E0
8.346970573E0,1.396655560E0,-2.349154472E0,-3.500640988E-1
8.387467761E0,8.854834557E0,-4.619874001E0,-4.275403023E0
8.427946823E0,3.072317123E0,-4.683303833E-2,-4.114229679E-1
8.468462188E0,-1.808811784E0,-7.619390488E-1,-3.973099709E0
8.508993334E0,-2.251399517E0,8.342456818E-1,-4.925134659E0
8.549500104E0,-7.623910308E-1,2.725190163E0,-5.337450981E0
8.589956615E0,2.745316267E0,6.142061234E0,-6.489704609E0
8.630410729E0,2.448920727E0,6.745738983E0,-4.938300133E0
8.670941198E0,2.060788870E0,2.630043030E0,1.715207100E-1
8.711393073E0,-7.230973244E-2,-8.068921089E0,1.136454010E1
8.751885677E0,-1.338298917E0,-5.144841194E0,6.152288914E0
8.792412865E0,2.287741423E0,4.743893623E0,-3.068539858E0
8.832861042E0,4.525536537E0,-1.023659611E1,1.608098507E0
8.873368229E0,3.137984276E0,6.468397141E0,-8.498083115E0
8.913858490E0,3.688619137E0,5.189755440E0,-5.838588238E0
8.954357136E0,4.048430920E0,5.717439651E-1,-1.441332936E0
8.994877761E0,-3.377183199E0,-5.690393448E0,-2.581331730E0
9.035308854E0,-4.869467735E0,-8.670883179E-1,2.724805832E0
9.075852917E0,6.403117180E-1,3.599691391E-1,-9.793178439E-1
9.116328177E0,2.175869942E0,1.651439667E0,3.394672871E0
9.156850104E0,-9.149961472E-1,2.132467270E0,-2.803730965E-2
9.197314844E0,6.075525284E-2,-2.023133278E0,-1.704121828E-1
9.237810209E0,-2.031995296E0,-2.191111565E0,7.785318851E0
9.278279427E0,-5.816879272E0,-3.244005203E0,6.496648788E-1
9.318830677E0,-2.515253544E0,-2.340371132E0,4.936551094E0
9.359266250E0,-8.743491173E-1,-3.811348915E0,6.553865433E0
9.399816094E0,-2.837947607E0,-2.938281059E0,4.428332806E0
9.440280209E0,2.845656633E0,-4.681284904E0,-3.854552746E0
9.480795782E0,7.897324562E0,-4.324608803E0,-5.068582535E0
9.521255261E0,3.679340124E0,-1.185703278E-1,-1.298748732E0
9.561766667E0,-4.104712963E0,-4.791002274E-1,-3.763560057E0
9.602232396E0,-1.517645121E0,1.467629433E0,-4.722687721E0
9.642749584E0,1.477199793E0,3.970371246E0,-6.528337479E0
9.683225417E0,3.126325607E0,6.956353188E0,-6.608503342E0
9.723728177E0,2.683915854E0,5.806285381E0,-3.237700462E0
9.764211667E0,1.857551575E0,-1.068431854E0,4.016143799E0
9.804732709E0,-1.910383582E0,-7.093447685E0,1.172077560E1
9.845243282E0,-3.158745289E0,-4.306392670E-1,8.809995651E-2
9.885725625E0,3.997470856E0,-3.282697678E0,-2.708531618E0
9.926210834E0,3.406384468E0,-5.861937523E0,1.875326633E0
9.966710209E0,4.259108543E0,8.422790527E0,-1.116239929E1
1.000718615E1,4.223794937E0,4.615427971E0,-3.324210882E0
