Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
0.493370879,52.334786,4.8638249,3.271150612,,,14.00899982,1.232666612,2024-06-05 16:40:25.493371
21.11596942,52.33564492,4.86362397,-28.55130395,0.0,,17.29798508,40.74590683,2024-06-05 16:40:46.115969
22.11765155,52.33562439,4.86369085,-27.55111142,0.0,,12.695858,33.35311127,2024-06-05 16:40:47.117652
23.11956437,52.33562526,4.8636913,-40.58675447,0.0,,10.0067997,26.25473976,2024-06-05 16:40:48.119564
24.11648192,52.33559752,4.86377366,-35.22541821,0.0,,8.740243912,21.98383522,2024-06-05 16:40:49.116482
25.11922801,52.33560313,4.86379466,-27.32830357,0.3100000024,38.5,8.104879379,20.55055237,2024-06-05 16:40:50.119228
26.11554348,52.33560342,4.86382025,-29.16813226,0.6399999857,46.59999847,8.431948662,19.57676888,2024-06-05 16:40:51.115543
27.11562931,52.33560242,4.86384535,-28.65334879,0.7900000215,66.59999847,8.184601784,17.86740303,2024-06-05 16:40:52.115629
28.11868603,52.33556607,4.86390389,-35.26741059,0.8299999833,125.4000015,8.708031654,18.14028168,2024-06-05 16:40:53.118686
29.11693988,52.33554862,4.86392702,-39.42705934,0.8100000024,153.1999969,9.601161003,18.98089981,2024-06-05 16:40:54.116940
30.11548853,52.33553382,4.86394909,-42.99167323,1.120000005,129.6999969,10.09347725,17.99320602,2024-06-05 16:40:55.115489
31.11601264,52.33552382,4.86396695,-45.60550763,0.349999994,135.8000031,10.21103764,18.02960205,2024-06-05 16:40:56.116013
32.11481192,52.33551743,4.86397934,-45.65412403,0.6700000167,123.8000031,11.33659744,18.15750122,2024-06-05 16:40:57.114812
33.11489233,52.3355081,4.86400039,-45.61994541,1.389999986,120.1999969,13.01868439,18.82244492,2024-06-05 16:40:58.114892
34.11693176,52.33549808,4.8640242,-45.71146809,1.370000005,121.5999985,16.73566055,20.51953316,2024-06-05 16:40:59.116932
35.11855723,52.33548741,4.86404943,-45.79771133,1.720000029,122.4000015,21.56085205,23.43003654,2024-06-05 16:41:00.118557
36.11867676,52.3354752,4.86407884,-45.88645678,2.119999886,122.4000015,27.6816082,27.56188965,2024-06-05 16:41:01.118677
61.25637088,52.334628,4.8659037,3.272118052,,,82.5,13.58448982,2024-06-05 16:41:26.256371
81.33537088,52.334551,4.866219,8.27219017,,,82.5,13.58448982,2024-06-05 16:41:46.335371
101.2693709,52.3346686,4.8655935,5.072000695,,,64.09999847,3.864164591,2024-06-05 16:42:06.269371
121.2803709,52.334613,4.8660593,3.372188285,,,19.02700043,9.044268608,2024-06-05 16:42:26.280371
123.1157029,52.33487605,4.86603706,22.28249202,1.399999976,103.9000015,21.23165131,27.99896812,2024-06-05 16:42:28.115703
124.1167894,52.33488176,4.86597077,7.874320028,1.700000048,86.80000305,8.265434265,10.48898411,2024-06-05 16:42:29.116789
125.1168738,52.33489192,4.86598993,6.940019113,1.159999967,86.80000305,6.54241991,7.870300293,2024-06-05 16:42:30.116874
126.1175494,52.33488943,4.86598293,5.646615608,1.070000052,86.80000305,5.104134083,5.749310017,2024-06-05 16:42:31.117549
127.115021,52.33488595,4.86601088,6.158955811,1.309999943,97.09999847,4.693386555,5.080564022,2024-06-05 16:42:32.115021
128.1161787,52.33489025,4.86601777,6.418670393,1.379999995,93.69999695,4.648765564,4.951133728,2024-06-05 16:42:33.116179
129.1137117,52.33489329,4.86603097,6.459209567,1.549999952,79.5,4.524663925,4.621870995,2024-06-05 16:42:34.113712
130.1156515,52.33489868,4.86604521,8.144650104,1.289999962,71.09999847,4.235546589,4.035346031,2024-06-05 16:42:35.115652
131.1148901,52.33490072,4.86606235,7.723031924,1.24000001,83.59999847,3.922436237,3.485285282,2024-06-05 16:42:36.114890
132.119436,52.33490111,4.86607585,7.423357581,1.289999962,90.19999695,3.790092468,3.178101778,2024-06-05 16:42:37.119436
133.1213153,52.33490025,4.8660899,7.990014803,1.289999962,91.5,3.790092468,2.966708899,2024-06-05 16:42:38.121315
134.1181173,52.33489798,4.86610568,6.165679821,1.350000024,92.0,3.790092468,2.878789902,2024-06-05 16:42:39.118117
135.1169702,52.33489672,4.86612435,5.332558851,1.409999967,82.30000305,3.790092468,2.71996212,2024-06-05 16:42:40.116970
136.1200203,52.33489807,4.86614062,4.850209222,1.299999952,81.59999847,3.790092468,3.197813511,2024-06-05 16:42:41.120020
137.1181323,52.33489972,4.86615704,5.235902093,1.269999981,84.40000153,3.790092468,3.464153051,2024-06-05 16:42:42.118132
138.1217871,52.33490136,4.86617066,5.654857507,1.230000019,69.69999695,3.790092468,3.528076887,2024-06-05 16:42:43.121787
139.119844,52.33490103,4.86618438,6.005878079,1.350000024,93.5,3.790092468,3.761921167,2024-06-05 16:42:44.119844
140.1192532,52.33490112,4.86619933,6.505947797,1.230000019,87.69999695,3.794642448,3.78137207,2024-06-05 16:42:45.119253
141.1194468,52.33489855,4.86621707,6.315341542,1.230000019,95.59999847,3.87560153,3.856908798,2024-06-05 16:42:46.119447
142.1171873,52.33489483,4.86623286,6.333411752,1.220000029,92.69999695,4.022422314,4.136765957,2024-06-05 16:42:47.117187
143.1204239,52.33489646,4.86623682,6.0908626,1.100000024,92.30000305,4.033387184,4.29715395,2024-06-05 16:42:48.120424
144.1204219,52.33489506,4.86624626,5.51341242,1.169999957,97.0,3.969937325,4.255305767,2024-06-05 16:42:49.120422
145.1150064,52.33489682,4.86626022,4.903803745,1.210000038,77.40000153,3.912792444,4.256337643,2024-06-05 16:42:50.115006
146.1165077,52.33489703,4.86627618,5.190068057,1.169999957,85.40000153,3.985914469,4.39839077,2024-06-05 16:42:51.116508
147.1148946,52.33489463,4.86629168,5.299509587,1.169999957,97.0,4.12552309,4.636788845,2024-06-05 16:42:52.114895
148.1144582,52.33489513,4.86630865,5.0717368,1.179999948,82.5,4.205368519,4.811542988,2024-06-05 16:42:53.114458
149.119247,52.33489343,4.86632719,4.831022363,1.200000048,97.59999847,4.330418587,5.215266228,2024-06-05 16:42:54.119247
150.1172014,52.33489529,4.86634534,5.749492398,1.200000048,82.09999847,4.511054039,5.59680891,2024-06-05 16:42:55.117201
151.1235752,52.33489759,4.86636243,5.259759321,1.149999976,73.69999695,4.276062965,5.147552967,2024-06-05 16:42:56.123575
152.1179708,52.33490053,4.86638349,5.094309201,1.149999976,69.59999847,4.126789093,4.908489227,2024-06-05 16:42:57.117971
153.1163046,52.33490116,4.86640692,4.819054942,1.149999976,79.5,4.087535381,4.960120678,2024-06-05 16:42:58.116305
154.1169369,52.33489837,4.86643014,4.659030127,1.350000024,93.80000305,4.298626423,5.338019848,2024-06-05 16:42:59.116937
155.1177793,52.3348998,4.86644966,4.884568213,1.600000024,80.5,4.145484447,5.291958332,2024-06-05 16:43:00.117779
156.1164459,52.33490033,4.86647573,5.515321183,1.75,83.90000153,4.112400055,5.190707684,2024-06-05 16:43:01.116446
157.1156508,52.33489861,4.86650568,5.058426725,1.779999971,89.90000153,4.105152607,5.152750015,2024-06-05 16:43:02.115651
158.1162535,52.33489786,4.8665342,5.64743125,1.830000043,89.69999695,4.376682758,5.503054142,2024-06-05 16:43:03.116253
159.1157688,52.33489796,4.86656314,4.767687212,1.779999971,84.90000153,4.612804413,5.711529732,2024-06-05 16:43:04.115769
160.1144072,52.33490089,4.86658319,4.183047047,1.350000024,73.40000153,4.676029205,5.886106491,2024-06-05 16:43:05.114407
161.1174796,52.33490347,4.86659854,3.890945204,1.129999995,73.80000305,4.689816475,5.994879246,2024-06-05 16:43:06.117480
162.1168847,52.33490552,4.86661755,3.88235301,1.129999995,74.69999695,4.461910725,5.685973167,2024-06-05 16:43:07.116885
163.1186394,52.3349058,4.86663609,4.276223878,1.200000048,92.80000305,4.7582407,5.976172447,2024-06-05 16:43:08.118639
164.1172806,52.33490756,4.86666023,3.990473568,1.279999971,75.0,4.565310001,5.732161045,2024-06-05 16:43:09.117281
165.1223501,52.33490818,4.8666799,4.7215648,1.210000038,88.80000305,4.399629116,5.550059319,2024-06-05 16:43:10.122350
