"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.040150076E1,5.233639700E1,4.871763600E0,1.877964220E0,NaN,NaN,1.147599983E1,1.000000000E0
3.047750076E1,5.233640670E1,4.871748600E0,1.877969286E0,NaN,NaN,1.148200035E1,1.000000000E0
5.049550076E1,5.233636930E1,4.871740300E0,1.877911881E0,NaN,NaN,1.191300011E1,1.000000000E0
5.716599311E1,5.233639040E1,4.871731200E0,1.877936375E0,NaN,NaN,1.149199963E1,1.000000000E0
7.816576612E1,5.233639029E1,4.871755130E0,-1.813884037E2,0.000000000E0,NaN,7.404365540E1,1.160087357E2
7.916642565E1,5.233642974E1,4.871747800E0,-1.509222574E2,0.000000000E0,NaN,2.036151695E1,5.662454224E1
8.016715226E1,5.233642812E1,4.871768430E0,-1.202427129E2,3.100000024E-1,7.340000153E1,1.937446976E1,3.587513733E1
8.116959601E1,5.233650976E1,4.871892110E0,-6.265555207E1,8.999999762E-1,2.739999962E1,1.852069092E1,2.733704567E1
8.216652518E1,5.233652274E1,4.871932460E0,-4.871111371E1,9.700000286E-1,2.670000076E1,1.673743248E1,2.508528328E1
8.316907825E1,5.233653369E1,4.872008370E0,-2.294033339E1,6.399999857E-1,6.850000000E1,1.611163712E1,2.158375549E1
8.416847919E1,5.233653659E1,4.872024690E0,-8.299878070E0,5.299999714E-1,5.270000076E1,1.700350761E1,2.132049561E1
8.516666377E1,5.233654629E1,4.872040330E0,1.328318371E0,8.000000119E-1,3.570000076E1,1.873913383E1,2.126252365E1
8.616681424E1,5.233653401E1,4.872048650E0,4.136899597E0,7.300000191E-1,7.859999847E1,2.078262901E1,1.973464203E1
8.716537669E1,5.233652497E1,4.872054160E0,4.000171275E0,7.699999809E-1,1.005999985E2,2.317139816E1,1.874020576E1
8.816592778E1,5.233650771E1,4.872046670E0,-2.819437393E0,6.600000262E-1,1.638999939E2,2.595958900E1,1.808764076E1
8.916569658E1,5.233648864E1,4.872044560E0,-4.144660762E0,1.169999957E0,1.498000031E2,2.633999443E1,1.878906822E1
9.016790424E1,5.233646555E1,4.872047630E0,-4.636695907E0,1.600000024E0,1.661000061E2,2.766753578E1,1.906991005E1
9.116542408E1,5.233643825E1,4.872049960E0,-7.444045020E0,1.730000019E0,1.621999969E2,2.947336960E1,1.932136917E1
9.216602267E1,5.233641478E1,4.872055160E0,-8.170698621E0,1.480000019E0,1.583000031E2,3.106660080E1,1.989400673E1
9.316602377E1,5.233640599E1,4.872060750E0,-8.759880159E0,1.340000033E0,1.511000061E2,3.003376579E1,1.998154449E1
9.416557726E1,5.233639560E1,4.872068030E0,-9.127871575E0,1.320000052E0,1.475000000E2,3.018619347E1,2.007931900E1
9.516993184E1,5.233638145E1,4.872076050E0,-9.428118838E0,1.440000057E0,1.451000061E2,3.032357597E1,2.007118416E1
9.616511111E1,5.233636011E1,4.872084730E0,-9.321393424E0,1.909999967E0,1.528999939E2,3.051083565E1,2.015037155E1
9.716406330E1,5.233633495E1,4.872095740E0,-1.012110516E1,2.069999933E0,1.558999939E2,3.042308426E1,2.028051758E1
9.816774824E1,5.233633005E1,4.872108770E0,-1.288013780E1,1.090000033E0,1.448000031E2,2.803057289E1,1.971222878E1
9.916580876E1,5.233633348E1,4.872125810E0,-1.465807732E1,1.419999957E0,1.190000000E2,2.690334129E1,1.945489883E1
1.001660332E2,5.233633681E1,4.872148430E0,-1.590677794E1,1.509999990E0,9.490000153E1,2.633152962E1,1.936199379E1
1.011689875E2,5.233634331E1,4.872175320E0,-1.408692917E1,1.480000019E0,9.419999695E1,2.323391724E1,1.707136536E1
1.021688651E2,5.233635237E1,4.872194840E0,-1.455284762E1,1.059999943E0,1.000999985E2,2.151823616E1,1.540609360E1
1.031675101E2,5.233635905E1,4.872215440E0,-1.522781421E1,1.139999986E0,1.161999969E2,2.159804535E1,1.544082260E1
1.041686529E2,5.233636087E1,4.872240350E0,-1.478132522E1,1.230000019E0,9.900000000E1,2.120985603E1,1.540460682E1
1.051699960E2,5.233636975E1,4.872264420E0,-1.252788096E1,1.250000000E0,8.930000305E1,2.037532234E1,1.462455845E1
1.061666585E2,5.233637430E1,4.872292250E0,-1.207247532E1,1.710000038E0,9.700000000E1,2.024147224E1,1.435593319E1
1.071667826E2,5.233638958E1,4.872303350E0,-1.188116327E1,1.250000000E0,8.380000305E1,1.857367134E1,1.296946239E1
1.081696915E2,5.233641221E1,4.872315450E0,-9.079793913E0,1.120000005E0,9.259999847E1,1.790540504E1,1.212524986E1
1.091681112E2,5.233642640E1,4.872328390E0,-7.826836836E0,9.900000095E-1,9.719999695E1,1.805222511E1,1.205996132E1
1.101723654E2,5.233643790E1,4.872340000E0,-8.059113801E0,9.800000191E-1,9.390000153E1,1.797131920E1,1.216128159E1
1.111683083E2,5.233644830E1,4.872352080E0,-7.654123980E0,9.399999976E-1,9.490000153E1,1.739595795E1,1.187473679E1
1.121677498E2,5.233646397E1,4.872367510E0,-7.097879702E0,9.599999785E-1,8.980000305E1,1.612265778E1,1.108249950E1
1.131683679E2,5.233647131E1,4.872384270E0,-6.555013090E0,1.000000000E0,9.480000305E1,1.522743225E1,1.070946980E1
1.141669990E2,5.233647170E1,4.872400610E0,-5.691660899E0,1.009999990E0,8.280000305E1,1.415608883E1,1.033121014E1
1.151677058E2,5.233647929E1,4.872416680E0,-5.133840717E0,1.039999962E0,9.019999695E1,1.154157066E1,8.931664467E0
1.161682522E2,5.233648588E1,4.872437230E0,-2.257293792E0,1.129999995E0,8.219999695E1,1.040928936E1,8.417129517E0
1.171670594E2,5.233649156E1,4.872456250E0,-2.927929200E0,1.110000014E0,8.119999695E1,1.027041149E1,8.353378296E0
1.181680743E2,5.233650466E1,4.872475370E0,-2.000714748E0,1.159999967E0,6.419999695E1,9.354146957E0,7.930582523E0
1.191728417E2,5.233651651E1,4.872498030E0,-2.253004423E0,1.279999971E0,7.290000153E1,8.358604431E0,7.570950985E0
1.201733337E2,5.233652715E1,4.872516280E0,-1.994800280E0,9.900000095E-1,8.219999695E1,7.899618626E0,7.251349926E0
1.211728176E2,5.233653631E1,4.872533230E0,-1.273403165E0,1.100000024E0,7.669999695E1,7.893776417E0,7.368853092E0
1.221728584E2,5.233654580E1,4.872550560E0,2.164272502E-1,1.100000024E0,7.150000000E1,7.761317253E0,7.317955494E0
1.231715261E2,5.233655539E1,4.872565370E0,4.596206611E-3,1.110000014E0,5.620000076E1,7.932673454E0,7.597543716E0
1.241769284E2,5.233656323E1,4.872583870E0,1.622537761E0,1.200000048E0,8.030000305E1,7.760003567E0,7.830084801E0
1.251668635E2,5.233656777E1,4.872601690E0,1.867366370E0,1.080000043E0,8.040000153E1,7.979677677E0,8.279094696E0
1.261680296E2,5.233656743E1,4.872616850E0,8.608438114E-1,1.220000029E0,1.090000000E2,7.704617500E0,7.987110615E0
1.271676907E2,5.233656617E1,4.872630740E0,1.038889542E0,1.070000052E0,1.088000031E2,7.734023094E0,7.932817936E0
1.281671313E2,5.233656691E1,4.872644750E0,1.628193041E0,1.129999995E0,8.930000305E1,7.853972912E0,7.984811306E0
1.291668138E2,5.233656953E1,4.872659230E0,2.201691350E0,1.080000043E0,7.650000000E1,8.049130440E0,8.080191612E0
1.301704576E2,5.233657246E1,4.872672250E0,3.803204396E0,1.039999962E0,7.250000000E1,8.030782700E0,8.004612923E0
1.311694449E2,5.233657650E1,4.872686020E0,3.687007033E0,1.120000005E0,5.509999847E1,8.258795738E0,8.173150063E0
1.321660960E2,5.233657898E1,4.872701050E0,3.792487882E0,1.149999976E0,7.590000153E1,8.576002121E0,8.469588280E0
