Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Datetime
0.002148,-1.600322113,5.275329895,9.127569122,2024-06-04 18:07:03.002148
0.042451,-3.149600372,4.978946228,7.539072418,2024-06-04 18:07:03.042451
0.082755,-1.923500061,5.439987488,7.695347443,2024-06-04 18:07:03.082755
0.123059,-1.59598114,5.100343781,8.250842285,2024-06-04 18:07:03.123059
0.163362,-1.95403656,4.97520401,8.381969604,2024-06-04 18:07:03.163362
0.203666,-2.046993256,5.036426697,7.964188385,2024-06-04 18:07:03.203666
0.243969,-1.537003784,4.891228638,8.512498169,2024-06-04 18:07:03.243969
0.284273,-2.080074463,4.760400696,8.157137146,2024-06-04 18:07:03.284273
0.324577,-1.467099152,5.026547241,8.551267548,2024-06-04 18:07:03.324577
0.36488,-1.517843628,4.74124054,8.346343689,2024-06-04 18:07:03.364880
0.405184,-1.111289062,4.681664429,8.084538116,2024-06-04 18:07:03.405184
0.445487,-0.8906478882,4.671335907,8.485703888,2024-06-04 18:07:03.445487
0.485791,-0.6167175293,4.216282196,7.366331635,2024-06-04 18:07:03.485791
0.526095,0.6926097107,3.770509186,7.925568695,2024-06-04 18:07:03.526095
0.566398,1.074315948,3.807781677,6.968459015,2024-06-04 18:07:03.566398
0.606702,3.284619598,2.072140961,6.07511673,2024-06-04 18:07:03.606702
0.647005,2.963387604,1.156944122,4.352648621,2024-06-04 18:07:03.647005
0.687309,2.181264038,0.3173400879,3.759132843,2024-06-04 18:07:03.687309
0.727613,2.684367828,-1.490300903,5.964646454,2024-06-04 18:07:03.727613
0.767916,6.249504089,-0.3396437073,7.329657898,2024-06-04 18:07:03.767916
0.80822,9.719288635,1.123862915,8.165070648,2024-06-04 18:07:03.808220
0.848524,8.05130722,0.199385376,10.41279648,2024-06-04 18:07:03.848524
0.88882675,10.18092865,0.7593708801,7.14449295,2024-06-04 18:07:03.888827
0.92913075,14.63207245,2.6303302,7.699239349,2024-06-04 18:07:03.929131
0.96943475,12.21789276,-0.1851649475,4.667743378,2024-06-04 18:07:03.969435
1.00973775,14.82726654,-0.09684860229,1.884730682,2024-06-04 18:07:04.009738
1.05004175,8.083789673,-1.14077774,1.417552185,2024-06-04 18:07:04.050042
1.09034575,9.073232117,-3.853436737,1.948049011,2024-06-04 18:07:04.090346
1.13064875,7.000941467,-6.156098328,0.227227478,2024-06-04 18:07:04.130649
1.17095275,3.543730774,-7.873626709,2.053429871,2024-06-04 18:07:04.170953
1.21125675,8.654852142,-7.754324799,4.595593414,2024-06-04 18:07:04.211257
1.25155975,8.948990479,-7.026538239,4.884642334,2024-06-04 18:07:04.251560
1.29186375,5.920787659,-7.357050934,3.280428314,2024-06-04 18:07:04.291864
1.33216775,4.79737381,-9.369466095,0.09310638428,2024-06-04 18:07:04.332168
1.37247075,3.705993347,-12.09499832,6.499633942,2024-06-04 18:07:04.372471
1.41025675,3.054398346,-10.92383377,9.306297455,2024-06-04 18:07:04.410257
1.45056075,1.3549823,-12.17957245,4.893923035,2024-06-04 18:07:04.450561
1.49086475,8.844507751,-9.298214264,5.746699677,2024-06-04 18:07:04.490865
1.53116775,7.582033081,-9.962832184,1.825453949,2024-06-04 18:07:04.531168
1.57147175,5.554050293,-7.756121063,0.9795629883,2024-06-04 18:07:04.571472
1.61177575,6.477030945,-8.908724213,4.236490173,2024-06-04 18:07:04.611776
1.65207975,4.288132782,-9.551188202,1.139879608,2024-06-04 18:07:04.652080
1.69238275,1.356778564,-12.70917114,4.179608459,2024-06-04 18:07:04.692383
1.73268675,3.469485168,-9.646839294,6.747368774,2024-06-04 18:07:04.732687
1.77299075,5.987099762,-6.809190216,2.879112854,2024-06-04 18:07:04.772991
1.81329375,9.031319275,-4.630919952,2.401156769,2024-06-04 18:07:04.813294
1.85359775,7.496560822,-7.402406616,2.642754364,2024-06-04 18:07:04.853598
1.8939015,7.363188171,-7.880662079,7.202871552,2024-06-04 18:07:04.893901
1.9342045,5.78726532,-9.27531189,8.133186951,2024-06-04 18:07:04.934205
1.9745085,3.621269531,-9.130263519,4.816533966,2024-06-04 18:07:04.974508
2.0148125,-2.643502808,-6.334976349,0.7807763672,2024-06-04 18:07:05.014813
2.0551165,0.07634124756,-4.467010803,-1.41695343,2024-06-04 18:07:05.055117
2.0954195,1.833237762,-4.349954224,-0.9018745422,2024-06-04 18:07:05.095420
2.1357235,9.305099945,-13.097314,-2.110910339,2024-06-04 18:07:05.135724
2.1760275,19.51731354,-30.79965179,3.968996429,2024-06-04 18:07:05.176028
2.2163305,4.462969208,-6.498885498,0.623303833,2024-06-04 18:07:05.216331
2.2566345,1.954934692,-5.50285675,-0.3565585327,2024-06-04 18:07:05.256635
