Time (s),X (hPa),Datetime
-0.5506330417,1007.753067,2024-06-04 18:07:02.449367
0.4585349583,1007.760315,2024-06-04 18:07:03.458535
1.467673958,1007.767639,2024-06-04 18:07:04.467674
2.476845958,1007.77626,2024-06-04 18:07:05.476846
3.486030958,1007.779617,2024-06-04 18:07:06.486031
3.832994958,1007.782135,2024-06-04 18:07:06.832995
4.909409958,1007.782135,2024-06-04 18:07:07.909410
5.985821958,1007.780075,2024-06-04 18:07:08.985822
7.062260958,1007.779236,2024-06-04 18:07:10.062261
8.138707958,1007.777863,2024-06-04 18:07:11.138708
9.215185958,1007.777863,2024-06-04 18:07:12.215186
10.29160196,1007.776794,2024-06-04 18:07:13.291602
11.36797396,1007.776184,2024-06-04 18:07:14.367974
12.44435196,1007.774582,2024-06-04 18:07:15.444352
13.52078796,1007.773743,2024-06-04 18:07:16.520788
14.59720296,1007.773743,2024-06-04 18:07:17.597203
15.67358296,1007.774048,2024-06-04 18:07:18.673583
16.74994296,1007.776489,2024-06-04 18:07:19.749943
17.82632596,1007.779541,2024-06-04 18:07:20.826326
18.90271796,1007.781982,2024-06-04 18:07:21.902718
19.97908296,1007.781982,2024-06-04 18:07:22.979083
21.05547896,1007.779846,2024-06-04 18:07:24.055479
22.13189296,1007.778168,2024-06-04 18:07:25.131893
23.20826996,1007.776566,2024-06-04 18:07:26.208270
24.28459296,1007.774658,2024-06-04 18:07:27.284593
25.36096096,1007.774048,2024-06-04 18:07:28.360961
26.43733096,1007.774048,2024-06-04 18:07:29.437331
27.51371496,1007.775879,2024-06-04 18:07:30.513715
28.59006996,1007.775879,2024-06-04 18:07:31.590070
29.66637396,1007.774048,2024-06-04 18:07:32.666374
30.74272096,1007.771454,2024-06-04 18:07:33.742721
31.81910796,1007.770233,2024-06-04 18:07:34.819108
32.89544396,1007.768936,2024-06-04 18:07:35.895444
33.97177096,1007.768936,2024-06-04 18:07:36.971771
35.04806996,1007.770462,2024-06-04 18:07:38.048070
36.12438296,1007.770462,2024-06-04 18:07:39.124383
37.20068096,1007.770462,2024-06-04 18:07:40.200681
38.27697296,1007.770386,2024-06-04 18:07:41.276973
39.35327896,1007.767868,2024-06-04 18:07:42.353279
40.42961496,1007.764282,2024-06-04 18:07:43.429615
41.50595096,1007.761993,2024-06-04 18:07:44.505951
42.58222396,1007.759247,2024-06-04 18:07:45.582224
43.65859796,1007.754288,2024-06-04 18:07:46.658598
44.73494796,1007.752533,2024-06-04 18:07:47.734948
45.81131096,1007.752533,2024-06-04 18:07:48.811311
46.88763796,1007.752533,2024-06-04 18:07:49.887638
47.96397796,1007.752533,2024-06-04 18:07:50.963978
49.04036196,1007.752533,2024-06-04 18:07:52.040362
50.11672096,1007.752075,2024-06-04 18:07:53.116721
51.19309496,1007.751236,2024-06-04 18:07:54.193095
52.26942996,1007.751083,2024-06-04 18:07:55.269430
53.34574096,1007.749786,2024-06-04 18:07:56.345741
54.42210896,1007.749176,2024-06-04 18:07:57.422109
55.49850596,1007.7491,2024-06-04 18:07:58.498506
56.57488496,1007.748337,2024-06-04 18:07:59.574885
57.65127696,1007.74765,2024-06-04 18:08:00.651277
58.72765096,1007.747269,2024-06-04 18:08:01.727651
59.80397796,1007.747116,2024-06-04 18:08:02.803978
60.88031796,1007.747116,2024-06-04 18:08:03.880318
61.95667496,1007.748108,2024-06-04 18:08:04.956675
63.03304896,1007.748108,2024-06-04 18:08:06.033049
64.10944696,1007.747269,2024-06-04 18:08:07.109447
65.18577596,1007.746811,2024-06-04 18:08:08.185776
66.26209196,1007.74704,2024-06-04 18:08:09.262092
67.33839996,1007.746582,2024-06-04 18:08:10.338400
68.41474396,1007.746582,2024-06-04 18:08:11.414744
69.49108696,1007.742386,2024-06-04 18:08:12.491087
70.56740396,1007.741013,2024-06-04 18:08:13.567404
71.64370096,1007.740707,2024-06-04 18:08:14.643701
72.72004296,1007.739182,2024-06-04 18:08:15.720043
73.79634396,1007.739182,2024-06-04 18:08:16.796344
74.87260596,1007.741852,2024-06-04 18:08:17.872606
75.94890396,1007.744751,2024-06-04 18:08:18.948904
77.02517096,1007.744751,2024-06-04 18:08:20.025171
78.10144796,1007.743759,2024-06-04 18:08:21.101448
79.17772896,1007.739182,2024-06-04 18:08:22.177729
80.25403496,1007.734451,2024-06-04 18:08:23.254035
