Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.052527,-0.188498795,-0.3160552084,0.201082617,2024-06-04 18:07:03.052527
0.092831,-0.2921511233,-0.4312779009,0.04353179783,2024-06-04 18:07:03.092831
0.133134,-0.2175090015,-0.3282171786,-0.1052262112,2024-06-04 18:07:03.133134
0.173438,-0.09253694117,-0.4456184208,-0.0126422355,2024-06-04 18:07:03.173438
0.213742,-0.1725149304,-0.4727025628,-0.03807447851,2024-06-04 18:07:03.213742
0.254045,-0.1774023324,-0.2216367871,-0.1172454804,2024-06-04 18:07:03.254045
0.294349,-0.1259409934,-0.3849744201,0.04940672964,2024-06-04 18:07:03.294349
0.334652,-0.1501067281,-0.2406816036,-0.0529416278,2024-06-04 18:07:03.334652
0.374956,-0.1942090392,-0.2494692057,-0.02840347588,2024-06-04 18:07:03.374956
0.41526,-0.2058538795,-0.5280230045,-0.09729109704,2024-06-04 18:07:03.415260
0.455563,-0.2012516707,-0.5720601082,-0.121737197,2024-06-04 18:07:03.455563
0.495867,-0.5590233207,-0.978923738,0.02656168491,2024-06-04 18:07:03.495867
0.53617,-0.3541230857,-1.503998399,-0.3877376616,2024-06-04 18:07:03.536170
0.576474,-0.8270235658,-2.703512192,-0.465572536,2024-06-04 18:07:03.576474
0.616778,-0.8699604273,-3.097520351,-0.08691206574,2024-06-04 18:07:03.616778
0.657081,-1.249349117,-2.871763945,0.3631816804,2024-06-04 18:07:03.657081
0.697385,-0.9994710088,-3.847365379,1.530909181,2024-06-04 18:07:03.697385
0.737689,-1.422254443,-1.812828422,2.983169556,2024-06-04 18:07:03.737689
0.777992,-1.475329041,-1.707929492,2.778998852,2024-06-04 18:07:03.777992
0.818296,-1.185953617,-2.866880417,1.90527153,2024-06-04 18:07:03.818296
0.8586,0.1503086686,-2.461993456,2.552880049,2024-06-04 18:07:03.858600
0.89890275,0.6609461308,-3.325484514,3.327778578,2024-06-04 18:07:03.898903
0.93920675,1.101497293,-3.727344751,1.941989064,2024-06-04 18:07:03.939207
0.97951075,0.1603142768,-0.2909446061,2.187172413,2024-06-04 18:07:03.979511
1.01981375,-0.700768292,0.6566179991,0.07023581117,2024-06-04 18:07:04.019814
1.06011775,-1.002542496,-1.090456009,0.4083943963,2024-06-04 18:07:04.060118
1.10042075,-0.588314414,-0.8097521663,0.7590553164,2024-06-04 18:07:04.100421
1.14072475,-1.511287093,0.1729804426,1.10031426,2024-06-04 18:07:04.140725
1.18102875,-1.989920378,-0.2592863441,1.974937201,2024-06-04 18:07:04.181029
1.22133175,-1.45849812,1.042781711,1.149248242,2024-06-04 18:07:04.221332
1.26163575,-1.623609185,2.532432079,0.7381640077,2024-06-04 18:07:04.261636
1.30193975,-1.066790223,-0.6974008083,0.6948278546,2024-06-04 18:07:04.301940
1.34224375,-2.852535248,-1.254385948,1.11024797,2024-06-04 18:07:04.342244
1.38254675,-2.169091463,0.1884618402,1.803667426,2024-06-04 18:07:04.382547
1.42285075,-0.2590369582,1.925402284,2.633406162,2024-06-04 18:07:04.422851
1.46315475,-0.09161125869,2.556581259,3.983798742,2024-06-04 18:07:04.463155
1.50345875,1.157483339,2.2657094,2.592628002,2024-06-04 18:07:04.503459
1.54376175,0.09900491685,1.825471878,2.07324791,2024-06-04 18:07:04.543762
1.58406575,-0.3547371626,1.611239314,1.671988726,2024-06-04 18:07:04.584066
1.62436975,0.5662193298,0.5610435605,0.8292918205,2024-06-04 18:07:04.624370
1.66467375,0.7815572023,-0.2702336311,0.8192148209,2024-06-04 18:07:04.664674
1.70497675,1.778192163,-2.107547045,1.282761693,2024-06-04 18:07:04.704977
1.74528075,2.23272419,-1.633509994,0.7772704363,2024-06-04 18:07:04.745281
1.78558475,0.9832741022,-1.027664304,-0.4104761183,2024-06-04 18:07:04.785585
1.82588775,-0.09660235047,-2.565676928,-2.651376247,2024-06-04 18:07:04.825888
1.86619175,-0.6319451332,-3.641985416,-4.486473083,2024-06-04 18:07:04.866192
1.9064955,-0.6495264769,-3.325598478,-5.310207844,2024-06-04 18:07:04.906495
1.9467985,-0.9946976304,-0.7771881819,-5.143390179,2024-06-04 18:07:04.946799
1.9871025,-0.5052465796,-3.070323944,-3.96441865,2024-06-04 18:07:04.987102
2.0274065,-0.594740212,-6.385429382,1.439044118,2024-06-04 18:07:05.027407
2.0677105,0.2080165446,2.476344585,3.636334896,2024-06-04 18:07:05.067710
2.1080135,-0.7936260104,-4.367716789,4.482089996,2024-06-04 18:07:05.108014
2.1483175,-1.293365479,0.8356644511,3.211297035,2024-06-04 18:07:05.148318
2.1886215,-0.8155207038,0.6138066649,-0.2807328105,2024-06-04 18:07:05.188622
2.2289245,0.1847386062,-2.825124502,-0.3754407763,2024-06-04 18:07:05.228925
2.2692285,0.2830556035,-1.5510602,1.144945502,2024-06-04 18:07:05.269229
2.3095325,0.4958208799,-1.554581523,1.804564476,2024-06-04 18:07:05.309532
