Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.052527,-0.9757720922,-0.07713354528,-0.7045836389,2024-06-04 18:07:03.052527
0.092831,0.4208836059,0.4643455213,-0.234136548,2024-06-04 18:07:03.092831
0.133134,0.19577282,0.1556528807,0.1069707173,2024-06-04 18:07:03.133134
0.173438,-0.3351841821,0.01411167026,-0.1142119092,2024-06-04 18:07:03.173438
0.213742,-0.1875539736,0.2191246989,-0.2523447776,2024-06-04 18:07:03.213742
0.254045,-0.09275789022,-0.005886391997,0.02380927742,2024-06-04 18:07:03.254045
0.294349,-0.5993444283,0.08031413823,-0.2719037139,2024-06-04 18:07:03.294349
0.334652,-0.03472675994,0.3193772578,0.1108749032,2024-06-04 18:07:03.334652
0.374956,-0.1827411304,0.1030527905,-0.2781695902,2024-06-04 18:07:03.374956
0.41526,0.02219113357,0.09647438049,-0.6074017453,2024-06-04 18:07:03.415260
0.455563,0.08806710765,0.116847834,-0.1862379116,2024-06-04 18:07:03.455563
0.495867,0.5557275617,-0.08949338973,-0.9572985452,2024-06-04 18:07:03.495867
0.53617,0.9542419863,-0.5148569861,-0.8758433229,2024-06-04 18:07:03.536170
0.576474,0.9418231581,-0.4525113416,-2.239743211,2024-06-04 18:07:03.576474
0.616778,1.471260615,-1.842459406,-2.691535345,2024-06-04 18:07:03.616778
0.657081,0.5720107417,-2.028304093,-5.307430524,2024-06-04 18:07:03.657081
0.697385,-2.958551372,-2.815995377,-3.367430205,2024-06-04 18:07:03.697385
0.737689,-1.600527935,-3.798047817,-1.905326915,2024-06-04 18:07:03.737689
0.777992,0.7435190785,-0.9625606008,-1.113550766,2024-06-04 18:07:03.777992
0.818296,2.767664339,0.8787017342,1.490464041,2024-06-04 18:07:03.818296
0.8586,1.095800958,0.6837747871,3.485155122,2024-06-04 18:07:03.858600
0.89890275,3.113255249,3.127469831,0.6378429347,2024-06-04 18:07:03.898903
0.93920675,6.020989054,4.07017431,2.777693191,2024-06-04 18:07:03.939207
0.97951075,4.254866803,3.950550511,-0.7141315573,2024-06-04 18:07:03.979511
1.01981375,6.169114814,3.034944075,-2.92520587,2024-06-04 18:07:04.019814
