Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.02800095081,52.35792395,4.911773466,3.824805498,,,35.0,18.49855423,2024-06-04 18:07:03.028001
0.03007698059,52.35790518,4.911740129,3.836615056,,,35.0,19.71351433,2024-06-04 18:07:03.030077
0.03007698059,52.35790376,4.911738843,3.84129703,,,35.0,16.47488785,2024-06-04 18:07:03.030077
0.8010929823,52.3579139,4.911809148,3.861220002,,,35.0,15.37799358,2024-06-04 18:07:03.801093
1.25061202,52.35793693,4.911862297,3.870008051,,,35.0,14.31332779,2024-06-04 18:07:04.250612
1.938186049,52.35799565,4.911859715,9.667934418,0.6100000143,342.421875,6.048431096,12.0,2024-06-04 18:07:04.938186
2.939636111,52.35803589,4.911806993,1.118251801,0.6499999762,342.421875,5.968488147,3.0,2024-06-04 18:07:05.939636
3.932458043,52.35800907,4.911844041,0.7835350037,0.6499999762,80.15625,6.384668495,3.0,2024-06-04 18:07:06.932458
4.940426946,52.35802432,4.911821242,0.9190330505,0.8500000238,10.1953125,6.019346303,3.0,2024-06-04 18:07:07.940427
5.930632949,52.35803086,4.911812274,-0.7151832581,0.8500000238,10.1953125,5.585035987,3.0,2024-06-04 18:07:08.930633
6.931548953,52.35804125,4.911865667,-0.284702301,0.8399999738,60.46875,5.366749302,3.0,2024-06-04 18:07:09.931549
7.930451035,52.35805148,4.911910929,0.8872947693,0.8399999738,60.46875,9.025737266,3.0,2024-06-04 18:07:10.930451
8.93841207,52.35810391,4.911894081,0.9269065857,0.6399999857,60.46875,8.690630773,3.0,2024-06-04 18:07:11.938412
9.935640931,52.35812859,4.911924843,1.065395355,0.6399999857,78.3984375,9.979318774,3.0,2024-06-04 18:07:12.935641
10.9392761,52.35801313,4.912156267,1.904750824,1.470000029,94.21875,8.402083329,3.0,2024-06-04 18:07:13.939276
11.51832092,52.35805278,4.912073035,2.203395844,1.470000029,66.09375,5.633720286,3.0,2024-06-04 18:07:14.518321
12.51725996,52.35809163,4.912052583,1.882595062,0.5500000119,90.0,4.502506153,3.0,2024-06-04 18:07:15.517260
13.51091897,52.35808857,4.91207161,1.823940277,0.5500000119,71.71875,3.663758278,3.0,2024-06-04 18:07:16.510919
14.51479948,52.35808857,4.91207161,1.823940344,0.5500000119,,4.634077772,3.514236792,2024-06-04 18:07:17.514799
15.51582944,52.35809843,4.912095693,1.337734305,0.4499999881,3.867187853,4.642674807,3.502871346,2024-06-04 18:07:18.515829
16.51993465,52.35812543,4.912108893,1.928859841,0.8899999857,30.23438023,4.610624077,3.544951714,2024-06-04 18:07:19.519935
17.51185036,52.35812225,4.912147019,2.076198776,1.299999952,68.20313892,4.610624064,3.54495173,2024-06-04 18:07:20.511850
18.50958812,52.35813386,4.912136427,2.127285134,0.8899999857,56.25000858,4.610624096,3.544951689,2024-06-04 18:07:21.509588
19.51106417,52.35814166,4.912129984,2.62832273,0.8899999857,35.85938107,4.610624115,3.544951664,2024-06-04 18:07:22.511064
20.51668,52.35814579,4.912130373,2.294704533,0.6100000143,43.59375492,4.642254656,3.503428141,2024-06-04 18:07:23.516680
21.51097333,52.35815019,4.912148497,2.332729486,1.00999999,52.38282175,4.610624135,3.544951639,2024-06-04 18:07:24.510973
22.51627791,52.35815087,4.91216591,2.552639155,1.00999999,69.96094859,4.610624136,3.544951638,2024-06-04 18:07:25.516278
23.51610327,52.35815313,4.912184056,3.244899898,1.00999999,77.34376145,4.610624139,3.544951634,2024-06-04 18:07:26.516103
24.51790655,52.35815543,4.91219624,4.097133762,0.8600000143,73.82813462,4.610624141,3.54495163,2024-06-04 18:07:27.517907
25.51080859,52.35815983,4.91221344,5.0216333,1.049999952,67.85157372,4.610624147,3.544951623,2024-06-04 18:07:28.510809
26.51582813,52.35817035,4.912234428,5.5873072,1.389999986,53.43751304,4.610624164,3.5449516,2024-06-04 18:07:29.515828
27.51083553,52.35817379,4.912250657,6.494960952,1.129999995,59.76563629,4.610624172,3.54495159,2024-06-04 18:07:30.510836
28.51451659,52.35817926,4.912265264,6.354335953,1.129999995,54.84376078,4.610624182,3.544951577,2024-06-04 18:07:31.514517
29.51551962,52.35817918,4.912288108,7.300930191,1.129999995,68.20313721,4.610624179,3.544951581,2024-06-04 18:07:32.515520
30.51615226,52.35817969,4.912320543,8.103054306,1.559999943,74.88283002,4.610624174,3.544951588,2024-06-04 18:07:33.516152
31.52404463,52.35817799,4.912346594,8.377773546,1.559999943,79.45314297,4.610624164,3.5449516,2024-06-04 18:07:34.524045
32.51524389,52.35817672,4.912362482,8.909816911,1.139999986,76.28907526,4.610624156,3.54495161,2024-06-04 18:07:35.515244
33.51496387,52.35817752,4.91238481,8.965725116,1.139999986,72.77345015,4.610624152,3.544951616,2024-06-04 18:07:36.514964
34.51570261,52.35812387,4.9124255,2.314799068,1.068588429,50.8249635,5.009774198,2.954098765,2024-06-04 18:07:37.515703
35.51378667,52.35811711,4.912453125,1.976018318,1.103528757,86.93636137,5.007718593,2.95758204,2024-06-04 18:07:38.513787
36.51487112,52.35813069,4.912469097,2.443113435,1.340849701,49.96608644,5.021143574,2.934732397,2024-06-04 18:07:39.514871
37.51379704,52.35813592,4.912479839,2.04491224,1.015026795,58.36871064,4.978869692,3.005893149,2024-06-04 18:07:40.513797
38.52357197,52.35813725,4.912507719,2.495392988,1.266958204,59.67791886,4.961538513,3.034414708,2024-06-04 18:07:41.523572
39.51458037,52.35816554,4.912505445,3.135870878,1.266291577,49.3073813,4.939025751,3.070921957,2024-06-04 18:07:42.514580
40.52361465,52.35816995,4.912518056,2.847769538,1.199075188,47.90413855,4.935039078,3.077324541,2024-06-04 18:07:43.523615
41.51539195,52.35818059,4.912515797,2.711668569,0.8722911218,43.95359266,4.881252865,3.161946789,2024-06-04 18:07:44.515392
42.51299477,52.35818486,4.912536032,2.841868432,0.980830173,52.84581025,4.882472742,3.160062809,2024-06-04 18:07:45.512995
43.51590121,52.35818696,4.912560043,3.047099813,1.167308896,55.95340833,4.888579917,3.150606835,2024-06-04 18:07:46.515901
44.5222199,52.35818552,4.912579177,2.710961201,1.014484767,57.07812633,4.892060094,3.145200322,2024-06-04 18:07:47.522220
45.5140748,52.35818114,4.912603532,2.773848672,0.9892265885,65.56845005,4.899200442,3.134066378,2024-06-04 18:07:48.514075
46.51596439,52.35818567,4.912631785,3.019760387,1.183522321,57.48949795,4.899360217,3.133816602,2024-06-04 18:07:49.515964
47.51538539,52.35818927,4.912647793,3.085725765,1.086662263,54.18805717,4.888999013,3.149956458,2024-06-04 18:07:50.515385
48.51689756,52.35819491,4.912679297,2.652241304,1.32877246,65.68882501,4.87430304,3.172649825,2024-06-04 18:07:51.516898
49.5152446,52.3581901,4.91270017,2.16258521,1.06216105,76.95447624,4.873713535,3.173555327,2024-06-04 18:07:52.515245
50.52305484,52.35819372,4.912717082,2.729444603,0.9769333446,71.91720322,4.858068534,3.19745323,2024-06-04 18:07:53.523055
51.514889,52.35820056,4.912731114,2.784046815,1.102520705,64.79172128,4.869408562,3.180156803,2024-06-04 18:07:54.514889
52.51449227,52.35820353,4.912747984,2.737694725,1.193018087,65.85141883,4.878173913,3.166694856,2024-06-04 18:07:55.514492
53.5160073,52.35821493,4.912773495,3.072368705,1.489251535,63.25414632,4.874428797,3.172456609,2024-06-04 18:07:56.516007
54.51491725,52.35821547,4.91279483,2.880270371,1.390309549,69.07083196,4.864457361,3.187725147,2024-06-04 18:07:57.514917
55.51585305,52.35821589,4.912801137,2.742298284,1.005254133,67.06345205,4.873762849,3.173479592,2024-06-04 18:07:58.515853
56.51487482,52.35821649,4.912823244,2.872601735,1.03736968,68.31894801,4.872798253,3.174960507,2024-06-04 18:07:59.514875
57.51503205,52.35821969,4.912846269,2.785707976,1.108575541,67.83252239,4.87714958,3.168272244,2024-06-04 18:08:00.515032
58.51204884,52.35822277,4.912865602,2.861471393,1.122217877,67.57320512,4.874301346,3.172652426,2024-06-04 18:08:01.512049
59.51479888,52.35822791,4.912888694,3.36154459,1.295737582,64.71018114,4.882799122,3.159558476,2024-06-04 18:08:02.514799
60.51507437,52.35822262,4.912906944,2.484742616,1.152257801,74.13454934,4.901325353,3.130742216,2024-06-04 18:08:03.515074
61.5167048,52.35823356,4.912934404,3.116397913,1.379236118,68.07015891,4.894511462,3.141384183,2024-06-04 18:08:04.516705
62.51610911,52.35823175,4.912955495,2.746272036,1.347774635,72.17487848,4.906283926,3.12296575,2024-06-04 18:08:05.516109
63.51659214,52.35823511,4.912978252,2.958093475,1.370247025,75.17212476,4.902230228,3.129325139,2024-06-04 18:08:06.516592
64.51599598,52.35823555,4.912995161,3.348814176,1.24188196,76.24100455,4.899350722,3.133831446,2024-06-04 18:08:07.515996
65.51512814,52.35824482,4.913008545,3.335559736,1.18066407,72.24103547,4.893195327,3.143433875,2024-06-04 18:08:08.515128
66.51343811,52.35824462,4.913038594,3.148246588,1.485852789,75.4738352,4.913574501,3.111482389,2024-06-04 18:08:09.513438
67.51588678,52.35825112,4.913048696,3.119453281,1.300309547,71.96286855,4.942180638,3.065842066,2024-06-04 18:08:10.515887
68.52609015,52.35825381,4.91307022,3.22317842,1.333400158,69.72705402,4.954323283,3.046180861,2024-06-04 18:08:11.526090
69.51185119,52.35826191,4.913085821,3.203577029,1.356659693,62.36855446,4.980902599,3.002523327,2024-06-04 18:08:12.511851
70.50960839,52.35827925,4.913087799,3.573219981,1.256289607,54.51795478,4.964058282,3.030290812,2024-06-04 18:08:13.509608
71.51593578,52.35827396,4.913101485,2.814660272,0.7801844401,68.79838337,4.962557124,3.032748559,2024-06-04 18:08:14.515936
72.50875533,52.35827998,4.913123769,3.590632687,1.122304761,62.85046487,4.97102937,3.018841505,2024-06-04 18:08:15.508755
73.51154661,52.3582732,4.913137142,2.783690043,0.8999860345,76.92166523,4.979179428,3.005380052,2024-06-04 18:08:16.511547
74.5149076,52.35827497,4.913167593,3.207923517,1.234429845,72.33324418,4.987370333,2.991767738,2024-06-04 18:08:17.514908
75.51157808,52.35827356,4.913188732,2.80510662,1.267524449,75.1792592,4.996806261,2.97598122,2024-06-04 18:08:18.511578
76.5098778,52.35827435,4.913209395,2.644494352,1.217332723,76.6159375,5.018776499,2.938778571,2024-06-04 18:08:19.509878
77.51553226,52.35828155,4.913216838,2.547530153,0.9621021847,62.90611169,5.014111007,2.946731721,2024-06-04 18:08:20.515532
78.51154852,52.35827082,4.913237323,2.688501446,0.7279236774,81.08476346,4.995266428,2.978565148,2024-06-04 18:08:21.511549
79.5191747,52.35824914,4.913271918,2.961891897,0.7875850897,109.6725044,4.905262465,3.12456992,2024-06-04 18:08:22.519175
80.51822472,52.35822253,4.913302881,2.351316255,0.8765981681,127.11875,4.871515965,3.17692764,2024-06-04 18:08:23.518225
81.512128,52.35819775,4.913328239,2.808168686,1.174411409,138.3991151,4.853360465,3.204595017,2024-06-04 18:08:24.512128
82.51061833,52.35817862,4.91334217,2.495395555,1.252011955,143.690701,4.836132507,3.230535467,2024-06-04 18:08:25.510618
83.50989377,52.35816339,4.91335931,3.314096496,1.56400625,145.2826768,4.834329962,3.233232261,2024-06-04 18:08:26.509894
84.50868583,52.35815119,4.913365087,2.465071911,1.345393119,157.1758387,4.84587057,3.215909739,2024-06-04 18:08:27.508686
85.50870323,52.35814251,4.913394087,2.478179237,1.184786289,150.4102135,4.84691098,3.214341455,2024-06-04 18:08:28.508703
86.51031852,52.35813107,4.913416951,2.682567042,1.326174427,146.9647533,4.882749633,3.159634956,2024-06-04 18:08:29.510319
87.5130477,52.35811048,4.913450776,3.226229386,1.709343095,148.0382029,4.870668848,3.178226236,2024-06-04 18:08:30.513048
