Time (s),X (µT),Y (µT),Z (µT),Datetime
0.052527,4.557617188,-17.09216309,-44.63485718,2024-06-04 18:07:03.052527
0.092831,3.596984863,-16.80735016,-45.01696014,2024-06-04 18:07:03.092831
0.133134,2.935699463,-16.3374939,-45.15881348,2024-06-04 18:07:03.133134
0.173438,2.774963379,-16.04936218,-45.24653625,2024-06-04 18:07:03.173438
0.213742,1.864379883,-15.99634552,-45.5687561,2024-06-04 18:07:03.213742
0.254045,1.275421143,-15.69329834,-45.49377441,2024-06-04 18:07:03.254045
0.294349,1.08203125,-15.38117981,-45.44503784,2024-06-04 18:07:03.294349
0.334652,0.4226989746,-15.28229523,-45.69810486,2024-06-04 18:07:03.334652
0.374956,0.08108520508,-15.0896225,-45.81006622,2024-06-04 18:07:03.374956
0.41526,-0.3420410156,-14.80558014,-45.86405182,2024-06-04 18:07:03.415260
0.455563,-1.093109131,-14.41864014,-45.90731812,2024-06-04 18:07:03.455563
0.495867,-2.612548828,-13.74591827,-46.06768799,2024-06-04 18:07:03.495867
0.53617,-4.371673584,-12.72478485,-46.27993011,2024-06-04 18:07:03.536170
0.576474,-7.606414795,-11.99523926,-45.97348022,2024-06-04 18:07:03.576474
0.616778,-13.10095215,-10.46431732,-45.16376495,2024-06-04 18:07:03.616778
0.657081,-17.8548584,-8.697257996,-43.64266968,2024-06-04 18:07:03.657081
0.697385,-25.00158691,-6.085548401,-40.37229156,2024-06-04 18:07:03.697385
0.737689,-29.46043396,-1.977561951,-37.37861633,2024-06-04 18:07:03.737689
0.777992,-31.34580994,3.84122467,-35.73925018,2024-06-04 18:07:03.777992
0.818296,-33.30055237,8.347755432,-32.21115112,2024-06-04 18:07:03.818296
0.8586,-35.16043091,11.0770874,-29.13955498,2024-06-04 18:07:03.858600
0.89890275,-36.18699646,14.70986557,-25.7355175,2024-06-04 18:07:03.898903
0.93920675,-37.4569397,17.83214188,-21.08233452,2024-06-04 18:07:03.939207
0.97951075,-38.32969666,19.84877777,-17.47883987,2024-06-04 18:07:03.979511
1.01981375,-36.92027283,21.7679863,-18.02874374,2024-06-04 18:07:04.019814
1.06011775,-37.10969543,22.21565247,-17.81138611,2024-06-04 18:07:04.060118
1.10042075,-38.14505005,23.17945862,-15.70600891,2024-06-04 18:07:04.100421
1.14072475,-39.17449951,24.70528412,-13.99473572,2024-06-04 18:07:04.140725
1.18102875,-41.79452515,27.43701935,-8.089761734,2024-06-04 18:07:04.181029
1.22133175,-37.28390503,33.59957123,1.756786823,2024-06-04 18:07:04.221332
1.26163575,-30.91564941,35.50973129,1.043336391,2024-06-04 18:07:04.261636
1.30193975,-26.55325317,35.4849968,-2.404191017,2024-06-04 18:07:04.301940
1.34224375,-24.39498901,35.65747452,-3.55907917,2024-06-04 18:07:04.342244
1.38254675,-21.55166626,37.49812317,-1.466944695,2024-06-04 18:07:04.382547
1.42285075,-17.98294067,39.38266754,-1.010797501,2024-06-04 18:07:04.422851
1.46315475,-12.49465942,41.59938049,-2.82935524,2024-06-04 18:07:04.463155
1.50345875,-6.48046875,43.07464981,-4.338204384,2024-06-04 18:07:04.503459
1.54376175,-2.241485596,43.37801361,-6.297718048,2024-06-04 18:07:04.543762
1.58406575,0.7383422852,43.51261139,-5.589112282,2024-06-04 18:07:04.584066
1.62436975,3.577056885,43.22966003,-5.725237846,2024-06-04 18:07:04.624370
1.66467375,5.229492188,42.87405777,-6.870837212,2024-06-04 18:07:04.664674
1.70497675,6.744171143,41.88111877,-9.40694046,2024-06-04 18:07:04.704977
1.74528075,7.85446167,40.35828781,-14.0571785,2024-06-04 18:07:04.745281
1.78558475,7.52255249,39.02986908,-18.17012215,2024-06-04 18:07:04.785585
1.82588775,4.163391113,38.51713562,-20.60251617,2024-06-04 18:07:04.825888
1.86619175,-3.166931152,38.88285828,-20.10293007,2024-06-04 18:07:04.866192
1.9064955,-15.03466797,37.40068817,-18.47087288,2024-06-04 18:07:04.906495
1.9467985,-26.6194458,33.50186157,-14.44115448,2024-06-04 18:07:04.946799
1.9871025,-34.88633728,27.89195633,-10.10336304,2024-06-04 18:07:04.987102
2.0274065,-38.57493591,25.48302078,-1.541060448,2024-06-04 18:07:05.027407
2.0677105,-35.30958557,32.70932388,6.526836872,2024-06-04 18:07:05.067710
2.1080135,-15.36676025,43.77600098,3.193540573,2024-06-04 18:07:05.108014
2.1483175,-24.32095337,27.74723816,8.692774773,2024-06-04 18:07:05.148318
2.1886215,-24.83633423,28.05694199,8.303512573,2024-06-04 18:07:05.188622
2.2289245,-23.77728271,27.51163483,10.77094841,2024-06-04 18:07:05.228925
2.2692285,-21.30209351,27.90478897,13.15028381,2024-06-04 18:07:05.269229
2.3095325,-17.36758423,29.13660049,14.84381866,2024-06-04 18:07:05.309532
2.3498365,-11.87710571,30.80642319,16.39337158,2024-06-04 18:07:05.349836
2.3901395,-7.463134766,31.94206238,16.71191025,2024-06-04 18:07:05.390140
2.4304435,-4.409240723,32.0345192,16.42725563,2024-06-04 18:07:05.430444
2.4707475,-3.027008057,32.20392227,16.39278221,2024-06-04 18:07:05.470747
2.5110515,-6.256622314,31.53872299,17.39447594,2024-06-04 18:07:05.511052
2.5513545,-7.168579102,30.74424744,19.39565659,2024-06-04 18:07:05.551354
2.5916585,-7.756500244,31.50238037,18.9211235,2024-06-04 18:07:05.591658
2.6319625,-8.434265137,31.80194855,19.94295502,2024-06-04 18:07:05.631963
2.6722655,-5.629455566,32.66293716,20.36777496,2024-06-04 18:07:05.672266
2.7125695,-1.09967041,33.27724457,18.13774872,2024-06-04 18:07:05.712569
2.7528735,1.838562012,34.58413315,16.0165062,2024-06-04 18:07:05.752874
2.7931775,5.581817627,35.83533859,14.30844021,2024-06-04 18:07:05.793178
2.8334805,9.158416748,37.01697922,13.99178696,2024-06-04 18:07:05.833480
2.8737845,11.26464844,38.41996002,12.90039635,2024-06-04 18:07:05.873785
2.914089958,12.1864624,39.19302368,13.06833649,2024-06-04 18:07:05.914090
2.954393958,13.61135864,39.19768143,13.54046059,2024-06-04 18:07:05.954394
2.994696958,16.51779175,38.49260712,13.09487152,2024-06-04 18:07:05.994697
3.035000958,19.29049683,37.05229568,11.59148216,2024-06-04 18:07:06.035001
3.075304958,22.79693604,35.61845016,8.406190872,2024-06-04 18:07:06.075305
3.115608958,25.7517395,35.0398674,5.470136166,2024-06-04 18:07:06.115609
3.155911958,26.84213257,34.84423828,6.006801605,2024-06-04 18:07:06.155912
3.196215958,27.38104248,34.97521973,7.529891014,2024-06-04 18:07:06.196216
3.236519958,26.15878296,36.16442108,10.12708664,2024-06-04 18:07:06.236520
3.276823958,27.25686646,34.83047867,13.43692207,2024-06-04 18:07:06.276824
3.317126958,28.97515869,29.41117096,20.62023544,2024-06-04 18:07:06.317127
3.357430958,27.86901855,29.19071198,22.52773285,2024-06-04 18:07:06.357431
3.397734958,25.36813354,29.87031174,25.11486816,2024-06-04 18:07:06.397735
3.438038958,24.14968872,29.031353,27.42144203,2024-06-04 18:07:06.438039
3.478341958,25.32458496,25.82667542,30.78215408,2024-06-04 18:07:06.478342
3.518645958,28.41461182,23.08599091,30.84501457,2024-06-04 18:07:06.518646
3.558949958,28.53872681,22.4745369,30.6167202,2024-06-04 18:07:06.558950
3.599253958,28.70681763,23.0220871,30.15472412,2024-06-04 18:07:06.599254
3.639556958,27.89508057,26.03781891,28.68009186,2024-06-04 18:07:06.639557
3.679860958,25.59616089,30.08207321,26.84383774,2024-06-04 18:07:06.679861
3.720164958,21.51202393,33.49359894,26.76699829,2024-06-04 18:07:06.720165
3.760468958,15.68267822,37.7649231,25.31078339,2024-06-04 18:07:06.760469
3.800771958,11.31774902,41.24298859,22.18212318,2024-06-04 18:07:06.800772
3.841075958,7.904602051,42.21181107,21.61223602,2024-06-04 18:07:06.841076
3.881379125,7.499969482,41.1869812,23.71613312,2024-06-04 18:07:06.881379
3.921683125,9.308654785,40.24747467,24.95113182,2024-06-04 18:07:06.921683
3.961986125,9.274414062,41.22361755,24.93902779,2024-06-04 18:07:06.961986
4.002290125,10.92709351,47.3117981,25.19948769,2024-06-04 18:07:07.002290
4.042594125,14.32373047,61.83198547,17.08932877,2024-06-04 18:07:07.042594
4.082898125,11.01211548,62.02136612,9.387208939,2024-06-04 18:07:07.082898
4.123201125,10.52154541,63.28846741,0.8589205742,2024-06-04 18:07:07.123201
4.163505125,16.34674072,52.75700378,-9.399299622,2024-06-04 18:07:07.163505
4.203809125,21.23226929,45.66422272,0.7774839401,2024-06-04 18:07:07.203809
4.244113125,21.64086914,45.6745224,0.5398306847,2024-06-04 18:07:07.244113
4.284417125,19.75234985,45.98558044,2.338144779,2024-06-04 18:07:07.284417
4.324720125,14.80877686,47.22710419,4.645008087,2024-06-04 18:07:07.324720
4.365024125,8.147796631,45.58241272,-3.220774651,2024-06-04 18:07:07.365024
4.405328125,-15.1534729,9.298950195,-8.03212738,2024-06-04 18:07:07.405328
4.445632125,-20.41607666,10.63540649,26.95732498,2024-06-04 18:07:07.445632
4.485935125,-18.44104004,11.20959473,28.35598564,2024-06-04 18:07:07.485935
4.526239125,-16.19122314,12.77164841,26.39785957,2024-06-04 18:07:07.526239
4.566543125,-15.36862183,13.7817421,22.71219635,2024-06-04 18:07:07.566543
4.606847125,-15.28045654,15.06800461,18.64281082,2024-06-04 18:07:07.606847
4.647151125,-14.41265869,15.86091232,14.09029007,2024-06-04 18:07:07.647151
4.687454125,-13.32922363,16.32070541,10.03255367,2024-06-04 18:07:07.687454
4.727758125,-12.00973511,16.28102875,6.098375797,2024-06-04 18:07:07.727758
4.768062125,-10.04138184,16.10913849,3.418741226,2024-06-04 18:07:07.768062
4.808366125,-8.045043945,15.8419075,2.304176807,2024-06-04 18:07:07.808366
4.848669125,-6.762420654,14.80069351,1.867825508,2024-06-04 18:07:07.848669
4.888972708,-6.278656006,14.51282501,2.783486366,2024-06-04 18:07:07.888973
4.929276708,-5.713684082,14.67087173,5.147521973,2024-06-04 18:07:07.929277
4.969580708,-5.672607422,14.94047928,8.145711899,2024-06-04 18:07:07.969581
5.009884708,-5.981170654,14.95375443,10.69894981,2024-06-04 18:07:08.009885
5.050187708,-4.95980835,15.06242752,9.644178391,2024-06-04 18:07:08.050188
5.090491708,-3.582885742,14.34737396,7.320915222,2024-06-04 18:07:08.090492
5.130795708,-3.71307373,13.99835205,5.835808754,2024-06-04 18:07:08.130796
5.171099708,-2.768157959,13.55600739,4.645923138,2024-06-04 18:07:08.171100
5.211402708,-2.535095215,14.14028931,6.408336639,2024-06-04 18:07:08.211403
5.251706708,-2.929901123,16.16366577,9.457266808,2024-06-04 18:07:08.251707
5.292010708,0.1299133301,18.08267212,11.64634132,2024-06-04 18:07:08.292011
5.332314708,2.692810059,18.53116226,17.81665039,2024-06-04 18:07:08.332315
5.372618708,3.541687012,18.48458481,19.93681908,2024-06-04 18:07:08.372619
5.412921708,3.636291504,18.33921051,21.43284798,2024-06-04 18:07:08.412922
5.453225708,3.230316162,17.9079628,22.89199448,2024-06-04 18:07:08.453226
5.493529708,2.75100708,17.4286232,24.23039246,2024-06-04 18:07:08.493530
