Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.007808124996,-0.9993218994,6.246660004,6.510860596,2024-06-14 11:15:30.007808
0.04810412496,-1.844165039,5.216502228,9.158854065,2024-06-14 11:15:30.048104
0.08839912503,-1.707648926,4.405937805,9.284742279,2024-06-14 11:15:30.088399
0.128695125,-0.9851014709,4.718637543,7.845485229,2024-06-14 11:15:30.128695
0.1689901249,-0.5758525085,5.143304443,7.288194122,2024-06-14 11:15:30.168990
0.209286125,-0.7963439941,4.008214874,10.03288651,2024-06-14 11:15:30.209286
0.249581125,-1.797761536,3.402873688,6.899452515,2024-06-14 11:15:30.249581
0.2898771249,-4.31522644,3.82619339,6.777755585,2024-06-14 11:15:30.289877
0.330172125,-1.151255951,0.776585083,14.7428421,2024-06-14 11:15:30.330172
0.370468125,-4.663851471,2.380350037,7.364235992,2024-06-14 11:15:30.370468
0.4107631249,-5.586682434,1.388811951,8.691825256,2024-06-14 11:15:30.410763
0.451059125,-4.945116577,0.9711804199,11.60042679,2024-06-14 11:15:30.451059
0.491354125,-5.242847443,-0.4123924255,11.50537445,2024-06-14 11:15:30.491354
0.5316501249,-6.386618958,-0.7509883118,8.73703125,2024-06-14 11:15:30.531650
0.5719447084,-6.024971008,-1.483265533,8.882528687,2024-06-14 11:15:30.571945
0.6122407083,-2.496358795,-0.6960525513,7.411986694,2024-06-14 11:15:30.612241
0.6525367083,-4.263733521,-1.653162231,3.526965637,2024-06-14 11:15:30.652537
0.6928317084,-3.673061829,-1.992207184,7.630532227,2024-06-14 11:15:30.692832
0.7331277083,-5.279221802,-3.673361206,5.164560242,2024-06-14 11:15:30.733128
0.7734227083,-3.964505768,-5.282365265,3.388353882,2024-06-14 11:15:30.773423
0.8137187083,-4.216282196,-7.009623413,5.461093597,2024-06-14 11:15:30.813719
0.8540137083,-1.732197876,-5.950875092,7.052733765,2024-06-14 11:15:30.854014
0.8943097083,-1.899400177,-5.342240753,10.05893234,2024-06-14 11:15:30.894310
0.9346047083,-4.215982819,-8.316106567,7.963290253,2024-06-14 11:15:30.934605
0.9749007083,-2.117197266,-8.069569244,10.5638324,2024-06-14 11:15:30.974901
1.015195708,-4.274511108,-7.363637238,13.36241272,2024-06-14 11:15:31.015196
1.055491708,-8.439749451,-9.557924194,16.1256665,2024-06-14 11:15:31.055492
1.095787708,-7.453151093,-7.377258911,9.987081757,2024-06-14 11:15:31.095788
1.136082708,-6.037095795,-10.17823425,-0.03158432007,2024-06-14 11:15:31.136083
1.176378708,-7.056475983,-10.68897217,1.370250549,2024-06-14 11:15:31.176379
1.216673708,-6.396049347,-11.68110901,-1.592089233,2024-06-14 11:15:31.216674
1.256969708,-5.943540344,-10.44048889,-3.35931427,2024-06-14 11:15:31.256970
1.297264708,-4.23693924,-10.15593063,-2.664758606,2024-06-14 11:15:31.297265
1.337560708,-2.843786316,-8.38137085,0.4546046448,2024-06-14 11:15:31.337561
1.377855708,-5.83756073,-5.884562988,8.525521088,2024-06-14 11:15:31.377856
1.418151708,0.5328918457,-10.50605255,-1.644779663,2024-06-14 11:15:31.418152
1.458446708,-2.091899872,-5.615422668,0.5884263611,2024-06-14 11:15:31.458447
1.498742708,-9.498946838,-8.590036926,0.7771838379,2024-06-14 11:15:31.498743
1.539038708,-4.404740295,-7.11874649,-3.841611328,2024-06-14 11:15:31.539039
1.579334708,-4.787344666,-1.938618622,4.245621185,2024-06-14 11:15:31.579335
1.619630708,-6.191424866,-3.423530731,3.797153778,2024-06-14 11:15:31.619631
1.659925708,-9.003477173,-6.739285583,4.043092346,2024-06-14 11:15:31.659926
1.700221708,-4.170327759,-8.389753418,4.656666412,2024-06-14 11:15:31.700222
1.740516708,-5.167853394,-7.887248383,4.277504883,2024-06-14 11:15:31.740517
1.780812708,-11.86223236,-11.52528305,2.602188721,2024-06-14 11:15:31.780813
1.821107708,-4.599185944,-11.04897354,6.078260193,2024-06-14 11:15:31.821108
1.861403708,-6.481521606,-16.56784698,4.861290894,2024-06-14 11:15:31.861404
1.901699708,1.27774292,-9.690249023,4.747976532,2024-06-14 11:15:31.901700
1.941994708,-4.141587524,-13.64697098,1.812580719,2024-06-14 11:15:31.941995
1.982290708,-0.9598040771,-11.8763031,-0.51717453,2024-06-14 11:15:31.982291
2.022585708,2.087109833,-8.828491058,1.480571136,2024-06-14 11:15:32.022586
2.062881708,-11.34909943,-16.39615402,-3.72560257,2024-06-14 11:15:32.062882
2.103176708,-9.952653351,-9.811945953,-0.3719764709,2024-06-14 11:15:32.103177
2.143472708,-8.980275421,-8.247100067,0.6595285034,2024-06-14 11:15:32.143473
2.183767708,-5.527256012,-3.869603119,4.110601959,2024-06-14 11:15:32.183768
2.224063708,1.168021088,2.523302765,0.4285588074,2024-06-14 11:15:32.224064
2.264358708,-3.257825317,1.692081299,-0.9403445435,2024-06-14 11:15:32.264359
2.304654708,-5.508395233,-0.1199006653,1.260379028,2024-06-14 11:15:32.304655
2.344949708,-6.997498627,-7.676187286,0.2869532776,2024-06-14 11:15:32.344950
2.385245708,-8.957822113,-5.555397491,-3.957171021,2024-06-14 11:15:32.385246
2.425541708,-12.52550308,-6.708599396,-5.35077301,2024-06-14 11:15:32.425542
