Time (s),X (hPa),Datetime
-0.5455484167,1002.880936,2024-06-14 11:15:29.454452
0.4623805833,1002.887573,2024-06-14 11:15:30.462381
1.470304583,1002.894287,2024-06-14 11:15:31.470305
2.478234583,1002.894287,2024-06-14 11:15:32.478235
3.486154583,1002.891998,2024-06-14 11:15:33.486155
3.834577583,1002.891998,2024-06-14 11:15:33.834578
4.909659583,1002.892456,2024-06-14 11:15:34.909660
5.984792583,1002.892456,2024-06-14 11:15:35.984793
7.059921583,1002.891846,2024-06-14 11:15:37.059922
8.135045583,1002.891083,2024-06-14 11:15:38.135046
9.210202583,1002.888641,2024-06-14 11:15:39.210203
10.28529058,1002.886887,2024-06-14 11:15:40.285291
11.36039858,1002.886887,2024-06-14 11:15:41.360399
12.43552758,1002.888031,2024-06-14 11:15:42.435528
13.51063458,1002.889404,2024-06-14 11:15:43.510635
14.58576258,1002.893448,2024-06-14 11:15:44.585763
15.66084758,1002.896118,2024-06-14 11:15:45.660848
16.73593458,1002.8965,2024-06-14 11:15:46.735935
17.81103958,1002.89856,2024-06-14 11:15:47.811040
18.88617458,1002.900085,2024-06-14 11:15:48.886175
19.96128358,1002.904282,2024-06-14 11:15:49.961284
21.03640858,1002.906265,2024-06-14 11:15:51.036409
22.11152958,1002.907181,2024-06-14 11:15:52.111530
23.18665858,1002.907181,2024-06-14 11:15:53.186659
24.26181658,1002.9039,2024-06-14 11:15:54.261817
25.33695558,1002.900925,2024-06-14 11:15:55.336956
26.41210858,1002.900314,2024-06-14 11:15:56.412109
27.48725758,1002.895432,2024-06-14 11:15:57.487258
28.56243858,1002.885132,2024-06-14 11:15:58.562439
29.63754858,1002.879639,2024-06-14 11:15:59.637549
30.71271058,1002.87117,2024-06-14 11:16:00.712711
31.78786758,1002.865677,2024-06-14 11:16:01.787868
32.86305858,1002.861938,2024-06-14 11:16:02.863059
33.93823558,1002.861938,2024-06-14 11:16:03.938236
35.01342558,1002.862701,2024-06-14 11:16:05.013426
36.08856858,1002.863617,2024-06-14 11:16:06.088569
37.16373258,1002.86377,2024-06-14 11:16:07.163733
38.23888058,1002.864761,2024-06-14 11:16:08.238881
39.31404258,1002.868881,2024-06-14 11:16:09.314043
40.38925958,1002.872162,2024-06-14 11:16:10.389260
41.46446058,1002.878418,2024-06-14 11:16:11.464461
42.53967258,1002.882309,2024-06-14 11:16:12.539673
43.61492158,1002.887955,2024-06-14 11:16:13.614922
44.69016858,1002.891693,2024-06-14 11:16:14.690169
45.76546358,1002.892761,2024-06-14 11:16:15.765464
46.84075858,1002.892761,2024-06-14 11:16:16.840759
47.91606158,1002.889252,2024-06-14 11:16:17.916062
48.99133658,1002.88353,2024-06-14 11:16:18.991337
50.06658158,1002.87674,2024-06-14 11:16:20.066582
51.14183558,1002.870789,2024-06-14 11:16:21.141836
52.21707858,1002.867432,2024-06-14 11:16:22.217079
53.29233958,1002.866821,2024-06-14 11:16:23.292340
54.36758658,1002.863083,2024-06-14 11:16:24.367587
55.44289958,1002.859879,2024-06-14 11:16:25.442900
56.51825358,1002.85408,2024-06-14 11:16:26.518254
57.59352858,1002.851639,2024-06-14 11:16:27.593529
58.66879058,1002.849884,2024-06-14 11:16:28.668791
59.74407858,1002.849884,2024-06-14 11:16:29.744079
60.81938458,1002.855606,2024-06-14 11:16:30.819385
61.89468258,1002.869797,2024-06-14 11:16:31.894683
62.96996658,1002.882385,2024-06-14 11:16:32.969967
64.04525158,1002.891541,2024-06-14 11:16:34.045252
65.12052758,1002.898026,2024-06-14 11:16:35.120528
66.19576658,1002.901917,2024-06-14 11:16:36.195767
67.27099158,1002.902298,2024-06-14 11:16:37.270992
68.34621758,1002.903442,2024-06-14 11:16:38.346218
69.42146558,1002.903824,2024-06-14 11:16:39.421466
70.49669958,1002.905884,2024-06-14 11:16:40.496700
71.57193658,1002.91275,2024-06-14 11:16:41.571937
72.64717858,1002.918243,2024-06-14 11:16:42.647179
73.72239458,1002.923584,2024-06-14 11:16:43.722395
74.79763558,1002.929153,2024-06-14 11:16:44.797636
75.87289458,1002.936783,2024-06-14 11:16:45.872895
76.94816958,1002.936783,2024-06-14 11:16:46.948170
78.02343758,1002.932892,2024-06-14 11:16:48.023438
79.09869858,1002.930756,2024-06-14 11:16:49.098699
80.17396058,1002.926178,2024-06-14 11:16:50.173961
81.24919858,1002.919006,2024-06-14 11:16:51.249199
82.32447758,1002.917175,2024-06-14 11:16:52.324478
83.39968658,1002.917175,2024-06-14 11:16:53.399687
84.47490358,1002.920685,2024-06-14 11:16:54.474904
85.55015558,1002.924118,2024-06-14 11:16:55.550156
86.62540358,1002.924881,2024-06-14 11:16:56.625404
87.70069058,1002.925949,2024-06-14 11:16:57.700691
88.77593858,1002.925949,2024-06-14 11:16:58.775939
89.85121358,1002.925491,2024-06-14 11:16:59.851214
90.92651058,1002.92511,2024-06-14 11:17:00.926511
92.00181958,1002.925491,2024-06-14 11:17:02.001820
93.07717558,1002.92511,2024-06-14 11:17:03.077176
94.15250058,1002.924652,2024-06-14 11:17:04.152501
95.22784058,1002.921448,2024-06-14 11:17:05.227841
96.30313158,1002.915573,2024-06-14 11:17:06.303132
97.37841258,1002.91069,2024-06-14 11:17:07.378413
98.45366558,1002.904129,2024-06-14 11:17:08.453666
99.52893258,1002.904129,2024-06-14 11:17:09.528933
100.6041606,1002.905502,2024-06-14 11:17:10.604161
101.6794336,1002.905502,2024-06-14 11:17:11.679434
102.7547066,1002.901306,2024-06-14 11:17:12.754707
103.8299656,1002.892609,2024-06-14 11:17:13.829966
104.9052516,1002.884903,2024-06-14 11:17:14.905252
105.9805376,1002.877121,2024-06-14 11:17:15.980538
107.0558546,1002.870789,2024-06-14 11:17:17.055855
108.1311476,1002.870789,2024-06-14 11:17:18.131148
109.2064816,1002.874146,2024-06-14 11:17:19.206482
110.2818026,1002.878265,2024-06-14 11:17:20.281803
111.3570816,1002.87941,2024-06-14 11:17:21.357082
112.4323996,1002.882843,2024-06-14 11:17:22.432400
113.5077306,1002.883835,2024-06-14 11:17:23.507731
114.5830486,1002.883835,2024-06-14 11:17:24.583049
115.6583046,1002.881317,2024-06-14 11:17:25.658305
116.7335736,1002.878799,2024-06-14 11:17:26.733574
117.8088936,1002.877426,2024-06-14 11:17:27.808894
118.8841546,1002.877274,2024-06-14 11:17:28.884155
119.9594066,1002.877274,2024-06-14 11:17:29.959407
121.0346276,1002.874908,2024-06-14 11:17:31.034628
122.1098206,1002.874908,2024-06-14 11:17:32.109821
123.1850096,1002.874908,2024-06-14 11:17:33.185010
124.2601996,1002.8759,2024-06-14 11:17:34.260200
125.3354066,1002.876816,2024-06-14 11:17:35.335407
126.4106206,1002.882614,2024-06-14 11:17:36.410621
127.4858486,1002.888489,2024-06-14 11:17:37.485849
128.5611096,1002.892914,2024-06-14 11:17:38.561110
129.6363486,1002.89917,2024-06-14 11:17:39.636349
130.7115966,1002.903976,2024-06-14 11:17:40.711597
131.7868296,1002.906494,2024-06-14 11:17:41.786830
132.8620496,1002.906723,2024-06-14 11:17:42.862050
133.9372986,1002.916489,2024-06-14 11:17:43.937299
135.0125566,1002.934799,2024-06-14 11:17:45.012557
136.0878076,1002.964249,2024-06-14 11:17:46.087808
137.1630886,1002.998886,2024-06-14 11:17:47.163089
138.2383856,1003.030701,2024-06-14 11:17:48.238386
139.3136246,1003.059464,2024-06-14 11:17:49.313625
140.3888646,1003.07785,2024-06-14 11:17:50.388865
141.4641616,1003.088074,2024-06-14 11:17:51.464162
142.5394376,1003.098755,2024-06-14 11:17:52.539438
143.6147176,1003.117523,2024-06-14 11:17:53.614718
144.6899216,1003.141632,2024-06-14 11:17:54.689922
145.7651676,1003.172379,2024-06-14 11:17:55.765168
146.8404146,1003.206635,2024-06-14 11:17:56.840415
147.9156036,1003.241959,2024-06-14 11:17:57.915604
148.9908766,1003.269958,2024-06-14 11:17:58.990877
150.0661436,1003.29155,2024-06-14 11:18:00.066144
151.1414046,1003.302689,2024-06-14 11:18:01.141405
152.2166946,1003.306046,2024-06-14 11:18:02.216695
153.2919816,1003.306046,2024-06-14 11:18:03.291982
154.3672956,1003.303833,2024-06-14 11:18:04.367296
155.4426156,1003.303833,2024-06-14 11:18:05.442616
156.5179386,1003.305588,2024-06-14 11:18:06.517939
157.5932306,1003.308868,2024-06-14 11:18:07.593231
158.6685426,1003.311005,2024-06-14 11:18:08.668543
159.7439056,1003.311844,2024-06-14 11:18:09.743906
160.8192136,1003.312378,2024-06-14 11:18:10.819214
161.8945446,1003.313293,2024-06-14 11:18:11.894545
162.9698886,1003.320541,2024-06-14 11:18:12.969889
164.0452436,1003.331451,2024-06-14 11:18:14.045244
165.1206056,1003.340073,2024-06-14 11:18:15.120606
166.1959446,1003.346405,2024-06-14 11:18:16.195945
167.2712786,1003.354263,2024-06-14 11:18:17.271279
