Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.02795612498,-1.250224471,0.6070933938,0.3495059609,2024-06-14 11:15:30.027956
0.06825112493,-0.8169448972,0.4867075086,0.6719162464,2024-06-14 11:15:30.068251
0.108547125,-0.3262374997,0.1519009918,1.054629445,2024-06-14 11:15:30.108547
0.148842125,-1.219104648,0.8689206839,0.913710475,2024-06-14 11:15:30.148842
0.1891381249,-1.101227999,0.09306099266,0.3989875019,2024-06-14 11:15:30.189138
0.229434125,-0.4731971025,0.2714658678,0.6070706248,2024-06-14 11:15:30.229434
0.269729125,-2.702174187,3.982833385,0.9313877225,2024-06-14 11:15:30.269729
0.3100251249,-3.155814171,3.541466951,0.261752367,2024-06-14 11:15:30.310025
0.350320125,-0.02333516628,0.9095588326,-0.2345423102,2024-06-14 11:15:30.350320
0.390616125,0.4220984876,-1.902236462,0.5100655556,2024-06-14 11:15:30.390616
0.430911125,-0.4952124357,-1.604654312,0.7374874949,2024-06-14 11:15:30.430911
0.471207125,0.009079228155,-0.1983725876,1.453560829,2024-06-14 11:15:30.471207
0.511502125,-0.3100545406,0.8891103268,1.494776368,2024-06-14 11:15:30.511502
0.551798125,-0.9741199017,1.808895111,2.318948269,2024-06-14 11:15:30.551798
0.5920927083,-0.910400629,2.517605782,2.406392097,2024-06-14 11:15:30.592093
0.6323887083,-1.00156033,-0.2074177414,1.961916566,2024-06-14 11:15:30.632389
0.6726837084,-1.695615768,0.7715120316,2.041006088,2024-06-14 11:15:30.672684
0.7129797083,-2.280981541,2.380897045,2.172718048,2024-06-14 11:15:30.712980
0.7532747083,-3.814294815,1.598604679,2.648746729,2024-06-14 11:15:30.753275
0.7935707084,-4.699616909,1.371384025,2.854830503,2024-06-14 11:15:30.793571
0.8338667083,-5.1729846,-0.2381061316,3.334066153,2024-06-14 11:15:30.833867
0.8741617083,-4.603335381,0.04657603055,2.016818523,2024-06-14 11:15:30.874162
0.9144577084,-4.782169819,0.6878949404,1.144031644,2024-06-14 11:15:30.914458
0.9547527083,-5.574655056,0.5911355019,1.075112581,2024-06-14 11:15:30.954753
0.9950487083,-5.951896667,1.844367623,-0.1778971404,2024-06-14 11:15:30.995049
1.035343708,-3.540697813,2.548821449,-1.474233985,2024-06-14 11:15:31.035344
1.075639708,0.8189184666,0.3981691301,-1.474229336,2024-06-14 11:15:31.075640
1.115934708,1.201307416,0.9671635032,-1.869942307,2024-06-14 11:15:31.115935
1.156230708,0.08422030509,0.09881088883,-2.03723979,2024-06-14 11:15:31.156231
1.196525708,0.002956324257,1.495918274,-2.528389931,2024-06-14 11:15:31.196526
1.236821708,-0.4552413225,-0.2654039562,-1.930385947,2024-06-14 11:15:31.236822
1.277117708,-0.7195438147,-0.3089421093,-1.076370716,2024-06-14 11:15:31.277118
1.317412708,-0.7911702991,1.03633368,-0.9418480396,2024-06-14 11:15:31.317413
1.357708708,1.027267456,4.138512611,-0.2742365003,2024-06-14 11:15:31.357709
1.398003708,3.611731052,5.341818333,1.412232041,2024-06-14 11:15:31.398004
1.438299708,1.151303172,2.6598351,-0.08361991495,2024-06-14 11:15:31.438300
1.478594708,1.199534297,4.301010609,-0.5078004599,2024-06-14 11:15:31.478595
1.518890708,0.09003267437,4.40549612,0.06113487482,2024-06-14 11:15:31.518891
1.559185708,-0.117600143,1.045773149,0.06126962975,2024-06-14 11:15:31.559186
1.599482708,2.113529921,1.090917706,-0.3328129649,2024-06-14 11:15:31.599483
1.639777708,2.747335434,1.162774801,0.2142711878,2024-06-14 11:15:31.639778
1.680073708,2.292272329,1.298755169,0.125698179,2024-06-14 11:15:31.680074
1.720369708,3.874285936,0.2035228014,-1.253126502,2024-06-14 11:15:31.720370
1.760664708,1.484928846,-2.020508051,-0.6623740792,2024-06-14 11:15:31.760665
1.800960708,0.1647585928,0.895740509,-0.3479250669,2024-06-14 11:15:31.800961
1.841255708,-1.118579865,2.014777422,-0.05073227733,2024-06-14 11:15:31.841256
1.881551708,-1.821800351,1.213774085,0.5578362346,2024-06-14 11:15:31.881552
1.921846708,-1.085396886,-1.282644868,-0.07386742532,2024-06-14 11:15:31.921847
1.962142708,-1.37798059,-0.4709965289,0.7836089134,2024-06-14 11:15:31.962143
2.002437708,-1.630647421,-0.7685205936,0.9452023506,2024-06-14 11:15:32.002438
2.042733708,-1.651633382,-0.695336163,0.1736688912,2024-06-14 11:15:32.042734
2.083028708,-2.65897584,0.7072061896,1.902630687,2024-06-14 11:15:32.083029
2.123324708,-0.6303468347,0.935652554,0.5123800635,2024-06-14 11:15:32.123325
2.163620708,-1.959051967,0.5235806704,2.257693052,2024-06-14 11:15:32.163621
2.203915708,-0.6445311308,0.7158766389,2.073158741,2024-06-14 11:15:32.203916
2.244211708,-0.003674933687,-0.7898855209,1.531719208,2024-06-14 11:15:32.244212
2.284506708,0.5266086459,-0.6366176009,0.6732097268,2024-06-14 11:15:32.284507
2.324802708,0.1361019015,-0.8492594361,-0.2897816002,2024-06-14 11:15:32.324803
2.365097708,0.9177436829,-1.431594968,0.5157066584,2024-06-14 11:15:32.365098
2.405393708,1.403205991,-1.419852853,-0.5033005476,2024-06-14 11:15:32.405394
2.445688708,0.8643475771,-0.5641239285,-0.1121950969,2024-06-14 11:15:32.445689
