Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.02795612498,-0.8026020498,0.4446102914,-1.361363366,2024-06-14 11:15:30.027956
0.06825112493,-0.8076167681,0.1209736294,1.039586411,2024-06-14 11:15:30.068251
0.108547125,-1.159818833,0.1239323205,0.4067767596,2024-06-14 11:15:30.108547
0.148842125,-0.2556492767,0.6457738057,-2.488448097,2024-06-14 11:15:30.148842
0.1891381249,0.4077341316,0.9191618353,-1.141157809,2024-06-14 11:15:30.189138
0.229434125,-1.422280097,0.2150427577,0.2450492066,2024-06-14 11:15:30.229434
0.269729125,-0.928185697,0.2953519258,-3.644252597,2024-06-14 11:15:30.269729
0.3100251249,1.492703817,0.607459048,-1.368685834,2024-06-14 11:15:30.310025
0.350320125,0.2635793254,1.67235864,-0.650364747,2024-06-14 11:15:30.350320
0.390616125,-1.871595497,0.2983043312,-0.936718685,2024-06-14 11:15:30.390616
0.430911125,-1.909135791,0.04864708006,-0.02029977858,2024-06-14 11:15:30.430911
0.471207125,-3.992058433,0.2116956653,4.362899374,2024-06-14 11:15:30.471207
0.511502125,-2.178724008,-1.39575128,0.4362034571,2024-06-14 11:15:30.511502
0.551798125,-4.113094627,-3.43908871,-0.7299009132,2024-06-14 11:15:30.551798
0.5920927083,-1.537929106,-2.358427802,-1.197957662,2024-06-14 11:15:30.592093
0.6323887083,1.606920988,-2.402935053,-5.951269194,2024-06-14 11:15:30.632389
0.6726837084,0.8057048017,-3.251623468,-1.338691957,2024-06-14 11:15:30.672684
0.7129797083,0.2435423791,-3.392234387,-1.430259939,2024-06-14 11:15:30.712980
0.7532747083,0.6916139299,-4.622539138,-4.911145424,2024-06-14 11:15:30.753275
0.7935707084,1.479091791,-5.674169644,-2.60677937,2024-06-14 11:15:30.793571
0.8338667083,3.222404054,-6.702334689,-2.6944227,2024-06-14 11:15:30.833867
0.8741617083,5.318968835,-3.657764635,2.822594837,2024-06-14 11:15:30.874162
0.9144577084,3.149511495,-3.684798945,1.50322208,2024-06-14 11:15:30.914458
0.9547527083,3.225585524,-3.721196108,1.879395683,2024-06-14 11:15:30.954753
0.9950487083,4.459319376,-3.235056844,5.676397433,2024-06-14 11:15:30.995049
1.035343708,0.4327933609,-3.12587588,13.30234193,2024-06-14 11:15:31.035344
1.075639708,-2.323706304,0.1671713108,14.92923263,2024-06-14 11:15:31.075640
1.115934708,-0.4649167943,-1.156918979,2.668744361,2024-06-14 11:15:31.115935
1.156230708,-0.7759103143,-3.251566458,-2.328087623,2024-06-14 11:15:31.156231
1.196525708,-2.831234683,-2.510558174,-0.1260805875,2024-06-14 11:15:31.196526
1.236821708,-2.129113014,-3.192677979,-4.852233557,2024-06-14 11:15:31.236822
1.277117708,-3.868659671,-1.126594734,-4.190080823,2024-06-14 11:15:31.277118
1.317412708,0.8721130916,-0.1531631362,-4.293175421,2024-06-14 11:15:31.317413
1.357708708,-2.302123647,1.892534961,5.122785394,2024-06-14 11:15:31.357709
1.398003708,0.1296397877,2.364170206,0.8274342245,2024-06-14 11:15:31.398004
1.438299708,4.74189572,-0.3172336686,-5.390884325,2024-06-14 11:15:31.438300
1.478594708,-0.9026671323,3.69053214,2.821262257,2024-06-14 11:15:31.478595
1.518890708,-1.643850248,0.1748557216,-2.770785583,2024-06-14 11:15:31.518891
1.559185708,0.9082482997,3.471583149,-3.067056983,2024-06-14 11:15:31.559186
1.599482708,-0.992235074,6.280822946,4.04442785,2024-06-14 11:15:31.599483
1.639777708,-3.313741656,3.388853819,3.40297426,2024-06-14 11:15:31.639778
1.680073708,-0.9277496409,2.053417591,2.347938774,2024-06-14 11:15:31.680074
1.720369708,0.5903769922,3.869635279,5.296264681,2024-06-14 11:15:31.720370
1.760664708,-4.271397174,-4.752873575,-3.161561729,2024-06-14 11:15:31.760665
1.800960708,-5.376422406,-1.952116919,3.610228819,2024-06-14 11:15:31.800961
1.841255708,-0.5510769787,-6.077351536,2.894137275,2024-06-14 11:15:31.841256
1.881551708,-0.5325842822,-5.337505093,4.262150972,2024-06-14 11:15:31.881552
1.921846708,3.762019321,-2.469458095,0.4166872054,2024-06-14 11:15:31.921847
1.962142708,0.9745422766,-5.778676345,-1.843880426,2024-06-14 11:15:31.962143
2.002437708,0.2449962893,-4.559690341,-2.514485748,2024-06-14 11:15:32.002438
2.042733708,3.443348407,0.3204420358,-0.9499059105,2024-06-14 11:15:32.042734
2.083028708,-5.206849059,-4.121040409,-5.198283473,2024-06-14 11:15:32.083029
2.123324708,8.14205016,4.79944197,9.499035716,2024-06-14 11:15:32.123325
2.163620708,-4.697651886,-3.149978687,-3.639612247,2024-06-14 11:15:32.163621
2.203915708,0.7855406785,4.718778461,2.74950815,2024-06-14 11:15:32.203916
2.244211708,4.848854451,5.761284971,0.5740634067,2024-06-14 11:15:32.244212
2.284506708,2.306196817,7.837349998,3.642185022,2024-06-14 11:15:32.284507
2.324802708,5.163891905,2.508635609,-0.1579884048,2024-06-14 11:15:32.324803
2.365097708,0.4221233618,5.104957818,3.557520847,2024-06-14 11:15:32.365098
2.405393708,2.223780313,0.4835308206,-1.704668015,2024-06-14 11:15:32.405394
2.445688708,-8.031521997,-4.084303522,-3.545288472,2024-06-14 11:15:32.445689
2.485984708,-1.913653935,0.4054617208,2.539664444,2024-06-14 11:15:32.485985
2.526279708,-2.473131316,-0.4247095853,1.118893805,2024-06-14 11:15:32.526280
2.566575708,-5.631624134,-1.217796096,1.701317561,2024-06-14 11:15:32.566576
2.606871333,7.67356598,0.9329934239,1.581571262,2024-06-14 11:15:32.606871
2.647166333,8.694341898,1.959259878,3.790034208,2024-06-14 11:15:32.647166
2.687462333,-3.793540199,-7.329330454,4.83245535,2024-06-14 11:15:32.687462
2.727757333,-2.006318854,-6.674768575,-1.590841438,2024-06-14 11:15:32.727757
2.768053333,0.9653425598,-2.450304371,-2.049764543,2024-06-14 11:15:32.768053
2.808348333,-1.98118986,-4.133762196,-4.193701419,2024-06-14 11:15:32.808348
2.848644333,7.827972819,2.683271768,6.350390194,2024-06-14 11:15:32.848644
2.888939333,7.674330211,0.5083031344,2.726634427,2024-06-14 11:15:32.888939
2.929235333,2.582856072,0.3423193932,-0.07651607931,2024-06-14 11:15:32.929235
2.969530333,-0.09565810919,0.2047469804,-0.8421674538,2024-06-14 11:15:32.969530
3.009826333,-4.254694895,-0.01766443849,1.496312426,2024-06-14 11:15:33.009826
3.050122333,-8.527922539,-0.04170935869,1.439452347,2024-06-14 11:15:33.050122
3.090417333,-10.37077137,-0.9940374783,-1.36154273,2024-06-14 11:15:33.090417
3.130713333,-3.087402955,-0.1515680158,2.812516576,2024-06-14 11:15:33.130713
3.171008333,-0.1136055529,-0.7706527904,4.081691571,2024-06-14 11:15:33.171008
3.211304333,1.004998376,-2.755420269,2.118278416,2024-06-14 11:15:33.211304
3.251599333,8.072775857,-1.461199311,1.187274799,2024-06-14 11:15:33.251599
3.291895333,10.35069554,-0.5295552052,3.539866934,2024-06-14 11:15:33.291895
3.332190333,6.862077112,0.7799864084,3.139369499,2024-06-14 11:15:33.332190
3.372486333,6.616969433,0.4895908749,0.7956183547,2024-06-14 11:15:33.372486
3.412782333,-6.31425791,-4.863900214,-2.118319346,2024-06-14 11:15:33.412782
3.453077333,-2.097698556,-0.8852052999,-4.256065482,2024-06-14 11:15:33.453077
3.493373333,-3.042695144,0.8635103756,2.880188742,2024-06-14 11:15:33.493373
3.533668333,-1.198938825,1.105785663,-3.398404076,2024-06-14 11:15:33.533668
3.573963458,0.3417913896,0.2044759619,-3.361754898,2024-06-14 11:15:33.573963
3.614258458,1.721978697,1.519147265,-0.4218403566,2024-06-14 11:15:33.614258
3.654554458,1.741466298,2.018360025,-1.573209743,2024-06-14 11:15:33.654554
3.694849458,0.851045866,1.968922986,1.096562265,2024-06-14 11:15:33.694849
3.735145458,0.2428050452,1.632351991,0.3583711696,2024-06-14 11:15:33.735145
