Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.5902459621,52.36361491,4.911770488,6.203412533,,,35.0,23.94470024,2024-06-14 11:15:30.590246
2.215885997,52.36354192,4.911805414,5.465960741,,,35.0,19.65943527,2024-06-14 11:15:32.215886
26.145962,52.36313738,4.911959955,4.695813179,,,60.66666667,24.75002861,2024-06-14 11:15:56.145962
27.46278596,52.36303625,4.911991159,4.166314006,,,35.0,19.81788063,2024-06-14 11:15:57.462786
27.54046798,52.36305742,4.911986987,3.988129228,,,35.0,16.60808182,2024-06-14 11:15:57.540468
33.9056859,52.36308617,4.911966511,3.689888448,,,41.0,19.70732689,2024-06-14 11:16:03.905686
35.22351396,52.36313849,4.911933578,3.607699335,,,35.0,17.60484505,2024-06-14 11:16:05.223514
35.27575791,52.36315026,4.911926595,3.567295849,,,35.0,15.24417973,2024-06-14 11:16:05.275758
41.70348597,52.36315355,4.911923008,3.563643038,,,35.0,19.37283897,2024-06-14 11:16:11.703486
43.00328195,52.36315475,4.911923218,3.561919451,,,35.0,17.4284668,2024-06-14 11:16:13.003282
49.43587196,52.36314954,4.911926383,3.513433993,,,35.0,19.96466255,2024-06-14 11:16:19.435872
50.72764397,52.36314862,4.911927477,3.492180943,,,35.0,17.70817375,2024-06-14 11:16:20.727644
64.13264096,52.36352082,4.91178332,4.11645478,,,35.0,22.56056023,2024-06-14 11:16:34.132641
65.7370379,52.36351212,4.91180136,4.228159338,,,35.0,19.08311653,2024-06-14 11:16:35.737038
72.19007194,52.36363956,4.911757641,4.379092216,,,46.39545063,20.42157173,2024-06-14 11:16:42.190072
73.44275296,52.36365166,4.911756176,4.441310257,,,46.84888634,17.89620399,2024-06-14 11:16:43.442753
79.89888692,52.36371456,4.911736732,4.498532534,,,58.68072535,20.10278893,2024-06-14 11:16:49.898887
81.16708994,52.36369142,4.91174706,4.523129761,,,59.12379237,17.7562294,2024-06-14 11:16:51.167090
86.26271796,52.36341125,4.911864893,4.55088985,,,35.0,19.35213089,2024-06-14 11:16:56.262718
91.07851195,52.36324442,4.91193652,4.531014115,,,44.95770254,19.70333672,2024-06-14 11:17:01.078512
100.6263889,52.36311133,4.911969626,4.434459627,,,35.0,21.76060295,2024-06-14 11:17:10.626389
101.3590809,52.36309791,4.911980149,4.385161132,,,35.0,18.1588707,2024-06-14 11:17:11.359081
103.5346019,52.36308911,4.911984941,4.355949998,,,35.0,17.55897713,2024-06-14 11:17:13.534602
110.061219,52.36311421,4.911955977,4.306847423,,,35.0,20.04623413,2024-06-14 11:17:20.061219
116.509378,52.3631089,4.911963984,4.235924229,,,35.0,20.67772484,2024-06-14 11:17:26.509378
129.9173739,52.36311034,4.911967791,4.200931698,,,35.0,21.95757294,2024-06-14 11:17:39.917374
132.940766,52.36311035,4.911969359,4.19978568,,,35.0,19.64486122,2024-06-14 11:17:42.940766
145.352384,52.36311355,4.911974555,4.260670155,,,35.0,22.59704208,2024-06-14 11:17:55.352384
145.445267,52.36311604,4.911974232,4.284053952,,,35.0,18.11619759,2024-06-14 11:17:55.445267
151.3640679,52.36312985,4.911970788,4.374066681,,,35.0,19.89862251,2024-06-14 11:18:01.364068
151.7946969,52.36311368,4.911977967,4.394488603,,,35.0,16.97037125,2024-06-14 11:18:01.794697
164.2998019,52.36308606,4.912007348,4.365976304,,,35.0,22.19506645,2024-06-14 11:18:14.299802
164.355878,52.36307678,4.912020428,4.418312043,,,35.0,17.88457489,2024-06-14 11:18:14.355878
170.318134,52.363066,4.912022062,4.445168257,,,44.34321779,19.85461998,2024-06-14 11:18:20.318134
170.766191,52.36306694,4.912023741,4.411231101,,,35.0,16.96173096,2024-06-14 11:18:20.766191
174.5726719,52.36306551,4.912026525,4.383088559,,,35.0,18.27804375,2024-06-14 11:18:24.572672
