Time (s),X (µT),Y (µT),Z (µT),Datetime
0.02795612498,-6.937164307,-31.39780426,-40.65753174,2024-06-14 11:15:30.027956
0.06825112493,-6.57699585,-29.53363037,-42.09867859,2024-06-14 11:15:30.068251
0.108547125,-6.478088379,-28.22933197,-42.81413651,2024-06-14 11:15:30.108547
0.148842125,-6.981018066,-27.21129608,-43.43260193,2024-06-14 11:15:30.148842
0.1891381249,-6.200897217,-24.96935272,-44.69462585,2024-06-14 11:15:30.189138
0.229434125,-6.408050537,-23.69731903,-45.31948853,2024-06-14 11:15:30.229434
0.269729125,-4.460296631,-21.66333771,-46.35782242,2024-06-14 11:15:30.269729
0.3100251249,5.292633057,-15.15700531,-48.32461166,2024-06-14 11:15:30.310025
0.350320125,10.09249878,-13.16244507,-47.9381752,2024-06-14 11:15:30.350320
0.390616125,9.738677979,-13.6729126,-47.70895004,2024-06-14 11:15:30.390616
0.430911125,5.84942627,-14.45936584,-48.19289017,2024-06-14 11:15:30.430911
0.471207125,3.031433105,-14.1329422,-48.49951935,2024-06-14 11:15:30.471207
0.511502125,3.090087891,-14.34179688,-48.47825623,2024-06-14 11:15:30.511502
0.551798125,4.370758057,-13.92430115,-48.09396362,2024-06-14 11:15:30.551798
0.5920927083,7.287475586,-13.07095337,-48.14302826,2024-06-14 11:15:30.592093
0.6323887083,10.74899292,-12.50344086,-47.02365494,2024-06-14 11:15:30.632389
0.6726837084,10.17941284,-10.92547607,-47.43848038,2024-06-14 11:15:30.672684
0.7129797083,11.95288086,-8.701156616,-47.0848999,2024-06-14 11:15:30.712980
0.7532747083,15.88986206,-5.115211487,-46.09195328,2024-06-14 11:15:30.753275
0.7935707084,18.52468872,0.0006256103516,-45.20572662,2024-06-14 11:15:30.793571
0.8338667083,21.35089111,5.852119446,-43.26464462,2024-06-14 11:15:30.833867
0.8741617083,21.83172607,11.47434998,-41.96373367,2024-06-14 11:15:30.874162
0.9144577084,23.53570557,17.00117493,-38.73019409,2024-06-14 11:15:30.914458
0.9547527083,25.98864746,22.99201584,-33.24723434,2024-06-14 11:15:30.954753
0.9950487083,27.44326782,28.35610962,-27.0403862,2024-06-14 11:15:30.995049
1.035343708,28.38735962,32.62696457,-19.0825901,2024-06-14 11:15:31.035344
1.075639708,26.8302002,36.22342682,-13.30589676,2024-06-14 11:15:31.075640
1.115934708,25.19094849,37.10909653,-13.97560501,2024-06-14 11:15:31.115935
1.156230708,22.34521484,38.12289047,-15.17446995,2024-06-14 11:15:31.156231
1.196525708,18.69763184,39.92744446,-15.17989635,2024-06-14 11:15:31.196526
1.236821708,16.46661377,45.50642395,-13.84617996,2024-06-14 11:15:31.236822
1.277117708,13.06958008,46.8278656,-13.59213734,2024-06-14 11:15:31.277118
1.317412708,11.70855713,47.49737167,-12.31472874,2024-06-14 11:15:31.317413
1.357708708,12.10369873,47.69418335,-10.53387928,2024-06-14 11:15:31.357709
1.398003708,16.52770996,46.05532074,-10.84358311,2024-06-14 11:15:31.398004
1.438299708,23.56506348,44.76855469,-12.376647,2024-06-14 11:15:31.438300
1.478594708,34.68835449,49.93455505,-10.66467762,2024-06-14 11:15:31.478595
1.518890708,42.10705566,67.27575684,-7.52569294,2024-06-14 11:15:31.518891
1.559185708,29.68374634,69.29808044,8.808563232,2024-06-14 11:15:31.559186
1.599482708,20.25683594,61.49571609,16.94798279,2024-06-14 11:15:31.599483
1.639777708,12.06283569,71.86587524,33.93694305,2024-06-14 11:15:31.639778
1.680073708,22.18841553,204.8718262,76.5078125,2024-06-14 11:15:31.680074
1.720369708,-123.0289154,402.3190918,-72.63619995,2024-06-14 11:15:31.720370
1.760664708,-308.8207092,-37.82357025,-30.55932617,2024-06-14 11:15:31.760665
1.800960708,-14.25061035,32.53993988,75.34790802,2024-06-14 11:15:31.800961
1.841255708,7.35534668,60.07039261,49.56975937,2024-06-14 11:15:31.841256
1.881551708,9.31854248,63.46081543,60.64710617,2024-06-14 11:15:31.881552
1.921846708,4.954650879,66.57911682,79.16194153,2024-06-14 11:15:31.921847
1.962142708,-8.689178467,78.9210434,88.15931702,2024-06-14 11:15:31.962143
2.002437708,-14.72488403,99.32213593,152.7676544,2024-06-14 11:15:32.002438
2.042733708,-70.50041199,34.13996124,283.2739868,2024-06-14 11:15:32.042734
2.083028708,-136.6492004,70.41656494,221.554657,2024-06-14 11:15:32.083029
2.123324708,19.31185913,54.24274826,17.0202198,2024-06-14 11:15:32.123325
2.163620708,27.06207275,39.88483429,-3.042658806,2024-06-14 11:15:32.163621
2.203915708,29.56576538,34.20102692,-3.918106556,2024-06-14 11:15:32.203916
2.244211708,31.49847412,31.73952866,-4.4419384,2024-06-14 11:15:32.244212
2.284506708,32.42990112,30.04046249,-5.838961601,2024-06-14 11:15:32.284507
2.324802708,32.5949707,29.37781143,-7.223646641,2024-06-14 11:15:32.324803
2.365097708,32.29443359,29.03967285,-8.807034492,2024-06-14 11:15:32.365098
2.405393708,32.46783447,28.03577423,-11.12263012,2024-06-14 11:15:32.405394
2.445688708,31.81600952,28.10227585,-13.67476654,2024-06-14 11:15:32.445689
2.485984708,31.60726929,27.68386459,-15.81597996,2024-06-14 11:15:32.485985
2.526279708,31.69650269,26.47572327,-17.28612328,2024-06-14 11:15:32.526280
2.566575708,32.39962769,24.062397,-19.25410271,2024-06-14 11:15:32.566576
2.606871333,33.35546875,21.52671051,-18.83028221,2024-06-14 11:15:32.606871
2.647166333,33.89199829,20.6313858,-18.58773232,2024-06-14 11:15:32.647166
2.687462333,34.05554199,19.47310638,-19.58601952,2024-06-14 11:15:32.687462
