Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.004655999946,-2.501747589,6.100563812,6.98073349,2024-06-14 12:06:13.004656
0.04495200003,-2.703228607,5.603297882,7.426207123,2024-06-14 12:06:13.044952
0.08524699998,-2.572550354,5.089566193,8.01388504,2024-06-14 12:06:13.085247
0.1255419999,-1.982327728,5.500012665,7.831863556,2024-06-14 12:06:13.125542
0.165838,-2.378703461,5.246589661,7.319928131,2024-06-14 12:06:13.165838
0.206133,-1.917512512,5.212610321,8.46908844,2024-06-14 12:06:13.206133
0.2464289999,-1.887574768,5.316643982,7.349865875,2024-06-14 12:06:13.246429
0.286724,-1.790875854,5.294340363,5.915398865,2024-06-14 12:06:13.286724
0.32702,-1.355730743,4.842280426,6.971003723,2024-06-14 12:06:13.327020
0.367315,-0.3974235535,4.342320099,7.920928345,2024-06-14 12:06:13.367315
0.407611,-0.2185455322,4.066892853,4.378395081,2024-06-14 12:06:13.407611
0.447906,-0.655486908,3.596271515,9.957593079,2024-06-14 12:06:13.447906
0.488202,2.096989288,2.458936615,8.133486328,2024-06-14 12:06:13.488202
0.528497,2.979553986,2.048041077,9.697134705,2024-06-14 12:06:13.528497
0.5687919999,2.434836731,-1.513203278,4.52119812,2024-06-14 12:06:13.568792
0.609088,2.766397247,1.567540283,0.859662323,2024-06-14 12:06:13.609088
0.649383,1.925745392,1.727108459,3.634591827,2024-06-14 12:06:13.649383
0.6896789999,2.956202545,-1.38072876,3.117866364,2024-06-14 12:06:13.689679
0.729974,3.675007782,-4.416116638,2.072440338,2024-06-14 12:06:13.729974
0.77027,12.45949036,-2.591411133,7.547305298,2024-06-14 12:06:13.770270
0.8105649999,13.54248825,-3.190764771,7.548802185,2024-06-14 12:06:13.810565
0.850861,19.81923569,0.01332229614,2.910248108,2024-06-14 12:06:13.850861
0.891157,18.39090591,0.9165440369,3.337010651,2024-06-14 12:06:13.891157
0.928934,24.27202606,2.417023773,2.423011322,2024-06-14 12:06:13.928934
0.96923,16.71124878,-0.8331674194,13.13847839,2024-06-14 12:06:13.969230
1.009525,6.508166199,-4.425397339,8.674461365,2024-06-14 12:06:14.009525
1.049821,8.433612213,-5.144501953,0.9506730652,2024-06-14 12:06:14.049821
1.090116,2.820285187,-8.696764984,4.474794617,2024-06-14 12:06:14.090116
1.130412,0.4646337891,-10.8412056,6.342909851,2024-06-14 12:06:14.130412
1.170707,7.954009552,-6.326743469,9.155710602,2024-06-14 12:06:14.170707
1.211003,6.641838226,-4.442162476,2.155816956,2024-06-14 12:06:14.211003
1.251299,5.866750031,-7.382947083,8.515791321,2024-06-14 12:06:14.251299
1.291594,1.746567993,-4.434079285,1.162183228,2024-06-14 12:06:14.291594
1.33189,3.062780914,-4.013304291,1.769620056,2024-06-14 12:06:14.331890
1.372185,5.063670044,-2.743045807,4.326902161,2024-06-14 12:06:14.372185
1.412481,-2.975662079,-7.479795685,6.38751709,2024-06-14 12:06:14.412481
1.452777,8.125852203,-2.322420502,4.652325439,2024-06-14 12:06:14.452777
1.493072,4.697531433,-4.676125946,6.387367401,2024-06-14 12:06:14.493072
1.533368,4.248914337,-5.031486969,7.428302765,2024-06-14 12:06:14.533368
1.573664,5.934409332,-4.212539978,11.05316483,2024-06-14 12:06:14.573664
1.613959,7.149432678,-3.323987732,6.896309052,2024-06-14 12:06:14.613959
1.654255,10.48599426,-6.171516266,8.681347046,2024-06-14 12:06:14.654255
1.694551,7.672594757,-10.9724826,6.533164215,2024-06-14 12:06:14.694551
1.734846,7.143145752,-7.79159729,2.806513824,2024-06-14 12:06:14.734846
1.775142,5.388793945,-4.736899567,4.522545319,2024-06-14 12:06:14.775142
1.815438,5.429509277,0.1916015625,2.807411957,2024-06-14 12:06:14.815438
1.855733,6.512956238,2.661764832,5.057532806,2024-06-14 12:06:14.855733
1.896029,4.527634735,-1.41575592,4.301006012,2024-06-14 12:06:14.896029
1.936325,6.435267792,-2.230062561,2.063908081,2024-06-14 12:06:14.936325
1.976621,9.925260315,-2.064656525,3.531007233,2024-06-14 12:06:14.976621
2.016916,8.862769775,2.194137268,2.223027191,2024-06-14 12:06:15.016916
2.057212,8.180638275,-0.8704399109,-0.8214916992,2024-06-14 12:06:15.057212
2.097508,11.32499954,-0.6625222778,1.62412262,2024-06-14 12:06:15.097508
2.137804,13.57018066,1.779200134,-0.02739303589,2024-06-14 12:06:15.137804
2.178099,15.1808313,0.816252594,-2.172731781,2024-06-14 12:06:15.178099
2.218395,9.980645142,-1.953138428,-1.863325195,2024-06-14 12:06:15.218395
2.258691,13.09297302,-3.298540649,4.513114929,2024-06-14 12:06:15.258691
2.298987,7.738158417,-2.201921082,1.316661987,2024-06-14 12:06:15.298987
2.339283,13.66508331,-0.08352630615,2.571203156,2024-06-14 12:06:15.339283
2.379578,11.39969421,0.4770579529,-1.096469879,2024-06-14 12:06:15.379578
2.419874,10.50440598,-2.925666046,-1.624421997,2024-06-14 12:06:15.419874
2.46017,7.398215332,-3.440595245,-0.9469308472,2024-06-14 12:06:15.460170
2.500466,6.787036285,-2.462529144,0.90681427,2024-06-14 12:06:15.500466
2.540762,9.825118561,0.1808239746,-0.8943901062,2024-06-14 12:06:15.540762
2.581058,9.127269745,-0.8119116211,-1.525028687,2024-06-14 12:06:15.581058
2.621353,8.045319672,-0.2755769348,-1.353335724,2024-06-14 12:06:15.621353
2.661649,6.718329163,-1.88503006,-1.85464325,2024-06-14 12:06:15.661649
2.701945,10.4430336,-7.729326782,1.332229614,2024-06-14 12:06:15.701945
2.742241667,8.820557556,-6.651567993,0.1360670471,2024-06-14 12:06:15.742242
2.782537667,15.05239838,-3.837569733,-0.3673361206,2024-06-14 12:06:15.782538
2.822833667,11.50282974,-2.575244751,-0.005388793945,2024-06-14 12:06:15.822834
2.863129667,13.14281937,-4.719685364,0.03008743286,2024-06-14 12:06:15.863130
2.903425667,7.07548645,-4.778213654,1.448687439,2024-06-14 12:06:15.903426
2.943720667,9.500294037,-8.278834076,3.739373932,2024-06-14 12:06:15.943721
2.984016667,6.055806885,-7.332801361,-3.239263916,2024-06-14 12:06:15.984017
3.024312667,6.569388885,-8.031398621,-0.450712738,2024-06-14 12:06:16.024313
3.064608667,6.645580444,-8.639134827,-2.048939209,2024-06-14 12:06:16.064609
3.104904667,4.793631592,-4.85470459,-1.187779999,2024-06-14 12:06:16.104905
3.145200667,4.270918579,-4.398603058,-1.616488495,2024-06-14 12:06:16.145201
3.185496667,5.088218994,-4.407584381,-1.569186859,2024-06-14 12:06:16.185497
3.225792667,4.139641571,-2.589016113,-2.387535095,2024-06-14 12:06:16.225793
3.266088667,5.9627005,-4.073329468,-4.37959259,2024-06-14 12:06:16.266089
3.306384667,9.47649353,-6.778653717,-8.993597717,2024-06-14 12:06:16.306385
3.346680667,10.28526169,-5.977220306,-3.507506104,2024-06-14 12:06:16.346681
3.386976667,8.58839035,-5.441783752,-9.005572815,2024-06-14 12:06:16.386977
3.427272667,8.497229919,-9.680219879,-1.73758667,2024-06-14 12:06:16.427273
3.467568667,8.390202484,-11.99904785,2.50399292,2024-06-14 12:06:16.467569
3.507864667,4.333638153,-5.724396057,1.263073425,2024-06-14 12:06:16.507865
3.548160667,2.709814911,-4.773124237,0.6363267517,2024-06-14 12:06:16.548161
3.588456667,1.718276825,-3.432811432,0.5673202515,2024-06-14 12:06:16.588457
3.628752667,0.9340576172,-2.248474274,0.6659651184,2024-06-14 12:06:16.628753
3.669048667,10.7177124,-23.53106689,1.158890076,2024-06-14 12:06:16.669049
3.709344667,1.082698517,-11.24476639,1.465751953,2024-06-14 12:06:16.709345
3.749639542,0.6607260132,-6.044580231,-1.251697083,2024-06-14 12:06:16.749640
3.789936542,-1.024918671,-9.55837326,-2.586022339,2024-06-14 12:06:16.789937
3.830232542,0.8723858643,-9.171727295,-0.3094065857,2024-06-14 12:06:16.830233
3.870528542,1.46260849,-9.723479919,0.8192463684,2024-06-14 12:06:16.870529
3.910824542,2.504441986,-10.17104919,-0.8078700256,2024-06-14 12:06:16.910825
3.951120542,1.135987701,-10.98790054,-1.704505463,2024-06-14 12:06:16.951121
3.991416542,2.616708527,-11.68275558,-1.135538635,2024-06-14 12:06:16.991417
4.031712542,4.837640076,-11.4755864,-1.438209229,2024-06-14 12:06:17.031713
4.072009542,5.077740784,-12.19903198,-2.311044159,2024-06-14 12:06:17.072010
4.112305542,2.307751007,-11.12306946,-1.244811401,2024-06-14 12:06:17.112306
4.152601542,-0.8647517395,-10.28675858,2.565065918,2024-06-14 12:06:17.152602
4.192897542,0.4998106384,-13.96865204,-1.046922913,2024-06-14 12:06:17.192898
4.233193542,-2.710862732,-13.6772081,-0.3529660034,2024-06-14 12:06:17.233194
4.273490542,-1.40991806,-8.967701569,-3.36634964,2024-06-14 12:06:17.273491
4.313786542,-1.142274628,-7.350913696,-1.85224823,2024-06-14 12:06:17.313787
4.354082542,2.973117371,-7.028334503,-1.578168182,2024-06-14 12:06:17.354083
4.394378542,0.7333250427,-6.637347565,-1.078058167,2024-06-14 12:06:17.394379
4.434674542,-1.161285095,-4.735402679,-0.7496411133,2024-06-14 12:06:17.434675
4.474971542,-0.3017724609,-5.086871796,-2.335144043,2024-06-14 12:06:17.474972
4.515267542,0.7610174561,-7.013365631,-7.259004822,2024-06-14 12:06:17.515268
4.555563542,0.08681945801,-11.2871283,-11.87735092,2024-06-14 12:06:17.555564
4.595859542,-0.08367599487,-9.023984528,-9.328451385,2024-06-14 12:06:17.595860
4.636156542,-0.09205856323,-6.76892395,-8.766669617,2024-06-14 12:06:17.636157
4.676452542,-1.419797516,-15.62361053,2.680326233,2024-06-14 12:06:17.676453
4.716749625,-2.078727264,-12.7428511,1.247954865,2024-06-14 12:06:17.716750
4.757046625,-1.189875641,-7.252867584,0.8593629456,2024-06-14 12:06:17.757047
