Time (s),X (hPa),Datetime
-0.5611408751,1004.789124,2024-06-14 12:06:12.438859
0.4470881249,1004.794159,2024-06-14 12:06:13.447088
1.455334125,1004.799194,2024-06-14 12:06:14.455334
2.463647125,1004.805527,2024-06-14 12:06:15.463647
3.471905125,1004.806747,2024-06-14 12:06:16.471905
3.819999125,1004.808655,2024-06-14 12:06:16.819999
4.895510125,1004.808655,2024-06-14 12:06:17.895510
5.971083125,1004.806747,2024-06-14 12:06:18.971083
7.046570125,1004.803238,2024-06-14 12:06:20.046570
8.122035125,1004.801102,2024-06-14 12:06:21.122035
9.197511125,1004.796677,2024-06-14 12:06:22.197511
10.27298712,1004.793243,2024-06-14 12:06:23.272987
11.34846712,1004.792023,2024-06-14 12:06:24.348467
12.42395012,1004.788818,2024-06-14 12:06:25.423950
13.49939312,1004.784927,2024-06-14 12:06:26.499393
14.57484012,1004.781723,2024-06-14 12:06:27.574840
15.65028312,1004.765472,2024-06-14 12:06:28.650283
16.72570012,1004.744415,2024-06-14 12:06:29.725700
17.80111912,1004.723587,2024-06-14 12:06:30.801119
18.87655212,1004.695587,2024-06-14 12:06:31.876552
19.95200012,1004.663773,2024-06-14 12:06:32.952000
21.02746912,1004.636078,2024-06-14 12:06:34.027469
22.10292712,1004.610367,2024-06-14 12:06:35.102927
23.17834212,1004.577103,2024-06-14 12:06:36.178342
24.25383112,1004.55246,2024-06-14 12:06:37.253831
25.32926112,1004.528198,2024-06-14 12:06:38.329261
26.40470912,1004.498367,2024-06-14 12:06:39.404709
27.48010012,1004.464264,2024-06-14 12:06:40.480100
28.55553412,1004.430542,2024-06-14 12:06:41.555534
29.63098012,1004.401779,2024-06-14 12:06:42.630980
30.70642312,1004.381256,2024-06-14 12:06:43.706423
31.78189812,1004.367676,2024-06-14 12:06:44.781898
32.85731212,1004.359207,2024-06-14 12:06:45.857312
33.93274612,1004.357147,2024-06-14 12:06:46.932746
35.00819012,1004.353256,2024-06-14 12:06:48.008190
36.08361113,1004.350739,2024-06-14 12:06:49.083611
37.15906612,1004.350739,2024-06-14 12:06:50.159066
38.23452912,1004.351196,2024-06-14 12:06:51.234529
39.30995412,1004.351196,2024-06-14 12:06:52.309954
40.38541812,1004.351196,2024-06-14 12:06:53.385418
41.46087413,1004.349899,2024-06-14 12:06:54.460874
42.53632313,1004.336853,2024-06-14 12:06:55.536323
43.61173312,1004.316101,2024-06-14 12:06:56.611733
44.68721012,1004.290009,2024-06-14 12:06:57.687210
45.76270612,1004.258575,2024-06-14 12:06:58.762706
46.83822212,1004.222641,2024-06-14 12:06:59.838222
47.91378712,1004.192963,2024-06-14 12:07:00.913787
48.98933012,1004.163818,2024-06-14 12:07:01.989330
50.06487912,1004.13414,2024-06-14 12:07:03.064879
51.14042612,1004.101562,2024-06-14 12:07:04.140426
52.21594913,1004.064484,2024-06-14 12:07:05.215949
53.29145812,1004.032745,2024-06-14 12:07:06.291458
54.36697812,1004.000092,2024-06-14 12:07:07.366978
55.44253212,1003.967209,2024-06-14 12:07:08.442532
