Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
0.01598899998,-0.4917005301,-0.03598619998,-0.1238574162,2024-06-14 12:06:13.015989
0.05628499994,-0.4751458466,-0.183829993,0.01844216324,2024-06-14 12:06:13.056285
0.09658000001,0.004556260072,-0.3355098069,0.1751478612,2024-06-14 12:06:13.096580
0.136876,-0.1982576996,-0.09839941561,0.02264183201,2024-06-14 12:06:13.136876
0.177171,-0.3827086687,-0.3253929913,0.08638226986,2024-06-14 12:06:13.177171
0.217466,-0.01974051446,-0.2852334678,0.1290704161,2024-06-14 12:06:13.217466
0.257762,-0.2514079809,-0.2354593873,0.06950124353,2024-06-14 12:06:13.257762
0.298057,-0.8265411854,-0.6367118955,-9.285044507e-05,2024-06-14 12:06:13.298057
0.338353,-1.113699079,-0.3186621368,-0.02455443516,2024-06-14 12:06:13.338353
0.378648,-0.8395175934,0.06825920194,-0.1587729752,2024-06-14 12:06:13.378648
0.418944,-2.019069195,-1.471590757,-0.1152514741,2024-06-14 12:06:13.418944
0.459239,-3.318439007,-2.585858107,1.440240026,2024-06-14 12:06:13.459239
0.4995339999,-2.578081608,-2.330911636,1.377125859,2024-06-14 12:06:13.499534
0.53983,1.052211881,-0.9668475986,1.097995758,2024-06-14 12:06:13.539830
0.580125,1.686671257,-3.918348789,1.73730588,2024-06-14 12:06:13.580125
0.6204209999,2.425539017,-6.576999187,0.4230082035,2024-06-14 12:06:13.620421
0.660716,1.365978956,-6.221790791,1.230349541,2024-06-14 12:06:13.660716
0.701012,0.2642127275,-3.367785454,2.480961561,2024-06-14 12:06:13.701012
0.741307,0.2160672992,-3.79295969,4.715797424,2024-06-14 12:06:13.741307
0.781603,-0.1064581051,-1.495219231,3.620043993,2024-06-14 12:06:13.781603
0.821898,1.900946498,-2.846415997,3.134114981,2024-06-14 12:06:13.821898
0.862194,0.1963472664,0.2465366125,2.954974651,2024-06-14 12:06:13.862194
0.902489,-2.519224167,5.192299366,2.778806448,2024-06-14 12:06:13.902489
0.942785,-4.275655746,6.509111404,0.8631185293,2024-06-14 12:06:13.942785
0.98308,0.1719330996,3.383496284,-0.6092562079,2024-06-14 12:06:13.983080
1.023376,0.9617807865,0.6644078493,0.6632388234,2024-06-14 12:06:14.023376
1.063672,0.6303570867,0.6794688702,0.2873978317,2024-06-14 12:06:14.063672
1.103967,0.3704659343,0.9169602394,1.432269573,2024-06-14 12:06:14.103967
1.144263,0.9185503721,-0.7759643793,2.929309845,2024-06-14 12:06:14.144263
1.184558,-0.004453268833,1.418768764,2.241917133,2024-06-14 12:06:14.184558
1.224854,-1.189091563,-0.8623732924,1.648581743,2024-06-14 12:06:14.224854
1.265149,-0.2481442988,-0.05155327544,1.151550293,2024-06-14 12:06:14.265149
1.305445,0.4379483461,0.1491298974,0.980671823,2024-06-14 12:06:14.305445
1.345741,0.09842658043,-0.1920419484,-0.007380804513,2024-06-14 12:06:14.345741
1.386036,-0.3672347367,0.5508764386,-1.423800945,2024-06-14 12:06:14.386036
1.426332,0.2402106524,-0.3601351976,0.406345576,2024-06-14 12:06:14.426332
1.466628,0.1918388158,-0.09538251907,-0.4570411742,2024-06-14 12:06:14.466628
1.506923,0.9061568379,-0.8555593491,-0.5244996548,2024-06-14 12:06:14.506923
1.547219,0.6604197621,-0.3570966721,-0.6452149153,2024-06-14 12:06:14.547219
1.587515,1.344032645,-0.5583159328,-1.113450766,2024-06-14 12:06:14.587515
1.62781,0.7845737338,-1.257253885,-1.790787458,2024-06-14 12:06:14.627810
1.668106,1.866860628,-3.725934267,-2.417990685,2024-06-14 12:06:14.668106
1.708402,1.521305442,-0.4062510431,-1.005246878,2024-06-14 12:06:14.708402
1.748697,1.314967036,-0.9985466003,-0.3415151536,2024-06-14 12:06:14.748697
1.788993,2.154786825,-0.8046665788,-0.2602237463,2024-06-14 12:06:14.788993
1.829289,2.188070536,-1.05027926,-0.2919010818,2024-06-14 12:06:14.829289
1.869584,1.42538929,-1.078547239,-0.9499966502,2024-06-14 12:06:14.869584
1.90988,0.8270739317,-0.9481490254,-0.2054525167,2024-06-14 12:06:14.909880
1.950176,1.011377096,-1.63759017,0.130202651,2024-06-14 12:06:14.950176
1.990472,2.086998224,-3.261906147,0.08749435097,2024-06-14 12:06:14.990472
2.030767,1.029708028,-1.929856896,0.5917499661,2024-06-14 12:06:15.030767
2.071063,1.234583497,-2.78746295,1.00170064,2024-06-14 12:06:15.071063
2.111359,1.423866034,-1.771669149,0.1034031734,2024-06-14 12:06:15.111359
2.151655,0.134768486,-2.101572275,-0.6077090502,2024-06-14 12:06:15.151655
2.19195,0.08968232572,-2.034315348,-0.7393437028,2024-06-14 12:06:15.191950
2.232246,2.455847263,-4.223669052,-0.3839942515,2024-06-14 12:06:15.232246
2.272542,2.244580984,-1.725521326,-0.8739967942,2024-06-14 12:06:15.272542
2.312838,0.7548874617,-0.3478461206,0.9912646413,2024-06-14 12:06:15.312838
2.353134,1.31532836,0.408041954,0.4036724269,2024-06-14 12:06:15.353134
2.393429,1.085095644,1.290257096,1.681967974,2024-06-14 12:06:15.393429
2.433725,0.5389018059,1.145386577,1.270951509,2024-06-14 12:06:15.433725
2.474021,0.4397009909,0.6493300796,0.09910191596,2024-06-14 12:06:15.474021
2.514317,-0.7064847946,1.627209902,0.2255766094,2024-06-14 12:06:15.514317
2.554613,-2.027997732,0.7460734248,0.9006186724,2024-06-14 12:06:15.554613
2.594908,-1.211948991,1.023591876,1.495301962,2024-06-14 12:06:15.594908
2.635204,-0.2045714706,2.16855526,2.156843662,2024-06-14 12:06:15.635204
2.6755,1.029566765,-0.1648404449,3.186350822,2024-06-14 12:06:15.675500
2.715796667,0.7963591218,0.1971646547,1.086697221,2024-06-14 12:06:15.715797
2.756092667,-1.116840363,2.056735039,1.442266941,2024-06-14 12:06:15.756093
2.796388667,-1.461824298,0.6668441296,-0.4070407152,2024-06-14 12:06:15.796389
2.836684667,-0.9993030429,-0.03317984939,-0.9483524561,2024-06-14 12:06:15.836685
2.876980667,-1.819838881,-0.2558839023,0.2213079631,2024-06-14 12:06:15.876981
2.917275667,-2.052930832,-0.3774949014,1.179701328,2024-06-14 12:06:15.917276
2.957571667,-0.7415552139,-0.1568760723,-1.493325591,2024-06-14 12:06:15.957572
2.997867667,-1.94764626,-3.92263937,-0.2865967453,2024-06-14 12:06:15.997868
3.038163667,-0.7941828966,-1.228140593,0.6744937897,2024-06-14 12:06:16.038164
3.078459667,-0.5315540433,-0.6052933931,-0.003449432552,2024-06-14 12:06:16.078460
3.118755667,-0.1982105374,-0.9129745364,0.1838599294,2024-06-14 12:06:16.118756
3.159051667,0.4011977613,-0.6623490453,0.3921883404,2024-06-14 12:06:16.159052
3.199347667,0.563369751,-0.07143129408,0.4163843393,2024-06-14 12:06:16.199348
3.239643667,1.092532277,0.2894817591,0.6392421722,2024-06-14 12:06:16.239644
3.279939667,0.6729959846,0.5519986153,0.4564009011,2024-06-14 12:06:16.279940
3.320235667,0.3738201261,-0.3057453632,0.226812616,2024-06-14 12:06:16.320236
3.360531667,-0.7291892767,-0.862939477,-0.4520601034,2024-06-14 12:06:16.360532
3.400827667,-0.1792794019,-0.04396273196,-0.03902315348,2024-06-14 12:06:16.400828
3.441123667,-0.1575485319,0.1693271697,1.782286644,2024-06-14 12:06:16.441124
3.481419667,0.2251668274,-0.08690046519,0.04091928154,2024-06-14 12:06:16.481420
3.521715667,2.013019562,-1.935294032,0.4802999198,2024-06-14 12:06:16.521716
3.562011667,1.782625318,-0.2386092991,3.037151575,2024-06-14 12:06:16.562012
3.602307667,1.958250761,0.7310354114,5.259033203,2024-06-14 12:06:16.602308
3.642603667,1.887918472,1.155499578,5.012984276,2024-06-14 12:06:16.642604
3.682899667,0.1143628731,-3.897097111,1.461414337,2024-06-14 12:06:16.682900
3.723194542,1.300700188,2.361670732,0.8813003898,2024-06-14 12:06:16.723195
3.763491542,1.281549335,3.039683104,-0.05201337859,2024-06-14 12:06:16.763492
3.803787542,0.9944217801,0.03951536492,0.3429699838,2024-06-14 12:06:16.803788
3.844083542,1.204112649,0.07943347842,0.2280572951,2024-06-14 12:06:16.844084
3.884379542,1.634043217,1.101626396,0.1633529961,2024-06-14 12:06:16.884380
3.924675542,0.697170496,0.7242316604,0.1406372637,2024-06-14 12:06:16.924676
3.964971542,0.2093276232,0.8716706634,0.01334938034,2024-06-14 12:06:16.964972
4.005267542,-0.5733388662,2.31052351,0.07189719379,2024-06-14 12:06:17.005268
4.045563542,-0.7042348385,0.65871346,-0.1396627873,2024-06-14 12:06:17.045564
4.085860542,-1.620573163,-1.047297478,-0.5760148764,2024-06-14 12:06:17.085861
4.126156542,-3.027307034,-1.016736865,-0.6135003567,2024-06-14 12:06:17.126157
4.166452542,-2.169965267,-2.156290293,-0.1164675727,2024-06-14 12:06:17.166453
4.206748542,-2.989144325,-0.2371362448,0.5427204967,2024-06-14 12:06:17.206749
4.247044542,-2.717949152,1.18225491,1.854646444,2024-06-14 12:06:17.247045
4.287341542,-2.934216738,-0.6833504438,-0.1770079136,2024-06-14 12:06:17.287342
4.327637542,-1.510844111,0.5994267464,0.3659291863,2024-06-14 12:06:17.327638
4.367933542,-0.7154729366,-0.2589759827,-0.4538514316,2024-06-14 12:06:17.367934
4.408229542,-0.1529027075,-0.8794359565,-0.6541271806,2024-06-14 12:06:17.408230
4.448525542,0.8824875355,-0.8840768933,-0.4029731154,2024-06-14 12:06:17.448526
4.488822542,1.641204238,-0.6477946639,-0.1982474476,2024-06-14 12:06:17.488823
4.529118542,1.002527118,-2.536501884,-0.3053525984,2024-06-14 12:06:17.529119
4.569414542,-0.3015844226,-1.292344928,-0.3682545125,2024-06-14 12:06:17.569415
4.609711542,-0.783955574,-0.1149701327,-0.2822421193,2024-06-14 12:06:17.609712
4.650007542,-0.5225198865,-0.5002276301,-0.07983564585,2024-06-14 12:06:17.650008
4.690303542,-0.1385857463,-1.141617894,0.5075684786,2024-06-14 12:06:17.690304
4.730600625,0.6315717101,-0.3186910152,0.7328704,2024-06-14 12:06:17.730601
4.770897625,1.722110391,0.823333323,0.4457844198,2024-06-14 12:06:17.770898
4.811193625,2.041337967,0.4287945926,-0.4139003754,2024-06-14 12:06:17.811194
4.851489625,0.6815878749,0.0560830459,-1.026840329,2024-06-14 12:06:17.851490
4.891786625,1.682749748,-1.35702157,0.01967757568,2024-06-14 12:06:17.891787
4.932082625,1.040997148,0.00534775015,-0.14954184,2024-06-14 12:06:17.932083
4.972378625,1.053025961,-0.8208497763,-0.08468865603,2024-06-14 12:06:17.972379
5.012675625,1.222790956,-0.7502451539,-0.2110081017,2024-06-14 12:06:18.012676
5.052971625,1.282484889,-0.72612679,-0.1305796057,2024-06-14 12:06:18.052972
5.093267625,1.45531261,-0.4292841256,-0.01521175541,2024-06-14 12:06:18.093268
5.133564625,1.891726255,-0.4156465828,0.3283579946,2024-06-14 12:06:18.133565
5.173860625,1.373318791,0.5435739756,0.6139392257,2024-06-14 12:06:18.173861
5.214157625,0.5363966227,0.5977522731,0.1660206914,2024-06-14 12:06:18.214158
5.254453625,0.06788478047,0.7603259087,0.1805798709,2024-06-14 12:06:18.254454
5.294749625,-0.9150115252,1.137766004,0.3143184483,2024-06-14 12:06:18.294750
5.335046625,-1.88765049,-0.4249516129,-0.3927133381,2024-06-14 12:06:18.335047
5.375342625,-2.908977032,-0.5432145596,-0.3924899101,2024-06-14 12:06:18.375343
5.415639625,-2.341909647,-0.8368800879,-0.6949762702,2024-06-14 12:06:18.415640
5.455935625,-2.198200464,-0.08507528156,-0.5692057014,2024-06-14 12:06:18.455936
5.496232625,-1.728318095,-0.5490087867,-0.486987859,2024-06-14 12:06:18.496233
5.536528625,-1.675853372,1.145244002,-0.2223217338,2024-06-14 12:06:18.536529
5.576825625,-1.301717758,0.2699155211,-0.1281826049,2024-06-14 12:06:18.576826
5.617121625,-0.9945503473,-0.3298852146,-0.4507201612,2024-06-14 12:06:18.617122
5.657418625,-0.3338286579,-1.077309132,-1.002125382,2024-06-14 12:06:18.657419
5.697714625,-0.0530490838,-1.49756825,-0.9058492184,2024-06-14 12:06:18.697715
5.738010542,0.4002026021,-1.615964174,-0.2890289128,2024-06-14 12:06:18.738011
5.778306542,0.6701380014,-1.81594038,0.2229910046,2024-06-14 12:06:18.778307
5.818603542,0.7978276014,-2.108823776,0.1577482074,2024-06-14 12:06:18.818604
5.858899542,0.2925245166,-1.177560449,-0.2081362903,2024-06-14 12:06:18.858900
5.899196542,-0.3944598436,0.3768980801,-0.80082798,2024-06-14 12:06:18.899197
5.939492542,-0.2241594493,-0.1803358942,-0.1646845043,2024-06-14 12:06:18.939493
5.979789542,-0.3438004255,0.6713455319,-0.475456059,2024-06-14 12:06:18.979790
6.020085542,0.8444486856,-0.1721285135,0.6685379744,2024-06-14 12:06:19.020086
6.060382542,1.509026051,1.277249336,0.3624144495,2024-06-14 12:06:19.060383
6.100678542,1.354075074,-0.5497713685,-0.1193772554,2024-06-14 12:06:19.100679
6.140975542,1.296899319,-1.749865532,-0.207468316,2024-06-14 12:06:19.140976
6.181272542,1.240665913,-0.7018529177,0.001513083931,2024-06-14 12:06:19.181273
6.221568542,0.9155871272,-0.6166823506,-0.2942567766,2024-06-14 12:06:19.221569
6.261865542,1.453205824,-0.4202594459,-0.34401232,2024-06-14 12:06:19.261866
