Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Datetime
0.01598899998,-0.2540688291,0.3176154917,-0.8948736709,2024-06-14 12:06:13.015989
0.05628499994,-0.4337948428,0.1230359423,-0.004069662094,2024-06-14 12:06:13.056285
0.09658000001,-0.5280452348,-0.1728191364,-0.05462001085,2024-06-14 12:06:13.096580
0.136876,-0.08712775245,0.03583349168,-0.1848439354,2024-06-14 12:06:13.136876
0.177171,-0.4743781739,-0.01706626832,-0.8100603926,2024-06-14 12:06:13.177171
0.217466,-0.1309514643,-0.08660369575,0.2952335197,2024-06-14 12:06:13.217466
0.257762,-0.2527790795,0.1399273789,-1.102975491,2024-06-14 12:06:13.257762
0.298057,-0.2265915933,0.2628522241,-2.504225054,2024-06-14 12:06:13.298057
0.338353,0.0588897939,0.07233882844,-1.101199107,2024-06-14 12:06:13.338353
0.378648,1.090785947,-0.09309235096,-1.404764324,2024-06-14 12:06:13.378648
0.418944,0.790173866,0.2403658792,-4.269641547,2024-06-14 12:06:13.418944
0.459239,-0.07984577626,-0.2242503682,0.2074077559,2024-06-14 12:06:13.459239
0.4995339999,1.301099623,1.289736144,-1.003398578,2024-06-14 12:06:13.499534
0.53983,1.504698064,0.05226943016,-0.9961047614,2024-06-14 12:06:13.539830
0.580125,0.07052692249,-2.720533442,-5.772535014,2024-06-14 12:06:13.580125
0.6204209999,-1.71601863,-0.4509763013,-6.801171345,2024-06-14 12:06:13.620421
0.660716,-4.521847746,-1.485307089,-2.589519559,2024-06-14 12:06:13.660716
0.701012,-4.941549191,-4.319413047,-2.851892896,2024-06-14 12:06:13.701012
0.741307,-3.839997497,-5.518945949,-1.304622278,2024-06-14 12:06:13.741307
0.781603,3.929704894,-2.130211121,5.353049916,2024-06-14 12:06:13.781603
0.821898,4.610959312,-1.416154408,4.882245268,2024-06-14 12:06:13.821898
0.862194,11.54517762,3.1295453,0.8227253155,2024-06-14 12:06:13.862194
0.902489,9.237994959,5.748469044,0.8092084533,2024-06-14 12:06:13.902489
0.942785,16.52610722,6.319850771,2.94787728,2024-06-14 12:06:13.942785
0.98308,8.155796964,2.383656052,7.584498267,2024-06-14 12:06:13.983080
1.023376,0.2581282586,0.5841269034,2.203675831,2024-06-14 12:06:14.023376
1.063672,2.996451269,-1.258183984,-4.959566216,2024-06-14 12:06:14.063672
1.103967,-4.333976122,-4.192854157,-1.549297555,2024-06-14 12:06:14.103967
1.144263,-4.167172017,-5.700030125,1.251699421,2024-06-14 12:06:14.144263
1.184558,3.569451798,-1.293460236,2.327319299,2024-06-14 12:06:14.184558
1.224854,1.730009848,1.549047879,-1.446399423,2024-06-14 12:06:14.224854
1.265149,1.458749328,-1.021156572,1.880476248,2024-06-14 12:06:14.265149
1.305445,-3.181353969,1.37034352,-2.341800513,2024-06-14 12:06:14.305445
1.345741,0.4234784541,2.924650385,-0.6568493092,2024-06-14 12:06:14.345741
1.386036,0.07090801477,2.697281404,-0.8576233989,2024-06-14 12:06:14.386036
1.426332,-5.242727575,-0.4920589846,0.7553164208,2024-06-14 12:06:14.426332
1.466628,4.592885276,4.119275134,-0.7039381063,2024-06-14 12:06:14.466628
1.506923,-0.3758648694,1.117807539,-0.6390726042,2024-06-14 12:06:14.506923
1.547219,-0.02991230875,1.77583857,2.12839176,2024-06-14 12:06:14.547219
1.587515,1.357056892,1.828994438,4.581316853,2024-06-14 12:06:14.587515
1.62781,3.922473643,1.636912234,3.011691452,2024-06-14 12:06:14.627810
1.668106,2.797188685,-3.320123307,3.096267918,2024-06-14 12:06:14.668106
1.708402,-1.366790167,-6.822261667,-4.070097127,2024-06-14 12:06:14.708402
1.748697,-5.505601434,-3.633946587,-6.455612594,2024-06-14 12:06:14.748697
1.788993,-2.582571897,-1.798331201,-1.959731163,2024-06-14 12:06:14.788993
1.829289,-1.316608193,2.726300551,-2.235467142,2024-06-14 12:06:14.829289
1.869584,-0.7936548597,3.697820109,0.963072086,2024-06-14 12:06:14.869584
1.90988,-4.344388844,-2.298600115,-0.9043274492,2024-06-14 12:06:14.909880
1.950176,-1.480331985,-0.5791808168,-4.05343724,2024-06-14 12:06:14.950176
1.990472,-1.477401361,0.1436520553,0.1268626526,2024-06-14 12:06:14.990472
2.030767,-1.585329267,3.221238997,-1.173409589,2024-06-14 12:06:15.030767
