Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Datetime
0.01170194149,52.3632663,4.911727293,6.239561558,,,35.0,15.10972881,2024-06-14 12:06:13.011702
0.01338398457,52.36327738,4.911777159,6.374347448,,,35.0,15.93600178,2024-06-14 12:06:13.013384
0.01338398457,52.36327156,4.911753592,6.449807644,,,35.0,14.07362461,2024-06-14 12:06:13.013384
1.782552004,52.36327513,4.911769235,6.518533707,,,35.0,15.20833492,2024-06-14 12:06:14.782552
3.508916974,52.36327325,4.911772016,6.59615016,,,35.0,15.96926117,2024-06-14 12:06:16.508917
9.040205956,52.36325169,4.911812346,6.625350475,,,35.0,19.05853271,2024-06-14 12:06:22.040206
15.64452696,52.3632462,4.911808158,6.655468225,,,35.0,20.48281479,2024-06-14 12:06:28.644527
22.14001691,52.36324263,4.911811236,6.677505732,,,35.0,20.81370735,2024-06-14 12:06:35.140017
23.50784492,52.36324247,4.911809496,6.686209202,,,35.0,18.16257477,2024-06-14 12:06:36.507845
31.625157,52.36322263,4.911830742,6.109064579,,,36.0,20.90408325,2024-06-14 12:06:44.625157
32.95433199,52.36321853,4.911834573,5.884560943,,,36.0,18.17687798,2024-06-14 12:06:45.954332
33.60909891,52.3632279,4.911813945,5.80559504,,,35.0,16.22836113,2024-06-14 12:06:46.609099
39.39066291,52.36323728,4.911805809,5.738852501,,,35.0,19.28095245,2024-06-14 12:06:52.390663
45.91419494,52.36322567,4.911828215,5.675187588,,,35.0,20.50610733,2024-06-14 12:06:58.914195
52.58335292,52.36321904,4.911865666,5.523567438,,,35.0,20.89101791,2024-06-14 12:07:05.583353
59.04337001,52.36320635,4.911875263,5.446338177,,,35.0,20.90717506,2024-06-14 12:07:12.043370
65.47368491,52.36316045,4.911920464,5.078858793,,,35.0,20.89941597,2024-06-14 12:07:18.473685
71.92386591,52.36315604,4.911925168,4.707534313,,,35.0,20.90541267,2024-06-14 12:07:24.923866
78.63684297,52.36314836,4.911934539,4.574294031,,,35.0,21.01212692,2024-06-14 12:07:31.636843
85.10500395,52.36312776,4.911959123,4.511718482,,,35.0,20.94243431,2024-06-14 12:07:38.105004
91.5980159,52.36310855,4.911975803,4.473754019,,,35.0,20.93405914,2024-06-14 12:07:44.598016
98.065938,52.36311018,4.911973454,4.43627432,,,35.0,20.92174149,2024-06-14 12:07:51.065938
104.5247409,52.36310651,4.911976309,4.425019056,,,35.0,20.91480446,2024-06-14 12:07:57.524741
111.0591259,52.36310356,4.911971313,4.339666396,,,35.0,20.94342613,2024-06-14 12:08:04.059126
117.6170189,52.36309933,4.911987415,4.215142086,,,35.0,20.96034813,2024-06-14 12:08:10.617019
118.878184,52.36309896,4.911989069,4.167324997,,,35.0,18.15483093,2024-06-14 12:08:11.878184
125.31687,52.36333545,4.911899423,4.95386529,,,73.87323272,20.16435242,2024-06-14 12:08:18.316870
126.718146,52.36348709,4.911834921,5.293175459,,,74.75053104,17.88542175,2024-06-14 12:08:19.718146
